education_years,age,experience_years,experience_sq,tenure_years,female,married,union_member,urban,south_region,nonwhite,hours_worked_weekly,firm_size_log,health_score,computer_skills_score,sibling_count,commute_minutes,household_size,coffee_cups_per_day,savings_rate_pct,hourly_wage,log_hourly_wage
10.0,33.0,17.0,289.0,10.2,0,1,0,1,1,1,46.0,4.427754527173113,71.6,63.6,1,58.3,1,2,2.6,40.53,3.702
13.0,41.0,19.8,392.04,17.2,1,0,0,1,0,0,42.3,7.161628458495727,91.0,18.3,1,35.3,3,4,12.3,47.74,3.8658
15.0,32.0,11.1,123.21,8.2,1,1,1,1,0,0,33.9,5.16640462090673,74.4,80.9,3,28.4,2,0,6.7,39.4,3.6737
9.0,45.0,28.7,823.6899999999999,9.9,1,0,0,0,1,1,38.4,4.857991765036852,90.4,43.1,0,25.9,2,3,3.1,25.21,3.2272
12.0,47.0,28.3,800.89,14.3,1,1,1,1,0,1,43.2,4.421270515089858,72.1,99.0,0,18.1,1,0,9.6,32.07,3.4678
8.0,36.0,21.9,479.60999999999996,13.0,1,1,0,0,0,1,35.9,3.498837579599524,91.2,55.2,0,18.7,2,2,6.7,18.69,2.9279
9.0,21.0,6.3,39.69,1.7,0,0,1,1,0,0,44.4,3.4815724918588287,69.0,17.5,4,27.8,4,0,-5.0,22.93,3.1324
8.0,26.0,9.5,90.25,9.1,1,0,0,1,0,0,42.8,5.00641425318854,85.1,49.8,2,39.9,2,2,8.0,24.02,3.1788
12.0,46.0,25.7,660.49,20.9,0,1,0,0,0,0,39.3,2.5522595397410948,72.5,35.0,1,31.3,1,1,1.0,36.76,3.6045
9.0,49.0,33.5,1122.25,10.3,1,0,0,0,1,0,43.3,6.661791030384193,89.8,78.7,4,30.1,3,1,2.8,18.55,2.9205
14.0,42.0,22.7,515.29,15.2,0,0,0,1,0,1,39.0,6.591094904323384,61.3,54.5,2,38.3,5,0,-5.0,49.05,3.8928
13.0,49.0,30.5,930.25,12.7,1,1,1,1,0,0,42.3,2.6066986445424476,65.1,73.3,0,17.5,1,4,14.8,47.74,3.8657
12.0,33.0,16.3,265.69,6.9,0,0,1,1,1,0,35.3,6.126427906793033,75.2,35.8,1,41.5,8,0,8.7,25.79,3.2499
6.0,30.0,20.0,400.0,8.5,1,1,0,0,1,0,49.1,5.986854936066901,59.2,36.4,1,21.7,1,1,3.9,8.86,2.1816
11.0,37.0,20.7,428.48999999999995,3.3,0,0,1,1,0,1,39.5,6.022151296850033,88.0,53.1,0,35.8,3,0,10.8,24.11,3.1827
13.0,42.0,23.0,529.0,16.2,0,0,0,1,0,1,47.7,5.431015425208115,68.5,51.8,2,18.8,4,2,8.5,42.18,3.742
13.0,27.0,6.5,42.25,5.0,1,1,1,1,0,0,53.3,6.694024428059921,76.9,33.4,2,40.4,4,0,6.4,25.72,3.2473
9.0,43.0,26.6,707.5600000000001,17.7,0,0,0,0,1,0,50.0,3.49266692878889,82.8,60.0,0,11.6,1,3,3.7,27.69,3.3212
12.0,49.0,30.3,918.09,20.8,1,1,0,1,0,0,40.9,3.9484424994374288,77.8,71.8,0,52.9,2,4,7.0,57.67,4.0548
10.0,27.0,11.4,129.96,7.2,0,0,0,1,1,0,41.9,5.342268152641334,61.9,44.0,2,21.0,3,3,9.7,11.49,2.4418
11.0,26.0,9.3,86.49000000000001,3.2,0,1,0,1,0,0,40.8,4.616139260974243,54.8,41.3,1,21.2,5,2,12.4,15.38,2.7333
16.0,45.0,23.0,529.0,9.7,0,0,0,0,0,1,42.8,2.678420968715742,50.7,41.4,3,16.8,2,1,6.2,40.63,3.7044
11.0,32.0,14.8,219.04000000000002,9.7,1,0,1,1,0,0,36.3,5.619453079343643,59.9,60.2,3,12.7,1,1,8.2,36.67,3.6019
13.0,20.0,1.9,3.61,1.3,0,1,0,1,0,0,30.7,5.890048446573662,61.7,48.1,1,23.6,1,1,11.1,10.42,2.3441
15.0,47.0,26.3,691.69,18.8,1,1,1,1,0,0,42.9,4.269946601934707,61.1,58.4,0,6.6,2,1,12.5,90.47,4.505
11.0,38.0,21.4,457.9599999999999,6.8,1,1,1,0,0,0,41.3,5.047009233483524,76.0,70.7,4,41.0,2,1,10.5,22.84,3.1284
13.0,35.0,16.5,272.25,3.0,0,1,0,1,1,0,49.8,5.799557646794336,54.4,44.8,2,25.4,2,1,5.9,22.13,3.0968
13.0,56.0,36.2,1310.4400000000003,28.2,1,1,0,1,0,0,51.4,1.7955652962066115,51.3,45.3,2,0.0,2,2,9.3,30.82,3.4282
13.0,40.0,19.5,380.25,12.1,1,1,0,0,1,1,33.2,3.821853011896177,72.6,44.8,2,27.6,4,2,8.0,29.94,3.3991
10.0,30.0,14.7,216.08999999999997,2.8,1,0,1,1,0,1,35.7,3.410817231387325,91.8,77.4,1,34.4,1,2,14.3,41.31,3.7211
13.0,40.0,21.6,466.56000000000006,17.0,0,0,1,0,0,0,45.5,4.358466126182852,59.6,48.1,0,30.0,6,1,3.8,36.79,3.6051
17.0,35.0,11.7,136.89,1.1,0,1,1,0,0,0,47.8,2.9305990299090405,69.1,51.4,0,19.3,3,0,11.1,54.48,3.9978
9.0,29.0,13.4,179.56,8.6,0,0,0,1,0,0,41.8,2.8875637180999414,69.9,44.7,1,24.8,3,0,9.4,17.77,2.8774
15.0,44.0,26.4,696.9599999999999,14.6,1,0,0,1,0,0,41.4,4.83390012997524,83.4,66.6,0,0.0,2,1,7.3,46.92,3.8485
13.0,35.0,14.9,222.01000000000002,8.5,0,1,0,1,1,1,30.5,6.935904421072262,80.8,57.7,0,8.3,2,0,9.6,36.73,3.6035
11.0,33.0,15.7,246.48999999999998,6.7,1,1,1,0,0,0,54.1,2.9356362128682454,65.2,29.1,2,0.0,3,3,5.5,20.82,3.0357
19.0,58.0,33.4,1115.56,24.9,1,1,0,1,0,0,37.0,6.649001408464349,81.4,67.6,1,7.6,1,1,1.6,46.42,3.8377
15.0,48.0,25.3,640.09,23.9,0,0,0,1,0,1,44.3,5.803732058005059,71.3,57.6,1,36.2,3,2,16.8,47.29,3.8562
10.0,42.0,26.2,686.4399999999999,21.3,1,1,0,0,1,1,43.0,5.8630886575118915,80.1,72.3,0,43.8,1,2,14.3,14.84,2.6974
13.0,43.0,26.7,712.89,19.8,0,1,0,0,1,1,35.9,6.2723248363721025,92.0,59.9,3,47.4,1,3,7.6,32.43,3.4792
15.0,45.0,25.4,645.16,14.0,0,1,0,0,0,0,45.9,4.001776285390638,44.5,49.1,1,18.1,4,1,16.1,67.73,4.2155
12.0,50.0,32.9,1082.4099999999999,26.0,1,1,0,1,0,0,49.4,6.023209718141105,53.6,31.8,2,32.6,1,2,13.1,43.57,3.7744
15.0,41.0,20.9,436.80999999999995,11.2,1,0,0,1,0,0,40.8,2.581648462684176,54.4,68.3,4,22.2,1,2,4.2,26.39,3.273
13.0,54.0,35.2,1239.0400000000002,26.7,1,1,0,1,0,1,41.9,3.5118862412489036,55.7,73.0,3,32.1,1,1,11.1,29.13,3.3719
15.0,33.0,13.4,179.56,9.2,0,1,1,1,0,0,44.8,4.985809757381536,71.7,34.1,1,29.4,1,0,8.3,31.91,3.463
17.0,41.0,17.8,316.84000000000003,5.4,0,1,0,1,0,1,46.7,5.562269726567795,71.9,49.0,0,15.3,2,1,5.6,20.58,3.0243
11.0,26.0,8.4,70.56,6.7,0,1,0,0,0,1,46.0,2.7572206331402476,91.1,58.7,2,42.6,3,2,6.7,17.08,2.8379
14.0,37.0,17.2,295.84,9.9,0,0,1,1,1,1,35.9,2.070899112800997,87.2,47.7,5,20.2,1,0,9.6,27.56,3.3163
12.0,42.0,25.4,645.16,9.2,0,1,1,1,1,1,35.7,5.09248559730238,73.9,57.3,4,18.4,1,1,11.3,33.86,3.5223
13.0,51.0,32.5,1056.25,17.4,0,0,1,1,0,0,37.9,4.937367600059239,68.9,43.2,2,23.0,1,1,9.7,51.84,3.9481
10.0,31.0,16.0,256.0,4.3,0,0,0,1,1,1,25.6,5.46381360940566,78.3,38.4,1,17.8,4,2,7.3,15.15,2.7179
11.0,37.0,17.0,289.0,8.8,1,1,0,1,0,0,33.5,4.456853423132333,75.5,72.4,1,2.8,3,1,1.8,34.38,3.5373
12.0,35.0,18.8,353.44000000000005,18.6,0,1,0,0,0,1,39.9,2.848606639993009,64.8,18.9,0,25.1,1,1,5.1,27.11,3.2999
16.0,36.0,17.5,306.25,11.2,0,1,0,1,1,0,37.2,6.032263798756196,78.6,61.8,2,32.5,2,0,11.1,21.98,3.0901
16.0,32.0,12.0,144.0,4.9,0,1,0,0,0,1,36.2,5.570183442553071,64.4,35.6,3,37.1,1,3,7.5,37.62,3.6274
9.0,35.0,19.5,380.25,15.4,0,1,0,0,0,0,46.1,4.779091689307204,69.3,50.7,0,22.6,5,0,6.8,22.71,3.1227
11.0,23.0,4.7,22.090000000000003,0.4,1,1,1,0,1,0,43.0,7.400350367137159,68.6,37.8,0,49.9,5,1,6.0,8.94,2.1906
15.0,42.0,21.4,457.9599999999999,5.2,0,0,1,0,0,0,45.7,4.868438561475235,63.3,52.9,1,18.6,6,0,8.4,44.78,3.8019
7.0,33.0,18.5,342.25,12.8,0,1,0,1,0,0,40.1,6.532620602974247,62.7,38.7,0,19.2,4,1,2.7,21.65,3.0752
12.0,33.0,16.1,259.21000000000004,3.8,0,0,0,0,1,0,38.6,4.38005166897642,71.1,55.0,0,0.0,1,2,5.8,23.98,3.1773
13.0,31.0,11.2,125.43999999999998,4.5,0,0,0,0,0,0,36.1,0.7605397552030908,68.9,24.0,2,50.1,1,2,0.7,12.79,2.5484
17.0,32.0,10.4,108.16000000000001,5.2,1,0,0,1,1,0,42.4,3.0427608726119755,55.7,30.4,1,42.9,3,1,16.9,20.33,3.0122
15.0,56.0,37.0,1369.0,21.0,1,0,0,1,0,0,30.7,0.9682910870897725,90.0,47.5,1,45.8,2,2,9.8,35.26,3.5626
12.0,27.0,6.0,36.0,1.8,1,0,0,1,1,0,36.0,4.251502966949668,90.5,61.5,3,5.4,1,4,4.9,10.94,2.3927
12.0,50.0,32.4,1049.76,13.0,1,0,0,0,0,0,44.4,6.094499222413806,89.8,34.6,3,37.0,4,2,8.5,27.8,3.3251
12.0,43.0,24.0,576.0,13.2,0,0,0,0,0,0,45.9,2.3282508466586793,84.2,85.6,2,4.3,3,1,11.9,33.6,3.5145
17.0,40.0,14.9,222.01000000000002,12.7,1,0,0,1,1,0,40.7,5.503277604917229,69.1,43.0,3,43.7,1,0,18.5,39.34,3.6723
12.0,29.0,10.1,102.00999999999999,7.7,0,0,0,1,1,1,34.4,4.195623616202966,59.1,64.3,1,25.3,1,0,12.9,27.44,3.312
12.0,46.0,27.7,767.29,20.2,0,1,0,1,0,0,44.3,5.744995089275845,58.2,16.6,2,21.5,3,1,2.4,40.61,3.7041
14.0,54.0,35.6,1267.3600000000001,21.8,1,0,1,1,0,1,36.8,5.049663043980363,49.7,31.7,1,27.9,2,1,10.4,36.8,3.6056
13.0,32.0,10.7,114.48999999999998,4.6,1,0,0,1,1,1,40.3,3.257324203463248,66.4,31.5,1,23.8,2,3,13.9,14.41,2.6682
12.0,36.0,19.6,384.1600000000001,15.1,1,0,0,0,1,0,35.5,5.316410626343233,49.9,28.5,1,49.1,2,0,9.3,18.84,2.9359
10.0,44.0,31.0,961.0,6.0,0,1,0,1,0,0,51.5,4.513328927561104,71.5,21.0,4,43.1,1,1,0.2,24.42,3.1954
13.0,42.0,23.9,571.2099999999999,11.0,1,0,0,1,1,0,49.6,5.735403915351089,73.4,41.9,2,6.7,2,3,1.5,39.92,3.687
12.0,54.0,36.8,1354.2399999999998,25.9,1,1,1,0,1,0,36.2,7.100089696840344,63.8,34.3,2,39.6,2,1,19.6,32.2,3.4719
16.0,37.0,15.0,225.0,5.8,1,1,0,1,0,0,34.3,4.306354530148663,63.8,79.6,0,0.0,3,0,10.2,47.08,3.8519
15.0,45.0,22.2,492.84,14.2,1,0,0,1,0,0,40.7,6.7056502868237935,69.4,48.6,0,53.1,3,3,3.2,31.32,3.4442
13.0,29.0,10.8,116.64000000000001,10.5,1,0,0,1,0,0,44.6,4.438620817132579,76.9,55.0,1,20.1,2,2,2.1,17.68,2.8727
15.0,58.0,37.6,1413.7600000000002,11.2,0,1,0,0,0,0,48.2,5.362663964559561,66.2,11.6,2,23.4,1,0,-0.9,35.57,3.5716
12.0,32.0,15.1,228.01,13.3,0,0,0,1,0,0,40.7,4.813519618830725,90.2,77.3,4,26.5,4,1,5.2,21.32,3.0596
16.0,24.0,5.9,34.81,3.6,1,1,0,1,0,1,33.9,3.6900878043129763,59.6,78.2,2,59.2,6,0,4.3,12.67,2.5396
13.0,38.0,20.1,404.01000000000005,20.0,1,0,0,0,1,0,42.7,4.737521742600381,62.9,29.6,2,37.3,1,0,3.8,19.49,2.9698
15.0,40.0,19.6,384.1600000000001,6.8,1,1,0,1,1,1,42.5,3.9843132587723957,64.5,30.3,1,26.7,1,4,16.3,35.69,3.5749
9.0,50.0,37.3,1391.2899999999997,25.8,0,0,0,1,0,0,31.9,5.3086270546636865,67.7,35.8,4,35.4,2,0,17.4,49.05,3.8928
14.0,37.0,15.0,225.0,13.0,1,1,0,0,1,1,39.5,3.1878356619282098,72.6,75.9,0,22.0,2,2,6.1,11.94,2.4802
8.0,34.0,18.3,334.89000000000004,14.1,0,1,0,1,1,1,39.3,3.310001594650272,76.5,25.4,0,40.8,4,0,-3.3,27.23,3.3045
7.0,38.0,24.4,595.3599999999999,12.8,1,0,0,1,0,0,35.4,5.707333801660791,66.2,31.0,1,18.9,2,1,0.4,18.67,2.9272
12.0,51.0,32.0,1024.0,10.2,1,0,0,1,0,0,42.3,5.272331511349327,88.8,20.7,1,21.7,2,2,10.2,27.74,3.3228
10.0,35.0,20.0,400.0,12.2,1,0,0,1,0,1,47.0,5.312576219527463,48.2,55.0,3,22.8,2,5,14.9,27.3,3.307
13.0,47.0,27.5,756.25,13.4,0,0,0,0,0,0,46.8,5.312425953092477,73.2,65.3,3,43.6,2,4,2.0,45.39,3.8153
19.0,49.0,26.6,707.5600000000001,7.3,0,0,0,1,0,0,35.9,5.935434135045275,70.6,32.0,4,29.6,1,7,5.8,71.71,4.2727
11.0,35.0,20.3,412.09000000000003,9.6,0,0,0,1,1,1,37.7,5.194726339132347,54.0,70.8,3,23.9,1,1,7.3,27.08,3.2988
11.0,38.0,22.2,492.84,17.4,0,1,0,1,0,0,45.0,5.776005902925892,53.2,52.7,2,6.1,1,4,13.0,23.44,3.1544
14.0,40.0,19.4,376.35999999999996,11.0,1,1,1,1,0,0,39.1,3.561062864643566,71.2,34.5,2,40.5,4,1,9.6,44.78,3.8019
14.0,33.0,13.9,193.21,8.0,1,0,0,1,0,0,39.0,5.248029527199875,83.5,60.1,1,21.9,4,1,7.1,14.56,2.678
13.0,49.0,31.2,973.4399999999999,20.9,0,1,0,1,0,0,53.6,3.6108173102701215,74.7,73.2,3,31.1,4,1,2.5,51.29,3.9375
12.0,27.0,7.4,54.760000000000005,3.3,1,1,0,1,0,1,26.3,2.9589847701844074,69.0,73.4,1,23.5,1,2,12.0,11.95,2.4804
15.0,50.0,29.5,870.25,27.3,0,1,1,0,0,1,37.3,4.281221970908288,66.2,59.6,3,31.5,3,0,9.6,34.79,3.5494
14.0,48.0,29.1,846.8100000000001,14.7,1,1,1,1,1,0,36.2,5.422847080909817,64.1,74.2,1,30.5,2,2,2.4,44.0,3.7843
10.0,35.0,19.3,372.49,4.0,0,1,0,1,0,0,40.7,4.6036070972554315,65.2,50.1,2,4.0,2,2,-0.6,21.99,3.0905
13.0,33.0,16.4,268.96,4.4,0,1,0,1,1,0,50.8,6.906846605208145,77.4,55.8,4,2.9,1,0,18.6,20.06,2.9985
13.0,37.0,19.8,392.04,6.1,1,0,0,1,1,0,40.2,5.464397761973764,82.4,82.9,2,23.7,3,3,-1.6,26.77,3.2873
10.0,40.0,22.8,519.84,20.9,1,1,0,0,0,0,39.4,5.13606490987031,76.2,48.0,1,3.6,6,3,9.8,20.71,3.0308
14.0,46.0,26.2,686.4399999999999,12.7,1,1,0,1,0,0,41.9,4.728137806088705,61.8,35.2,3,36.4,1,2,4.1,37.13,3.6145
11.0,39.0,20.7,428.48999999999995,8.2,1,0,0,1,0,0,39.3,2.825604427663982,76.5,27.7,5,27.6,4,5,4.1,15.21,2.7216
16.0,50.0,28.9,835.2099999999999,25.4,0,1,1,0,1,0,43.2,4.649216185643025,81.9,40.5,1,42.7,1,1,7.4,66.91,4.2034
14.0,36.0,14.7,216.08999999999997,5.2,0,1,0,0,1,0,55.6,4.612819843080883,48.4,15.7,4,37.1,4,2,16.0,29.46,3.383
13.0,41.0,23.4,547.56,14.3,1,1,0,1,0,1,37.1,6.8623049753346645,73.5,32.9,0,35.9,4,1,10.1,21.48,3.067
11.0,24.0,7.6,57.76,6.6,0,0,0,1,1,0,39.8,3.550253342832524,63.5,29.0,1,18.0,3,1,5.5,26.99,3.2956
13.0,45.0,27.5,756.25,22.0,0,1,0,1,0,0,40.6,4.418119520174061,71.1,46.7,2,31.1,1,2,15.6,28.37,3.3452
7.0,34.0,20.8,432.64000000000004,5.5,0,0,0,0,0,0,29.0,3.6377507841029963,54.9,24.9,2,39.7,3,2,1.7,19.74,2.9825
10.0,33.0,14.8,219.04000000000002,8.0,0,1,0,0,0,1,44.5,4.777179918241695,57.4,47.9,2,41.2,4,2,12.7,15.62,2.7488
14.0,49.0,31.6,998.5600000000001,10.4,1,1,0,1,0,0,40.6,2.3244622377916215,68.4,49.9,4,30.8,2,4,13.5,25.91,3.2545
7.0,39.0,25.7,660.49,18.4,1,0,0,1,0,0,29.8,4.969244276878687,63.3,64.6,1,25.4,1,1,7.8,15.26,2.7249
15.0,18.0,0.0,0.0,0.0,1,0,1,1,1,1,39.5,4.599701402091989,64.0,69.1,0,17.4,3,2,9.0,14.51,2.6749
8.0,34.0,20.6,424.36000000000007,5.4,1,0,1,1,0,0,41.9,4.81914318251957,59.4,78.9,4,22.5,1,2,11.5,18.21,2.902
15.0,29.0,9.0,81.0,2.7,1,1,1,0,0,1,35.9,8.016780446480714,74.8,45.5,0,20.3,4,1,17.2,17.94,2.8868
11.0,46.0,31.7,1004.89,8.6,1,0,0,0,0,0,47.2,4.473527300780734,82.2,24.7,3,42.5,3,1,13.6,25.31,3.2311
15.0,61.0,40.5,1640.25,28.2,0,1,1,0,0,0,37.6,5.214637799702234,58.5,64.3,3,43.5,4,1,5.4,70.47,4.2552
13.0,35.0,18.1,327.61000000000007,7.4,0,0,1,1,0,1,32.4,4.556576836153257,72.7,57.6,0,24.6,1,2,6.2,30.31,3.4115
9.0,36.0,18.8,353.44000000000005,8.8,1,0,0,0,1,1,45.6,6.0021639637095525,64.5,42.1,3,18.9,2,3,4.5,18.34,2.909
16.0,40.0,19.3,372.49,6.4,1,1,0,0,0,1,40.2,7.508486250542422,72.7,65.3,0,37.8,1,0,1.6,19.32,2.9614
17.0,46.0,22.6,510.76000000000005,12.7,1,0,0,0,0,0,41.8,6.798445798385208,82.7,86.3,4,44.7,1,0,4.8,40.28,3.6958
13.0,44.0,24.8,615.0400000000001,11.6,1,1,0,1,0,0,31.8,5.018336108800006,72.6,57.1,1,36.1,1,0,3.1,31.12,3.4378
12.0,48.0,30.0,900.0,13.6,1,0,0,0,0,1,33.1,2.9204114277012048,68.2,42.6,1,10.2,2,2,2.8,54.28,3.9941
13.0,31.0,12.5,156.25,10.1,0,1,0,1,1,0,35.2,5.148350776695798,57.4,54.1,4,4.9,5,1,10.7,20.67,3.0287
10.0,49.0,35.5,1260.25,11.9,1,1,0,1,1,0,40.1,2.418420140981769,82.7,33.5,0,49.5,2,1,9.5,25.67,3.2453
16.0,35.0,10.2,104.03999999999999,6.6,0,0,0,1,0,0,40.2,3.4313532195286434,88.8,86.8,1,39.9,3,1,9.6,25.65,3.2444
11.0,39.0,22.1,488.4100000000001,10.0,0,0,0,0,0,1,48.9,3.8076719933874887,47.3,28.1,0,20.7,4,3,10.7,33.18,3.5019
13.0,48.0,27.9,778.41,11.3,0,0,0,1,1,0,49.8,3.127472714381156,76.4,31.6,1,26.7,3,3,11.2,38.11,3.6406
11.0,43.0,27.7,767.29,9.4,1,0,0,0,1,0,41.8,4.580500099797704,67.6,69.1,3,25.8,1,4,8.6,27.05,3.2975
11.0,29.0,11.4,129.96,11.0,0,0,0,0,1,0,40.5,4.102932923880889,54.8,46.8,4,27.9,2,1,10.9,22.96,3.1337
9.0,29.0,14.7,216.08999999999997,2.8,0,0,0,1,0,1,51.9,3.609203447956015,89.8,27.8,3,13.8,1,1,0.5,10.7,2.3702
17.0,39.0,15.4,237.16000000000003,7.0,0,0,0,0,0,0,41.3,5.067445247345675,75.8,67.6,3,39.6,2,1,8.1,29.11,3.3712
13.0,39.0,21.0,441.0,20.2,1,1,0,1,0,0,46.8,3.616733941852936,94.0,71.6,2,17.9,4,1,6.8,30.94,3.4319
16.0,51.0,30.5,930.25,8.5,1,0,1,0,1,0,38.2,6.259348936119002,60.5,20.5,0,11.6,4,3,12.9,30.71,3.4245
13.0,29.0,9.4,88.36000000000001,4.9,0,0,1,0,0,0,40.4,5.407151771674329,64.2,62.3,0,43.3,2,3,7.9,20.56,3.0231
11.0,41.0,24.1,580.8100000000001,11.2,1,0,0,1,0,0,39.4,4.007338407738783,52.2,68.6,0,28.3,3,1,2.4,52.36,3.9581
12.0,43.0,22.9,524.41,19.0,0,1,1,1,0,0,37.0,5.1516386717112805,70.4,84.4,1,43.9,3,3,14.4,34.66,3.5455
11.0,41.0,24.5,600.25,9.2,1,1,0,0,0,1,43.1,3.682027518714511,50.0,59.2,3,31.5,1,1,6.0,27.33,3.3078
13.0,43.0,25.3,640.09,22.2,1,1,0,1,0,1,36.3,3.750298752533665,65.9,64.3,6,40.3,3,1,11.5,34.69,3.5464
12.0,50.0,31.2,973.4399999999999,9.6,0,0,1,1,0,0,40.4,5.914581514532611,83.0,52.4,1,50.3,4,1,11.5,37.84,3.6334
12.0,42.0,25.7,660.49,14.4,1,1,0,1,0,0,43.4,2.4789731484308133,75.8,63.5,1,31.2,4,5,11.3,44.73,3.8007
9.0,42.0,23.9,571.2099999999999,21.6,1,1,0,1,0,0,53.1,5.177303041706237,80.9,82.1,0,42.1,1,1,12.4,26.88,3.2913
11.0,42.0,22.2,492.84,13.6,0,1,0,1,0,1,30.1,7.089089282987697,71.1,63.6,3,19.4,4,1,3.9,21.75,3.0796
18.0,58.0,31.9,1017.6099999999999,17.9,0,0,0,1,0,1,41.4,1.6569975522173803,78.5,39.2,3,33.3,3,0,1.6,56.79,4.0394
11.0,22.0,4.3,18.49,4.2,1,0,0,1,0,0,44.8,7.717470446270916,68.2,49.2,0,0.0,4,2,7.0,11.91,2.4772
10.0,46.0,30.0,900.0,10.6,1,0,0,0,0,0,39.0,2.0392204995656615,54.9,86.5,3,25.6,1,0,-1.5,33.93,3.5242
14.0,38.0,17.9,320.40999999999997,16.1,0,1,1,1,0,0,46.0,1.6200945472514885,75.2,27.6,6,15.6,2,2,13.5,49.0,3.8918
17.0,41.0,17.9,320.40999999999997,7.5,0,0,0,1,0,0,44.0,1.7928231829318215,68.9,39.5,1,3.5,2,2,9.4,37.14,3.6148
9.0,27.0,13.1,171.60999999999999,8.6,0,1,0,0,1,0,43.8,3.033196150278255,60.3,38.3,2,36.3,7,4,6.6,19.9,2.9905
12.0,23.0,4.3,18.49,2.1,0,1,0,1,1,1,38.6,3.7807046609206374,56.7,74.6,4,27.6,4,5,3.2,21.31,3.059
11.0,34.0,15.1,228.01,14.0,1,1,0,0,1,0,39.8,2.0535533101705026,83.7,34.4,4,33.6,2,2,-0.1,14.64,2.6837
8.0,29.0,13.1,171.60999999999999,4.7,1,0,0,0,1,0,39.7,4.293388329635001,50.4,42.8,4,7.6,4,5,15.3,12.38,2.5158
15.0,45.0,27.2,739.8399999999999,7.6,1,1,1,1,0,1,35.3,5.625327585778321,59.9,49.4,2,31.1,1,1,10.8,32.88,3.4927
13.0,27.0,4.5,20.25,3.3,1,0,1,1,0,0,42.0,3.5319059989376225,73.8,60.7,0,57.1,4,0,3.4,19.55,2.9729
13.0,50.0,30.7,942.49,16.9,1,1,0,1,0,1,34.9,4.711051752544267,76.7,61.8,1,36.2,3,1,3.6,31.23,3.4413
11.0,39.0,24.2,585.64,15.0,1,0,0,1,1,0,35.7,5.3657093957284605,72.3,29.5,2,9.6,5,3,14.6,38.79,3.658
14.0,38.0,18.7,349.69,13.3,0,1,0,1,0,0,33.1,6.835691044676242,52.0,29.5,1,36.9,2,2,9.4,29.41,3.3814
11.0,31.0,12.8,163.84000000000003,10.6,0,1,0,1,0,0,47.3,4.435913269858761,82.2,24.2,5,29.7,4,2,6.6,33.34,3.5068
13.0,33.0,14.0,196.0,11.3,1,1,0,1,0,0,37.8,5.499481876263795,68.3,71.5,2,18.1,2,2,9.9,22.44,3.1109
10.0,27.0,12.3,151.29000000000002,6.8,1,1,0,0,0,0,35.9,5.228659385348169,52.4,45.9,1,15.9,1,2,8.4,12.07,2.4904
10.0,32.0,17.8,316.84000000000003,4.4,0,1,0,1,0,0,45.5,4.620937626674646,82.2,53.8,8,29.8,6,0,2.0,22.99,3.135
17.0,43.0,18.7,349.69,12.9,0,0,1,1,0,0,38.6,4.101066791641453,68.4,50.5,2,0.0,2,1,16.0,57.25,4.0475
12.0,37.0,20.1,404.01000000000005,4.9,0,0,0,1,1,0,42.9,5.0291693631246455,48.2,23.2,1,41.8,6,2,13.0,22.95,3.1333
