TxnNo,ProductCode,Description,Quantity,TxnDate,UnitAmount,CustomerID,Region
536660,FEE100,MONTHLY SERVICE FEE,1,22.02.2011 15:32,37.74,41039.0,New York Metro
552673,DDA200,CHECKING DEBIT CARD,1,24.02.2011 16:45,6.66,43420.0,California
538411,DDA100,CHECKING DEPOSIT,1,09.08.2011 20:41,121.44,,Northeast
550758,WIR200,WIRE OUT,1,04.10.2011 16:45,55.85,42885.0,Northeast
544102,DDA101,CHECKING ACH CREDIT,2,23.12.2010 05:59,102.39,,Midwest
553350,DDA100,CHECKING DEPOSIT,3,07.01.2011 16:45,4.99,43878.0,Texas
536701,ATM100,ATM WITHDRAWAL,1,13.08.2011 12:53,35.56,41041.0,New York Metro
538600,FEE100,MONTHLY SERVICE FEE,1,29.05.2011 18:19,448.67,41141.0,New York Metro
552398,SAV100,SAVINGS DEPOSIT,1,23.01.2011 16:45,15.18,43236.0,New York Metro
538204,DDA101,CHECKING ACH CREDIT,1,04.04.2011 00:36,84.91,,Northeast
539414,SAV200,SAVINGS TRANSFER,3,10.09.2011 06:44,18.29,41189.0,Southeast
546299,FEE100,MONTHLY SERVICE FEE,1,15.11.2011 10:23,26.37,41619.0,Northeast
541912,SAV100,SAVINGS DEPOSIT,1,15.11.2011 05:06,264.01,,Carolinas
551592,CCD100,CARD PURCHASE,5,06.07.2011 11:53,4.5,,Midwest
553774,DDA100,CHECKING DEPOSIT,1,18.03.2011 16:45,8.96,44154.0,Mountain
549147,SAV100,SAVINGS DEPOSIT,1,13.09.2011 16:03,86.53,42544.0,Northeast
543811,FEE100,MONTHLY SERVICE FEE,1,21.10.2011 10:09,78.7,41442.0,New York Metro
539631,SAV200,SAVINGS TRANSFER,1,20.12.2010 08:34,175.3,41202.0,New York Metro
550066,DDA101,CHECKING ACH CREDIT,1,16.09.2011 12:57,111.58,,California
536009,SAV200,SAVINGS TRANSFER,2,13.11.2011 20:40,60.59,41000.0,Texas
545356,DDA101,CHECKING ACH CREDIT,1,30.11.2011 16:45,41.73,41530.0,West
550789,ACH100,ACH PAYROLL,1,21.06.2011 03:16,72.0,42893.0,Southwest
548788,FEE100,MONTHLY SERVICE FEE,1,21.05.2011 19:42,132.03,42460.0,California
540546,POS100,POS PURCHASE,1,30.08.2011 03:48,49.7,41258.0,New York Metro
541479,ATM100,ATM WITHDRAWAL,1,23.11.2011 16:45,94.87,41310.0,California
540410,DDA100,CHECKING DEPOSIT,1,02.11.2011 18:53,176.57,41250.0,Southeast
546897,CCD200,CARD PAYMENT,1,23.10.2011 00:57,39.02,41856.0,Southeast
538035,FEE100,MONTHLY SERVICE FEE,1,23.03.2011 23:28,60.44,41112.0,New York Metro
544367,SAV100,SAVINGS DEPOSIT,1,24.08.2011 07:57,73.5,41475.0,Texas
553368,WIR100,WIRE IN,1,25.04.2011 16:45,24.16,43889.0,Texas
548851,FEE100,MONTHLY SERVICE FEE,1,31.05.2011 02:03,98.49,42475.0,Pacific NW
548617,DDA100,CHECKING DEPOSIT,1,01.02.2011 02:06,108.3,42425.0,New York Metro
546930,SAV100,SAVINGS DEPOSIT,1,01.12.2011 16:45,145.67,,Midwest
546637,WIR100,WIRE IN,5,01.12.2011 02:37,5.96,41750.0,Southeast
551748,CCD200,CARD PAYMENT,1,21.09.2011 16:45,70.65,43097.0,New York Metro
540777,SAV100,SAVINGS DEPOSIT,1,05.08.2011 18:50,53.64,41270.0,Mountain
543066,ACH200,ACH BILL PAY,1,07.08.2011 21:56,75.37,,California
551618,ATM100,ATM WITHDRAWAL,1,29.04.2011 00:16,149.78,43069.0,Southwest
554044,ATM100,ATM WITHDRAWAL,1,19.01.2011 16:45,19.47,,California
548474,DDA101,CHECKING ACH CREDIT,1,12.04.2011 13:41,77.12,,California
541153,FEE100,MONTHLY SERVICE FEE,1,26.06.2011 14:59,295.77,41293.0,New York Metro
540532,INT100,INTEREST CREDIT,5,25.02.2011 05:43,10.37,41257.0,Mid-Atlantic
553986,SAV200,SAVINGS TRANSFER,1,24.05.2011 11:16,29.57,44291.0,California
538990,WIR100,WIRE IN,3,23.11.2011 16:45,19.49,41163.0,Southeast
546694,DDA200,CHECKING DEBIT CARD,1,23.10.2011 11:08,55.33,41773.0,New York Metro
547958,CCD200,CARD PAYMENT,1,14.11.2011 14:57,24.98,42283.0,California
547351,SAV200,SAVINGS TRANSFER,1,25.10.2011 09:48,42.89,42043.0,Northeast
536991,WIR200,WIRE OUT,3,09.05.2011 19:04,27.51,41056.0,Southeast
554115,DDA101,CHECKING ACH CREDIT,1,14.12.2010 23:46,31.57,44373.0,Texas
552774,INT100,INTEREST CREDIT,1,30.06.2011 16:45,19.95,43486.0,Northeast
541878,ACH100,ACH PAYROLL,1,29.09.2011 18:27,117.49,41333.0,Southeast
548697,DDA200,CHECKING DEBIT CARD,1,03.02.2011 06:51,74.9,,New York Metro
543208,WIR200,WIRE OUT,1,07.02.2011 02:59,70.07,41407.0,New York Metro
536984,SAV100,SAVINGS DEPOSIT,1,22.01.2011 23:24,114.14,41055.0,California
538742,DDA100,CHECKING DEPOSIT,1,19.11.2011 16:45,53.61,41148.0,Northeast
547036,CCD100,CARD PURCHASE,1,19.09.2011 09:10,24.29,41912.0,Midwest
536444,ACH200,ACH BILL PAY,1,31.12.2010 12:54,174.99,41026.0,Carolinas
550438,FEE100,MONTHLY SERVICE FEE,1,20.06.2011 16:56,39.74,42815.0,New York Metro
536805,FEE100,MONTHLY SERVICE FEE,2,01.01.2011 22:30,81.8,41046.0,Midwest
539193,DDA200,CHECKING DEBIT CARD,1,19.02.2011 23:06,16.2,41176.0,Northeast
539218,INT100,INTEREST CREDIT,1,11.05.2011 10:40,74.17,,West
541905,SAV200,SAVINGS TRANSFER,5,19.08.2011 23:32,18.89,41334.0,Northeast
542029,DDA200,CHECKING DEBIT CARD,1,23.06.2011 07:12,5992.51,41342.0,Florida
539586,DDA200,CHECKING DEBIT CARD,1,30.09.2011 18:58,768.43,41200.0,California
552004,WIR100,WIRE IN,1,30.01.2011 07:46,70.38,,Mountain
552412,FEE100,MONTHLY SERVICE FEE,1,15.07.2011 16:45,26.53,43246.0,New York Metro
540001,WIR200,WIRE OUT,1,15.06.2011 03:40,21.55,41224.0,Pacific NW
540518,FEE100,MONTHLY SERVICE FEE,1,17.02.2011 12:52,186.51,41256.0,Northeast
539705,POS100,POS PURCHASE,1,08.07.2011 15:39,105.31,,New York Metro
538971,CCD100,CARD PURCHASE,1,29.03.2011 02:13,128.32,41162.0,New York Metro
553686,SAV100,SAVINGS DEPOSIT,1,06.07.2011 16:45,14.64,44099.0,California
547649,ACH100,ACH PAYROLL,1,12.11.2011 16:45,32.64,42159.0,Great Lakes
550906,WIR100,WIRE IN,1,17.10.2011 16:45,54.71,42919.0,New York Metro
548687,CCD100,CARD PURCHASE,1,24.02.2011 01:35,37.2,42439.0,Texas
548165,ACH100,ACH PAYROLL,1,13.09.2011 16:45,45.54,42331.0,Florida
543742,CCD200,CARD PAYMENT,1,17.10.2011 21:57,428.68,41439.0,Northeast
549906,SAV200,SAVINGS TRANSFER,1,29.01.2011 00:32,171.55,,Southeast
548305,POS100,POS PURCHASE,1,04.05.2011 02:34,64.26,,West
552357,CCD100,CARD PURCHASE,1,14.08.2011 08:49,56.29,43224.0,New York Metro
551510,INT100,INTEREST CREDIT,1,04.07.2011 00:09,31.24,43049.0,Northeast
553613,DDA200,CHECKING DEBIT CARD,1,04.05.2011 16:45,19.83,44052.0,Texas
552420,WIR100,WIRE IN,1,17.02.2011 16:45,24.98,43251.0,West
548174,INT100,INTEREST CREDIT,1,24.06.2011 00:11,70.36,,Northeast
539271,DDA101,CHECKING ACH CREDIT,2,06.11.2011 06:12,392.53,41182.0,Texas
537389,ACH200,ACH BILL PAY,2,30.11.2011 16:45,12.28,,Northeast
538598,SAV200,SAVINGS TRANSFER,1,29.09.2011 14:54,52.95,41141.0,New York Metro
552152,DDA100,CHECKING DEPOSIT,1,03.05.2011 02:42,12.64,43183.0,Carolinas
541187,DDA101,CHECKING ACH CREDIT,1,05.03.2011 13:14,45.39,41295.0,West
546544,DDA101,CHECKING ACH CREDIT,1,20.11.2011 16:45,48.96,41714.0,California
548175,ACH200,ACH BILL PAY,1,27.07.2011 10:28,40.46,42333.0,Northeast
548721,FEE100,MONTHLY SERVICE FEE,1,02.09.2011 19:30,36.78,42446.0,Southeast
553754,DDA200,CHECKING DEBIT CARD,3,08.01.2011 06:42,9.99,44142.0,New York Metro
545329,ACH100,ACH PAYROLL,1,09.10.2011 17:40,81.91,,Northeast
551236,ACH200,ACH BILL PAY,2,16.04.2011 03:07,21.26,,Florida
R538015,DDA100,CHECKING DEPOSIT,-1,03.07.2011 20:31,111.1,41111.0,Florida
540940,DDA101,CHECKING ACH CREDIT,1,21.09.2011 11:42,70.57,41279.0,New York Metro
539935,ACH100,ACH PAYROLL,1,27.09.2011 18:08,210.29,41221.0,Pacific NW
539331,INT100,INTEREST CREDIT,1,30.11.2011 14:36,27.49,,Texas
551956,INT100,INTEREST CREDIT,1,15.05.2011 13:10,79.33,43145.0,Mid-Atlantic
551061,ACH100,ACH PAYROLL,1,22.02.2011 05:34,38.82,42954.0,New York Metro
548760,FEE100,MONTHLY SERVICE FEE,1,14.10.2011 16:45,19.38,42454.0,Northeast
536945,CCD200,CARD PAYMENT,1,07.02.2011 11:58,514.0,,New York Metro
549499,DDA101,CHECKING ACH CREDIT,1,19.08.2011 16:45,157.65,42617.0,Northeast
546899,WIR200,WIRE OUT,1,05.10.2011 13:34,23.52,41856.0,Southeast
551984,POS100,POS PURCHASE,1,23.05.2011 02:11,61.68,43151.0,Florida
542610,DDA200,CHECKING DEBIT CARD,1,22.09.2011 08:55,31.27,41373.0,Florida
553617,CCD100,CARD PURCHASE,1,03.05.2011 16:45,13.86,44055.0,West
545155,ACH200,ACH BILL PAY,1,17.05.2011 22:53,36.8,41518.0,New York Metro
541088,FEE100,MONTHLY SERVICE FEE,1,05.07.2011 00:29,126.27,41288.0,Midwest
546781,SAV100,SAVINGS DEPOSIT,1,27.11.2011 16:45,70.55,41810.0,California
545209,WIR200,WIRE OUT,1,03.01.2011 21:25,139.45,41522.0,New York Metro
547092,SAV200,SAVINGS TRANSFER,1,14.09.2011 19:20,23.97,41935.0,Florida
539892,CCD200,CARD PAYMENT,1,21.03.2011 19:34,38.32,41219.0,New York Metro
550423,DDA200,CHECKING DEBIT CARD,1,01.09.2011 16:45,59.19,42811.0,Midwest
540866,SAV100,SAVINGS DEPOSIT,1,22.11.2011 16:45,846.7,41274.0,Northeast
540375,WIR100,WIRE IN,1,26.02.2011 03:37,45.63,41248.0,New York Metro
540830,DDA100,CHECKING DEPOSIT,1,25.09.2011 13:24,147.91,,Northeast
537288,WIR100,WIRE IN,1,15.05.2011 04:40,1725.29,,Northeast
540351,SAV200,SAVINGS TRANSFER,1,13.04.2011 12:17,86.05,41247.0,Northeast
552830,WIR200,WIRE OUT,1,01.08.2011 16:45,18.78,43522.0,New York Metro
538928,POS100,POS PURCHASE,1,25.06.2011 12:12,202.73,41159.0,Northeast
537150,FEE100,MONTHLY SERVICE FEE,2,05.04.2011 08:16,226.8,,Northeast
540939,ACH100,ACH PAYROLL,2,21.08.2011 09:42,136.08,41279.0,New York Metro
553083,INT100,INTEREST CREDIT,1,05.05.2011 16:45,18.19,43699.0,Southeast
550217,CCD100,CARD PURCHASE,1,31.01.2011 10:11,338.35,,West
539624,POS100,POS PURCHASE,1,15.03.2011 00:53,102.09,41202.0,New York Metro
539101,DDA100,CHECKING DEPOSIT,1,14.08.2011 19:55,34.35,41170.0,Northeast
544566,CCD100,CARD PURCHASE,1,28.05.2011 16:36,214.22,,Southeast
549413,SAV200,SAVINGS TRANSFER,1,27.04.2011 06:36,30.87,42600.0,Northeast
552118,DDA200,CHECKING DEBIT CARD,1,14.08.2011 14:12,75.62,,New England
549808,FEE100,MONTHLY SERVICE FEE,1,01.07.2011 03:51,60.48,,Southwest
552320,DDA101,CHECKING ACH CREDIT,3,30.01.2011 14:29,16.19,43216.0,Pacific NW
538310,FEE100,MONTHLY SERVICE FEE,1,24.02.2011 00:36,52.36,41127.0,California
549563,ACH100,ACH PAYROLL,1,01.02.2011 00:50,34.7,42629.0,New York Metro
538587,INT100,INTEREST CREDIT,1,29.08.2011 13:24,28.61,41141.0,New York Metro
543279,CCD200,CARD PAYMENT,1,07.06.2011 00:19,22.41,41411.0,West
540128,DDA100,CHECKING DEPOSIT,1,13.04.2011 16:04,1165.9,41232.0,California
537265,DDA200,CHECKING DEBIT CARD,2,22.10.2011 01:26,84.01,41070.0,Mid-Atlantic
552494,POS100,POS PURCHASE,1,22.02.2011 16:45,19.49,43302.0,Midwest
549828,DDA200,CHECKING DEBIT CARD,1,19.07.2011 10:28,44.09,42685.0,New York Metro
540790,DDA100,CHECKING DEPOSIT,1,29.05.2011 12:01,167.71,41270.0,Mountain
542161,INT100,INTEREST CREDIT,1,08.12.2011 18:51,75.06,41349.0,Midwest
541227,ACH100,ACH PAYROLL,1,11.02.2011 15:13,81.8,41297.0,Southeast
538372,ACH100,ACH PAYROLL,1,11.03.2011 12:21,678.22,41130.0,Southeast
542956,ATM100,ATM WITHDRAWAL,1,08.12.2011 03:05,255.74,,New York Metro
553726,FEE100,MONTHLY SERVICE FEE,1,25.12.2010 14:39,13.31,,Southwest
542046,SAV200,SAVINGS TRANSFER,1,09.05.2011 05:39,795.87,41343.0,New York Metro
R536507,WIR200,WIRE OUT,-1,16.06.2011 20:43,21.36,41029.0,Northeast
543383,ACH200,ACH BILL PAY,2,17.11.2011 16:45,157.95,41416.0,West
544998,POS100,POS PURCHASE,1,02.07.2011 04:11,58.16,41509.0,California
548068,DDA200,CHECKING DEBIT CARD,1,21.07.2011 02:16,38.23,42312.0,Florida
536161,FEE100,MONTHLY SERVICE FEE,1,25.11.2011 16:45,145.38,41007.0,Southwest
546636,DDA200,CHECKING DEBIT CARD,1,27.11.2011 16:45,46.28,41749.0,Northeast
544785,INT100,,1,16.11.2011 05:26,146.26,,Mid-Atlantic
543039,CCD200,CARD PAYMENT,3,22.11.2011 16:30,67.06,41397.0,Northeast
540430,DDA200,CHECKING DEBIT CARD,1,09.03.2011 18:08,130.66,41251.0,New York Metro
537459,DDA100,CHECKING DEPOSIT,1,04.05.2011 18:12,76.18,,Southeast
543106,SAV100,SAVINGS DEPOSIT,1,01.04.2011 01:23,44.63,,New York Metro
544790,DDA101,CHECKING ACH CREDIT,1,18.06.2011 14:00,624.24,41498.0,New York Metro
542705,INT100,INTEREST CREDIT,1,10.10.2011 05:40,481.41,41379.0,Texas
546710,DDA200,CHECKING DEBIT CARD,1,17.11.2011 16:45,27.63,41781.0,West
551374,DDA101,CHECKING ACH CREDIT,1,22.06.2011 23:43,87.88,43020.0,Pacific NW
539885,WIR100,WIRE IN,1,24.07.2011 09:33,251.53,41219.0,New York Metro
550511,WIR200,WIRE OUT,1,18.08.2011 16:45,71.35,42829.0,Southeast
540618,CCD100,CARD PURCHASE,1,23.12.2010 09:39,150.67,41261.0,California
543592,FEE100,MONTHLY SERVICE FEE,3,29.11.2011 08:13,23.2,41431.0,Northeast
553517,FEE100,MONTHLY SERVICE FEE,1,16.05.2011 16:45,20.42,,Midwest
540188,CCD100,CARD PURCHASE,1,25.07.2011 17:17,275.95,41235.0,West
539433,DDA101,CHECKING ACH CREDIT,1,02.02.2011 20:06,156.75,41191.0,West
537637,INT100,INTEREST CREDIT,1,25.11.2011 16:45,169.04,41091.0,New York Metro
549716,INT100,INTEREST CREDIT,1,24.08.2011 15:14,42.2,42660.0,Midwest
538712,INT100,INTEREST CREDIT,1,07.09.2011 03:30,48.36,41147.0,West
544559,CCD200,CARD PAYMENT,1,28.07.2011 15:12,830.16,,Southeast
548299,ACH100,ACH PAYROLL,1,20.08.2011 16:45,47.39,42358.0,Southwest
549353,SAV100,SAVINGS DEPOSIT,2,20.06.2011 09:58,35.35,42586.0,Northeast
545320,CCD200,CARD PAYMENT,1,16.02.2011 20:04,80.36,41528.0,Florida
