CollectionId,CollectionDate,Region,WasteType,CollectionMethod,VehicleType,FuelType,RouteDistanceKm,RouteDurationMin,FuelUsedLiters,HouseholdsServed,BinsCollected,NumberOfBinsPerHousehold,PopulationDensity,AverageHouseholdIncomeUSD,EstimatedWeightKg,WeightCollectedKg,ContaminationRatePct,DiversionRatePct,MissedCollections,CostUSD,CO2EmissionsKg
62C7CD60-3D23-4589-9937-F06A71035C38,2023-05-13,South,Household,Curbside,Compactor,Diesel,220.0,398.3,117.83,64,56,3,1332.1,47747.0,1112.5,1066.7,0.0,9.07,1,630.63,315.79
D079EDFF-F897-4828-81C7-679AE89DBC37,2022-08-12,South,Recyclable,Curbside,RecyclingTruck,Diesel,220.0,469.8,100.46,83,80,4,2112.4,31108.0,513.9,510.8,21.05,70.7,0,648.83,269.24
CD6EE7B2-FC1D-4244-9181-E94DAA7BEBE3,2022-04-25,West,Household,Curbside,Compactor,CNG,220.0,494.1,102.56,64,64,1,1566.2,52051.0,844.6,907.2,3.55,12.98,0,679.66,194.86
5CBD47A9-EC77-4506-A44C-A4F41FBDEB1E,2024-09-09,East,Recyclable,Curbside,RecyclingTruck,CNG,220.0,512.7,78.65,165,152,2,2586.2,48153.0,1246.6,1080.7,17.6,72.61,1,627.35,149.44
54472AF6-529B-410B-AE8E-94985DA1FFBD,2021-11-08,East,Household,Curbside,Compactor,Diesel,220.0,480.3,79.66,96,94,2,2559.3,51049.0,1281.1,1392.2,0.0,19.51,0,670.05,213.5
D725AFA3-F129-4013-B8B5-E50B7B66C845,2021-03-01,North,Household,Curbside,Compactor,CNG,220.0,503.9,93.58,49,48,1,1370.7,62121.0,581.1,601.5,1.64,11.15,0,697.39,177.8
128149A6-9153-4371-ABDF-1C8DC73D7C97,2022-04-03,West,Household,Curbside,Compactor,CNG,220.0,532.3,70.54,105,99,3,1949.5,37722.0,1514.4,1377.2,0.0,26.12,3,682.19,134.03
FEE972EA-6D58-4A64-883C-1B7F0B81C52A,2024-09-04,West,Household,Curbside,Compactor,Diesel,220.0,588.2,111.44,63,64,1,1222.5,58723.0,946.8,519.6,6.35,15.74,2,821.37,298.65
89464E74-C308-471F-A66E-489E16A56D8A,2023-09-17,East,Household,Commercial,Compactor,Electric,220.0,423.6,0.0,47,48,3,1767.4,59222.0,547.3,569.4,0.0,22.48,0,503.86,0.0
7BCD67D0-ADBC-4A30-A54A-F5EC4D18ACA4,2024-07-06,South,Household,Curbside,Compactor,Diesel,220.0,539.3,107.77,64,61,1,2260.4,33134.0,1021.2,1143.7,6.61,12.34,0,734.33,288.81
BDA8327E-E23A-4F30-A048-53A26241285B,2021-03-24,Central,Recyclable,Curbside,RecyclingTruck,CNG,220.0,446.2,73.11,169,158,2,5223.6,49594.0,1050.3,850.3,29.7,64.88,0,604.24,138.9
C74B6F53-6D11-4E9C-80D9-ABC652278718,2021-12-06,North,Household,Curbside,Compactor,Diesel,220.0,508.7,99.32,156,142,1,2190.8,44845.0,1948.3,2020.6,4.25,9.23,1,719.65,266.18
1122A03D-2489-4C8A-AD63-C7F83F5A9234,2023-03-10,West,Household,Curbside,Compactor,Diesel,220.0,518.9,71.65,39,40,1,1440.6,51487.0,495.4,506.4,7.0,5.97,0,684.18,192.03
6B10EF0A-66CA-4F28-B97D-D9F6115C0B22,2021-06-19,Central,Recyclable,Curbside,RecyclingTruck,Diesel,181.32,449.7,87.96,234,217,2,8020.4,77450.0,1569.0,1605.2,22.14,66.86,2,627.62,235.73
5425F830-7D95-4ED9-822F-889DA6C0AA65,2024-11-29,East,Recyclable,DropOff,RecyclingTruck,Diesel,181.93,504.9,70.49,136,134,2,3433.4,70137.0,787.0,731.3,23.74,78.37,2,671.95,188.91
C8261383-FABF-4161-9BD6-4A9F1665AACF,2021-03-16,West,Recyclable,Curbside,RecyclingTruck,Diesel,220.0,451.0,83.33,84,75,2,1692.7,71987.0,757.7,661.7,24.76,71.52,2,654.58,223.33
7C7BB7AC-6635-485F-95FA-2E104BDC208B,2024-04-14,North,Organic,Curbside,Compactor,Diesel,220.0,570.3,103.85,72,67,3,1557.8,77169.0,729.0,708.7,11.65,61.31,0,746.87,278.33
14AE2C70-C5D7-40BE-8B7F-7ED3859FC844,2023-04-28,Central,Recyclable,Curbside,Compactor,Electric,101.83,373.0,0.0,477,496,1,12306.0,72471.0,3738.1,3659.1,24.86,66.69,1,416.4,0.0
925F3DC7-666A-4305-8E7A-D8D30C5F89A2,2024-01-10,West,Organic,Curbside,Compactor,CNG,220.0,582.1,91.32,92,80,4,2165.1,60228.0,993.6,967.4,8.17,80.88,4,786.31,173.51
9660424A-36C6-471B-92DB-F059D5E37AE6,2021-03-12,Central,Household,Curbside,Compactor,Diesel,220.0,598.5,87.27,152,135,1,3850.7,61619.0,1989.4,1860.3,0.0,20.82,1,761.8,233.88
F1972C14-4FC4-4BF2-A042-D9FA9D44841B,2023-03-14,Central,Household,Curbside,Compactor,Diesel,85.06,229.0,41.66,261,263,2,10259.8,45376.0,3362.1,3690.4,2.98,14.75,1,318.35,111.65
83BD6E27-2B84-484A-BB7A-59E67629484E,2024-03-18,East,Household,Curbside,Compactor,Diesel,220.0,557.0,88.22,101,97,1,2648.4,70164.0,1623.3,1544.5,6.41,5.76,1,746.32,236.44
26C0F6D2-24EF-49A6-9FB5-D2001B138113,2024-05-18,North,Household,Curbside,VacuumTruck,Diesel,220.0,485.8,114.32,73,74,4,1761.6,35755.0,875.9,852.2,7.74,12.08,2,732.46,306.39
FE455B05-411D-4243-B574-41DA33F26FC6,2022-02-05,South,Recyclable,Curbside,RecyclingTruck,Diesel,220.0,493.2,84.74,62,56,1,1291.5,67703.0,596.3,411.5,24.45,71.95,1,684.44,227.11
7F4984EF-1BBA-434E-9866-126C80F55B0C,2021-08-12,Central,Construction,Commercial,Compactor,CNG,220.0,592.8,69.89,298,262,2,4371.5,89449.0,22801.9,23801.8,8.75,49.95,2,742.42,132.8
F45B13E4-3D57-4645-9785-458EB2790EA2,2023-06-25,Central,Organic,Curbside,Compactor,Diesel,220.0,545.3,109.77,331,347,3,6375.0,85402.0,3355.3,2969.7,4.7,83.12,1,753.28,294.18
AAEDA62F-1D30-4DA4-8FBA-70FE598B64C0,2023-03-14,South,Household,Curbside,Compactor,Diesel,220.0,406.1,116.5,82,70,1,2195.8,71493.0,1267.5,1355.4,2.24,11.32,0,647.25,312.23
BD8C400B-9B46-430A-BACE-765AAADC254C,2024-07-19,West,Organic,Curbside,Compactor,Diesel,220.0,420.8,120.98,75,71,1,1743.9,53697.0,692.0,613.3,20.61,63.65,1,708.05,324.24
27AB25A7-458B-4BDD-AEA2-C13B6C8209A5,2021-08-24,West,Organic,Curbside,Compactor,Diesel,220.0,600.9,110.53,64,63,4,1313.6,47883.0,480.3,463.7,16.93,72.31,1,792.99,296.23
54D2FBB8-54DA-41BA-A9DD-F5BBF4C82008,2022-12-25,Central,Household,Curbside,VacuumTruck,Diesel,143.4,423.2,71.93,283,289,2,9337.1,72697.0,3425.0,3354.9,0.0,26.99,0,585.17,192.77
EBA8961B-354F-4CEA-AB18-76014E33651A,2023-12-12,West,Household,DropOff,Compactor,Electric,220.0,500.8,0.0,62,54,1,1096.0,39995.0,847.4,866.7,8.44,8.76,2,594.9,0.0
208E30B8-B45A-43B3-82C2-5AC7BCAD303B,2024-09-17,West,Recyclable,DropOff,RecyclingTruck,CNG,220.0,583.2,84.77,43,43,1,1045.9,28568.0,209.1,195.9,32.78,72.36,0,702.98,161.05
2B0B74BC-C994-4BE8-BE91-BE6A41AF3A40,2021-01-15,West,Household,Curbside,Compactor,Diesel,220.0,481.1,70.82,60,58,2,1347.0,47864.0,802.0,798.3,0.13,18.07,1,675.16,189.78
ACCD41C3-4095-4A1C-B8AD-39114ACB968B,2022-12-24,Central,Household,Curbside,Compactor,CNG,220.0,474.5,78.03,229,219,1,7872.7,70753.0,3092.3,3130.5,5.53,9.47,1,639.63,148.26
4EC8F673-864D-4435-87B9-184A5AFFF971,2023-05-06,Central,Organic,Curbside,Compactor,CNG,220.0,575.0,62.45,336,305,2,5993.0,61769.0,2685.7,2531.3,15.95,76.08,3,760.69,118.66
E8BE93FC-2A97-4F69-BBFE-57D9C018A442,2023-07-17,South,Hazardous,Commercial,FlatbedContainer,Diesel,220.0,469.3,92.51,68,60,2,1400.7,49193.0,312.0,309.1,3.61,3.79,2,706.26,247.93
85F9C7A7-C9B6-4CFA-815E-8AAFFC0505E1,2021-01-17,West,Recyclable,DropOff,RecyclingTruck,Diesel,220.0,531.1,105.19,81,82,1,1729.9,41660.0,681.7,671.9,26.64,59.08,0,744.82,281.91
CA2F6C4D-7661-4C07-98E2-8A9EBF839929,2024-03-12,Central,Organic,Curbside,Compactor,Diesel,98.0,270.1,37.02,165,147,5,6111.6,83332.0,1920.1,1952.9,6.53,79.78,1,394.88,99.21
584B0099-5799-417E-BFF2-3F164C03D783,2023-03-30,East,Organic,Curbside,Compactor,Diesel,220.0,620.4,120.94,222,191,3,3659.0,46943.0,2089.5,1969.9,14.64,56.95,1,870.73,324.13
3E612EA2-79C4-411C-BC9A-59DFB316CD33,2024-04-15,South,Household,Curbside,Compactor,Diesel,220.0,592.3,82.39,55,58,2,2237.2,42479.0,689.5,738.5,3.28,21.0,0,768.57,220.79
36D1AA75-1759-4A3C-BB55-2ABF848E2F4A,2023-07-15,West,Household,Commercial,Compactor,Diesel,220.0,565.1,73.49,29,29,2,1086.3,65179.0,528.1,490.9,4.7,14.76,5,775.06,196.96
FF26C31B-B8C4-42CA-940F-874A5983FAB6,2024-03-04,West,Organic,DropOff,Compactor,Diesel,220.0,551.6,110.57,124,126,2,1931.6,37420.0,1422.4,1408.9,19.81,72.92,2,803.71,296.32
09C43992-4631-491A-9C6A-4DD0F24789D6,2023-07-05,Central,Recyclable,DropOff,RecyclingTruck,Diesel,220.0,418.8,98.78,207,197,4,5739.6,64061.0,1487.1,1583.0,13.29,88.54,0,630.0,264.72
D8D2A524-0835-4191-9363-5EB454412520,2022-07-14,North,Household,DropOff,Compactor,Diesel,220.0,425.7,118.52,103,91,1,2820.4,60155.0,1578.4,1755.2,2.7,17.92,0,653.3,317.62
B6EC263A-DA0E-4CEF-BA33-CE8850534627,2024-09-16,West,Household,Curbside,Compactor,Electric,220.0,572.6,0.0,70,61,1,1300.8,36635.0,1087.3,1007.5,0.0,7.85,1,683.1,0.0
C41EEF7A-48EA-4E07-A80C-D1D56F5D3E4A,2022-02-18,North,Household,Curbside,Compactor,Electric,220.0,484.7,0.0,79,73,2,1754.6,50326.0,1226.8,1243.3,1.19,19.35,0,615.33,0.0
B151AFF9-329E-4DF2-A2DB-BD18026DF536,2023-11-12,South,Hazardous,Commercial,VacuumTruck,Diesel,220.0,573.9,78.1,88,90,4,1578.4,37210.0,310.1,287.4,1.39,9.64,1,790.7,209.3
EBEB0BB2-1B07-44AB-87A6-98E4F494B147,2024-07-17,Central,Household,Curbside,VacuumTruck,Diesel,220.0,625.5,100.2,422,432,5,6208.3,119830.0,6507.3,6874.1,0.0,36.18,1,845.0,268.52
6E5B8BD5-DB8B-4233-8F3C-4B0340352C18,2021-12-10,East,Recyclable,DropOff,RecyclingTruck,CNG,155.86,443.1,51.5,162,153,2,3433.6,88533.0,1006.3,996.3,14.66,79.18,1,576.93,97.86
F77A8A7F-6FD2-4867-9BCD-A9758F7D8A43,2023-12-07,North,Recyclable,DropOff,RecyclingTruck,Diesel,220.0,535.4,104.87,91,88,3,2419.5,69754.0,648.9,690.0,22.44,77.19,3,759.29,281.05
091521A3-0133-4962-B682-8CEB8F905BCE,2022-03-22,Central,Hazardous,Commercial,VacuumTruck,Diesel,202.28,402.2,101.72,139,125,4,7836.7,42660.0,471.3,484.1,2.21,19.81,2,652.62,272.62
BBD6D1D9-5B2F-4846-A400-6C3476D3F120,2022-10-21,Central,Household,Curbside,Compactor,Diesel,132.33,397.9,71.02,368,317,3,5872.0,66749.0,7282.8,7324.2,3.96,35.41,0,554.57,190.33
0E9C9C55-B138-4995-BBB0-9D07CD4646BD,2023-01-17,East,Recyclable,Curbside,RecyclingTruck,CNG,220.0,459.2,88.22,78,68,2,2275.1,89021.0,495.8,481.7,17.92,69.87,2,641.65,167.63
061913E5-B30E-40EE-BA00-72B87CFE97AC,2022-05-20,South,Household,DropOff,Compactor,Diesel,220.0,498.3,108.99,123,110,2,2639.6,44233.0,1790.8,1852.8,2.86,12.19,2,723.94,292.08
EAECA504-AEBB-401C-931D-C8CFEC20C83D,2022-04-15,East,Recyclable,Curbside,RecyclingTruck,Diesel,220.0,634.4,79.73,149,153,2,2688.5,55742.0,1072.6,1119.6,21.24,66.91,1,804.31,213.67
880E2EA1-30CB-4569-950A-1EF30D1E332A,2022-08-07,Central,Recyclable,Curbside,RecyclingTruck,Diesel,155.49,560.9,72.84,442,436,1,11970.5,79427.0,2909.0,2838.7,21.62,77.8,1,692.03,195.21
05C67FDC-9E45-40C3-888A-A27C42AAC409,2024-01-08,Central,Organic,Curbside,Compactor,Diesel,220.0,467.6,84.36,142,122,3,6631.8,83781.0,1165.4,1139.3,11.85,71.92,3,687.36,226.08
37DACA3D-48CB-4416-9D04-F6D0A8C9C425,2022-04-05,Central,Recyclable,Curbside,RecyclingTruck,Electric,220.0,447.4,0.0,278,255,2,7717.3,116479.0,2035.0,2268.7,16.7,85.55,1,590.05,0.0
7EBA96B7-FB93-45C8-BA1C-1C706FDBB12C,2021-12-26,South,Household,Curbside,VacuumTruck,CNG,220.0,420.5,86.31,66,64,2,1671.9,38578.0,972.7,905.7,4.66,15.88,1,640.01,164.0
1851CEB4-44FD-4B4B-BE77-80BDD04C6DC5,2022-01-13,East,Household,Curbside,Compactor,CNG,220.0,462.8,100.98,260,227,3,3621.5,65067.0,3542.2,3422.4,0.63,24.25,2,647.47,191.86
188C75BC-08C0-470D-BADF-E001102EC71A,2023-09-11,West,Household,Curbside,Compactor,CNG,220.0,515.3,68.1,75,72,2,1342.3,38984.0,829.2,659.5,3.81,14.74,1,665.8,129.4
0DC31463-7216-43F6-A659-C55501A5BBEA,2021-06-07,North,Organic,DropOff,Compactor,CNG,220.0,544.9,97.6,73,77,2,1844.9,110565.0,613.4,602.2,10.77,79.57,0,712.61,185.44
DC1578FB-F384-4ED1-8AEE-30176D6A13EA,2024-05-02,North,Recyclable,Curbside,RecyclingTruck,Electric,220.0,473.5,0.0,61,63,4,1790.1,36211.0,458.8,494.5,22.37,74.03,2,608.32,0.0
37BC2BB4-8A3D-4DF9-ACB3-4FCB88009D06,2024-11-22,South,Household,Curbside,Compactor,Diesel,220.0,550.9,88.52,81,71,3,1516.4,49339.0,1349.0,1416.9,0.0,26.82,1,756.12,237.24
17BEAFD8-3650-4120-9422-5B5F2B5FD442,2024-06-25,West,Household,Commercial,Compactor,Diesel,220.0,496.8,91.42,59,59,2,1035.1,41808.0,974.1,906.7,4.69,5.23,1,695.07,245.0
44AC4ABC-9EC7-4444-80B9-3C27BEB1DA77,2021-11-17,Central,Household,Curbside,Compactor,Diesel,220.0,444.7,119.8,260,228,4,6090.4,53950.0,5251.7,5089.9,0.0,21.21,0,672.1,321.08
AC5A4C7B-47B6-45B1-97AD-A2D62C0A11E0,2024-08-13,East,Household,Curbside,Compactor,CNG,214.74,516.6,71.85,97,90,3,3187.9,48418.0,1327.4,1461.1,1.42,24.96,2,665.02,136.51
F0F7AE15-20B6-4E84-ACF1-0974BB2CBBD4,2021-11-28,East,Household,Curbside,Compactor,Diesel,220.0,421.6,85.84,83,72,2,2769.6,37557.0,1052.9,993.9,8.56,16.71,1,631.92,230.04
86D1BE86-916C-40D6-AC92-A7FB7CBB6DBF,2024-12-29,East,Household,Curbside,Compactor,Electric,220.0,520.8,0.0,61,53,2,1988.9,46481.0,823.1,581.9,4.87,19.51,2,606.47,0.0
24A2BCED-E5BD-4FD2-AD43-88C08CEFAD35,2023-10-27,Central,Construction,Commercial,FlatbedContainer,CNG,175.74,473.1,79.24,236,207,4,6798.1,51954.0,12561.9,13374.7,7.66,39.36,0,622.54,150.55
6368862E-CB4A-4147-B823-B0619165F2D8,2021-08-17,North,Household,Curbside,VacuumTruck,Electric,220.0,595.3,0.0,53,52,2,1659.5,62541.0,721.6,727.0,1.25,17.37,2,712.99,0.0
5C58BB3D-0959-4FAB-B301-3638ECC16BCD,2021-12-07,Central,Recyclable,Curbside,RecyclingTruck,Diesel,184.27,504.5,78.1,212,195,2,6175.6,74372.0,1608.7,1616.9,22.76,68.35,0,667.19,209.31
96BC279E-C31A-4478-A4DB-6B78A58C423F,2023-01-23,North,Household,Curbside,VacuumTruck,Diesel,220.0,427.4,87.55,62,56,2,1493.9,46567.0,930.3,900.8,0.14,19.62,0,654.3,234.63
115B7D68-A932-4D8B-A83B-F43FF78C3A52,2022-02-04,North,Household,Curbside,Compactor,Electric,220.0,567.1,0.0,99,100,2,2329.0,43599.0,1313.3,1385.1,3.88,13.96,0,622.55,0.0
6AD14AEA-DA03-4E44-8A82-FE1103EA66AE,2022-06-21,West,Recyclable,DropOff,RecyclingTruck,Diesel,220.0,478.7,117.27,70,64,3,2455.0,43994.0,521.7,503.6,15.02,80.65,0,685.49,314.29
06AB45C7-8BFE-4052-8830-66E48F38D7CD,2023-02-16,South,Construction,DropOff,FlatbedContainer,Diesel,220.0,429.3,103.22,40,38,1,1656.6,70845.0,2330.3,2333.9,8.72,34.33,3,701.19,276.62
613BC220-5FA4-4FF9-ABE0-470DEDB2E6A2,2021-10-17,Central,Household,Curbside,Compactor,Diesel,124.76,346.6,50.0,172,168,1,6346.4,94807.0,2657.8,2413.8,4.47,27.0,1,476.3,134.01
3AF5F36B-D5D5-4677-9CD8-97958A657B4F,2023-02-20,North,Recyclable,Curbside,RecyclingTruck,Diesel,220.0,609.8,91.89,92,79,3,2141.7,61621.0,489.8,393.0,22.25,79.67,0,803.94,246.26
4BCD7DAE-1D89-4FF7-9353-AD9BCD1BA2D0,2022-03-14,Central,Household,Curbside,Compactor,Diesel,220.0,454.5,114.11,215,191,4,6461.1,142577.0,3147.3,3198.0,0.0,31.63,1,690.2,305.81
AD1E5CBD-54EA-4EC3-A0CB-C82A281E6453,2021-12-28,North,Household,Curbside,Compactor,Diesel,220.0,431.5,118.1,107,93,1,2640.4,42016.0,1820.1,1872.7,4.72,17.86,1,651.49,316.51
B2957F07-D543-46A7-B49E-8A025E80C1B5,2023-08-24,North,Household,Curbside,Compactor,Diesel,220.0,499.1,91.79,83,74,1,1852.4,74157.0,1180.8,1163.4,7.22,9.57,1,669.45,246.0
49DE95E4-744D-4381-8C16-8A0A62B3A18E,2023-10-12,Central,Recyclable,Curbside,RecyclingTruck,Diesel,117.81,505.6,39.82,671,657,3,8904.9,76303.0,4765.7,4254.6,19.69,87.2,1,595.24,106.73
98D0354F-E0F7-42B3-B04D-77D99E1ABD27,2024-03-14,Central,Recyclable,DropOff,Compactor,CNG,186.09,545.0,55.52,414,425,1,7878.9,65599.0,3575.2,3882.9,19.73,68.42,0,667.01,105.48
D84131A0-769D-4302-8E27-203897A2CDC3,2021-03-30,North,Organic,Curbside,Compactor,Diesel,187.71,448.1,79.75,136,119,4,2371.6,53235.0,1284.0,1282.7,7.85,88.38,1,625.03,213.74
E33A3F0F-F18D-453B-9CBB-7C10FBD08EF0,2023-09-01,South,Recyclable,DropOff,RecyclingTruck,CNG,220.0,570.0,75.63,49,43,1,1464.9,49677.0,290.6,286.4,31.26,74.98,1,720.67,143.7
5BE028EF-C675-4E0E-91D5-8A8FD37DFC41,2024-04-25,Central,Recyclable,Curbside,RecyclingTruck,Electric,216.01,560.6,0.0,498,515,3,7424.7,78098.0,3860.5,3803.5,13.24,79.84,1,633.07,0.0
F041007A-7577-443D-A54F-2DB084445EFA,2024-02-20,South,Household,Curbside,Compactor,Diesel,220.0,459.2,111.99,94,89,3,1480.6,45640.0,1208.6,991.7,1.45,16.6,1,694.38,300.13
B439D3CD-0FF4-4764-AD3F-4FCFFA336377,2024-10-19,East,Household,Curbside,Compactor,Diesel,220.0,546.4,76.04,117,114,2,3316.4,99802.0,1983.6,1901.0,2.24,27.51,1,692.52,203.79
BAF039A0-F0F2-4471-93D4-7708DFA677E1,2022-10-02,North,Household,Curbside,Compactor,Diesel,220.0,532.2,71.45,96,88,1,1254.2,84234.0,1420.1,1366.1,0.0,14.45,1,716.09,191.49
7685F79A-E545-4AB7-BC00-3675F1DC6170,2023-08-22,East,Organic,Curbside,Compactor,Diesel,220.0,397.1,89.98,66,66,2,1635.7,53127.0,513.2,460.6,15.61,80.06,0,608.09,241.15
225F1E01-DC98-45CB-9AA9-6794400F46C5,2021-12-11,North,Hazardous,Commercial,FlatbedContainer,Diesel,220.0,508.1,73.86,128,119,3,2930.9,32481.0,529.7,356.1,2.29,7.14,0,692.19,197.95
1AC8E481-49A0-411A-8A25-1DBF26E89E6E,2022-08-22,South,Recyclable,Curbside,RecyclingTruck,CNG,220.0,397.2,85.58,71,66,3,1799.7,59639.0,496.9,513.7,13.26,81.54,2,573.28,162.6
932C36CF-73B9-4142-B6F8-4ACBD0C2286B,2024-09-08,Central,Household,Curbside,Compactor,CNG,220.0,599.4,73.56,141,130,2,3395.4,82747.0,2191.7,1761.5,6.99,19.99,1,736.18,139.76
698E244E-2323-4603-8406-992A1FEABBFD,2022-01-26,North,Household,Curbside,Compactor,Diesel,220.0,478.5,94.93,111,104,3,2375.2,50844.0,1795.2,1553.1,4.79,23.02,2,716.49,254.42
053E988D-98D2-4C21-8B62-C8F677390B05,2022-01-30,Central,Household,Curbside,VacuumTruck,Electric,115.55,327.0,0.0,389,404,4,9365.5,100640.0,6019.3,5845.5,0.0,32.61,2,438.21,0.0
2BB4137B-EE5A-4ED3-A7A1-C79B16B8C6A3,2022-03-28,Central,Household,Curbside,Compactor,Electric,187.77,407.9,0.0,237,214,1,5900.1,108459.0,2639.1,2566.7,6.81,12.18,2,508.43,0.0
C3721CC4-35A6-4ADF-9CA3-99265374E9D7,2021-09-11,North,Hazardous,Commercial,FlatbedContainer,Diesel,220.0,435.5,120.77,72,71,3,1949.0,62246.0,285.8,264.1,1.75,4.26,2,699.66,323.66
4E6B4A72-8EB5-4A1F-BD9D-24FD3270595F,2024-10-01,East,Household,DropOff,Compactor,Diesel,220.0,451.6,115.75,85,87,1,2671.3,124366.0,1437.3,1337.3,1.35,28.61,1,691.38,310.2
