ID,Year_Birth,Education
1159,1974,Master
1160,1976,Graduation
1161,1986,Master
1162,1953,2n Cycle
1163,1942,Graduation
1164,1940,Graduation
1165,1944,2n Cycle
1166,1965,Graduation
1167,1994,Basic
1168,1953,Graduation
1169,1978,Graduation
1170,1966,Basic
1171,1948,Graduation
1172,1954,PhD
1173,1954,Graduation
1174,1965,PhD
1175,1981,Graduation
1176,1999,Graduation
1177,1952,2n Cycle
1178,1990,Graduation
1179,1971,Master
1180,1978,Graduation
1181,1988,Master
1182,1991,Graduation
1183,1971,2n Cycle
1184,1943,Graduation
1185,1969,Graduation
1186,1976,Graduation
1187,1962,Graduation
1188,1978,PhD
1189,1984,Graduation
1190,1954,Basic
1191,1982,Graduation
1192,1968,Graduation
1193,1975,PhD
1194,1952,Master
1195,1971,Graduation
1196,1946,Graduation
1197,1998,Graduation
1198,1990,Master
1199,1961,Master
1200,1967,Graduation
1201,1941,Basic
1202,1981,Basic
1203,1984,PhD
1204,1996,Basic
1205,1992,Graduation
1206,1945,Graduation
1207,1967,Graduation
1208,1967,Graduation
1209,1983,PhD
1210,1983,2n Cycle
1211,1959,Graduation
1212,1969,Graduation
1213,1950,Graduation
1214,1997,2n Cycle
1215,1994,Graduation
1216,1967,PhD
1217,1964,Graduation
1218,1978,Graduation
1219,1972,2n Cycle
1220,1940,2n Cycle
1221,1996,Graduation
1222,1966,2n Cycle
1223,1996,PhD
1224,1991,Basic
1225,1952,Graduation
1226,1980,PhD
1227,1942,Graduation
1228,1978,Master
1229,1945,Graduation
1230,1947,Graduation
1231,1966,Graduation
1232,1948,Master
1233,1976,Graduation
1234,1972,Master
1235,1990,2n Cycle
1236,1981,Graduation
1237,1983,Master
1238,1963,Graduation
1239,1954,Basic
1240,1998,Graduation
1241,1993,Master
1242,1971,Basic
1243,1971,2n Cycle
1244,1963,Master
1245,1980,Graduation
1246,1991,PhD
1247,1988,Basic
1248,1988,PhD
1249,1997,Graduation
1250,1991,2n Cycle
1251,1951,Master
1252,1978,Master
1253,1941,Graduation
1254,1942,Master
1255,1988,Graduation
1256,1976,Master
1257,1988,Graduation
1258,1995,Master
1259,1956,2n Cycle
1260,1998,Graduation
1261,1988,2n Cycle
1262,1941,Graduation
1263,1941,Basic
1264,1967,Master
1265,1993,PhD
1266,1962,Master
1267,1976,Basic
1268,1971,Graduation
1269,1972,Graduation
1270,1940,Master
1271,1958,Basic
1272,1941,Master
1273,1992,Master
1274,1983,Graduation
1275,1965,Basic
1276,1971,Graduation
1277,1945,PhD
1278,1971,Graduation
1279,1994,Graduation
1280,1943,Graduation
1281,1994,Graduation
1282,1950,Master
1283,1995,Graduation
1284,1998,Graduation
1285,1956,Graduation
1286,1977,Graduation
1287,1963,Graduation
1288,1944,Graduation
1289,1991,PhD
1290,1973,Master
1291,1945,PhD
1292,1961,Graduation
1293,1950,Graduation
1294,1987,Basic
1295,1955,PhD
1296,1972,Graduation
1297,1948,Graduation
1298,1999,Graduation
1299,1998,Graduation
1300,1945,Graduation
1301,1955,PhD
1302,1968,PhD
1303,1942,PhD
1304,1959,Master
1305,1999,Basic
1306,1998,Master
1307,1975,2n Cycle
1308,1958,Graduation
1309,1965,Graduation
1310,1942,Graduation
1311,1958,PhD
1312,1959,Basic
1313,1971,Graduation
1314,1946,2n Cycle
1315,1991,Graduation
1316,1980,2n Cycle
1317,1972,Graduation
1318,1979,Graduation
1319,1978,Graduation
1320,1957,Graduation
1321,1979,Graduation
1322,1940,Graduation
1323,1950,Basic
1324,1967,PhD
1325,1996,Graduation
1326,1964,PhD
1327,1989,Master
1328,1962,Graduation
1329,1970,Graduation
1330,1969,Graduation
1331,1981,Graduation
1332,1974,Master
1333,1946,Graduation
1334,1999,PhD
1335,1955,Master
1336,1965,Graduation
1337,1987,PhD
1338,1996,Graduation
1339,1991,2n Cycle
1340,1999,Graduation
1341,1988,Basic
1342,1941,PhD
1343,1940,Graduation
1344,1987,PhD
1345,1951,2n Cycle
1346,1944,PhD
1347,1976,Basic
1348,1971,Basic
1349,1998,Graduation
1350,1994,Graduation
1351,1948,PhD
1352,1980,Graduation
1353,1974,Basic
1354,1958,2n Cycle
1355,1987,Graduation
1356,1955,Graduation
1357,1942,Master
1358,1959,Graduation
1359,1963,Basic
1360,1993,Graduation
1361,1995,Master
1362,1972,Graduation
1363,1963,PhD
1364,1991,Graduation
1365,1950,PhD
1366,1988,Graduation
1367,1947,Master
1368,1975,Basic
1369,1977,Graduation
1370,1979,Graduation
1371,1959,Graduation
1372,1974,PhD
1373,1987,PhD
1374,1964,PhD
1375,1974,Graduation
1376,1964,Graduation
1377,1968,PhD
1378,1957,Graduation
1379,1985,2n Cycle
1380,1957,Graduation
1381,1941,Master
1382,1993,Graduation
1383,1974,Graduation
1384,1955,Master
1385,1980,Master
1386,1975,2n Cycle
1387,1972,Graduation
1388,1943,Graduation
1389,1972,Master
1390,1953,PhD
1391,1960,Graduation
1392,1987,Graduation
1393,1959,Graduation
1394,1995,Basic
1395,1947,Graduation
1396,1946,Graduation
1397,1942,Graduation
1398,1956,Graduation
1399,1972,Graduation
1400,1987,PhD
1401,1951,Graduation
1402,1998,Basic
1403,1990,Graduation
1404,1961,PhD
1405,1994,Basic
1406,1961,Master
1407,1985,PhD
1408,1969,Graduation
1409,1977,Graduation
1410,1977,Master
1411,1984,2n Cycle
1412,1990,Master
1413,1993,PhD
1414,1947,Master
1415,1966,Graduation
1416,1966,Graduation
1417,1973,PhD
1418,1960,2n Cycle
1419,1969,Graduation
1420,1972,Master
1421,1967,Graduation
1422,1986,PhD
1423,1972,Graduation
1424,1944,Graduation
1425,1999,Master
1426,1987,Graduation
1427,1958,Master
1428,1943,Master
1429,1974,2n Cycle
1430,1988,Graduation
1431,1956,Graduation
1432,1983,Graduation
1433,1967,2n Cycle
1434,1969,2n Cycle
1435,1968,PhD
1436,1985,Basic
1437,1992,PhD
1438,1945,PhD
1439,1974,Graduation
1440,1999,Master
1441,1980,Graduation
1442,1976,Basic
1443,1963,Master
1444,1968,Master
1445,1988,Graduation
1446,1985,Graduation
1447,1992,Graduation
1448,1970,Graduation
1449,1974,Graduation
1450,1999,2n Cycle
1451,1972,PhD
1452,1991,Graduation
1453,1960,Graduation
1454,1971,Graduation
1455,1962,PhD
1456,1972,PhD
1457,1942,2n Cycle
1458,1957,Graduation
1459,1964,2n Cycle
1460,1981,Basic
1461,1970,Graduation
1462,1993,2n Cycle
1463,1997,Graduation
1464,1942,Basic
1465,1979,Graduation
1466,1985,Basic
1467,1963,Basic
1468,1989,Basic
1469,1971,Master
1470,1986,Graduation
1471,1961,Graduation
1472,1962,Graduation
1473,1941,Graduation
1474,1966,Master
1475,1981,Graduation
1476,1941,2n Cycle
1477,1965,PhD
1478,1956,Basic
1479,1979,Graduation
1480,1972,Basic
1481,1948,2n Cycle
1482,1982,Graduation
1483,1993,PhD
1484,1987,Master
1485,1978,Graduation
1486,1968,PhD
1487,1981,Graduation
1488,1994,Graduation
1489,1965,Graduation
1490,1974,Graduation
1491,1989,Graduation
1492,1964,Graduation
1493,1963,2n Cycle
1494,1952,PhD
1495,1999,2n Cycle
1496,1997,Graduation
1497,1946,Graduation
1498,1996,PhD
1499,1975,Graduation
1500,1984,Graduation
1501,1959,PhD
1502,1940,Graduation
1503,1947,PhD
1504,1985,Master
1505,1955,Graduation
1506,1953,Graduation
1507,1951,Master
1508,1990,Graduation
1509,1962,Graduation
1510,1954,2n Cycle
1511,1967,Graduation
1512,1973,Master
1513,1941,2n Cycle
1514,1971,Graduation
1515,1962,Graduation
1516,1961,Graduation
1517,1990,Graduation
1518,1964,Graduation
1519,1997,Master
1520,1961,Graduation
1521,1997,PhD
1522,1997,2n Cycle
1523,1961,Basic
1524,1988,PhD
1525,1991,Graduation
1526,1981,PhD
1527,1945,PhD
1528,1954,Graduation
1529,1993,Graduation
1530,1982,Basic
1531,1999,Graduation
1532,1976,Graduation
1533,1972,Graduation
1534,1947,Graduation
1535,1992,Basic
1536,1999,Master
1537,1983,Master
1538,1983,Graduation
1539,1944,Graduation
1540,1978,Graduation
1541,1943,Graduation
1542,1945,Graduation
1543,1984,Master
1544,1971,Graduation
1545,1991,PhD
1546,1969,Graduation
1547,1986,Graduation
1548,1974,Graduation
1549,1994,2n Cycle
1550,1979,Basic
1551,1991,2n Cycle
1552,1955,Graduation
1553,1952,Graduation
1554,1989,PhD
1555,1999,Graduation
1556,1981,Basic
1557,1969,Graduation
1558,1958,Graduation
1559,1956,Graduation
1560,1995,Graduation
1561,1958,Master
1562,1967,Graduation
1563,1997,Graduation
1564,1994,Graduation
1565,1965,Graduation
1566,1976,Master
1567,1965,Basic
1568,1992,2n Cycle
1569,1962,Master
1570,1948,Graduation
1571,1951,Master
1572,1992,Graduation
1573,1940,Graduation
1574,1997,Basic
1575,1997,Graduation
1576,1940,2n Cycle
1577,1986,Graduation
1578,1973,PhD
1579,1971,Master
1580,1993,Basic
1581,1987,PhD
1582,1964,PhD
1583,1979,Graduation
1584,1984,PhD
1585,1992,Graduation
1586,1940,Master
1587,1955,PhD
1588,1978,Master
1589,1944,Graduation
1590,1961,Graduation
1591,1968,Master
1592,1994,Graduation
1593,1942,Graduation
1594,1951,Graduation
1595,1965,2n Cycle
1596,1955,Master
1597,1990,Graduation
1598,1976,Graduation
1599,1961,Graduation
1600,1996,Master
1601,1968,Master
1602,1953,Graduation
1603,1967,Graduation
1604,1944,Graduation
1605,1986,Master
1606,1988,Master
1607,1969,Graduation
1608,1985,Graduation
1609,1991,Graduation
1610,1944,2n Cycle
1611,1951,Graduation
1612,1955,Master
1613,1965,PhD
1614,1965,Graduation
1615,1987,Graduation
1616,1960,Graduation
1617,1978,PhD
1618,1975,Master
1619,1972,PhD
1620,1969,PhD
1621,1976,Graduation
1622,1962,2n Cycle
1623,1997,Master
1624,1949,Graduation
1625,1993,2n Cycle
1626,1944,PhD
1627,1975,PhD
1628,1973,Master
1629,1991,Basic
1630,1970,Master
1631,1949,Graduation
1632,1997,Graduation
1633,1958,2n Cycle
1634,1997,Graduation
1635,1971,Graduation
1636,1940,Graduation
1637,1995,Graduation
1638,1944,PhD
1639,1984,2n Cycle
1640,1943,Graduation
1641,1955,Graduation
1642,1963,Graduation
1643,1955,Basic
1644,1994,PhD
1645,1941,Graduation
1646,1988,Basic
1647,1967,Basic
1648,1971,Basic
1649,1966,2n Cycle
1650,1959,Graduation
1651,1963,Master
1652,1951,Graduation
1653,1989,Basic
1654,1974,Master
1655,1999,Master
1656,1972,Master
1657,1972,Graduation
1658,1990,PhD
1659,1982,2n Cycle
1660,1976,2n Cycle
1661,1951,Graduation
1662,1942,Graduation
1663,1940,Graduation
1664,1972,Master
1665,1979,Basic
1666,1949,Graduation
1667,1982,PhD
1668,1983,Basic
1669,1968,Master
1670,1952,PhD
1671,1951,PhD
1672,1970,PhD
1673,1985,Graduation
1674,1941,PhD
1675,1990,Master
1676,1989,Basic
1677,1974,PhD
1678,1962,Master
1679,1956,Graduation
1680,1965,Graduation
1681,1947,Graduation
1682,1968,Graduation
1683,1965,Master
1684,1949,2n Cycle
1685,1965,Graduation
1686,1973,Graduation
1687,1990,Basic
1688,1980,Graduation
1689,1946,PhD
1690,1943,Master
1691,1997,PhD
1692,1992,Graduation
1693,1989,Graduation
1694,1984,Master
1695,1950,PhD
1696,1968,Graduation
1697,1995,Master
1698,1975,Graduation
1699,1964,Master
1700,1960,Graduation
1701,1996,2n Cycle
1702,1975,Graduation
1703,1949,Graduation
1704,1976,Graduation
1705,1948,Graduation
1706,1963,Basic
1707,1974,2n Cycle
1708,1988,Graduation
1709,1974,Graduation
1710,1987,Master
1711,1975,Basic
1712,1957,PhD
1713,1988,Graduation
1714,1978,Graduation
1715,1971,Master
1716,1963,Graduation
1717,1962,PhD
1718,1971,Graduation
1719,1976,Master
1720,1951,Graduation
1721,1988,PhD
1722,1994,Graduation
1723,1952,PhD
1724,1962,Graduation
1725,1964,PhD
1726,1974,PhD
1727,1980,PhD
1728,1969,PhD
1729,1956,Master
1730,1988,Basic
1731,1959,Graduation
1732,1987,Basic
1733,1964,Graduation
1734,1961,Graduation
1735,1952,Graduation
1736,1998,Graduation
1737,1958,Master
1738,1988,Master
1739,1975,Master
1740,1951,PhD
1741,1980,Graduation
1742,1958,Graduation
1743,1951,Graduation
1744,1948,Graduation
1745,1946,Graduation
1746,1967,Graduation
1747,1953,PhD
1748,1970,Master
1749,1991,2n Cycle
1750,1958,2n Cycle
1751,1997,PhD
1752,1986,Graduation
1753,1955,PhD
1754,1992,Master
1755,1944,Graduation
1756,1974,Graduation
1757,1951,Basic
1758,1964,Graduation
1759,1991,PhD
1760,1998,PhD
1761,1960,Graduation
1762,1975,Graduation
1763,1992,Graduation
1764,1962,Graduation
1765,1955,Graduation
1766,1996,Basic
1767,1978,Graduation
1768,1984,PhD
1769,1992,Graduation
1770,1981,2n Cycle
1771,1997,Graduation
1772,1978,Graduation
1773,1953,Basic
1774,1970,Basic
1775,1997,Graduation
1776,1944,Basic
1777,1974,Graduation
1778,1962,Graduation
1779,1968,Graduation
1780,1982,Graduation
1781,1950,Master
1782,1957,Graduation
1783,1986,Graduation
1784,1951,Master
1785,1948,Master
1786,1949,Graduation
1787,1997,PhD
1788,1983,Graduation
1789,1956,Master
1790,1977,Master
1791,1946,2n Cycle
1792,1985,Graduation
1793,1952,Graduation
1794,1979,Graduation
1795,1981,Graduation
1796,1948,Graduation
1797,1989,2n Cycle
1798,1966,Graduation
1799,1997,Graduation
1800,1941,Master
1801,1944,Graduation
1802,1968,Master
1803,1976,Graduation
1804,1977,Graduation
1805,1958,Graduation
1806,1947,Graduation
1807,1987,2n Cycle
1808,1984,Graduation
1809,1940,PhD
1810,1961,Graduation
1811,1991,Graduation
1812,1956,Basic
1813,1946,Graduation
1814,1964,Master
1815,1984,2n Cycle
1816,1943,PhD
1817,1975,2n Cycle
1818,1945,Graduation
1819,1999,Graduation
1820,1970,Graduation
1821,1958,Master
1822,1983,2n Cycle
1823,1993,Graduation
1824,1978,Master
1825,1966,Graduation
1826,1949,PhD
1827,1965,Graduation
1828,1958,2n Cycle
1829,1978,PhD
1830,1942,Graduation
1831,1984,Graduation
1832,1952,Graduation
1833,1989,Graduation
1834,1967,Graduation
1835,1997,Basic
1836,1959,PhD
1837,1967,PhD
1838,1947,Graduation
1839,1980,Basic
1840,1978,Master
1841,1940,Graduation
1842,1942,Master
1843,1952,PhD
1844,1967,Graduation
1845,1996,Graduation
1846,1999,Graduation
1847,1988,Graduation
1848,1964,2n Cycle
1849,1995,Basic
1850,1972,Master
1851,1977,Graduation
1852,1992,Graduation
1853,1945,Master
1854,1997,PhD
1855,1983,Graduation
1856,1984,PhD
1857,1971,Basic
1858,1984,Graduation
1859,1986,Graduation
1860,1960,Master
1861,1955,Graduation
1862,1993,Graduation
1863,1960,Graduation
1864,1950,Graduation
1865,1999,Master
1866,1976,PhD
1867,1975,Graduation
1868,1974,Basic
1869,1958,Basic
1870,1959,Basic
1871,1996,Graduation
1872,1957,Graduation
1873,1986,2n Cycle
1874,1980,Master
1875,1988,Graduation
1876,1953,Graduation
1877,1954,Graduation
1878,1970,2n Cycle
1879,1940,PhD
1880,1992,Graduation
1881,1993,Graduation
1882,1993,Master
1883,1942,Basic
1884,1955,Graduation
1885,1962,Master
1886,1996,2n Cycle
1887,1950,Graduation
1888,1951,PhD
1889,1949,Graduation
1890,1971,Master
1891,1955,PhD
1892,1947,PhD
1893,1977,Master
1894,1951,Graduation
1895,1963,2n Cycle
1896,1967,PhD
1897,1992,Graduation
1898,1947,Master
1899,1997,Master
1900,1967,Graduation
1901,1975,Basic
1902,1965,2n Cycle
1903,1947,Graduation
1904,1997,2n Cycle
1905,1999,Graduation
1906,1989,Graduation
1907,1967,Graduation
1908,1967,Basic
1909,1976,Master
1910,1980,Graduation
1911,1975,Graduation
1912,1966,PhD
1913,1993,Graduation
1914,1956,Basic
1915,1948,Basic
1916,1972,PhD
1917,1992,2n Cycle
1918,1959,Graduation
1919,1952,2n Cycle
1920,1967,Master
1921,1987,PhD
1922,1968,Graduation
1923,1952,Basic
1924,1985,Graduation
1925,1974,Graduation
1926,1945,Graduation
1927,1957,PhD
1928,1990,PhD
1929,1944,Master
1930,1986,Basic
1931,1964,Graduation
1932,1941,Master
1933,1949,Graduation
1934,1995,Basic
1935,1969,Basic
1936,1989,PhD
1937,1998,Master
1938,1984,Graduation
1939,1944,Graduation
1940,1994,Basic
1941,1995,Graduation
1942,1972,Graduation
1943,1993,Graduation
1944,1940,Basic
1945,1957,Graduation
1946,1971,Graduation
1947,1986,Master
1948,1988,Basic
1949,1950,Graduation
1950,1960,Graduation
1951,1965,Graduation
1952,1964,Graduation
1953,1961,Graduation
1954,1998,Master
1955,1966,Master
1956,1988,PhD
1957,1952,Graduation
1958,1972,Basic
1959,1973,Graduation
1960,1980,2n Cycle
1961,1974,PhD
1962,1940,Graduation
1963,1960,Master
1964,1987,Graduation
1965,1994,Master
1966,1945,Graduation
1967,1967,Graduation
1968,1956,Basic
1969,1944,Graduation
1970,1970,Basic
1971,1944,Graduation
1972,1977,PhD
1973,1942,Master
1974,1992,PhD
1975,1962,Graduation
1976,1976,Graduation
1977,1992,Graduation
1978,1976,Graduation
1979,1949,Master
1980,1949,2n Cycle
1981,1958,Basic
1982,1956,Master
1983,1960,Master
1984,1953,Master
1985,1948,Graduation
1986,1985,2n Cycle
1987,1940,Master
1988,1990,PhD
1989,1984,Graduation
1990,1952,Graduation
1991,1943,Graduation
1992,1940,Basic
1993,1988,PhD
1994,1979,Graduation
1995,1971,2n Cycle
1996,1973,Graduation
1997,1967,Graduation
1998,1970,Graduation
1999,1947,Master
2000,1978,2n Cycle
2001,1965,Graduation
2002,1997,Basic
2003,1973,Graduation
2004,1993,2n Cycle
2005,1993,Master
2006,1942,Basic
2007,1998,Graduation
2008,1989,2n Cycle
2009,1951,Master
2010,1940,Graduation
2011,1993,Basic
2012,1983,Graduation
2013,1944,Basic
2014,1969,Graduation
2015,1969,Master
2016,1998,PhD
2017,1996,Graduation
2018,1956,Graduation
2019,1987,Graduation
2020,1986,Graduation
2021,1962,Graduation
2022,1954,PhD
2023,1976,Graduation
2024,1960,Graduation
2025,1953,Master
2026,1941,Graduation
2027,1950,2n Cycle
2028,1990,Basic
2029,1978,Master
2030,1977,PhD
2031,1999,Basic
2032,1973,Graduation
2033,1977,Graduation
2034,1989,Graduation
2035,1973,Master
2036,1957,Graduation
2037,1969,PhD
2038,1954,2n Cycle
2039,1966,Basic
2040,1990,PhD
2041,1973,Graduation
2042,1991,Basic
2043,1996,PhD
2044,1977,Graduation
2045,1972,Graduation
2046,1963,2n Cycle
2047,1954,Master
2048,1999,Basic
2049,1969,Basic
2050,1994,PhD
2051,1981,PhD
2052,1990,Graduation
2053,1956,Graduation
2054,1944,Graduation
2055,1968,Master
2056,1943,PhD
2057,1949,Basic
2058,1995,Graduation
2059,1956,PhD
2060,1949,PhD
2061,1956,PhD
2062,1999,Master
2063,1959,Graduation
2064,1963,PhD
2065,1944,Graduation
2066,1973,Graduation
2067,1945,Graduation
2068,1992,Master
2069,1941,2n Cycle
2070,1952,PhD
2071,1982,Master
2072,1982,PhD
2073,1987,PhD
2074,1950,Graduation
2075,1990,Graduation
2076,1986,Graduation
2077,1996,Graduation
2078,1962,Graduation
2079,1994,Graduation
2080,1955,Graduation
2081,1970,2n Cycle
2082,1950,Graduation
2083,1993,Graduation
2084,1955,Graduation
2085,1947,PhD
2086,1943,Graduation
2087,1979,Graduation
2088,1943,PhD
2089,1995,Graduation
2090,1964,Graduation
2091,1942,Graduation
2092,1971,Graduation
2093,1942,Graduation
2094,1966,Graduation
2095,1968,Basic
2096,1971,PhD
2097,1989,PhD
2098,1997,Graduation
2099,1990,2n Cycle
2100,1958,Graduation
2101,1960,Graduation
2102,1944,PhD
2103,1957,Graduation
2104,1967,Graduation
2105,1981,PhD
2106,1961,Basic
2107,1960,Graduation
2108,1945,Master
2109,1940,2n Cycle
2110,1944,Graduation
2111,1980,Graduation
2112,1951,Graduation
2113,1965,Graduation
2114,1985,Graduation
2115,1973,2n Cycle
2116,1988,Master
2117,1953,PhD
2118,1965,Graduation
2119,1984,Basic
2120,1966,2n Cycle
2121,1948,Basic
2122,1965,Graduation
2123,1996,PhD
2124,1986,Graduation
2125,1996,Graduation
2126,1961,Graduation
2127,1986,PhD
2128,1995,Master
2129,1969,Graduation
2130,1982,Graduation
2131,1987,Graduation
2132,1956,Graduation
2133,1965,Graduation
2134,1975,Graduation
2135,1940,Master
2136,1947,Graduation
2137,1988,Graduation
2138,1974,Graduation
2139,1991,2n Cycle
2140,1954,Master
2141,1986,Master
2142,1995,Graduation
2143,1961,PhD
2144,1953,Graduation
2145,1965,PhD
2146,1967,2n Cycle
2147,1962,PhD
2148,1953,Basic
2149,1963,Master
2150,1941,Graduation
2151,1984,2n Cycle
2152,1965,Graduation
2153,1953,PhD
2154,1998,Graduation
2155,1995,Graduation
2156,1990,Graduation
2157,1946,Graduation
2158,1942,Graduation
2159,1986,PhD
2160,1962,Graduation
2161,1985,Graduation
2162,1982,PhD
2163,1986,Graduation
2164,1999,Master
2165,1984,Master
2166,1957,Basic
2167,1997,Master
2168,1977,Graduation
2169,1974,Master
2170,1990,Graduation
2171,1954,Graduation
2172,1964,Master
2173,1994,Graduation
2175,1976,Master
2176,1967,Basic
2177,1949,Basic
2178,1978,2n Cycle
2179,1996,Graduation
2180,1956,Graduation
2181,1978,PhD
2182,1961,Graduation
2183,1965,PhD
2184,1983,Master
2185,1964,Master
2186,1956,Graduation
2187,1952,Graduation
2188,1959,Graduation
2189,1964,Graduation
2190,1943,Basic
2191,1949,Graduation
2192,1942,Graduation
2193,1980,Graduation
2194,1984,PhD
2195,1957,PhD
2196,1986,Graduation
2197,1975,Graduation
2198,1986,Graduation
2199,1961,Graduation
2200,1973,Master
2201,1986,PhD
2202,1947,Graduation
2203,1979,Graduation
2204,1988,2n Cycle
2205,1983,Graduation
2206,1958,Master
2207,1981,Graduation
2208,1980,Graduation
2209,1976,Graduation
2210,1945,PhD
2211,1991,2n Cycle
2212,1965,Graduation
2213,1973,Graduation
2214,1998,Graduation
2215,1995,Graduation
2216,1998,Graduation
2217,1984,Graduation
2218,1945,Master
2219,1976,Graduation
2220,1996,Graduation
2221,1972,2n Cycle
2222,1992,Graduation
2223,1961,2n Cycle
2224,1960,Graduation
2225,1945,Basic
2226,1945,PhD
2227,1994,Basic
2228,1987,2n Cycle
2229,1943,Graduation
2230,1969,2n Cycle
2231,1950,Graduation
2232,1969,Graduation
2233,1970,Graduation
2234,1963,PhD
2235,1994,Graduation
2236,1948,PhD
2237,1994,PhD
2238,1942,Master
2239,1990,Basic
2240,1970,Graduation
2241,1979,Graduation
2242,1976,Graduation
2243,1975,Graduation
2244,1963,Graduation
2245,1970,Graduation
2246,1945,Graduation
2247,1941,2n Cycle
2248,1959,PhD
2249,1967,Graduation
2250,1950,PhD
2251,1943,Graduation
2252,1954,Graduation
2253,1945,PhD
2254,1993,Graduation
2255,1988,Graduation
2256,1969,2n Cycle
2257,1995,Basic
2258,1977,PhD
2259,1990,PhD
2260,1996,PhD
2261,1941,Graduation
2262,1954,Graduation
2263,1950,Graduation
2264,1947,Graduation
2265,1965,PhD
2266,1990,Graduation
2267,1984,2n Cycle
2268,1983,2n Cycle
2269,1944,Master
2270,1945,PhD
2271,1965,Basic
2272,1993,Graduation
2273,1943,Master
2274,1958,Graduation
2275,1959,Master
2276,1972,Graduation
2277,1959,Basic
2278,1988,2n Cycle
2279,1951,Graduation
2280,1986,Graduation
2281,1940,2n Cycle
2282,1965,Graduation
2283,1953,Basic
2284,1977,PhD
2285,1976,Graduation
2286,1950,Graduation
2287,1975,Graduation
2288,1952,Master
2289,1982,Graduation
2290,1942,PhD
2291,1972,Graduation
2292,1945,PhD
2293,1989,Basic
2294,1995,2n Cycle
2295,1949,Graduation
2296,1944,Basic
2297,1962,Master
2298,1949,PhD
2299,1983,2n Cycle
2300,1941,Graduation
2301,1952,Graduation
2302,1979,Basic
2303,1941,Graduation
2304,1959,Basic
2305,1940,Basic
2306,1976,Graduation
2307,1948,Basic
2308,1956,Graduation
2309,1948,PhD
2310,1950,PhD
2311,1954,2n Cycle
