ID,Year_Birth,Education,Marital_Status,Income
1116,1954,Graduation,Divorced,77495.7
1117,1984,Basic,Single,43698.0
1118,1940,Graduation,Married,68529.6
1119,1964,2n Cycle,Married,54573.3
1120,1946,Graduation,Together,84597.7
1121,1948,Graduation,Together,20459.7
1122,1963,Master,Together,26722.8
1123,1940,Master,Together,86632.4
1124,1983,Graduation,Divorced,35334.7
1125,1947,PhD,Married,36603.9
1126,1963,Master,Married,32485.5
1127,1950,Graduation,Divorced,72968.9
1128,1990,2n Cycle,YOLO,24930.8
1129,1956,2n Cycle,Divorced,50449.0
1130,1947,Master,Married,44687.6
1131,1974,Graduation,Single,70730.3
1132,1974,Master,Married,38726.3
1133,1972,Graduation,Together,58305.5
1134,1998,Graduation,Married,
1135,1944,Graduation,Married,95478.8
1136,1981,Graduation,Divorced,45208.2
1137,1978,Basic,Married,50175.3
1138,1997,Master,Divorced,83095.1
1139,1980,Master,Married,38266.5
1140,1967,Graduation,Married,83347.6
1141,1946,Graduation,Married,41770.6
1142,1948,Graduation,Together,63434.0
1143,1947,2n Cycle,Single,38546.4
1144,1951,Graduation,Single,22879.3
1145,1973,Basic,Absurd,58291.9
1146,1972,PhD,Single,62798.1
1147,1987,Graduation,Together,23682.3
1148,1994,Master,Together,43858.8
1149,1962,Graduation,Married,74015.2
1150,1963,Basic,Together,62002.4
1151,1976,2n Cycle,Married,42095.7
1152,1974,Graduation,Together,38049.5
1153,1983,Graduation,Married,88964.9
1154,1979,PhD,Together,21061.4
1155,1961,2n Cycle,Single,48816.0
1156,1966,Graduation,Together,20706.1
1157,1974,PhD,Single,76296.3
1158,1940,PhD,Married,49857.5
1159,1974,Master,Married,53563.5
1160,1976,Graduation,Single,105377.8
1161,1986,Master,Divorced,38130.5
1162,1953,2n Cycle,Married,84971.5
1163,1942,Graduation,Widow,42185.4
1164,1940,Graduation,Absurd,45329.8
1165,1944,2n Cycle,Together,102763.5
1166,1965,Graduation,Single,46778.2
1167,1994,Basic,Married,22512.6
1168,1953,Graduation,Together,55638.4
1169,1978,Graduation,Married,46545.3
1170,1966,Basic,Single,57341.9
1171,1948,Graduation,Together,47328.0
1172,1954,PhD,Divorced,94310.9
1173,1954,Graduation,Together,61134.7
1174,1965,PhD,Single,28500.7
1175,1981,Graduation,Together,52490.9
1176,1999,Graduation,Married,34007.4
1177,1952,2n Cycle,Married,45045.7
1178,1990,Graduation,Divorced,31791.2
1179,1971,Master,Married,92142.4
1180,1978,Graduation,Married,36172.3
1181,1988,Master,Single,63751.3
1182,1991,Graduation,Divorced,43530.4
1183,1971,2n Cycle,Together,26831.7
1184,1943,Graduation,Together,53953.0
1185,1969,Graduation,Together,58013.8
1186,1976,Graduation,Single,61172.5
1187,1962,Graduation,Married,0.0
1188,1978,PhD,Married,25303.1
1189,1984,Graduation,Single,69151.1
1190,1954,Basic,Married,31527.9
1191,1982,Graduation,Widow,54058.9
1192,1968,Graduation,Single,
1193,1975,PhD,Married,64632.0
1194,1952,Master,Married,68625.4
1195,1971,Graduation,Married,64638.2
1196,1946,Graduation,Widow,70651.1
1197,1998,Graduation,Married,81278.0
1198,1990,Master,Married,26518.5
1199,1961,Master,Together,34226.6
1200,1967,Graduation,Single,67950.9
1201,1941,Basic,Married,72604.4
1202,1981,Basic,Married,36513.1
1203,1984,PhD,Together,
1204,1996,Basic,YOLO,36955.7
1205,1992,Graduation,Together,17898.1
1206,1945,Graduation,Married,24571.8
1207,1967,Graduation,Divorced,25054.1
1208,1967,Graduation,Single,44118.0
1209,1983,PhD,Single,55416.7
1210,1983,2n Cycle,Married,58669.5
1211,1959,Graduation,Married,39828.8
1212,1969,Graduation,Married,40320.3
1213,1950,Graduation,Together,52473.2
1214,1997,2n Cycle,Widow,20079.7
1215,1994,Graduation,Married,69188.8
1216,1967,PhD,Married,75707.7
1217,1964,Graduation,Single,37488.4
1218,1978,Graduation,Single,42031.3
1219,1972,2n Cycle,Together,74866.2
1220,1940,2n Cycle,Married,47539.0
1221,1996,Graduation,Divorced,61764.9
1222,1966,2n Cycle,Single,48153.9
1223,1996,PhD,Single,81126.1
1224,1991,Basic,Married,59801.6
1225,1952,Graduation,Married,60953.1
1226,1980,PhD,Single,61326.1
1227,1942,Graduation,Together,38897.7
1228,1978,Master,Single,40735.2
1229,1945,Graduation,Together,65384.9
1230,1947,Graduation,Married,52528.3
1231,1966,Graduation,Single,26447.8
1232,1948,Master,Married,87462.1
1233,1976,Graduation,Divorced,69561.4
1234,1972,Master,Married,50752.5
1235,1990,2n Cycle,Together,44530.0
1236,1981,Graduation,Single,53973.5
1237,1983,Master,Together,60350.4
1238,1963,Graduation,Married,9340.0
1239,1954,Basic,Together,92247.0
1240,1998,Graduation,Together,34202.3
1241,1993,Master,Widow,49961.9
1242,1971,Basic,Married,50697.3
1243,1971,2n Cycle,Single,89937.0
1244,1963,Master,Single,48237.5
1245,1980,Graduation,Divorced,81770.1
1246,1991,PhD,Married,58134.5
1247,1988,Basic,Together,30762.3
1248,1988,PhD,Married,52694.1
1249,1997,Graduation,Married,47629.8
1250,1991,2n Cycle,Single,28318.6
1251,1951,Master,Absurd,57154.5
1252,1978,Master,Together,50442.1
1253,1941,Graduation,Widow,61128.4
1254,1942,Master,Married,53867.1
1255,1988,Graduation,Together,36977.9
1256,1976,Master,Together,65366.7
1257,1988,Graduation,Married,37512.0
1258,1995,Master,Divorced,0.0
1259,1956,2n Cycle,Widow,52573.1
1260,1998,Graduation,Divorced,38918.5
1261,1988,2n Cycle,Together,57642.6
1262,1941,Graduation,Married,89977.4
1263,1941,Basic,Married,90554.8
1264,1967,Master,Absurd,46697.5
1265,1993,PhD,Single,33469.7
1266,1962,Master,Together,61693.7
1267,1976,Basic,Together,42595.5
1268,1971,Graduation,Together,57835.5
1269,1972,Graduation,YOLO,36782.8
1270,1940,Master,Married,55013.8
1271,1958,Basic,Married,33760.5
1272,1941,Master,Single,73685.1
1273,1992,Master,Married,38200.4
1274,1983,Graduation,Married,63222.1
1275,1965,Basic,Married,24704.7
1276,1971,Graduation,Divorced,65623.5
1277,1945,PhD,Widow,30672.3
1278,1971,Graduation,Single,55223.5
1279,1994,Graduation,Married,70464.0
1280,1943,Graduation,Widow,46000.3
1281,1994,Graduation,Single,29416.7
1282,1950,Master,Single,59936.3
1283,1995,Graduation,Single,33180.4
1284,1998,Graduation,Together,41915.1
1285,1956,Graduation,Single,55309.3
1286,1977,Graduation,Absurd,77213.5
1287,1963,Graduation,Married,50531.1
1288,1944,Graduation,Married,50457.2
1289,1991,PhD,Married,64750.3
1290,1973,Master,Married,51007.4
1291,1945,PhD,Together,62710.6
1292,1961,Graduation,Together,71570.7
1293,1950,Graduation,Together,43445.3
1294,1987,Basic,Together,0.0
1295,1955,PhD,Widow,33641.5
1296,1972,Graduation,Divorced,74173.6
1297,1948,Graduation,Together,49324.7
1298,1999,Graduation,Single,43217.4
1299,1998,Graduation,Single,73335.7
1300,1945,Graduation,Married,47973.5
1301,1955,PhD,Together,8149.3
1302,1968,PhD,Married,19894.0
1303,1942,PhD,Married,58373.0
1304,1959,Master,Divorced,48662.2
1305,1999,Basic,Divorced,79093.1
1306,1998,Master,Widow,35334.6
1307,1975,2n Cycle,Married,43810.0
1308,1958,Graduation,Together,32309.9
1309,1965,Graduation,Married,39588.1
1310,1942,Graduation,Single,12161.9
1311,1958,PhD,Single,42286.3
1312,1959,Basic,Married,48962.6
1313,1971,Graduation,Married,47273.4
1314,1946,2n Cycle,Divorced,92991.1
1315,1991,Graduation,Single,86669.7
1316,1980,2n Cycle,Together,34982.0
1317,1972,Graduation,Married,9121.3
1318,1979,Graduation,Married,48016.0
1319,1978,Graduation,Married,57530.2
1320,1957,Graduation,Married,32790.3
1321,1979,Graduation,Together,33780.5
1322,1940,Graduation,Married,81651.1
1323,1950,Basic,Single,44849.0
1324,1967,PhD,Single,63245.0
1325,1996,Graduation,Married,31393.9
1326,1964,PhD,Widow,48861.2
1327,1989,Master,Married,43273.2
1328,1962,Graduation,Together,36492.5
1329,1970,Graduation,Together,73106.0
1330,1969,Graduation,Widow,22222.5
1331,1981,Graduation,Divorced,56001.1
1332,1974,Master,Together,42897.6
1333,1946,Graduation,Together,58296.5
1334,1999,PhD,Divorced,43168.5
1335,1955,Master,Married,67343.9
1336,1965,Graduation,Married,31205.9
1337,1987,PhD,Single,73151.1
1338,1996,Graduation,Divorced,49423.9
1339,1991,2n Cycle,Divorced,23429.9
1340,1999,Graduation,Single,63604.3
1341,1988,Basic,Together,46023.0
1342,1941,PhD,Married,15843.2
1343,1940,Graduation,Single,56649.4
1344,1987,PhD,YOLO,70131.9
1345,1951,2n Cycle,Married,75642.7
1346,1944,PhD,Single,42433.0
1347,1976,Basic,Together,52906.4
1348,1971,Basic,Together,51010.7
1349,1998,Graduation,Single,79796.1
1350,1994,Graduation,Together,33790.2
1351,1948,PhD,Married,40706.8
1352,1980,Graduation,Single,33305.6
1353,1974,Basic,Single,21017.0
1354,1958,2n Cycle,Together,54955.7
1355,1987,Graduation,Married,82026.0
1356,1955,Graduation,Widow,46030.3
1357,1942,Master,Divorced,32362.1
1358,1959,Graduation,YOLO,53737.2
1359,1963,Basic,Married,61782.4
1360,1993,Graduation,Absurd,46872.7
1361,1995,Master,Married,78070.7
1362,1972,Graduation,Married,33752.8
1363,1963,PhD,Single,44260.6
1364,1991,Graduation,Single,55919.8
1365,1950,PhD,Together,57859.3
1366,1988,Graduation,Married,50944.6
1367,1947,Master,Married,24431.6
1368,1975,Basic,Together,96760.2
1369,1977,Graduation,Married,45280.6
1370,1979,Graduation,Together,52205.4
1371,1959,Graduation,Married,62335.2
1372,1974,PhD,Divorced,37269.9
1373,1987,PhD,Divorced,51138.5
1374,1964,PhD,Married,36456.2
1375,1974,Graduation,Married,58311.0
1376,1964,Graduation,Married,44479.5
1377,1968,PhD,Divorced,55374.4
1378,1957,Graduation,Married,29069.3
1379,1985,2n Cycle,Married,33421.7
1380,1957,Graduation,Single,22697.2
1381,1941,Master,Married,35789.4
1382,1993,Graduation,Married,0.0
1383,1974,Graduation,Divorced,43858.0
1384,1955,Master,Married,39315.2
1385,1980,Master,Married,53018.2
1386,1975,2n Cycle,Divorced,50892.2
1387,1972,Graduation,Divorced,75141.6
1388,1943,Graduation,Married,101886.2
1389,1972,Master,Married,72750.8
1390,1953,PhD,Married,40937.8
1391,1960,Graduation,Widow,40132.2
1392,1987,Graduation,Single,67373.3
1393,1959,Graduation,Widow,16333.1
1394,1995,Basic,Together,43695.9
1395,1947,Graduation,Married,45236.9
1396,1946,Graduation,Single,61682.6
1397,1942,Graduation,Married,62277.3
1398,1956,Graduation,Married,35108.8
1399,1972,Graduation,Single,41712.5
1400,1987,PhD,Together,58902.1
1401,1951,Graduation,Absurd,34021.6
1402,1998,Basic,Together,74122.4
1403,1990,Graduation,Together,62183.5
1404,1961,PhD,Single,53430.2
1405,1994,Basic,Married,57818.8
1406,1961,Master,Single,40662.2
1407,1985,PhD,Together,37474.2
1408,1969,Graduation,Widow,41505.6
1409,1977,Graduation,Together,59999.3
1410,1977,Master,Single,54020.3
1411,1984,2n Cycle,Married,41545.7
1412,1990,Master,Together,64991.6
1413,1993,PhD,Married,46521.1
1414,1947,Master,Divorced,36133.8
1415,1966,Graduation,Divorced,55086.8
1416,1966,Graduation,Together,29739.4
1417,1973,PhD,Married,16255.5
1418,1960,2n Cycle,Married,49897.9
1419,1969,Graduation,Single,36851.7
1420,1972,Master,Married,44916.9
1421,1967,Graduation,Married,30665.3
1422,1986,PhD,Together,74178.6
1423,1972,Graduation,Together,36770.1
1424,1944,Graduation,Single,41360.0
1425,1999,Master,Married,57557.7
1426,1987,Graduation,Single,22467.7
1427,1958,Master,Single,20989.0
1428,1943,Master,Divorced,57619.1
1429,1974,2n Cycle,Single,41101.0
1430,1988,Graduation,Married,31970.1
1431,1956,Graduation,Single,62067.5
1432,1983,Graduation,Divorced,33761.6
1433,1967,2n Cycle,Together,44509.8
1434,1969,2n Cycle,Married,32077.4
1435,1968,PhD,Married,56068.7
1436,1985,Basic,Together,76641.5
1437,1992,PhD,Absurd,12779.2
1438,1945,PhD,Married,52253.2
1439,1974,Graduation,Divorced,67131.8
1440,1999,Master,Widow,41570.4
1441,1980,Graduation,Widow,27379.2
1442,1976,Basic,Together,58419.3
1443,1963,Master,Together,70033.1
1444,1968,Master,Married,67810.4
1445,1988,Graduation,Together,57318.2
1446,1985,Graduation,Married,51958.3
1447,1992,Graduation,Together,32019.7
1448,1970,Graduation,Married,67304.9
1449,1974,Graduation,Together,66199.1
1450,1999,2n Cycle,Divorced,27238.8
1451,1972,PhD,Single,57289.6
1452,1991,Graduation,Divorced,63056.5
1453,1960,Graduation,Married,67642.3
1454,1971,Graduation,Divorced,48500.2
1455,1962,PhD,Married,32848.6
1456,1972,PhD,Married,39957.7
1457,1942,2n Cycle,Widow,29855.0
1458,1957,Graduation,Married,48978.8
1459,1964,2n Cycle,Divorced,45062.3
1460,1981,Basic,Married,92900.7
1461,1970,Graduation,Married,67893.5
1462,1993,2n Cycle,Married,69391.0
1463,1997,Graduation,Together,59427.0
1464,1942,Basic,Married,42653.6
1465,1979,Graduation,Single,44492.2
1466,1985,Basic,Married,46322.6
1467,1963,Basic,Single,53764.7
1468,1989,Basic,Absurd,57783.4
1469,1971,Master,Absurd,50014.2
1470,1986,Graduation,Married,44188.0
1471,1961,Graduation,Together,38117.7
1472,1962,Graduation,Married,22147.0
1473,1941,Graduation,Together,75667.6
1474,1966,Master,Divorced,94110.6
1475,1981,Graduation,Widow,73986.7
1476,1941,2n Cycle,Married,24818.7
1477,1965,PhD,Together,65740.3
1478,1956,Basic,Married,70475.5
1479,1979,Graduation,YOLO,41931.2
1480,1972,Basic,Single,59778.5
1481,1948,2n Cycle,Together,40873.9
1482,1982,Graduation,Together,80578.6
1483,1993,PhD,Together,57307.4
1484,1987,Master,Single,31656.9
1485,1978,Graduation,Widow,63396.2
1486,1968,PhD,Single,71175.6
1487,1981,Graduation,Together,53962.6
1488,1994,Graduation,Married,59588.8
1489,1965,Graduation,Married,48604.9
1490,1974,Graduation,Married,27314.4
1491,1989,Graduation,Married,46965.3
1492,1964,Graduation,Single,60460.8
1493,1963,2n Cycle,Single,47439.5
1494,1952,PhD,Married,66015.3
1495,1999,2n Cycle,Together,42156.4
1496,1997,Graduation,Divorced,43468.2
1497,1946,Graduation,Single,66622.4
1498,1996,PhD,Married,54437.1
1499,1975,Graduation,Single,41765.6
1500,1984,Graduation,Single,70676.1
1501,1959,PhD,Together,36225.3
1502,1940,Graduation,Together,35461.0
1503,1947,PhD,Single,0.0
1504,1985,Master,Married,38920.6
1505,1955,Graduation,Single,76174.3
1506,1953,Graduation,Divorced,8554.1
1507,1951,Master,Absurd,30961.6
1508,1990,Graduation,Single,58781.4
1509,1962,Graduation,Married,5102.7
1510,1954,2n Cycle,Divorced,39786.0
1511,1967,Graduation,Widow,72817.3
1512,1973,Master,Married,90860.5
1513,1941,2n Cycle,Single,55804.9
1514,1971,Graduation,Single,31470.7
1515,1962,Graduation,Together,30797.4
1516,1961,Graduation,Married,52898.2
1517,1990,Graduation,Single,55619.3
1518,1964,Graduation,Together,87158.6
1519,1997,Master,Single,69416.1
1520,1961,Graduation,Together,51682.1
1521,1997,PhD,Married,43295.9
1522,1997,2n Cycle,Single,110294.2
1523,1961,Basic,Together,62531.9
1524,1988,PhD,Married,36625.0
1525,1991,Graduation,Absurd,45507.5
1526,1981,PhD,Married,32450.9
1527,1945,PhD,Married,1909.0
1528,1954,Graduation,Together,56253.0
1529,1993,Graduation,Married,85649.1
1530,1982,Basic,Widow,17388.9
1531,1999,Graduation,Married,51105.3
1532,1976,Graduation,Married,35861.9
1533,1972,Graduation,Single,60430.1
1534,1947,Graduation,Married,46553.4
1535,1992,Basic,Divorced,22798.9
1536,1999,Master,Divorced,30377.9
1537,1983,Master,Married,33394.0
1538,1983,Graduation,Married,76886.4
1539,1944,Graduation,Divorced,75865.2
1540,1978,Graduation,Widow,43773.0
1541,1943,Graduation,Single,74556.1
1542,1945,Graduation,Married,46536.3
1543,1984,Master,Married,43466.7
1544,1971,Graduation,Divorced,51142.4
1545,1991,PhD,Single,55696.5
1546,1969,Graduation,Married,38891.1
1547,1986,Graduation,Together,50437.3
1548,1974,Graduation,Single,65746.5
1549,1994,2n Cycle,Married,52590.8
1550,1979,Basic,Married,50855.7
1551,1991,2n Cycle,Married,59883.6
1552,1955,Graduation,Married,63334.1
1553,1952,Graduation,Married,48747.7
1554,1989,PhD,Single,40516.4
1555,1999,Graduation,Together,53784.1
1556,1981,Basic,Divorced,18120.7
1557,1969,Graduation,Together,45793.6
1558,1958,Graduation,Single,568.8
1559,1956,Graduation,Single,16484.2
1560,1995,Graduation,Married,13476.3
1561,1958,Master,Married,70947.0
1562,1967,Graduation,Married,50279.6
1563,1997,Graduation,Together,24759.0
1564,1994,Graduation,Single,59821.3
1565,1965,Graduation,Single,69773.1
1566,1976,Master,Married,60169.7
1567,1965,Basic,Together,46225.8
1568,1992,2n Cycle,Single,54649.7
1569,1962,Master,Together,68029.9
1570,1948,Graduation,Married,40615.1
1571,1951,Master,Divorced,50597.3
1572,1992,Graduation,Divorced,44856.1
1573,1940,Graduation,Married,17731.7
1574,1997,Basic,Married,68331.4
1575,1997,Graduation,Married,91145.4
1576,1940,2n Cycle,Married,32524.1
1577,1986,Graduation,Together,69253.6
1578,1973,PhD,Divorced,33160.1
1579,1971,Master,Together,52655.8
1580,1993,Basic,Divorced,80160.2
1581,1987,PhD,Married,39591.2
1582,1964,PhD,Single,49706.3
1583,1979,Graduation,Together,13969.9
1584,1984,PhD,Married,36715.9
1585,1992,Graduation,Together,11874.6
1586,1940,Master,Married,58583.6
1587,1955,PhD,Single,66632.8
1588,1978,Master,YOLO,45567.3
1589,1944,Graduation,Single,55717.7
1590,1961,Graduation,YOLO,43485.4
1591,1968,Master,Absurd,64810.9
1592,1994,Graduation,Together,52589.2
1593,1942,Graduation,Together,10286.7
1594,1951,Graduation,Together,68799.6
1595,1965,2n Cycle,Divorced,42209.1
1596,1955,Master,Married,24592.4
1597,1990,Graduation,Married,41221.3
1598,1976,Graduation,Together,11958.6
1599,1961,Graduation,Married,25002.2
1600,1996,Master,Married,52859.0
1601,1968,Master,Married,54534.2
1602,1953,Graduation,Together,56128.8
1603,1967,Graduation,Divorced,50064.2
1604,1944,Graduation,Married,36142.7
1605,1986,Master,Widow,48910.8
1606,1988,Master,Together,41255.9
1607,1969,Graduation,Divorced,17484.4
1608,1985,Graduation,Together,34551.7
1609,1991,Graduation,Together,67790.8
1610,1944,2n Cycle,Single,81765.9
1611,1951,Graduation,Divorced,63025.5
1612,1955,Master,Single,80874.0
1613,1965,PhD,Divorced,51707.8
1614,1965,Graduation,YOLO,84847.5
1615,1987,Graduation,Married,91089.8
1616,1960,Graduation,Married,15330.6
1617,1978,PhD,Together,54429.9
1618,1975,Master,Married,51728.6
1619,1972,PhD,Divorced,41517.9
1620,1969,PhD,Single,59838.3
1621,1976,Graduation,Single,50822.5
1622,1962,2n Cycle,Absurd,35291.0
1623,1997,Master,Together,49467.9
1624,1949,Graduation,Divorced,74091.9
1625,1993,2n Cycle,Married,53650.8
1626,1944,PhD,Together,62539.1
1627,1975,PhD,Together,44458.9
1628,1973,Master,Together,59041.3
1629,1991,Basic,Together,25815.7
1630,1970,Master,Together,40005.6
1631,1949,Graduation,Married,47946.6
1632,1997,Graduation,Married,24473.3
1633,1958,2n Cycle,Together,33395.7
1634,1997,Graduation,Married,56262.2
1635,1971,Graduation,Together,52596.6
1636,1940,Graduation,Married,66127.3
1637,1995,Graduation,Together,37989.8
1638,1944,PhD,Together,51152.0
1639,1984,2n Cycle,Married,36562.7
1640,1943,Graduation,Single,64122.6
1641,1955,Graduation,Single,73814.9
1642,1963,Graduation,Together,59666.5
1643,1955,Basic,Divorced,71223.9
1644,1994,PhD,Single,50650.0
1645,1941,Graduation,Together,66111.9
1646,1988,Basic,Married,51508.4
1647,1967,Basic,Married,29501.4
1648,1971,Basic,Widow,54934.4
1649,1966,2n Cycle,Married,30094.1
1650,1959,Graduation,Married,96782.6
1651,1963,Master,Single,43318.2
1652,1951,Graduation,Single,62900.8
1653,1989,Basic,Married,49751.7
1654,1974,Master,Single,25327.7
1655,1999,Master,Together,12029.5
1656,1972,Master,Married,64980.3
1657,1972,Graduation,Married,80986.8
1658,1990,PhD,Single,35303.9
1659,1982,2n Cycle,Married,16866.1
1660,1976,2n Cycle,Together,43496.7
1661,1951,Graduation,Absurd,31257.7
1662,1942,Graduation,Single,36993.7
1663,1940,Graduation,Divorced,62207.5
1664,1972,Master,Together,48990.7
1665,1979,Basic,Together,33409.8
1666,1949,Graduation,Married,61770.0
1667,1982,PhD,Single,63337.4
1668,1983,Basic,Single,43258.9
1669,1968,Master,Together,52758.3
1670,1952,PhD,Married,60410.0
1671,1951,PhD,Widow,58522.1
1672,1970,PhD,Married,50812.3
1673,1985,Graduation,Single,78651.7
1674,1941,PhD,Together,61653.6
1675,1990,Master,Married,40986.4
1676,1989,Basic,Married,41106.6
1677,1974,PhD,Together,38838.3
1678,1962,Master,Widow,62642.4
1679,1956,Graduation,Together,37545.0
1680,1965,Graduation,Together,41502.0
1681,1947,Graduation,Together,71160.4
1682,1968,Graduation,Widow,53832.6
1683,1965,Master,Married,73970.7
1684,1949,2n Cycle,Single,65961.2
1685,1965,Graduation,Married,26466.6
1686,1973,Graduation,Married,47957.3
1687,1990,Basic,Together,69799.0
1688,1980,Graduation,Together,25556.5
1689,1946,PhD,Together,58394.2
1690,1943,Master,Single,49215.3
1691,1997,PhD,Together,14904.2
1692,1992,Graduation,Married,52393.2
1693,1989,Graduation,Together,33250.6
1694,1984,Master,Together,26647.0
1695,1950,PhD,Married,50182.8
1696,1968,Graduation,Single,11382.9
1697,1995,Master,Single,36514.2
1698,1975,Graduation,Divorced,101023.5
1699,1964,Master,Widow,63004.4
1700,1960,Graduation,Together,32371.5
1701,1996,2n Cycle,Single,78083.3
1702,1975,Graduation,Married,30159.1
1703,1949,Graduation,Together,38926.1
1704,1976,Graduation,Together,27023.0
1705,1948,Graduation,Single,55121.6
1706,1963,Basic,Single,77372.6
1707,1974,2n Cycle,Together,30019.9
1708,1988,Graduation,Married,8791.1
1709,1974,Graduation,Married,71819.3
1710,1987,Master,Single,81076.0
1711,1975,Basic,Married,10098.4
1712,1957,PhD,Divorced,59201.1
1713,1988,Graduation,Absurd,54530.1
1714,1978,Graduation,Together,34250.5
1715,1971,Master,Married,22112.9
1716,1963,Graduation,Single,69835.0
1717,1962,PhD,Married,53581.4
1718,1971,Graduation,Married,55088.5
1719,1976,Master,Together,37564.6
1720,1951,Graduation,Married,33961.8
1721,1988,PhD,Married,900.5
1722,1994,Graduation,Single,45439.4
1723,1952,PhD,Married,78776.5
1724,1962,Graduation,Single,32194.9
1725,1964,PhD,Single,19551.7
1726,1974,PhD,YOLO,58713.3
1727,1980,PhD,Married,62401.6
1728,1969,PhD,Married,38281.9
1729,1956,Master,Divorced,43024.7
1730,1988,Basic,YOLO,55278.1
1731,1959,Graduation,Together,46889.0
