ID,Marital_Status,Income
1155,Single,48816.0
1156,Together,20706.1
1157,Single,76296.3
1158,Married,49857.5
1159,Married,53563.5
1160,Single,105377.8
1161,Divorced,38130.5
1162,Married,84971.5
1163,Widow,42185.4
1164,Absurd,45329.8
1165,Together,102763.5
1166,Single,46778.2
1167,Married,22512.6
1168,Together,55638.4
1169,Married,46545.3
1170,Single,57341.9
1171,Together,47328.0
1172,Divorced,94310.9
1173,Together,61134.7
1174,Single,28500.7
1175,Together,52490.9
1176,Married,34007.4
1177,Married,45045.7
1178,Divorced,31791.2
1179,Married,92142.4
1180,Married,36172.3
1181,Single,63751.3
1182,Divorced,43530.4
1183,Together,26831.7
1184,Together,53953.0
1185,Together,58013.8
1186,Single,61172.5
1187,Married,0.0
1188,Married,25303.1
1189,Single,69151.1
1190,Married,31527.9
1191,Widow,54058.9
1192,Single,
1193,Married,64632.0
1194,Married,68625.4
1195,Married,64638.2
1196,Widow,70651.1
1197,Married,81278.0
1198,Married,26518.5
1199,Together,34226.6
1200,Single,67950.9
1201,Married,72604.4
1202,Married,36513.1
1203,Together,
1204,YOLO,36955.7
1205,Together,17898.1
1206,Married,24571.8
1207,Divorced,25054.1
1208,Single,44118.0
1209,Single,55416.7
1210,Married,58669.5
1211,Married,39828.8
1212,Married,40320.3
1213,Together,52473.2
1214,Widow,20079.7
1215,Married,69188.8
1216,Married,75707.7
1217,Single,37488.4
1218,Single,42031.3
1219,Together,74866.2
1220,Married,47539.0
1221,Divorced,61764.9
1222,Single,48153.9
1223,Single,81126.1
1224,Married,59801.6
1225,Married,60953.1
1226,Single,61326.1
1227,Together,38897.7
1228,Single,40735.2
1229,Together,65384.9
1230,Married,52528.3
1231,Single,26447.8
1232,Married,87462.1
1233,Divorced,69561.4
1234,Married,50752.5
1235,Together,44530.0
1236,Single,53973.5
1237,Together,60350.4
1238,Married,9340.0
1239,Together,92247.0
1240,Together,34202.3
1241,Widow,49961.9
1242,Married,50697.3
1243,Single,89937.0
1244,Single,48237.5
1245,Divorced,81770.1
1246,Married,58134.5
1247,Together,30762.3
1248,Married,52694.1
1249,Married,47629.8
1250,Single,28318.6
1251,Absurd,57154.5
1252,Together,50442.1
1253,Widow,61128.4
1254,Married,53867.1
1255,Together,36977.9
1256,Together,65366.7
1257,Married,37512.0
1258,Divorced,0.0
1259,Widow,52573.1
1260,Divorced,38918.5
1261,Together,57642.6
1262,Married,89977.4
1263,Married,90554.8
1264,Absurd,46697.5
1265,Single,33469.7
1266,Together,61693.7
1267,Together,42595.5
1268,Together,57835.5
1269,YOLO,36782.8
1270,Married,55013.8
1271,Married,33760.5
1272,Single,73685.1
1273,Married,38200.4
1274,Married,63222.1
1275,Married,24704.7
1276,Divorced,65623.5
1277,Widow,30672.3
1278,Single,55223.5
1279,Married,70464.0
1280,Widow,46000.3
1281,Single,29416.7
1282,Single,59936.3
1283,Single,33180.4
1284,Together,41915.1
1285,Single,55309.3
1286,Absurd,77213.5
1287,Married,50531.1
1288,Married,50457.2
1289,Married,64750.3
1290,Married,51007.4
1291,Together,62710.6
1292,Together,71570.7
1293,Together,43445.3
1294,Together,0.0
1295,Widow,33641.5
1296,Divorced,74173.6
1297,Together,49324.7
1298,Single,43217.4
1299,Single,73335.7
1300,Married,47973.5
1301,Together,8149.3
1302,Married,19894.0
1303,Married,58373.0
1304,Divorced,48662.2
1305,Divorced,79093.1
1306,Widow,35334.6
1307,Married,43810.0
1308,Together,32309.9
1309,Married,39588.1
1310,Single,12161.9
1311,Single,42286.3
1312,Married,48962.6
1313,Married,47273.4
1314,Divorced,92991.1
1315,Single,86669.7
1316,Together,34982.0
1317,Married,9121.3
1318,Married,48016.0
1319,Married,57530.2
1320,Married,32790.3
1321,Together,33780.5
1322,Married,81651.1
1323,Single,44849.0
1324,Single,63245.0
1325,Married,31393.9
1326,Widow,48861.2
1327,Married,43273.2
1328,Together,36492.5
1329,Together,73106.0
1330,Widow,22222.5
1331,Divorced,56001.1
1332,Together,42897.6
1333,Together,58296.5
1334,Divorced,43168.5
1335,Married,67343.9
1336,Married,31205.9
1337,Single,73151.1
1338,Divorced,49423.9
1339,Divorced,23429.9
1340,Single,63604.3
1341,Together,46023.0
1342,Married,15843.2
1343,Single,56649.4
1344,YOLO,70131.9
1345,Married,75642.7
1346,Single,42433.0
1347,Together,52906.4
1348,Together,51010.7
1349,Single,79796.1
1350,Together,33790.2
1351,Married,40706.8
1352,Single,33305.6
1353,Single,21017.0
1354,Together,54955.7
1355,Married,82026.0
1356,Widow,46030.3
1357,Divorced,32362.1
1358,YOLO,53737.2
1359,Married,61782.4
1360,Absurd,46872.7
1361,Married,78070.7
1362,Married,33752.8
1363,Single,44260.6
1364,Single,55919.8
1365,Together,57859.3
1366,Married,50944.6
1367,Married,24431.6
1368,Together,96760.2
1369,Married,45280.6
1370,Together,52205.4
1371,Married,62335.2
1372,Divorced,37269.9
1373,Divorced,51138.5
1374,Married,36456.2
1375,Married,58311.0
1376,Married,44479.5
1377,Divorced,55374.4
1378,Married,29069.3
1379,Married,33421.7
1380,Single,22697.2
1381,Married,35789.4
1382,Married,0.0
1383,Divorced,43858.0
1384,Married,39315.2
1385,Married,53018.2
1386,Divorced,50892.2
1387,Divorced,75141.6
1388,Married,101886.2
1389,Married,72750.8
1390,Married,40937.8
1391,Widow,40132.2
1392,Single,67373.3
1393,Widow,16333.1
1394,Together,43695.9
1395,Married,45236.9
1396,Single,61682.6
1397,Married,62277.3
1398,Married,35108.8
1399,Single,41712.5
1400,Together,58902.1
1401,Absurd,34021.6
1402,Together,74122.4
1403,Together,62183.5
1404,Single,53430.2
1405,Married,57818.8
1406,Single,40662.2
1407,Together,37474.2
1408,Widow,41505.6
1409,Together,59999.3
1410,Single,54020.3
1411,Married,41545.7
1412,Together,64991.6
1413,Married,46521.1
1414,Divorced,36133.8
1415,Divorced,55086.8
1416,Together,29739.4
1417,Married,16255.5
1418,Married,49897.9
1419,Single,36851.7
1420,Married,44916.9
1421,Married,30665.3
1422,Together,74178.6
1423,Together,36770.1
1424,Single,41360.0
1425,Married,57557.7
1426,Single,22467.7
1427,Single,20989.0
1428,Divorced,57619.1
1429,Single,41101.0
1430,Married,31970.1
1431,Single,62067.5
1432,Divorced,33761.6
1433,Together,44509.8
1434,Married,32077.4
1435,Married,56068.7
1436,Together,76641.5
1437,Absurd,12779.2
1438,Married,52253.2
1439,Divorced,67131.8
1440,Widow,41570.4
1441,Widow,27379.2
1442,Together,58419.3
1443,Together,70033.1
1444,Married,67810.4
1445,Together,57318.2
1446,Married,51958.3
1447,Together,32019.7
1448,Married,67304.9
1449,Together,66199.1
1450,Divorced,27238.8
1451,Single,57289.6
1452,Divorced,63056.5
1453,Married,67642.3
1454,Divorced,48500.2
1455,Married,32848.6
1456,Married,39957.7
1457,Widow,29855.0
1458,Married,48978.8
1459,Divorced,45062.3
1460,Married,92900.7
1461,Married,67893.5
1462,Married,69391.0
1463,Together,59427.0
1464,Married,42653.6
1465,Single,44492.2
1466,Married,46322.6
1467,Single,53764.7
1468,Absurd,57783.4
1469,Absurd,50014.2
1470,Married,44188.0
1471,Together,38117.7
1472,Married,22147.0
1473,Together,75667.6
1474,Divorced,94110.6
1475,Widow,73986.7
1476,Married,24818.7
1477,Together,65740.3
1478,Married,70475.5
1479,YOLO,41931.2
1480,Single,59778.5
1481,Together,40873.9
1482,Together,80578.6
1483,Together,57307.4
1484,Single,31656.9
1485,Widow,63396.2
1486,Single,71175.6
1487,Together,53962.6
1488,Married,59588.8
1489,Married,48604.9
1490,Married,27314.4
1491,Married,46965.3
1492,Single,60460.8
1493,Single,47439.5
1494,Married,66015.3
1495,Together,42156.4
1496,Divorced,43468.2
1497,Single,66622.4
1498,Married,54437.1
1499,Single,41765.6
1500,Single,70676.1
1501,Together,36225.3
1502,Together,35461.0
1503,Single,0.0
1504,Married,38920.6
1505,Single,76174.3
1506,Divorced,8554.1
1507,Absurd,30961.6
1508,Single,58781.4
1509,Married,5102.7
1510,Divorced,39786.0
1511,Widow,72817.3
1512,Married,90860.5
1513,Single,55804.9
1514,Single,31470.7
1515,Together,30797.4
1516,Married,52898.2
1517,Single,55619.3
1518,Together,87158.6
1519,Single,69416.1
1520,Together,51682.1
1521,Married,43295.9
1522,Single,110294.2
1523,Together,62531.9
1524,Married,36625.0
1525,Absurd,45507.5
1526,Married,32450.9
1527,Married,1909.0
1528,Together,56253.0
1529,Married,85649.1
1530,Widow,17388.9
1531,Married,51105.3
1532,Married,35861.9
1533,Single,60430.1
1534,Married,46553.4
1535,Divorced,22798.9
1536,Divorced,30377.9
1537,Married,33394.0
1538,Married,76886.4
1539,Divorced,75865.2
1540,Widow,43773.0
1541,Single,74556.1
1542,Married,46536.3
1543,Married,43466.7
1544,Divorced,51142.4
1545,Single,55696.5
1546,Married,38891.1
1547,Together,50437.3
1548,Single,65746.5
1549,Married,52590.8
1550,Married,50855.7
1551,Married,59883.6
1552,Married,63334.1
1553,Married,48747.7
1554,Single,40516.4
1555,Together,53784.1
1556,Divorced,18120.7
1557,Together,45793.6
1558,Single,568.8
1559,Single,16484.2
1560,Married,13476.3
1561,Married,70947.0
1562,Married,50279.6
1563,Together,24759.0
1564,Single,59821.3
1565,Single,69773.1
1566,Married,60169.7
1567,Together,46225.8
1568,Single,54649.7
1569,Together,68029.9
1570,Married,40615.1
1571,Divorced,50597.3
1572,Divorced,44856.1
1573,Married,17731.7
1574,Married,68331.4
1575,Married,91145.4
1576,Married,32524.1
1577,Together,69253.6
1578,Divorced,33160.1
1579,Together,52655.8
1580,Divorced,80160.2
1581,Married,39591.2
1582,Single,49706.3
1583,Together,13969.9
1584,Married,36715.9
1585,Together,11874.6
1586,Married,58583.6
1587,Single,66632.8
1588,YOLO,45567.3
1589,Single,55717.7
1590,YOLO,43485.4
1591,Absurd,64810.9
1592,Together,52589.2
1593,Together,10286.7
1594,Together,68799.6
1595,Divorced,42209.1
1596,Married,24592.4
1597,Married,41221.3
1598,Together,11958.6
1599,Married,25002.2
1600,Married,52859.0
1601,Married,54534.2
1602,Together,56128.8
1603,Divorced,50064.2
1604,Married,36142.7
1605,Widow,48910.8
1606,Together,41255.9
1607,Divorced,17484.4
1608,Together,34551.7
1609,Together,67790.8
1610,Single,81765.9
1611,Divorced,63025.5
1612,Single,80874.0
1613,Divorced,51707.8
1614,YOLO,84847.5
1615,Married,91089.8
1616,Married,15330.6
1617,Together,54429.9
1618,Married,51728.6
1619,Divorced,41517.9
1620,Single,59838.3
1621,Single,50822.5
1622,Absurd,35291.0
1623,Together,49467.9
1624,Divorced,74091.9
1625,Married,53650.8
1626,Together,62539.1
1627,Together,44458.9
1628,Together,59041.3
1629,Together,25815.7
1630,Together,40005.6
1631,Married,47946.6
1632,Married,24473.3
1633,Together,33395.7
1634,Married,56262.2
1635,Together,52596.6
1636,Married,66127.3
1637,Together,37989.8
1638,Together,51152.0
1639,Married,36562.7
1640,Single,64122.6
1641,Single,73814.9
1642,Together,59666.5
1643,Divorced,71223.9
1644,Single,50650.0
1645,Together,66111.9
1646,Married,51508.4
1647,Married,29501.4
1648,Widow,54934.4
1649,Married,30094.1
1650,Married,96782.6
1651,Single,43318.2
1652,Single,62900.8
1653,Married,49751.7
1654,Single,25327.7
1655,Together,12029.5
1656,Married,64980.3
1657,Married,80986.8
1658,Single,35303.9
1659,Married,16866.1
1660,Together,43496.7
1661,Absurd,31257.7
1662,Single,36993.7
1663,Divorced,62207.5
1664,Together,48990.7
1665,Together,33409.8
1666,Married,61770.0
1667,Single,63337.4
1668,Single,43258.9
1669,Together,52758.3
1670,Married,60410.0
1671,Widow,58522.1
1672,Married,50812.3
1673,Single,78651.7
1674,Together,61653.6
1675,Married,40986.4
1676,Married,41106.6
1677,Together,38838.3
1678,Widow,62642.4
1679,Together,37545.0
1680,Together,41502.0
1681,Together,71160.4
1682,Widow,53832.6
1683,Married,73970.7
1684,Single,65961.2
1685,Married,26466.6
1686,Married,47957.3
1687,Together,69799.0
1688,Together,25556.5
1689,Together,58394.2
1690,Single,49215.3
1691,Together,14904.2
1692,Married,52393.2
1693,Together,33250.6
1694,Together,26647.0
1695,Married,50182.8
1696,Single,11382.9
1697,Single,36514.2
1698,Divorced,101023.5
1699,Widow,63004.4
1700,Together,32371.5
1701,Single,78083.3
1702,Married,30159.1
1703,Together,38926.1
1704,Together,27023.0
1705,Single,55121.6
1706,Single,77372.6
1707,Together,30019.9
1708,Married,8791.1
1709,Married,71819.3
1710,Single,81076.0
1711,Married,10098.4
1712,Divorced,59201.1
1713,Absurd,54530.1
1714,Together,34250.5
1715,Married,22112.9
1716,Single,69835.0
1717,Married,53581.4
1718,Married,55088.5
1719,Together,37564.6
1720,Married,33961.8
1721,Married,900.5
1722,Single,45439.4
1723,Married,78776.5
1724,Single,32194.9
1725,Single,19551.7
1726,YOLO,58713.3
1727,Married,62401.6
1728,Married,38281.9
1729,Divorced,43024.7
1730,YOLO,55278.1
1731,Together,46889.0
1732,Divorced,70002.6
1733,Married,98744.9
1734,Married,15816.7
1735,Married,74595.1
1736,Together,52105.2
1737,Together,77764.0
1738,Married,64487.1
1739,Single,51223.1
1740,Together,65200.5
1741,Single,42116.9
1742,Together,34514.0
1743,Together,66217.3
1744,Together,33113.4
1745,Together,62847.5
1746,Divorced,50615.0
1747,Married,3411.2
1748,Together,38512.4
1749,Together,56696.8
1750,Single,41880.0
1751,Single,0.0
1752,Married,76415.0
1753,Married,53387.5
1754,Together,58874.8
1755,Divorced,40534.5
1756,Single,60629.8
1757,Single,86696.4
1758,Absurd,35298.5
1759,Single,83340.3
1760,Married,57971.3
1761,Together,32611.3
1762,Married,94247.8
1763,Single,57832.8
1764,Single,63529.6
1765,Single,44613.0
1766,Together,34073.5
1767,Married,53356.3
1768,Married,81629.3
1769,Together,43806.8
1770,Divorced,49465.0
1771,Single,79126.6
1772,Married,43993.5
1773,Together,60205.5
1774,Married,67547.0
1775,Married,46064.4
1776,Together,56196.8
1777,Divorced,63222.1
1778,Divorced,41981.7
1779,Together,66315.3
1780,Together,39060.3
1781,Married,36498.2
1782,Together,19459.2
1783,Married,39930.8
1784,Single,33689.9
1785,Together,41982.5
1786,Together,62239.9
1787,Married,15486.5
1788,Widow,10506.6
1789,Single,35018.4
1790,Married,59224.6
1791,Single,55777.3
1792,Together,34698.8
1793,Together,73388.2
1794,Married,36831.8
1795,Together,59249.1
1796,Married,42744.3
1797,Together,32624.5
1798,Married,37898.7
1799,Married,64680.0
1800,Widow,57220.5
1801,Married,69362.1
1802,Single,57219.7
1803,Together,17776.6
1804,Absurd,92288.3
1805,Married,57503.4
1806,Single,60293.4
1807,Married,42463.2
1808,Married,72263.6
1809,Single,28137.8
1810,Together,62196.6
1811,YOLO,8407.3
1812,Married,63544.2
1813,Married,28409.0
1814,Married,55539.9
1815,Single,77146.8
1816,Divorced,66454.3
1817,Married,74487.6
1818,Married,72417.0
1819,Together,39514.3
1820,Married,61966.6
1821,Together,15501.7
1822,Single,36261.3
1823,Divorced,77853.1
1824,Widow,42299.3
1825,Together,12640.0
1826,Absurd,90274.0
1827,Single,61245.0
1828,Married,65289.6
1829,Together,30390.6
1830,Together,55681.1
1831,Married,55151.5
1832,Married,33570.3
1833,Single,46603.6
1834,Married,19990.6
1835,Single,43065.8
1836,Together,69476.9
1837,Married,
1838,Single,88146.0
1839,Together,21278.2
1840,Together,
1841,Divorced,36871.4
1842,Together,46396.4
1843,Married,77429.5
1844,Divorced,30310.9
1845,Married,40974.6
1846,Single,63090.1
1847,Together,51863.2
1848,Widow,53503.5
1849,Married,30694.5
1850,Married,48568.3
1851,Single,72631.6
1852,Single,17809.6
1853,Married,36053.8
1854,Together,13689.2
1855,Single,60739.5
1856,Widow,74509.4
1857,Together,46331.8
1858,Together,29889.6
1859,Divorced,30475.1
1860,Single,44058.9
1861,Married,43982.6
1862,Together,68236.6
1863,Divorced,36622.5
1864,Together,58701.6
1865,Married,43890.6
1866,Widow,35104.9
1867,Single,43392.5
1868,Divorced,56730.8
1869,Absurd,68298.7
1870,Single,44960.5
1871,Together,25921.2
1872,Single,69994.3
1873,Married,32036.6
1874,Married,55216.5
1875,Together,
1876,Widow,46828.6
1877,Together,40260.5
1878,Married,62403.0
1879,Divorced,0.0
1880,Absurd,72729.4
1881,Single,31749.8
1882,YOLO,58159.1
1883,Single,57100.5
1884,Divorced,75499.5
1885,Married,53955.0
1886,Single,33417.8
1887,Married,17904.9
1888,Together,43023.9
1889,Married,10836.5
1890,Single,37430.3
1891,Together,44147.4
1892,Widow,36201.7
1893,Married,50835.5
1894,Married,45277.9
1895,Married,43446.3
1896,Single,1517.0
1897,Divorced,24105.9
1898,Divorced,62853.1
1899,Together,66085.1
1900,Married,13224.5
1901,Together,33705.6
1902,Together,71439.3
1903,Divorced,35639.2
1904,Together,47770.2
1905,Together,78836.1
1906,Together,42768.5
1907,Married,39905.6
1908,Absurd,46859.3
1909,Married,87068.2
1910,Together,58924.0
1911,Married,50381.6
1912,Together,39512.8
1913,Together,60776.3
1914,Single,63194.0
1915,Single,28536.4
1916,Together,63732.6
1917,Together,46977.0
1918,Married,50496.0
1919,Married,32314.2
1920,Together,42000.4
1921,Single,29397.2
1922,Married,28435.6
1923,Single,57541.8
1924,Single,42897.7
1925,Married,24007.2
1926,Married,93541.1
1927,Single,27506.9
1928,Married,71842.1
1929,Married,20470.7
1930,Married,59130.0
1931,Married,44988.8
1932,Divorced,37418.9
1933,Single,53934.8
1934,Married,51245.2
1935,Single,33750.7
1936,Single,32845.2
1937,Together,18521.7
1938,Together,56111.3
1939,Divorced,24923.9
1940,Together,50079.5
1941,Absurd,61849.6
1942,Single,54161.1
1943,Single,35537.4
1944,Single,68176.2
1945,Single,41840.6
1946,Married,23316.8
1947,Together,44325.4
1948,Single,61735.9
1949,Widow,36511.7
1950,Divorced,67563.6
1951,Married,34593.5
1952,Single,37315.7
1953,Single,29078.4
1954,Single,63674.2
1955,Single,48935.1
1956,Married,30404.8
1957,Married,42075.8
1958,Married,0.0
1959,YOLO,65559.4
1960,Together,46585.1
1961,Widow,1875.2
1962,Single,20866.4
1963,Married,41568.1
1964,Together,23716.6
1965,Single,65867.0
1966,Single,58371.5
1967,Together,57190.7
1968,Together,0.0
1969,Married,39490.8
1970,Married,36047.7
1971,Married,30918.9
1972,Single,41696.5
1973,Married,27475.2
1974,Single,54304.4
1975,Single,65331.0
1976,Absurd,63607.7
1977,Together,47241.8
1978,Together,89984.8
1979,Married,72799.5
1980,Married,47968.8
1981,Married,40354.6
1982,Single,76760.5
1983,Single,70151.6
1984,Together,21791.5
1985,Together,71716.4
1986,Married,46912.5
1987,Married,32781.8
1988,Widow,10415.9
1989,Single,44621.7
1990,Married,49755.4
1991,Married,81746.6
1992,Together,69144.7
1993,YOLO,38342.3
1994,Married,57786.8
1995,Divorced,66525.0
1996,Divorced,51719.1
1997,Married,38256.9
1998,Married,39356.6
1999,Married,57709.5
2000,Absurd,58259.6
2001,Single,
2002,Together,0.0
2003,Married,24189.5
2004,Together,62393.8
2005,Married,7383.2
2006,Together,73683.6
2007,Divorced,70723.1
2008,Divorced,50821.9
2009,Divorced,61958.6
2010,Single,60575.5
2011,Together,47662.5
2012,Single,22522.2
2013,Married,69345.5
2014,Married,78144.6
2015,Married,25828.2
2016,Married,21774.9
2017,YOLO,47264.1
2018,Single,37475.5
2019,Together,52899.0
2020,Married,74159.9
2021,Single,5086.6
2022,Single,81625.4
2023,Widow,41866.6
2024,Divorced,60235.6
2025,Widow,62374.5
2026,YOLO,64706.8
2027,Married,51238.2
2028,Married,
2029,Together,55780.4
2030,Married,37394.3
2031,Married,14838.9
2032,Married,25616.3
2033,Together,47915.2
2034,Together,34263.9
2035,Single,34310.1
2036,Married,85985.0
2037,Together,67177.9
2038,Together,44958.5
2039,Married,63440.7
2040,Together,41594.6
2041,Single,52214.5
2042,Married,58832.6
2043,Together,41647.9
2044,Together,36295.0
2045,Married,74478.6
2046,Together,62282.3
2047,Together,4907.8
2048,Together,36637.3
2049,Together,34374.6
2050,Together,37577.2
2051,Married,67248.0
2052,Single,50384.1
2053,Married,22207.4
2054,Married,42335.7
2055,Together,60834.8
2056,Married,45607.1
2057,Married,37106.5
2058,Single,56624.4
2059,Married,82363.8
2060,Married,59228.5
2061,Together,76018.8
2062,Single,38447.7
2063,Together,49832.8
2064,Widow,49429.0
2065,Single,52373.6
2066,Married,58810.4
2067,Single,31620.6
2068,Together,62946.7
2069,Together,17442.3
2070,Married,23284.9
2071,Married,92712.5
2072,Divorced,39797.6
2073,Single,64590.4
2074,Single,83965.8
2075,Divorced,3710.9
2076,Together,72524.9
2077,Divorced,62978.9
2078,Together,82807.9
2079,Divorced,26369.5
2080,Married,79025.1
2081,Together,35211.7
2082,Widow,71095.6
2083,Together,49279.6
2084,Single,65415.4
2085,Married,50977.4
2086,Single,13212.0
2087,Married,0.0
2088,Married,54198.3
2089,Together,44725.3
2090,Together,57964.4
2091,Married,44956.9
2092,Together,90361.5
2093,Single,54610.7
2094,Single,41061.0
2095,Single,56747.3
2096,Married,41426.5
2097,Married,51858.6
2098,Married,25650.4
2099,Married,49828.3
2100,Divorced,40443.0
2101,Single,27545.3
2102,Together,89514.7
2103,Together,28325.3
2104,Together,50139.3
2105,Widow,33943.8
2106,Single,55940.8
2107,Single,24512.3
2108,Divorced,66807.1
2109,Married,90723.1
2110,Together,33209.2
2111,Together,74339.4
2112,Together,42362.4
2113,Widow,
2114,YOLO,93770.0
2115,Together,45325.9
2116,Married,19594.7
2117,Divorced,68961.7
2118,Single,54488.3
2119,Married,60035.8
2120,Divorced,43203.1
2121,Married,32310.1
2122,Married,73207.0
2123,Single,56395.8
2124,Divorced,21128.9
2125,Married,63737.5
2126,Together,59723.4
2127,Married,43494.0
2128,Together,82396.3
2129,Together,37636.5
2130,Married,46620.3
2131,Married,65373.0
2132,Married,
2133,Absurd,22311.5
2134,Together,53676.0
2135,Widow,41712.2
2136,Married,67139.9
2137,Together,53024.4
2138,Together,51890.2
2139,Together,29035.0
2140,Absurd,45399.5
2141,Married,69402.0
2142,Single,34469.3
2143,Together,49349.0
2144,Together,31271.1
2145,Together,26323.1
2146,Married,48302.8
2147,Married,53476.0
2148,Married,89877.3
2149,Married,40890.8
2150,Together,48996.6
2151,Together,24998.5
2152,Married,62244.8
2153,Married,57961.9
2154,Married,79767.9
2155,Single,72232.4
2156,Together,57028.1
2157,Widow,40598.6
2158,Married,54093.4
2159,Together,47779.7
2160,Divorced,69068.0
2161,Divorced,66524.6
2162,Single,44071.7
2163,Absurd,20760.1
2164,Married,76667.7
2165,Married,61637.5
2166,Single,43610.2
2167,Married,60857.5
2168,Single,51497.2
2169,Married,76372.4
2170,Married,11404.4
2171,Divorced,42056.2
2172,Divorced,81981.1
2173,Married,61264.0
2175,Divorced,85452.1
2176,Divorced,25563.9
2177,Together,71443.9
2178,Single,70244.5
2179,Together,16365.4
2180,Widow,44090.0
2181,Together,47869.4
2182,Married,17608.9
2183,Married,44508.0
2184,Together,67463.7
2185,Married,42181.5
2186,Single,54842.7
2187,Married,54987.4
2188,Divorced,49757.1
2189,Divorced,35896.4
2190,Single,63176.3
2191,Absurd,18259.3
2192,Married,50171.8
2193,Together,77709.7
2194,Together,41052.5
2195,Divorced,35453.6
2196,Widow,64510.3
2197,Married,53268.6
2198,Divorced,64908.9
2199,Single,50770.0
2200,Together,2234.2
2201,Together,73598.3
2202,Together,91400.5
2203,Married,75680.8
2204,Divorced,0.0
2205,Single,59021.8
2206,Single,40665.1
2207,Together,28315.1
2208,Married,52454.6
2209,Divorced,47021.1
2210,Married,60173.2
2211,Single,51131.6
2212,Divorced,27583.8
2213,Married,38468.0
2214,Single,35240.8
2215,Together,15670.3
2216,Married,22567.1
2217,Together,45778.6
2218,Married,78475.1
2219,Divorced,39288.9
2220,Divorced,34851.4
2221,Together,26374.3
2222,Single,50610.7
2223,Divorced,73585.2
2224,Together,90053.7
2225,Together,55708.0
2226,Married,52799.9
2227,Divorced,39130.5
2228,Together,42468.7
2229,Single,62583.5
2230,Married,43702.5
2231,Divorced,46754.4
2232,Single,49493.1
