iso_code,continent,location,date,total_cases,new_cases
USA,North America,United States,30/08/2020,664785,46
AFG,Asia,Afghanistan,09/04/2020,664869,84
USA,North America,United States,06/04/2020,664869,0
USA,North America,United States,21/03/2020,669479,4610
USA,North America,United States,18/05/2020,669812,333
AFG,Asia,Afghanistan,30/07/2020,669908,96
ZAF,Africa,South Africa,27/05/2020,669908,0
IND,Asia,India,29/06/2020,669908,0
ZAF,Africa,South Africa,01/09/2020,669913,5
BRA,South America,Brazil,04/03/2020,683721,13808
BRA,South America,Brazil,03/07/2020,683936,215
ZAF,Africa,South Africa,23/04/2020,684985,1049
IND,Asia,India,21/03/2020,689951,4966
IND,Asia,India,25/06/2020,691231,1280
USA,North America,United States,14/08/2020,694903,3672
USA,North America,United States,25/04/2020,694990,87
BRA,South America,Brazil,24/07/2020,695365,375
USA,North America,United States,09/04/2020,695420,55
USA,North America,United States,28/06/2020,695587,167
IND,Asia,India,13/08/2020,699034,3447
AFG,Asia,Afghanistan,26/04/2020,699453,419
ZAF,Africa,South Africa,27/02/2020,699607,154
GBR,Europe,United Kingdom,10/03/2020,765229,65622
GBR,Europe,United Kingdom,20/08/2020,766305,1076
USA,North America,United States,07/05/2020,766803,498
USA,North America,United States,14/06/2020,766803,0
ZAF,Africa,South Africa,03/06/2020,773310,6507
GBR,Europe,United Kingdom,17/08/2020,773407,97
IND,Asia,India,03/09/2020,773421,14
GBR,Europe,United Kingdom,07/09/2020,773436,15
GBR,Europe,United Kingdom,08/04/2020,839143,65707
GBR,Europe,United Kingdom,03/07/2020,839505,362
USA,North America,United States,11/03/2020,840196,691
USA,North America,United States,06/08/2020,840228,32
ZAF,Africa,South Africa,28/02/2020,865789,25561
GBR,Europe,United Kingdom,16/08/2020,880075,14286
USA,North America,United States,07/04/2020,880113,38
ZAF,Africa,South Africa,02/08/2020,880113,0
GBR,Europe,United Kingdom,15/03/2020,880239,126
IND,Asia,India,05/09/2020,881830,1591
USA,North America,United States,01/05/2020,882399,569
AFG,Asia,Afghanistan,26/03/2020,883857,1458
ZAF,Africa,South Africa,18/03/2020,892140,8283
USA,North America,United States,04/08/2020,892271,131
IND,Asia,India,18/07/2020,892343,72
IND,Asia,India,30/04/2020,892343,0
USA,North America,United States,05/06/2020,905475,13132
BRA,South America,Brazil,17/04/2020,905521,46
ZAF,Africa,South Africa,26/07/2020,930272,24751
GBR,Europe,United Kingdom,29/08/2020,930398,126
GBR,Europe,United Kingdom,27/06/2020,930485,87
IND,Asia,India,19/06/2020,1030628,100143
USA,North America,United States,28/04/2020,1039499,8871
BRA,South America,Brazil,20/08/2020,1042815,3316
ZAF,Africa,South Africa,16/06/2020,1042815,0
AFG,Asia,Afghanistan,29/08/2020,1042848,33
GBR,Europe,United Kingdom,28/08/2020,1045742,2894
ZAF,Africa,South Africa,09/05/2020,1047095,1353
ZAF,Africa,South Africa,11/03/2020,1048173,1078
BRA,South America,Brazil,21/07/2020,1048173,0
ZAF,Africa,South Africa,05/09/2020,1048238,65
GBR,Europe,United Kingdom,10/06/2020,1048256,18
USA,North America,United States,22/03/2020,1048372,116
GBR,Europe,United Kingdom,07/04/2020,1048777,405
AFG,Asia,Afghanistan,08/09/2020,1048812,35
USA,North America,United States,31/08/2020,1053731,4919
IND,Asia,India,11/08/2020,1053836,105
BRA,South America,Brazil,27/05/2020,1054130,294
GBR,Europe,United Kingdom,16/03/2020,1054133,3
USA,North America,United States,01/04/2020,1054133,0
ZAF,Africa,South Africa,08/03/2020,1054357,224
USA,North America,United States,13/06/2020,1056026,1669
GBR,Europe,United Kingdom,24/06/2020,1057399,1373
IND,Asia,India,26/07/2020,1072244,14845
GBR,Europe,United Kingdom,09/08/2020,1072306,62
IND,Asia,India,17/04/2020,1072367,61
ZAF,Africa,South Africa,13/07/2020,1096555,24188
GBR,Europe,United Kingdom,29/06/2020,1096584,29
USA,North America,United States,13/03/2020,1098527,1943
AFG,Asia,Afghanistan,05/04/2020,1098795,268
AFG,Asia,Afghanistan,04/04/2020,1099609,814
ZAF,Africa,South Africa,13/04/2020,1100981,1372
USA,North America,United States,03/07/2020,1100981,0
AFG,Asia,Afghanistan,31/07/2020,1101002,21
ZAF,Africa,South Africa,09/05/2020,1102763,1761
IND,Asia,India,15/07/2020,1102832,69
USA,North America,United States,23/08/2020,1104236,1404
IND,Asia,India,22/08/2020,1104253,17
USA,North America,United States,14/08/2020,1104299,46
IND,Asia,India,07/08/2020,1104565,266
IND,Asia,India,01/06/2020,1164507,59942
AFG,Asia,Afghanistan,13/04/2020,1164842,335
USA,North America,United States,24/07/2020,1164860,18
GBR,Europe,United Kingdom,17/07/2020,1164874,14
AFG,Asia,Afghanistan,18/07/2020,1212009,47135
IND,Asia,India,05/04/2020,1213166,1157
IND,Asia,India,17/07/2020,1213184,18
GBR,Europe,United Kingdom,10/03/2020,1301499,88315
GBR,Europe,United Kingdom,18/05/2020,1302852,1353
IND,Asia,India,15/04/2020,1302852,0
GBR,Europe,United Kingdom,30/03/2020,1302991,139
BRA,South America,Brazil,09/06/2020,1303579,588
AFG,Asia,Afghanistan,08/08/2020,1303579,0
USA,North America,United States,14/05/2020,1303713,134
GBR,Europe,United Kingdom,25/07/2020,1303733,20
GBR,Europe,United Kingdom,17/06/2020,1303815,82
BRA,South America,Brazil,05/04/2020,1304092,277
USA,North America,United States,21/07/2020,1304157,65
BRA,South America,Brazil,01/05/2020,1304468,311
USA,North America,United States,28/08/2020,1343145,38677
AFG,Asia,Afghanistan,26/06/2020,1343506,361
GBR,Europe,United Kingdom,24/03/2020,1343547,41
AFG,Asia,Afghanistan,26/08/2020,1343972,425
USA,North America,United States,27/03/2020,1343972,0
GBR,Europe,United Kingdom,05/06/2020,1466328,122356
BRA,South America,Brazil,16/04/2020,1466389,61
IND,Asia,India,16/07/2020,1466531,142
BRA,South America,Brazil,18/08/2020,1467394,863
IND,Asia,India,05/07/2020,1469093,1699
BRA,South America,Brazil,08/06/2020,1469131,38
USA,North America,United States,10/05/2020,1502350,33219
AFG,Asia,Afghanistan,27/05/2020,1623638,121288
IND,Asia,India,23/04/2020,1623763,125
USA,North America,United States,09/09/2020,1631645,7882
AFG,Asia,Afghanistan,13/06/2020,1631840,195
AFG,Asia,Afghanistan,18/04/2020,1631963,123
GBR,Europe,United Kingdom,24/05/2020,1632870,907
GBR,Europe,United Kingdom,04/08/2020,1632870,0
GBR,Europe,United Kingdom,07/09/2020,1681030,48160
IND,Asia,India,05/04/2020,1681398,368
IND,Asia,India,02/05/2020,1681459,61
AFG,Asia,Afghanistan,18/03/2020,1681531,72
IND,Asia,India,09/09/2020,1681624,93
AFG,Asia,Afghanistan,09/09/2020,1682125,501
USA,North America,United States,20/06/2020,1682577,452
BRA,South America,Brazil,24/08/2020,1682662,85
AFG,Asia,Afghanistan,14/07/2020,1682874,212
AFG,Asia,Afghanistan,18/04/2020,1683462,588
USA,North America,United States,09/03/2020,1683578,116
GBR,Europe,United Kingdom,28/02/2020,1683847,269
ZAF,Africa,South Africa,03/06/2020,1684036,189
GBR,Europe,United Kingdom,04/07/2020,1692731,8695
GBR,Europe,United Kingdom,24/03/2020,1700439,7708
AFG,Asia,Afghanistan,16/04/2020,1700448,9
AFG,Asia,Afghanistan,06/05/2020,1700477,29
IND,Asia,India,24/03/2020,1768431,67954
IND,Asia,India,06/06/2020,1768452,21
BRA,South America,Brazil,07/06/2020,1769262,810
BRA,South America,Brazil,10/06/2020,1818905,49643
ZAF,Africa,South Africa,17/05/2020,1819074,169
IND,Asia,India,25/05/2020,1848422,29348
AFG,Asia,Afghanistan,30/08/2020,1848701,279
USA,North America,United States,04/05/2020,1853664,4963
IND,Asia,India,01/05/2020,1853761,97
AFG,Asia,Afghanistan,18/04/2020,1854099,338
IND,Asia,India,01/06/2020,1854440,341
GBR,Europe,United Kingdom,30/05/2020,1854595,155
IND,Asia,India,04/05/2020,1854616,21
ZAF,Africa,South Africa,06/05/2020,1855508,892
GBR,Europe,United Kingdom,11/08/2020,1855572,64
AFG,Asia,Afghanistan,10/05/2020,1856910,1338
GBR,Europe,United Kingdom,29/07/2020,1856910,0
IND,Asia,India,04/08/2020,1856982,72
GBR,Europe,United Kingdom,14/08/2020,1933773,76791
ZAF,Africa,South Africa,10/06/2020,1933930,157
USA,North America,United States,23/05/2020,1942679,8749
GBR,Europe,United Kingdom,01/06/2020,1945438,2759
ZAF,Africa,South Africa,29/07/2020,1945528,90
GBR,Europe,United Kingdom,08/09/2020,1945610,82
BRA,South America,Brazil,26/02/2020,1958299,12689
USA,North America,United States,26/08/2020,1958307,8
AFG,Asia,Afghanistan,04/09/2020,1958366,59
ZAF,Africa,South Africa,21/06/2020,1958396,30
GBR,Europe,United Kingdom,22/07/2020,1958598,202
USA,North America,United States,13/06/2020,1959578,980
AFG,Asia,Afghanistan,27/07/2020,1959621,43
USA,North America,United States,16/03/2020,1959624,3
ZAF,Africa,South Africa,18/06/2020,1959729,105
BRA,South America,Brazil,15/06/2020,1961524,1795
ZAF,Africa,South Africa,18/08/2020,1961583,59
ZAF,Africa,South Africa,18/03/2020,1979047,17464
AFG,Asia,Afghanistan,21/03/2020,1982319,3272
AFG,Asia,Afghanistan,30/03/2020,1982465,146
GBR,Europe,United Kingdom,09/06/2020,1983450,985
IND,Asia,India,17/07/2020,1984220,770
ZAF,Africa,South Africa,19/04/2020,1984270,50
AFG,Asia,Afghanistan,04/03/2020,1987118,2848
ZAF,Africa,South Africa,17/04/2020,1987142,24
ZAF,Africa,South Africa,14/05/2020,1987300,158
AFG,Asia,Afghanistan,10/06/2020,1987428,128
BRA,South America,Brazil,07/08/2020,1988130,702
BRA,South America,Brazil,14/05/2020,1988188,58
ZAF,Africa,South Africa,29/06/2020,1988231,43
BRA,South America,Brazil,31/05/2020,1990743,2512
ZAF,Africa,South Africa,04/07/2020,1991008,265
GBR,Europe,United Kingdom,19/08/2020,1991066,58
AFG,Asia,Afghanistan,24/04/2020,1991230,164
ZAF,Africa,South Africa,21/07/2020,1991477,247
BRA,South America,Brazil,30/03/2020,1991711,234
BRA,South America,Brazil,04/06/2020,1992822,1111
USA,North America,United States,09/04/2020,2272375,279553
USA,North America,United States,28/05/2020,2272381,6
BRA,South America,Brazil,04/05/2020,2272827,446
GBR,Europe,United Kingdom,07/04/2020,2381795,108968
IND,Asia,India,27/04/2020,2382634,839
ZAF,Africa,South Africa,18/07/2020,2382649,15
USA,North America,United States,07/03/2020,2385532,2883
ZAF,Africa,South Africa,07/03/2020,2385540,8
USA,North America,United States,19/03/2020,2409309,23769
AFG,Asia,Afghanistan,28/02/2020,2409332,23
AFG,Asia,Afghanistan,30/06/2020,2409857,525
BRA,South America,Brazil,02/04/2020,2409983,126
AFG,Asia,Afghanistan,29/07/2020,2410038,55
AFG,Asia,Afghanistan,10/06/2020,2410193,155
IND,Asia,India,26/08/2020,2410467,274
GBR,Europe,United Kingdom,15/08/2020,2412722,2255
BRA,South America,Brazil,02/08/2020,2412734,12
IND,Asia,India,10/07/2020,2412734,0
BRA,South America,Brazil,27/08/2020,2433130,20396
GBR,Europe,United Kingdom,19/03/2020,2490945,57815
BRA,South America,Brazil,07/05/2020,2492647,1702
ZAF,Africa,South Africa,02/04/2020,2505097,12450
ZAF,Africa,South Africa,10/03/2020,2505301,204
ZAF,Africa,South Africa,29/08/2020,2505627,326
AFG,Asia,Afghanistan,28/07/2020,2509173,3546
GBR,Europe,United Kingdom,13/08/2020,2509622,449
IND,Asia,India,27/08/2020,2510025,403
IND,Asia,India,26/03/2020,2511480,1455
USA,North America,United States,26/04/2020,2511504,24
IND,Asia,India,26/05/2020,2515449,3945
ZAF,Africa,South Africa,08/04/2020,2515508,59
ZAF,Africa,South Africa,16/04/2020,2515508,0
USA,North America,United States,30/08/2020,2515508,0
AFG,Asia,Afghanistan,13/04/2020,2515525,17
IND,Asia,India,27/07/2020,2515609,84
GBR,Europe,United Kingdom,20/03/2020,2519663,4054
USA,North America,United States,03/07/2020,2519791,128
IND,Asia,India,23/05/2020,2532693,12902
AFG,Asia,Afghanistan,02/04/2020,2533299,606
GBR,Europe,United Kingdom,03/09/2020,2533305,6
GBR,Europe,United Kingdom,04/08/2020,2533307,2
AFG,Asia,Afghanistan,16/04/2020,2820456,287149
IND,Asia,India,15/08/2020,2820456,0
BRA,South America,Brazil,06/09/2020,2820456,0
IND,Asia,India,16/03/2020,2823537,3081
USA,North America,United States,29/08/2020,2823574,37
USA,North America,United States,06/07/2020,2960124,136550
IND,Asia,India,15/04/2020,2960124,0
ZAF,Africa,South Africa,08/05/2020,2960843,719
USA,North America,United States,06/05/2020,2961067,224
BRA,South America,Brazil,23/03/2020,2977205,16138
ZAF,Africa,South Africa,12/08/2020,2977248,43
BRA,South America,Brazil,24/06/2020,2977635,387
GBR,Europe,United Kingdom,03/08/2020,2977653,18
USA,North America,United States,31/07/2020,2977653,0
ZAF,Africa,South Africa,19/05/2020,2977804,151
IND,Asia,India,09/04/2020,2977837,33
ZAF,Africa,South Africa,27/02/2020,3037168,59331
GBR,Europe,United Kingdom,25/02/2020,3037211,43
BRA,South America,Brazil,05/07/2020,3046432,9221
GBR,Europe,United Kingdom,09/04/2020,3046563,131
AFG,Asia,Afghanistan,12/05/2020,3046601,38
USA,North America,United States,19/07/2020,3046706,105
IND,Asia,India,07/08/2020,3049357,2651
BRA,South America,Brazil,22/04/2020,3049357,0
GBR,Europe,United Kingdom,05/05/2020,3049357,0
IND,Asia,India,14/03/2020,3049410,53
USA,North America,United States,06/09/2020,3049431,21
IND,Asia,India,16/04/2020,3049436,5
USA,North America,United States,09/06/2020,3049463,27
USA,North America,United States,18/04/2020,3049532,69
USA,North America,United States,08/08/2020,3059141,9609
GBR,Europe,United Kingdom,23/06/2020,3060056,915
USA,North America,United States,05/08/2020,3060301,245
IND,Asia,India,27/08/2020,3063477,3176
AFG,Asia,Afghanistan,09/03/2020,3063549,72
IND,Asia,India,24/02/2020,3064230,681
GBR,Europe,United Kingdom,28/05/2020,3064235,5
USA,North America,United States,09/07/2020,3064235,0
AFG,Asia,Afghanistan,23/07/2020,3064275,40
GBR,Europe,United Kingdom,21/08/2020,3064837,562
BRA,South America,Brazil,26/07/2020,3064883,46
BRA,South America,Brazil,29/08/2020,3084763,19880
BRA,South America,Brazil,12/03/2020,3084895,132
AFG,Asia,Afghanistan,07/06/2020,3087232,2337
IND,Asia,India,27/08/2020,3087232,0
AFG,Asia,Afghanistan,28/04/2020,3087265,33
AFG,Asia,Afghanistan,10/05/2020,3087390,125
AFG,Asia,Afghanistan,18/06/2020,3089365,1975
BRA,South America,Brazil,02/05/2020,3089803,438
ZAF,Africa,South Africa,14/07/2020,3089862,59
IND,Asia,India,15/08/2020,3089906,44
ZAF,Africa,South Africa,07/09/2020,3090836,930
ZAF,Africa,South Africa,08/05/2020,3102362,11526
AFG,Asia,Afghanistan,01/08/2020,3389511,287149
IND,Asia,India,14/04/2020,3389516,5
ZAF,Africa,South Africa,07/09/2020,3389664,148
USA,North America,United States,09/03/2020,3391479,1815
AFG,Asia,Afghanistan,22/08/2020,3391517,38
AFG,Asia,Afghanistan,09/09/2020,3426948,35431
AFG,Asia,Afghanistan,02/05/2020,3427074,126
USA,North America,United States,09/03/2020,3427241,167
USA,North America,United States,24/03/2020,3432454,5213
BRA,South America,Brazil,11/05/2020,3433460,1006
GBR,Europe,United Kingdom,24/07/2020,3433554,94
IND,Asia,India,29/03/2020,3434513,959
GBR,Europe,United Kingdom,02/05/2020,3434588,75
AFG,Asia,Afghanistan,12/07/2020,3434588,0
ZAF,Africa,South Africa,09/04/2020,3436258,1670
AFG,Asia,Afghanistan,28/06/2020,3436258,0
ZAF,Africa,South Africa,07/09/2020,3437905,1647
BRA,South America,Brazil,05/08/2020,3438088,183
GBR,Europe,United Kingdom,18/05/2020,3440655,2567
AFG,Asia,Afghanistan,11/04/2020,3440698,43
GBR,Europe,United Kingdom,30/04/2020,3440698,0
BRA,South America,Brazil,23/08/2020,3440710,12
GBR,Europe,United Kingdom,22/05/2020,3447107,6397
ZAF,Africa,South Africa,05/08/2020,3481198,34091
IND,Asia,India,15/04/2020,3481227,29
BRA,South America,Brazil,16/03/2020,3481227,0
GBR,Europe,United Kingdom,07/08/2020,3481251,24
AFG,Asia,Afghanistan,01/06/2020,3481520,269
USA,North America,United States,31/08/2020,3481549,29
USA,North America,United States,03/09/2020,3481549,0
BRA,South America,Brazil,03/07/2020,3481741,192
USA,North America,United States,21/05/2020,3481741,0
IND,Asia,India,08/07/2020,3481741,0
BRA,South America,Brazil,20/06/2020,3494118,12377
AFG,Asia,Afghanistan,02/04/2020,3495503,1385
AFG,Asia,Afghanistan,12/03/2020,3495506,3
BRA,South America,Brazil,07/06/2020,3497668,2162
USA,North America,United States,03/07/2020,3497685,17
USA,North America,United States,18/07/2020,3497696,11
AFG,Asia,Afghanistan,13/05/2020,3497772,76
IND,Asia,India,19/06/2020,3497772,0
ZAF,Africa,South Africa,24/02/2020,3500496,2724
USA,North America,United States,19/06/2020,3579544,79048
IND,Asia,India,30/06/2020,3580331,787
USA,North America,United States,20/03/2020,3580786,455
ZAF,Africa,South Africa,21/08/2020,3580946,160
BRA,South America,Brazil,06/03/2020,3584982,4036
GBR,Europe,United Kingdom,01/04/2020,3585605,623
AFG,Asia,Afghanistan,18/05/2020,3602332,16727
BRA,South America,Brazil,10/08/2020,3604259,1927
USA,North America,United States,16/04/2020,3605244,985
ZAF,Africa,South Africa,07/03/2020,3605794,550
AFG,Asia,Afghanistan,30/06/2020,3605831,37
GBR,Europe,United Kingdom,09/05/2020,3605839,8
GBR,Europe,United Kingdom,07/03/2020,3606296,457
ZAF,Africa,South Africa,18/07/2020,3610050,3754
ZAF,Africa,South Africa,19/07/2020,3610461,411
USA,North America,United States,19/07/2020,3681106,70645
AFG,Asia,Afghanistan,08/09/2020,3681264,158
USA,North America,United States,11/04/2020,3681264,0
GBR,Europe,United Kingdom,09/09/2020,3681278,14
BRA,South America,Brazil,04/05/2020,3681278,0
BRA,South America,Brazil,28/07/2020,3681278,0
IND,Asia,India,25/05/2020,3681359,81
GBR,Europe,United Kingdom,19/07/2020,3681469,110
GBR,Europe,United Kingdom,19/05/2020,3699268,17799
USA,North America,United States,16/05/2020,3702403,3135
IND,Asia,India,11/04/2020,3702656,253
ZAF,Africa,South Africa,23/03/2020,3703595,939
IND,Asia,India,17/08/2020,3703597,2
AFG,Asia,Afghanistan,13/03/2020,3710909,7312
USA,North America,United States,01/06/2020,3710909,0
ZAF,Africa,South Africa,10/04/2020,3710974,65
ZAF,Africa,South Africa,22/05/2020,3711262,288
BRA,South America,Brazil,23/04/2020,3711335,73
AFG,Asia,Afghanistan,17/08/2020,3711376,41
IND,Asia,India,20/07/2020,3712262,886
BRA,South America,Brazil,19/07/2020,3714106,1844
GBR,Europe,United Kingdom,05/04/2020,3714190,84
USA,North America,United States,10/05/2020,3724442,10252
IND,Asia,India,09/05/2020,3724442,0
GBR,Europe,United Kingdom,18/08/2020,3724661,219
ZAF,Africa,South Africa,15/07/2020,3728450,3789
IND,Asia,India,29/08/2020,3730763,2313
BRA,South America,Brazil,01/05/2020,3730964,201
AFG,Asia,Afghanistan,12/05/2020,3731060,96
BRA,South America,Brazil,27/07/2020,3734715,3655
USA,North America,United States,08/05/2020,3734782,67
USA,North America,United States,24/08/2020,3734819,37
IND,Asia,India,20/05/2020,3734909,90
BRA,South America,Brazil,09/03/2020,3734909,0
AFG,Asia,Afghanistan,21/08/2020,3734909,0
ZAF,Africa,South Africa,31/07/2020,3735108,199
USA,North America,United States,23/05/2020,3736930,1822
AFG,Asia,Afghanistan,01/03/2020,3737257,327
GBR,Europe,United Kingdom,07/03/2020,3737257,0
IND,Asia,India,23/08/2020,3737443,186
AFG,Asia,Afghanistan,07/03/2020,3737518,75
IND,Asia,India,20/07/2020,3738961,1443
GBR,Europe,United Kingdom,04/03/2020,3740636,1675
AFG,Asia,Afghanistan,26/06/2020,3743089,2453
AFG,Asia,Afghanistan,21/08/2020,3743168,79
ZAF,Africa,South Africa,06/08/2020,3743201,33
GBR,Europe,United Kingdom,21/08/2020,3743204,3
BRA,South America,Brazil,28/06/2020,3743900,696
AFG,Asia,Afghanistan,21/03/2020,3744106,206
ZAF,Africa,South Africa,03/08/2020,3763173,19067
AFG,Asia,Afghanistan,02/06/2020,3764026,853
ZAF,Africa,South Africa,31/08/2020,3797015,32989
USA,North America,United States,10/03/2020,3803357,6342
BRA,South America,Brazil,22/04/2020,3803368,11
AFG,Asia,Afghanistan,15/03/2020,3805941,2573
GBR,Europe,United Kingdom,10/03/2020,3806061,120
IND,Asia,India,07/03/2020,3806105,44
GBR,Europe,United Kingdom,27/03/2020,3806279,174
BRA,South America,Brazil,23/08/2020,3806340,61
USA,North America,United States,02/05/2020,3806421,81
USA,North America,United States,27/07/2020,3806430,9
USA,North America,United States,15/04/2020,3806511,81
ZAF,Africa,South Africa,28/04/2020,3806747,236
GBR,Europe,United Kingdom,07/04/2020,3806844,97
IND,Asia,India,30/07/2020,3806852,8
IND,Asia,India,23/07/2020,3807429,577
ZAF,Africa,South Africa,12/05/2020,3808580,1151
AFG,Asia,Afghanistan,10/03/2020,3808601,21
ZAF,Africa,South Africa,24/08/2020,3808872,271
IND,Asia,India,12/03/2020,3817926,9054
IND,Asia,India,11/03/2020,3818083,157
AFG,Asia,Afghanistan,15/04/2020,3818109,26
GBR,Europe,United Kingdom,14/08/2020,3818109,0
GBR,Europe,United Kingdom,19/04/2020,3818254,145
BRA,South America,Brazil,26/05/2020,3818671,417
GBR,Europe,United Kingdom,23/08/2020,3819179,508
USA,North America,United States,03/03/2020,3819179,0
USA,North America,United States,17/07/2020,3822440,3261
