credit_score,dti,defaulted
6.332475352697964581e+02,4.691685232385023330e-01,1.000000000000000000e+00
7.454972164872856411e+02,1.017763381171671311e-01,0.000000000000000000e+00
6.567612472832755657e+02,3.025990016016756323e-01,0.000000000000000000e+00
6.816108881643432369e+02,3.823087073347845588e-01,1.000000000000000000e+00
6.085344609936518054e+02,1.898514195861962517e-01,0.000000000000000000e+00
6.086557844721266974e+02,1.731310201179209196e-01,1.000000000000000000e+00
6.471846668459720604e+02,3.604241146411207852e-01,0.000000000000000000e+00
6.243789157734659057e+02,4.364386534044055743e-01,1.000000000000000000e+00
6.898045085127929497e+02,2.877001645616488745e-01,1.000000000000000000e+00
6.513617044910813547e+02,4.878281214024071111e-01,1.000000000000000000e+00
7.587883390561338501e+02,2.542085727069860468e-01,0.000000000000000000e+00
6.984160841204821963e+02,5.329786544696015760e-01,1.000000000000000000e+00
6.990881004091469322e+02,3.532445509685078200e-01,0.000000000000000000e+00
7.525589359281058250e+02,3.658833636387042176e-01,0.000000000000000000e+00
7.184961747970180568e+02,4.076429272752843391e-01,1.000000000000000000e+00
6.879466859852661855e+02,3.753129542356171688e-01,1.000000000000000000e+00
6.850102151082928685e+02,5.430358335503862044e-01,1.000000000000000000e+00
6.833478249539082299e+02,5.827131369749172229e-01,1.000000000000000000e+00
7.492197075830385984e+02,4.000729579354403431e-01,1.000000000000000000e+00
7.330697089177685939e+02,3.217724747738832658e-01,0.000000000000000000e+00
7.101254876848396407e+02,2.106289231040416043e-01,1.000000000000000000e+00
7.339356129895251115e+02,2.570187800899561559e-01,0.000000000000000000e+00
6.600506685629557069e+02,3.410173007912916110e-01,1.000000000000000000e+00
7.181062542567216269e+02,3.288527257227569778e-01,0.000000000000000000e+00
6.123216485366314146e+02,3.351959041524297245e-01,0.000000000000000000e+00
7.640998803740744734e+02,3.405553296132808327e-01,0.000000000000000000e+00
6.949526542375696181e+02,3.945093694332330037e-01,0.000000000000000000e+00
7.000866150424290026e+02,1.914244074273535046e-01,0.000000000000000000e+00
7.229661115187502674e+02,2.271976809190525692e-01,0.000000000000000000e+00
6.894659734101447839e+02,4.634112957567268487e-01,1.000000000000000000e+00
6.760240663296220873e+02,4.322121793071029838e-01,0.000000000000000000e+00
7.554381542144775494e+02,2.810640340117118718e-01,0.000000000000000000e+00
6.963662868890442041e+02,4.824867378654220662e-01,1.000000000000000000e+00
6.396270579871614927e+02,2.655969608808314564e-01,0.000000000000000000e+00
7.141757403678560649e+02,3.123028707464192699e-01,0.000000000000000000e+00
5.962183756796875969e+02,1.391981828570172386e-01,0.000000000000000000e+00
