state,numfarms,yieldperacre,totalprod,stocks,priceperlb,prodvalue,year
AL,1468,184.5,288228,84572,0.45,129523,2000
AZ,862,160.4,137124,36535,0.42,57527,2000
AR,1323,181.3,235137,70906,0.47,110272,2000
CA,23828,185.4,3985339,950799,0.62,2459093,2000
CO,2509,193.9,526715,85656,0.56,294098,2000
FL,12188,195.7,2331489,306325,0.53,1241274,2000
GA,2080,178.7,408011,88930,0.54,220147,2000
ID,6365,192.7,1162943,303802,0.52,603726,2000
IL,2233,181.3,408949,93975,0.47,190299,2000
IN,1953,180.2,353245,81643,0.45,157264,2000
IA,3485,194.4,653806,184378,0.54,352194,2000
KS,2181,191.1,381018,87344,0.61,231193,2000
KY,1714,162.9,253800,57542,0.56,141120,2000
LA,3195,213.3,732382,152451,0.56,413735,2000
ME,3117,194.7,653630,133118,0.47,310052,2000
MI,3105,157.1,457504,108433,0.42,193593,2000
MN,3686,204.9,765868,225163,0.52,399583,2000
MS,1737,184.6,328327,100243,0.52,171441,2000
MO,2544,183.4,478778,143823,0.52,246841,2000
MT,1225,181.4,202388,53043,0.55,111950,2000
NE,2196,177.0,415544,59688,0.61,253195,2000
NJ,2735,175.6,517986,120122,0.59,306576,2000
NM,2442,186.5,499629,93203,0.44,218726,2000
NY,4560,187.2,856500,228844,0.54,463332,2000
NC,1414,180.5,257028,43407,0.61,157495,2000
ND,2675,185.4,510200,158784,0.45,231168,2000
OH,2409,178.5,470739,75390,0.47,220576,2000
OR,5402,180.7,920342,154954,0.56,513461,2000
PA,2804,209.9,541971,167617,0.53,285806,2000
SD,2939,174.6,488427,121108,0.5,245886,2000
TN,477,171.3,86200,26141,0.54,46414,2000
TX,11328,188.3,2257624,443605,0.56,1272147,2000
UT,2817,195.9,557766,154209,0.43,242011,2000
VT,2915,175.8,484157,148229,0.62,300186,2000
VA,2387,161.9,398921,109683,0.47,189300,2000
WA,7485,163.2,1157925,311842,0.41,473731,2000
WI,1140,194.8,240693,37518,0.46,109911,2000
WY,3060,153.9,485747,105364,0.49,239465,2000
AL,1800,182.2,338531,44456,0.67,226921,2001
AZ,1672,187.8,329055,63427,0.55,181879,2001
AR,3645,184.2,631741,94152,0.63,395924,2001
CA,24522,170.8,4518459,1443305,0.51,2293197,2001
CO,1378,180.2,271688,71559,0.51,137511,2001
FL,11974,188.3,2201700,616531,0.53,1175676,2001
GA,1308,188.0,234383,64216,0.59,137168,2001
ID,6341,191.9,1311091,172950,0.56,735215,2001
IL,1328,169.8,229876,52054,0.58,133483,2001
IN,1773,177.2,336093,45378,0.53,179806,2001
IA,1569,194.1,320157,62521,0.62,199262,2001
KS,3603,184.2,623062,82472,0.46,284647,2001
KY,3901,167.6,636492,142506,0.62,392099,2001
LA,1156,172.7,191157,48278,0.57,109416,2001
ME,2461,177.1,458283,61276,0.62,281906,2001
MI,3759,214.2,831060,185105,0.48,400971,2001
MN,2949,172.7,557109,121158,0.68,378304,2001
MS,1772,212.8,403967,59010,0.63,252896,2001
MO,2616,189.2,479852,150795,0.62,299425,2001
MT,962,169.6,150882,19385,0.55,83085,2001
NE,2216,168.1,383794,104929,0.57,219029,2001
NJ,2238,192.5,417400,64130,0.68,283901,2001
NM,1240,181.8,215922,57589,0.56,121407,2001
NY,4409,194.0,864975,176451,0.52,451720,2001
NC,3636,163.8,644057,142688,0.64,414855,2001
ND,2359,186.5,434016,45640,0.63,274798,2001
OH,2145,186.1,404653,78659,0.53,216429,2001
OR,4905,166.5,847466,259072,0.59,497497,2001
PA,3819,184.9,727847,115380,0.65,475278,2001
SD,1433,197.4,294222,74468,0.65,190035,2001
TN,2678,189.9,484843,154386,0.62,300847,2001
TX,11442,171.4,1778687,404066,0.65,1149111,2001
UT,2253,193.9,468429,124753,0.62,291660,2001
VT,3525,191.4,714201,193149,0.52,368738,2001
VA,1539,174.3,267391,74436,0.61,163489,2001
WA,6904,195.2,1332573,391526,0.65,864515,2001
WI,1589,162.1,278603,65974,0.59,164287,2001
WY,3439,170.0,600383,139118,0.56,335638,2001
AL,2393,170.0,384441,60467,0.67,258097,2002
AZ,3649,187.4,643719,101222,0.73,471654,2002
AR,2682,192.6,491420,92319,0.65,318133,2002
CA,23895,170.1,4368932,1307789,0.55,2411621,2002
CO,3044,190.5,589437,79683,0.75,439610,2002
FL,12803,186.8,2266137,606694,0.57,1301322,2002
GA,844,187.6,142689,31720,0.62,89046,2002
ID,5452,171.6,905815,142765,0.56,511446,2002
IL,2864,165.2,489612,52138,0.58,286369,2002
IN,1942,173.0,321869,81365,0.68,219672,2002
IA,3215,174.8,566048,113507,0.67,380152,2002
KS,4127,165.4,683721,197070,0.64,439421,2002
KY,2318,167.4,374306,67880,0.73,274657,2002
LA,1519,164.6,236299,46406,0.64,150476,2002
ME,4332,166.3,751001,177446,0.65,484617,2002
MI,2513,193.9,442139,125758,0.73,324381,2002
MN,1823,176.2,320973,69750,0.55,177296,2002
MS,3710,192.7,738693,205928,0.62,459772,2002
MO,3246,198.2,678713,206297,0.65,442853,2002
MT,2588,168.4,447545,57165,0.61,274526,2002
NE,2160,190.4,391402,99891,0.64,250912,2002
NJ,557,194.6,112134,35694,0.71,79932,2002
NM,1542,166.1,267338,64486,0.69,183561,2002
NY,4622,171.1,863850,267269,0.65,560704,2002
NC,2016,171.6,350448,63678,0.58,202780,2002
ND,1706,174.0,272527,48065,0.65,175982,2002
OH,3179,171.5,546634,80397,0.78,427599,2002
OR,5560,190.8,1068577,263424,0.55,584858,2002
PA,4994,199.1,976536,150504,0.77,752925,2002
SD,2877,172.7,525464,77194,0.65,343650,2002
TN,1166,169.8,205863,41431,0.6,122655,2002
TX,9945,179.9,1625576,366588,0.65,1048657,2002
UT,2880,179.3,469767,133460,0.6,279530,2002
VT,2977,174.3,519613,63851,0.55,285974,2002
VA,2805,160.2,488626,120651,0.6,293733,2002
WA,7589,191.9,1408138,397003,0.61,862414,2002
WI,2367,198.0,485955,55686,0.72,350168,2002
WY,2215,183.2,444285,53121,0.63,278131,2002
AL,2480,164.4,368393,93131,0.62,228706,2003
AZ,2645,170.8,434654,101148,0.73,315396,2003
AR,1904,180.3,348909,107410,0.73,255149,2003
CA,22371,186.4,4449404,721089,0.61,2695084,2003
CO,1714,176.9,332128,74553,0.7,233641,2003
FL,11834,179.2,2194213,547047,0.71,1565220,2003
GA,3181,186.5,565337,103391,0.69,389859,2003
ID,6540,159.0,1062537,196328,0.62,654231,2003
IL,2064,179.5,367001,49707,0.8,292677,2003
IN,3555,175.0,597338,74793,0.7,420041,2003
IA,2909,186.0,517390,148234,0.72,370162,2003
KS,2505,159.1,401997,57766,0.78,315548,2003
KY,1073,164.4,179643,28754,0.65,117161,2003
LA,2963,152.0,494061,68189,0.65,322564,2003
ME,1999,191.2,380433,65082,0.74,283148,2003
MI,738,181.0,142835,38412,0.73,104675,2003
MN,3799,160.4,598707,131561,0.65,386687,2003
MS,1334,170.8,213014,40600,0.65,137817,2003
MO,4026,165.8,668379,89052,0.65,437158,2003
MT,619,169.1,100485,29786,0.74,74289,2003
NE,2468,156.0,362962,42093,0.7,255733,2003
NJ,591,164.8,91415,11854,0.59,53527,2003
NM,1230,195.8,254712,64457,0.68,172712,2003
NY,3674,163.2,638949,98047,0.83,527932,2003
NC,2504,177.0,421122,108036,0.72,303160,2003
ND,2584,169.2,443523,108887,0.79,351236,2003
OH,1789,166.9,313343,41627,0.74,231126,2003
OR,4942,176.7,799759,229331,0.78,622812,2003
PA,3079,194.7,582500,114072,0.7,405456,2003
SD,2127,208.7,433062,74526,0.85,368001,2003
TN,2805,165.8,444698,91159,0.76,337285,2003
TX,10338,162.7,1827016,526037,0.7,1282012,2003
UT,2615,183.0,522421,77918,0.59,308295,2003
VT,1370,186.3,261228,58449,0.75,195630,2003
VA,2266,168.3,414126,83961,0.64,267096,2003
WA,6779,171.0,1073547,124115,0.72,773340,2003
WI,1304,178.9,222741,47482,0.73,161609,2003
WY,3421,194.2,650635,99369,0.69,449768,2003
AL,864,177.3,166445,43990,0.82,136388,2004
AZ,1881,168.8,292505,61415,0.8,234140,2004
AR,3279,171.2,580254,67388,0.8,465913,2004
CA,21579,179.9,3669869,643661,0.69,2529442,2004
CO,1589,171.2,275068,58016,0.75,207352,2004
FL,11425,154.7,1737511,227867,0.72,1258043,2004
GA,2154,163.7,363929,100463,0.7,255272,2004
ID,6014,155.2,1015826,192625,0.76,772710,2004
IL,2043,150.8,299508,42082,0.7,209626,2004
IN,1571,186.1,275798,37345,0.76,210217,2004
IA,3188,167.0,485104,83119,0.74,358043,2004
KS,628,182.0,104830,26439,0.58,60346,2004
KY,3877,156.9,650915,203810,0.75,486370,2004
LA,1287,183.4,240721,62796,0.73,175585,2004
ME,3283,197.0,599362,97185,0.73,438812,2004
MI,3257,173.3,552173,98015,0.78,430517,2004
MN,2507,168.3,423123,70368,0.77,324245,2004
MS,1487,159.8,257675,53411,0.81,208979,2004
MO,1253,149.4,205019,56880,0.77,157015,2004
MT,3375,174.6,586163,61319,0.78,455357,2004
NE,3183,174.9,510691,61361,0.81,411760,2004
NJ,3229,164.0,563190,86476,0.61,342541,2004
NM,1497,176.7,244012,41440,0.69,168481,2004
NY,4438,168.4,694234,220891,0.77,535097,2004
NC,2732,183.6,481388,70945,0.65,311100,2004
ND,579,165.7,101168,16487,0.85,86027,2004
OH,668,164.8,105289,27980,0.83,87692,2004
OR,4594,180.9,849094,103579,0.71,600213,2004
PA,3075,170.6,576321,59620,0.67,385194,2004
SD,2805,152.3,426803,129063,0.64,274645,2004
TN,4028,172.9,654456,156373,0.85,554723,2004
TX,9814,167.7,1678947,189319,0.77,1297943,2004
UT,1852,176.2,297406,32292,0.86,255196,2004
VT,1291,180.2,239317,60938,0.72,171582,2004
VA,2908,175.9,461888,57886,0.74,342833,2004
WA,6676,177.7,1189472,196072,0.58,695563,2004
WI,2741,156.4,443214,61224,0.76,336284,2004
WY,3293,170.4,550459,109819,0.66,365883,2004
AL,1377,155.3,198609,47136,0.75,149782,2005
AZ,3625,160.5,638659,128989,0.88,560774,2005
AR,2880,162.1,459953,122223,0.98,449458,2005
CA,21557,174.4,3544256,442464,0.81,2859559,2005
CO,1925,161.2,315662,39387,0.86,270861,2005
FL,10867,153.3,1528209,309768,0.75,1139335,2005
GA,2724,162.5,470146,110532,0.76,356969,2005
ID,5872,157.0,975383,155527,0.83,809254,2005
IL,2960,160.1,434246,131950,0.8,346005,2005
IN,3025,149.3,495622,75366,0.8,397029,2005
IA,2353,160.9,376009,57316,0.74,279887,2005
KS,2750,154.6,456123,62605,0.79,359165,2005
KY,3029,186.3,521040,165386,0.72,376855,2005
LA,3101,158.6,452996,70657,0.81,365272,2005
ME,355,177.7,64606,12345,0.78,50383,2005
MI,2339,152.3,356757,42567,0.86,307958,2005
MN,900,176.6,159786,39233,0.77,122425,2005
MS,150,146.9,23676,6234,0.77,18264,2005
MO,2833,174.9,541240,152485,0.87,472011,2005
MT,950,163.7,146425,16599,0.76,111243,2005
NE,2545,162.4,449319,63980,0.78,348248,2005
NJ,4643,154.2,690941,181268,0.86,593453,2005
NM,1139,140.6,152267,44719,0.75,114837,2005
NY,4639,166.6,844651,107295,0.85,721325,2005
NC,2418,154.6,392718,105811,0.73,285041,2005
ND,1952,170.9,318386,41472,0.71,225064,2005
OH,2194,155.6,336913,98451,0.82,277946,2005
OR,4742,182.4,835304,171204,0.84,704653,2005
PA,3768,178.8,629363,63544,0.91,573592,2005
SD,764,161.3,126900,15808,0.83,105357,2005
TN,3049,158.2,453714,85192,0.79,357749,2005
TX,8849,159.8,1415295,328642,0.8,1134228,2005
UT,3153,181.8,598350,66877,0.76,457342,2005
VT,150,158.6,23069,6302,0.77,17684,2005
VA,1797,174.7,287592,52958,0.78,223956,2005
WA,6215,166.9,1002969,175138,0.84,837879,2005
WI,3497,178.3,580353,98522,0.87,502345,2005
WY,1671,167.2,252445,75204,0.88,222326,2005
AL,1919,156.6,275651,81184,0.91,249668,2006
AZ,792,154.1,130430,29017,0.92,119509,2006
AR,1821,169.7,315399,57960,0.85,266717,2006
CA,21861,194.9,4036924,831804,0.87,3498310,2006
CO,2823,140.9,380266,77619,0.8,302767,2006
FL,10876,162.8,1708361,400276,0.92,1570198,2006
GA,1982,149.6,294046,63818,0.84,247648,2006
ID,5588,158.5,924401,126282,0.89,823212,2006
IL,3560,174.7,634378,91706,0.78,493545,2006
IN,1207,140.9,158471,28619,0.76,120091,2006
IA,2779,169.2,437105,93752,0.89,389847,2006
KS,1127,130.8,144463,26059,0.95,137676,2006
KY,3930,166.8,619119,86927,0.91,564376,2006
LA,1053,170.4,172309,40754,0.84,144213,2006
ME,2168,158.5,326559,79238,0.75,244311,2006
MI,1396,183.4,234408,63534,0.86,200446,2006
MN,656,177.9,105714,11416,0.94,98921,2006
MS,2124,134.7,308457,55611,0.8,247703,2006
MO,3553,170.0,640909,170722,0.92,591394,2006
MT,2931,162.3,495373,114836,0.97,478877,2006
NE,2526,167.9,460608,86133,0.91,417828,2006
NJ,921,186.2,174508,24224,0.87,152247,2006
NM,3406,166.9,577767,146640,0.83,478320,2006
NY,4081,176.9,750901,234708,0.85,640257,2006
NC,3903,172.6,711337,165403,0.94,670724,2006
ND,2153,154.5,336399,38793,0.73,245875,2006
OH,2412,180.7,425353,88438,0.92,389976,2006
OR,4897,157.5,716326,201474,0.84,602715,2006
PA,2531,148.0,402168,64323,0.87,348722,2006
SD,2971,175.4,549337,77736,0.89,489833,2006
TN,1803,178.1,317515,59141,0.84,266361,2006
TX,10284,157.5,1542896,261556,0.91,1397066,2006
UT,3061,167.0,557948,125764,0.93,521621,2006
VT,2307,159.9,390062,84544,0.92,357122,2006
VA,2173,154.2,362116,45612,0.84,305946,2006
WA,7428,173.2,1251655,205020,0.87,1090700,2006
WI,2896,138.2,373640,61180,0.79,295360,2006
WY,2259,153.3,352454,90524,0.86,303713,2006
AL,1536,154.2,225476,30497,0.99,223592,2007
AZ,905,131.2,117691,23189,0.91,107645,2007
AR,3584,146.3,479465,111772,0.93,445838,2007
CA,20895,190.1,4132841,544171,0.97,4024159,2007
CO,1994,135.7,286203,61485,0.9,258908,2007
FL,11335,158.4,1644188,493710,0.9,1479282,2007
GA,2250,145.0,334840,89021,0.94,313422,2007
ID,5955,170.4,1020593,204305,1.0,1018063,2007
IL,3000,157.8,484325,108882,0.89,430448,2007
IN,4044,159.4,620541,65470,0.92,572058,2007
IA,2363,147.4,327289,59541,0.99,324246,2007
KS,1712,132.9,229814,24487,0.96,221250,2007
KY,3496,162.8,565305,89683,0.86,487020,2007
LA,2609,171.3,485359,69585,0.85,410201,2007
ME,3624,151.7,533147,151793,0.88,471138,2007
MI,2458,146.5,363787,64099,0.87,314786,2007
MN,1900,162.2,303063,40250,0.89,269433,2007
MS,1599,155.5,258479,56115,0.9,231798,2007
MO,1788,142.9,247560,46561,0.97,240005,2007
MT,3121,157.9,537909,91396,0.98,526629,2007
NE,3123,150.8,498932,119583,0.8,397081,2007
NJ,2549,132.1,329521,90654,0.9,297240,2007
NM,1558,137.6,199690,22059,1.04,207364,2007
NY,3411,164.7,556689,148099,0.96,536209,2007
NC,1484,172.4,235815,33952,0.91,215643,2007
ND,2913,145.1,459370,100210,0.79,361820,2007
OH,3016,165.4,470278,81460,0.79,373415,2007
OR,4632,160.3,771044,139254,1.01,778609,2007
PA,1769,155.9,276064,48706,0.84,230847,2007
SD,3582,159.3,587872,71123,0.85,501746,2007
TN,2441,163.5,371093,87914,0.88,326910,2007
TX,10061,158.2,1553824,448522,0.86,1335854,2007
UT,1611,140.0,241880,58841,0.92,222036,2007
VT,1747,138.3,250460,66716,1.02,254289,2007
VA,2334,135.1,342652,105808,0.82,279430,2007
WA,6419,129.2,846000,210126,0.98,825925,2007
WI,3020,182.8,550752,101438,0.93,512247,2007
WY,1228,163.7,207880,53294,0.8,166303,2007
AL,3054,187.0,610405,94864,1.02,623154,2008
AZ,2744,151.1,402402,117235,1.03,414994,2008
AR,3110,153.5,495230,76754,0.97,479853,2008
CA,19670,140.2,2798544,628743,0.95,2666502,2008
CO,435,148.2,65885,15867,0.97,64086,2008
FL,9624,141.0,1366234,226050,1.02,1393823,2008
GA,1022,131.9,136719,24456,0.91,124483,2008
ID,5898,142.0,775644,119098,1.01,779705,2008
IL,3428,150.0,519736,103351,0.93,481283,2008
IN,3302,172.6,525713,89856,1.02,534853,2008
IA,1555,150.0,252132,68915,0.88,222958,2008
KS,1296,157.8,209503,53084,0.94,195967,2008
KY,2041,157.2,335065,35439,1.05,351501,2008
LA,1958,169.5,298837,32818,0.93,276963,2008
ME,1994,122.4,237520,63842,1.05,250225,2008
MI,996,147.7,155349,35949,1.03,159442,2008
MN,1696,171.4,296295,62971,0.98,290924,2008
MS,3960,175.6,761377,199598,1.02,774729,2008
MO,2637,161.5,456417,112912,0.98,446265,2008
MT,1915,136.6,265608,53773,0.99,262804,2008
NE,1311,146.3,191094,48045,0.97,186196,2008
NJ,2643,157.7,430923,56747,1.0,429632,2008
NM,2782,142.3,360721,92549,0.99,355701,2008
NY,3294,144.0,448331,51331,0.95,426596,2008
NC,2593,150.1,420942,97118,1.0,419102,2008
ND,150,168.1,23187,5624,1.0,23279,2008
OH,1571,158.3,243963,30571,0.9,220502,2008
OR,4089,151.0,643833,194058,0.9,579784,2008
PA,2543,151.2,348392,59558,0.9,312690,2008
SD,2273,139.2,334421,41062,0.89,298098,2008
TN,2166,147.2,321060,77962,0.99,316316,2008
TX,10012,144.2,1514720,327044,1.05,1583972,2008
UT,3471,140.6,472776,117456,0.95,446870,2008
VT,2171,153.1,329249,80206,0.98,323073,2008
VA,201,148.1,28143,7761,0.96,26976,2008
WA,6908,157.0,1141533,131011,0.93,1058357,2008
WI,2979,193.2,573102,64198,0.96,549882,2008
WY,1987,162.7,318591,44756,0.96,305071,2008
AL,2533,128.9,314407,72111,1.06,333299,2009
AZ,1633,156.5,259287,47230,0.95,246896,2009
AR,1665,151.5,227047,52721,0.91,206740,2009
CA,20503,151.4,2950562,941289,0.95,2791514,2009
CO,3633,132.2,454133,98007,1.0,452725,2009
FL,9395,154.4,1410152,354303,1.03,1449604,2009
GA,1610,146.0,228890,39662,1.13,259754,2009
ID,5738,147.2,847614,151895,1.08,918903,2009
IL,1966,156.9,330769,54972,1.07,353034,2009
IN,968,133.5,121865,21883,1.09,132861,2009
IA,2559,156.1,410985,54593,0.99,404892,2009
KS,1662,164.2,257100,48677,1.03,264207,2009
KY,2458,140.4,311420,75515,1.05,327903,2009
LA,2101,133.3,293654,43213,1.01,296774,2009
ME,2396,142.1,351338,41132,1.05,369182,2009
MI,2858,142.0,368853,50135,1.08,397587,2009
MN,3956,164.4,594703,125094,1.04,619548,2009
MS,3541,148.9,496315,148698,1.05,521753,2009
MO,2547,134.7,337279,71230,0.95,321572,2009
MT,1384,140.7,183382,19241,1.07,196635,2009
NE,1736,143.8,268841,60279,1.02,273441,2009
NJ,1634,160.9,267723,82047,0.99,264305,2009
NM,3148,168.3,554970,146915,1.03,571083,2009
NY,4359,137.6,630582,77892,1.11,698863,2009
NC,150,150.0,23925,4776,0.95,22659,2009
ND,3881,143.0,576916,89783,0.94,539771,2009
OH,2866,145.1,407764,94374,1.02,417849,2009
OR,4346,159.1,678572,195786,0.99,670202,2009
PA,2311,144.7,357332,83550,1.02,364319,2009
SD,1448,128.6,189633,37546,1.08,204107,2009
TN,2243,165.9,347400,40112,1.0,346836,2009
TX,10032,143.3,1483549,468222,1.04,1549592,2009
UT,1427,130.6,196951,26232,0.98,192409,2009
VT,2533,147.8,381828,97561,1.08,411900,2009
VA,1795,122.5,209761,36876,1.14,238317,2009
WA,5884,151.3,820506,208141,1.0,824022,2009
WI,2258,149.2,368280,74502,1.03,378536,2009
WY,1256,137.8,165306,44100,1.03,170084,2009
AL,2987,137.9,419382,83074,1.03,431461,2010
AZ,2531,134.6,318891,82430,1.04,330132,2010
AR,840,136.1,114199,17201,1.01,115626,2010
CA,20112,154.7,2900379,458761,1.11,3217183,2010
CO,1536,151.8,235237,66877,1.07,252164,2010
FL,9730,137.4,1384421,226112,1.06,1462763,2010
GA,2865,127.5,399770,50123,1.11,443303,2010
ID,5561,144.9,749542,97163,1.01,754019,2010
IL,1497,142.4,198646,20939,0.95,188291,2010
IN,2716,130.9,365875,92245,1.0,366855,2010
IA,1868,160.5,319005,50455,1.12,357987,2010
KS,192,137.0,25289,2707,1.01,25522,2010
KY,2229,153.7,315056,67517,0.97,305961,2010
LA,2646,139.7,365687,38605,1.12,408195,2010
ME,3341,136.6,499254,115441,1.16,581019,2010
MI,453,133.7,65302,13567,1.09,70901,2010
MN,1831,148.4,272416,52456,1.1,300182,2010
MS,2372,141.3,304758,59982,1.04,317595,2010
MO,904,130.9,128888,41107,1.19,152985,2010
MT,3070,148.6,453346,72209,1.15,521153,2010
NE,1977,181.6,340955,43343,1.07,363579,2010
NJ,1022,133.1,123182,37883,1.05,129184,2010
NM,1667,133.0,232749,35721,1.04,241743,2010
NY,3864,138.0,581123,60764,0.98,571155,2010
NC,2463,108.7,287418,30348,1.06,306075,2010
ND,3454,143.2,527317,145746,1.15,607974,2010
OH,3791,151.2,518542,135979,1.08,559549,2010
OR,3904,162.2,621624,153024,1.01,630653,2010
PA,2573,132.7,342276,62800,0.98,335750,2010
SD,1636,128.4,214394,27633,1.12,239260,2010
TN,1913,130.2,246515,41108,1.2,295912,2010
TX,9296,124.0,1133196,329751,1.07,1214162,2010
UT,1882,132.3,268121,49908,1.06,283559,2010
VT,2149,156.8,344962,61642,1.02,352545,2010
VA,2157,170.5,363880,40740,1.08,393514,2010
WA,6327,156.1,1020523,286307,1.13,1156187,2010
WI,3508,152.9,580660,178321,1.06,615976,2010
WY,2594,148.8,411878,53108,1.12,460081,2010
AL,1828,158.8,270920,80435,1.13,305177,2011
AZ,1049,143.5,161524,22534,1.18,190153,2011
AR,988,121.7,131345,29383,1.21,159136,2011
CA,19428,127.1,2407276,556643,1.09,2613314,2011
CO,2165,124.2,264677,49545,1.05,278856,2011
FL,9093,135.4,1262794,167426,1.11,1399170,2011
GA,1179,121.2,145646,41949,0.97,141595,2011
ID,5429,118.0,600965,84876,1.12,671815,2011
IL,3636,146.3,529877,97987,1.16,615084,2011
IN,2187,158.4,368468,67718,1.11,410728,2011
IA,1189,140.4,165367,26306,1.16,191694,2011
KS,2653,137.8,360912,65152,1.14,410765,2011
KY,3681,148.5,510040,159308,1.01,513955,2011
LA,3580,134.7,456370,61535,1.01,458891,2011
ME,1208,126.5,153412,25080,1.18,180879,2011
MI,2078,129.5,255911,77717,1.18,302468,2011
MN,2870,137.1,359094,45660,1.21,433612,2011
MS,2085,131.8,286542,72212,1.03,295237,2011
MO,2781,145.3,426626,85854,1.23,524505,2011
MT,817,161.9,135703,30314,1.15,156621,2011
NE,3176,135.2,424783,127812,1.2,510726,2011
NJ,2603,103.2,265751,40346,1.2,319035,2011
NM,3266,138.3,424795,43836,1.21,516027,2011
NY,3776,143.6,569739,180614,1.15,653677,2011
NC,150,122.5,18397,5232,1.15,21071,2011
ND,2622,137.9,352001,106129,1.11,391487,2011
OH,1802,138.1,262378,41996,1.17,306094,2011
OR,3409,168.3,570846,119499,1.21,691817,2011
PA,2865,153.9,410010,127784,1.08,444135,2011
SD,3124,123.0,351550,89062,1.13,395745,2011
TN,3172,147.6,434084,121517,1.05,456729,2011
TX,9067,144.5,1263164,268473,1.12,1415315,2011
UT,3749,139.1,493505,53769,1.23,604603,2011
VT,2747,142.5,390809,80544,1.26,494156,2011
VA,1757,133.2,253968,64377,1.13,287506,2011
WA,5583,167.3,985099,253232,1.11,1096495,2011
WI,818,145.5,126333,28387,1.19,150091,2011
