status,attendance,homework,prior-gpa,study-hours,parent-ed,first-gen,internet,extra-help,course-load,commute,sleep-band,device,peer-group,home-lang,iep,sports,job-hours,tardies,class-size,school-type,setting,advisor,roster-flag
o,s,p,m,m,p,t,t,t,n,n,a,p,m,e,f,t,n,r,m,c,s,?,e
o,a,p,m,l,s,f,t,f,h,b,a,t,s,e,f,t,l,o,m,p,u,b,e
o,a,p,l,l,g,t,t,f,n,b,a,l,d,e,f,f,l,r,l,c,u,f,e
o,a,p,l,m,n,t,t,f,n,b,s,l,s,e,t,f,n,r,m,p,r,f,e
r,s,m,h,h,g,f,t,f,l,c,s,l,d,e,f,f,l,r,m,p,u,b,e
r,s,p,m,l,p,f,t,f,n,c,s,l,s,e,f,f,n,f,l,p,u,f,e
o,s,p,m,h,s,f,t,t,n,n,s,l,s,o,f,f,n,o,s,p,r,f,e
r,s,c,h,m,b,t,t,t,n,b,a,t,m,e,t,f,h,o,m,p,u,f,e
o,u,c,h,h,s,f,t,t,n,b,a,p,m,e,f,f,n,o,m,p,s,b,e
r,u,m,h,m,b,t,t,t,h,b,a,l,s,e,t,f,n,r,m,p,s,b,e
o,a,p,m,m,s,f,t,f,l,c,s,n,d,o,f,t,l,r,m,p,r,f,e
o,a,c,m,l,s,t,t,f,h,c,a,l,m,e,f,t,n,o,m,p,u,?,e
r,s,m,m,m,b,f,f,f,n,n,a,t,m,o,f,f,n,o,s,p,s,f,e
r,u,m,m,l,s,f,t,t,n,n,a,p,m,e,f,f,n,o,m,p,s,?,e
o,u,p,m,m,s,f,t,t,n,b,s,p,m,e,f,t,n,o,m,p,s,b,e
o,s,c,h,m,p,f,t,f,n,w,s,l,s,e,f,t,l,o,m,p,s,?,e
r,s,p,l,h,p,t,t,f,n,b,s,p,d,e,f,t,h,f,m,p,r,?,e
r,u,c,m,h,s,f,f,f,n,c,s,p,d,e,f,f,l,f,m,p,u,b,e
o,u,c,h,m,n,f,f,f,n,w,a,l,m,e,f,f,n,r,m,p,u,f,e
r,u,p,h,m,b,t,t,t,n,b,s,p,m,e,f,f,l,f,m,p,u,f,e
o,a,m,m,h,g,f,t,f,n,c,a,l,d,e,f,f,n,r,l,c,r,f,e
o,u,c,l,m,g,t,t,t,l,b,s,l,s,o,f,t,n,o,l,p,u,b,e
r,a,m,m,m,p,f,t,f,h,n,s,l,d,e,f,t,n,o,s,p,u,f,e
o,u,m,h,m,b,f,t,f,l,b,a,l,d,e,f,t,n,r,m,p,s,b,e
r,r,c,h,h,p,f,t,f,n,n,a,l,m,o,f,t,n,f,m,p,u,?,e
o,a,c,h,h,s,f,f,f,n,c,a,l,m,e,f,t,n,r,m,p,u,?,e
o,a,p,m,m,g,t,f,t,h,c,s,t,m,o,f,f,n,r,m,p,s,?,e
r,u,p,l,l,s,f,t,t,n,b,a,l,m,e,f,t,h,o,l,p,u,b,e
r,u,c,m,l,s,f,t,f,l,b,v,t,d,e,f,f,l,o,l,p,u,f,e
r,s,p,l,h,s,f,t,f,l,c,s,t,m,o,f,f,n,r,m,p,u,b,e
o,u,p,h,h,p,t,t,f,n,b,a,n,d,e,t,t,n,o,m,c,s,f,e
o,s,p,m,m,s,f,t,f,n,b,a,l,s,e,f,f,n,r,m,c,s,f,e
r,s,p,l,m,b,f,t,f,n,n,a,t,m,e,f,t,n,r,m,p,u,?,e
r,u,c,m,l,s,t,f,f,h,c,s,p,d,e,f,t,n,r,s,c,r,b,e
r,r,c,l,m,b,f,t,f,n,n,v,t,m,o,t,f,n,r,s,c,u,?,e
o,a,c,h,l,p,f,t,t,h,c,s,t,m,e,f,t,l,r,m,p,s,?,e
o,a,m,m,h,b,f,f,f,n,c,a,p,m,e,f,f,n,o,m,i,s,f,e
o,a,m,m,l,s,t,t,t,h,n,a,t,m,e,f,f,n,o,s,p,r,b,e
o,s,p,h,l,s,t,t,t,l,c,v,t,s,e,f,t,h,o,m,p,u,b,e
o,u,c,l,m,g,f,t,f,h,w,a,l,m,o,f,t,l,r,m,p,s,?,e
r,a,p,m,l,s,t,t,f,n,b,s,p,m,o,f,f,n,o,m,p,u,f,e
o,u,c,h,m,b,t,t,f,n,w,a,t,d,e,f,f,n,o,l,c,u,?,e
o,a,c,l,h,s,f,t,f,n,w,a,p,m,e,f,f,n,r,l,p,s,?,e
r,s,c,m,m,s,t,t,f,n,c,a,l,m,e,f,f,n,o,l,p,u,f,e
r,u,m,l,l,g,f,t,f,h,n,a,l,m,e,f,f,h,r,m,i,r,f,e
r,u,c,l,l,b,f,t,t,n,w,a,p,d,o,f,t,n,r,l,c,s,b,e
o,u,p,h,m,s,f,t,t,l,c,s,p,m,e,f,f,h,r,m,i,u,b,e
o,s,m,m,m,s,t,t,f,n,b,a,p,m,o,f,f,l,r,s,c,s,f,e
r,u,p,l,h,s,t,t,t,l,c,s,t,s,o,f,f,n,o,m,p,s,?,e
o,a,c,h,h,g,f,t,f,n,c,a,p,d,e,f,f,n,o,l,p,s,?,e
o,a,m,m,m,b,f,t,f,n,b,s,l,m,o,f,f,n,r,s,c,r,f,e
r,n,p,l,m,s,f,t,f,n,b,a,l,s,e,f,t,n,o,l,p,s,?,e
o,r,c,h,h,p,f,t,t,h,b,s,t,s,o,t,f,n,o,m,i,s,b,e
r,s,p,l,l,s,f,t,f,n,b,a,n,m,e,f,f,n,r,m,c,s,f,e
r,a,m,m,m,s,f,t,f,h,c,a,l,m,o,f,t,l,o,s,p,s,f,e
r,n,c,l,m,s,f,t,f,h,b,s,t,s,e,f,f,h,r,s,i,u,f,e
r,s,p,m,h,s,t,t,f,n,b,s,n,s,e,f,f,n,o,l,p,r,b,e
o,s,c,m,h,p,f,t,t,n,b,s,l,m,e,f,f,n,o,s,p,r,?,e
o,u,c,l,m,b,t,t,f,h,w,a,l,s,o,f,t,h,r,m,p,r,b,e
o,a,p,h,l,s,f,t,f,n,b,s,t,m,e,f,f,l,r,l,p,u,b,e
o,a,c,m,h,b,f,t,f,h,b,a,l,d,o,f,t,h,o,l,p,s,b,e
r,r,c,l,l,g,f,t,f,n,c,a,t,m,o,f,f,n,f,m,i,r,b,e
r,u,c,l,l,g,t,t,f,l,c,s,l,s,e,f,f,l,r,m,p,s,b,e
o,a,c,l,l,g,f,t,f,n,w,s,t,m,e,f,t,n,o,m,i,u,f,e
r,u,c,m,m,b,f,t,f,n,c,a,n,s,e,f,f,h,f,l,c,u,b,e
o,u,p,m,m,b,f,t,t,l,b,s,l,d,e,t,f,h,o,m,p,u,b,e
o,a,c,m,l,g,f,f,f,l,b,s,t,m,o,f,f,l,r,s,p,u,b,e
r,r,c,m,m,b,f,t,t,n,b,s,n,s,o,t,t,n,o,s,p,u,b,e
r,s,m,m,h,g,f,t,t,l,b,v,l,m,e,f,f,l,r,l,p,s,f,e
o,s,m,h,m,b,t,t,t,l,c,a,l,s,e,f,t,l,r,m,p,s,f,e
o,u,c,h,m,p,f,t,f,l,b,a,p,s,e,t,t,l,o,l,p,s,f,e
o,s,c,m,m,s,f,t,t,n,w,a,t,s,e,f,f,n,o,l,c,s,?,e
o,s,c,m,l,g,f,t,f,l,b,a,l,m,e,f,f,n,f,m,p,r,?,e
o,s,c,m,m,b,f,t,t,h,w,s,p,m,e,f,f,n,o,l,p,r,f,e
o,a,c,h,m,s,f,t,t,h,n,s,p,s,e,f,f,n,o,s,p,s,?,e
r,u,m,l,l,b,t,t,t,n,b,a,l,d,e,f,f,n,o,m,p,u,b,e
r,a,p,l,h,b,f,t,f,n,w,s,l,s,e,t,f,n,f,s,i,s,f,e
o,u,c,m,h,b,t,t,t,n,b,a,t,d,e,f,t,h,o,m,p,u,f,e
r,u,m,l,l,s,t,f,f,l,b,a,l,s,o,f,t,l,r,m,p,u,b,e
o,a,c,l,l,s,f,t,f,h,c,v,l,m,o,t,t,n,o,l,c,r,?,e
o,a,c,h,m,s,f,t,f,l,c,a,l,m,o,t,t,n,o,m,i,s,b,e
o,s,c,h,m,g,f,t,t,n,c,s,l,m,e,f,f,n,f,m,p,u,b,e
o,a,c,h,m,g,t,f,t,l,b,a,l,s,e,t,f,n,r,l,c,u,?,e
r,n,m,h,l,p,f,t,f,h,c,a,t,m,e,f,f,n,r,m,p,u,b,e
r,s,c,m,l,s,f,f,f,l,w,a,p,m,e,f,f,l,r,m,p,r,b,e
o,u,p,h,h,s,f,t,t,l,b,s,p,m,e,t,f,l,o,m,i,u,f,e
r,s,c,l,l,p,t,t,t,l,n,a,t,m,e,f,t,n,r,s,c,s,?,e
o,a,m,m,m,s,t,t,f,h,b,a,t,m,e,f,t,h,f,m,c,u,b,e
r,n,p,m,h,g,f,t,t,n,n,a,t,d,e,f,f,n,f,m,p,u,b,e
r,u,p,l,h,s,t,t,f,h,c,s,l,m,e,f,t,n,f,l,p,u,?,e
o,s,c,l,h,b,f,t,f,h,b,a,l,s,o,f,t,n,o,m,p,s,b,e
r,a,m,l,l,s,t,t,f,n,c,a,l,s,e,f,t,n,o,l,c,u,?,e
r,u,p,l,m,s,f,t,f,l,n,a,l,s,e,f,t,n,r,s,p,u,b,e
r,u,c,l,m,g,f,t,f,h,c,s,n,m,o,f,f,n,f,s,p,r,b,e
r,n,m,m,h,g,f,f,f,n,b,a,l,m,e,f,f,n,r,m,p,s,f,e
r,u,c,l,l,b,f,t,f,n,c,v,t,m,e,t,f,n,r,l,i,u,b,e
o,u,c,h,m,s,t,f,t,n,b,a,l,s,o,f,f,n,f,l,p,s,f,e
o,a,p,m,l,b,f,t,f,n,w,s,l,m,e,f,t,n,o,l,p,r,b,e
r,u,c,m,m,g,f,t,f,h,b,s,p,m,e,f,t,h,o,m,p,s,b,e
r,u,c,h,l,b,f,t,f,h,b,a,p,m,e,t,f,l,o,m,p,s,b,e
o,u,c,h,m,p,f,t,f,n,b,s,l,m,e,f,f,l,r,m,p,s,b,e
o,a,c,h,m,p,t,t,f,l,c,a,t,s,e,f,f,n,r,m,p,u,?,e
r,r,c,h,l,s,t,t,f,h,b,v,t,m,e,f,f,l,r,l,p,r,b,e
r,r,c,h,m,s,f,f,f,l,w,s,l,s,e,f,t,l,r,s,c,u,f,e
r,a,m,m,l,s,f,f,f,n,b,s,p,m,e,f,t,n,r,s,c,r,?,e
o,u,p,l,h,b,t,t,t,l,c,v,t,s,e,f,f,l,o,m,p,r,f,e
o,a,p,m,m,b,f,t,t,n,b,v,t,s,o,f,t,n,r,l,p,u,f,e
r,s,c,m,l,g,t,t,t,n,c,a,l,s,o,f,f,h,f,m,p,s,f,e
o,u,p,h,l,p,t,t,f,n,w,v,t,s,e,f,f,n,r,m,p,r,b,e
r,s,c,l,m,s,f,t,f,h,b,s,t,d,e,t,f,n,r,m,p,s,?,e
o,s,c,h,m,g,f,t,f,h,c,a,l,s,e,t,f,l,f,s,p,s,f,e
r,s,p,m,l,s,t,t,f,n,c,s,t,s,o,f,f,l,o,m,i,s,b,e
o,a,c,m,m,b,f,t,f,n,c,s,l,m,e,f,t,n,r,l,p,u,f,e
r,r,p,l,l,s,f,f,f,n,w,s,t,d,e,t,t,n,r,s,p,u,b,e
r,a,m,l,m,s,f,t,f,n,w,a,l,d,e,f,t,h,r,m,p,r,?,e
r,a,m,l,h,p,f,t,f,n,b,s,l,s,o,f,f,n,o,l,p,u,b,e
o,u,c,m,l,s,f,t,t,h,n,s,p,s,e,f,t,l,r,m,p,r,f,e
o,u,c,m,m,p,t,t,f,n,w,v,l,m,o,t,t,n,o,s,c,u,b,e
r,r,c,m,m,b,f,t,t,l,c,s,n,m,e,f,f,l,r,m,i,s,b,e
r,r,p,h,m,s,t,t,t,n,c,v,p,m,o,f,t,n,r,s,p,u,?,e
o,u,m,h,l,p,t,t,f,n,n,v,n,m,e,f,f,n,r,m,i,u,?,e
r,n,m,l,m,b,t,t,t,l,w,s,p,d,e,f,t,n,r,l,p,s,b,e
o,u,c,l,l,p,t,t,t,n,w,a,p,s,o,f,t,l,r,m,p,s,b,e
r,u,m,m,m,n,f,t,t,l,b,s,l,m,e,f,f,n,r,m,i,s,f,e
o,a,p,h,m,s,f,t,f,n,b,v,p,m,e,f,t,h,r,m,p,s,b,e
r,n,m,h,h,b,t,t,t,h,c,a,l,m,e,f,t,n,o,m,c,r,b,e
o,a,p,m,m,b,f,t,f,n,n,s,p,m,o,f,f,n,r,l,p,s,?,e
o,a,c,h,h,s,f,t,f,n,b,v,l,d,e,f,t,n,f,m,p,u,?,e
r,u,c,m,h,p,t,t,t,n,c,s,l,s,e,f,t,h,r,l,c,s,b,e
r,n,m,h,m,g,f,t,f,n,c,v,p,d,e,t,f,l,r,m,c,u,?,e
r,r,c,h,m,b,t,f,f,h,b,s,t,m,e,f,t,n,r,m,p,s,b,e
r,s,c,h,m,b,t,t,f,h,b,v,t,d,e,f,f,n,o,m,p,u,f,e
o,r,c,l,m,s,f,t,t,l,c,v,p,m,o,f,t,n,r,l,p,u,?,e
r,r,c,m,m,p,f,t,f,n,c,s,n,m,o,f,f,l,r,l,p,s,?,e
r,u,m,m,m,s,t,f,f,l,n,s,p,s,e,t,t,l,o,m,p,s,b,e
o,u,c,m,l,s,t,t,f,l,c,v,t,m,e,f,f,n,o,s,p,r,b,e
o,s,c,l,l,s,f,t,f,n,b,s,l,s,e,f,t,l,r,m,p,u,b,e
r,s,p,m,l,s,f,f,t,n,c,s,p,s,e,f,f,h,f,l,p,s,b,e
o,u,p,m,h,s,f,t,f,n,w,s,t,s,o,f,f,l,r,l,p,s,?,e
o,a,c,h,m,g,f,t,t,n,c,a,t,d,e,f,f,n,o,s,c,s,b,e
r,s,c,m,l,g,f,t,f,n,b,v,t,d,e,f,t,l,o,s,p,s,?,e
o,a,c,m,l,p,f,t,f,h,b,a,p,m,e,f,f,n,f,s,c,u,b,e
r,n,c,l,m,s,t,t,t,h,c,a,l,s,e,f,f,n,r,l,c,r,?,e
o,a,c,l,m,b,f,t,t,n,w,a,l,s,o,f,f,n,r,m,c,s,f,e
o,a,c,l,l,s,t,t,t,n,b,s,l,s,o,f,t,l,r,l,p,s,f,e
r,r,p,l,l,s,f,t,t,n,b,v,p,d,e,f,f,l,r,m,p,s,b,e
o,a,m,h,m,b,t,t,f,l,w,s,l,s,o,f,f,n,r,l,p,s,b,e
o,a,m,m,h,s,t,t,f,n,w,a,t,m,e,f,f,l,r,l,p,u,b,e
o,s,c,h,l,g,f,f,t,h,w,a,t,m,e,f,t,l,r,l,p,r,b,e
o,r,c,h,m,p,f,t,t,n,c,a,p,s,e,f,f,n,r,m,p,u,?,e
o,a,m,m,h,s,f,f,f,n,b,v,t,m,o,f,f,h,r,s,p,s,b,e
o,u,p,m,m,p,f,f,t,n,w,a,n,s,e,f,f,n,r,l,p,r,b,e
r,s,p,m,m,s,f,t,f,n,b,v,t,s,e,f,f,n,r,m,i,u,?,e
o,n,c,l,m,p,t,t,t,h,c,a,t,s,e,f,t,l,o,l,p,u,b,e
r,u,c,m,l,b,f,t,f,l,b,s,l,m,e,f,f,h,r,m,c,s,?,e
o,a,p,l,h,b,t,t,f,h,b,v,l,d,e,f,t,n,r,m,p,s,b,e
r,a,p,l,h,p,f,t,t,n,c,s,l,s,e,f,t,l,o,s,c,u,f,e
o,a,c,l,m,p,t,t,t,n,n,s,t,m,e,f,f,h,r,l,i,r,b,e
r,a,m,h,h,p,f,f,t,n,w,a,l,s,o,f,t,n,o,m,p,s,b,e
r,s,p,m,m,n,t,t,t,n,b,s,l,s,e,f,f,h,f,l,i,u,?,e
r,a,p,m,m,s,f,t,f,l,b,v,n,m,e,f,t,h,f,m,p,u,f,e
r,u,c,l,m,s,f,f,f,l,c,a,l,s,e,f,f,l,o,l,c,s,f,e
r,s,p,h,l,p,t,t,f,n,b,v,p,m,o,f,t,n,r,l,p,s,b,e
o,s,p,m,h,g,f,t,t,n,c,a,p,d,e,f,f,n,r,m,c,s,b,e
o,a,c,m,l,p,t,t,f,n,b,s,l,m,e,f,t,l,r,l,c,s,?,e
r,r,p,h,m,p,f,f,t,n,b,a,l,m,o,f,f,n,r,m,p,u,f,e
r,s,p,l,m,s,f,t,t,n,n,a,p,s,e,f,f,n,o,l,p,u,b,e
r,s,m,h,l,b,t,t,t,h,w,s,l,m,e,f,f,n,r,l,p,u,b,e
o,a,c,m,h,s,f,t,f,h,b,s,l,m,o,f,f,n,r,s,p,r,f,e
o,a,m,m,l,p,f,t,t,n,n,s,t,d,o,f,f,n,r,m,p,u,b,e
r,n,c,m,h,b,f,t,t,l,b,s,t,m,e,f,t,l,o,s,p,u,b,e
o,u,c,h,l,b,f,t,f,n,w,s,l,s,e,f,f,n,o,m,p,u,?,e
o,u,c,m,h,s,f,t,f,l,b,a,l,m,e,f,t,n,o,m,p,s,b,e
r,u,c,m,m,p,t,t,f,h,c,s,l,d,e,f,t,n,f,m,c,s,b,e
r,s,c,l,h,s,t,t,f,n,n,s,n,m,e,f,f,h,o,s,c,s,b,e
r,n,p,m,m,s,f,t,t,l,c,s,p,m,e,f,f,n,r,l,p,u,f,e
o,u,p,l,h,g,f,f,f,h,n,s,p,m,e,f,t,l,r,l,c,r,b,e
r,n,c,h,h,s,t,t,t,l,w,s,l,m,o,f,t,n,r,s,p,s,f,e
r,a,m,l,h,p,t,t,t,l,c,s,l,m,e,f,t,l,o,m,p,s,b,e
o,u,c,m,h,b,f,t,t,h,b,a,n,m,e,f,t,n,r,s,p,r,f,e
o,s,p,m,m,b,f,f,f,l,w,s,p,s,e,t,f,n,o,m,p,r,?,e
o,a,m,m,m,b,t,t,t,n,c,s,l,s,e,f,f,n,r,m,c,u,b,e
o,a,m,h,h,b,f,t,f,n,b,s,l,s,o,f,t,l,r,s,p,u,b,e
r,u,p,h,l,s,f,t,f,l,c,v,t,s,e,f,t,n,o,s,c,u,f,e
r,n,p,l,m,p,f,t,t,l,c,s,t,d,e,t,t,n,o,l,c,u,b,e
r,s,c,l,m,s,f,t,f,l,b,v,t,d,o,f,f,h,r,l,p,u,f,e
o,n,c,h,m,s,t,t,t,n,w,a,n,m,e,t,f,n,r,m,i,u,b,e
o,r,c,m,m,s,t,t,t,h,n,v,l,s,e,f,t,n,r,l,p,u,?,e
o,u,c,m,m,p,t,t,t,n,c,s,p,s,o,f,t,n,r,s,p,s,?,e
o,s,c,m,l,b,f,t,t,n,b,s,l,s,e,f,f,n,o,m,c,r,?,e
o,a,c,m,m,b,t,t,t,n,b,v,t,m,o,f,f,n,r,m,p,u,f,e
o,a,m,l,l,s,f,t,t,n,c,v,t,m,o,f,f,h,r,m,p,s,f,e
r,r,m,m,m,n,f,t,t,n,w,a,t,d,o,f,f,n,r,m,p,u,?,e
r,s,m,m,l,s,f,t,f,h,w,a,l,s,o,f,t,n,o,m,i,u,f,e
o,a,p,m,m,s,t,t,f,n,b,s,l,s,e,f,f,h,r,m,p,u,?,e
o,u,c,m,m,b,f,t,f,n,w,a,p,s,e,f,t,h,r,m,c,u,f,e
r,s,c,h,m,b,f,t,t,l,n,a,l,m,e,t,f,n,r,l,p,s,f,e
r,r,p,l,l,n,f,t,t,n,b,a,l,s,o,f,f,n,r,l,p,r,b,e
o,s,p,h,h,s,f,t,f,n,c,a,l,d,e,f,f,l,r,m,p,r,f,e
o,u,c,l,h,s,t,t,f,h,c,s,t,m,e,t,t,n,r,m,c,u,?,e
o,u,c,l,h,p,f,t,t,h,w,a,t,m,e,f,f,n,f,l,p,r,f,e
o,u,p,m,m,s,f,t,f,l,w,s,t,d,e,f,f,n,r,l,p,u,?,e
o,s,c,m,l,b,f,t,f,n,b,a,l,m,e,f,t,n,r,m,p,u,b,e
o,r,c,h,m,b,f,f,t,h,b,s,p,d,o,f,f,n,r,m,p,r,?,e
o,u,c,m,h,g,t,t,f,l,w,v,l,m,o,t,t,n,r,s,p,s,b,e
o,a,p,m,m,n,t,t,t,n,n,a,n,s,e,f,f,n,r,s,i,r,b,e
o,a,m,h,h,p,f,t,f,n,c,v,l,s,e,f,t,n,r,l,p,u,b,e
r,s,p,h,l,s,t,t,t,n,b,v,t,d,e,f,f,h,r,l,i,r,?,e
r,r,p,l,l,p,t,t,f,h,w,a,t,m,e,f,t,n,f,m,i,r,?,e
o,a,m,m,h,b,f,t,t,n,w,a,t,m,o,f,f,n,r,m,p,r,b,e
o,a,c,m,m,g,f,t,f,n,c,a,p,s,e,t,f,h,f,s,p,r,b,e
r,s,p,h,l,b,t,t,t,n,c,v,p,s,e,f,f,n,o,l,i,u,f,e
o,a,p,m,m,p,f,t,f,n,b,a,t,m,o,f,f,n,r,m,p,s,?,e
r,r,p,m,l,b,t,t,f,l,b,s,l,m,o,f,t,l,r,l,c,u,?,e
r,u,c,l,m,g,f,t,t,n,b,a,t,d,e,f,t,n,f,m,i,s,b,e
o,a,m,m,h,b,t,t,f,h,c,a,p,s,e,f,f,n,r,m,p,u,?,e
r,n,m,h,m,s,f,f,f,n,c,v,p,m,e,f,f,n,o,m,i,u,b,e
o,a,c,m,h,s,t,t,f,n,b,v,t,d,e,f,t,n,f,s,i,r,b,e
o,u,c,h,l,b,f,t,f,l,n,a,l,m,o,f,f,n,r,m,p,u,f,e
o,a,c,l,l,p,t,t,t,l,b,s,l,s,e,f,t,l,o,l,p,u,?,e
o,a,p,h,m,n,t,t,f,n,b,s,l,d,e,f,t,l,r,s,p,s,?,e
o,a,p,h,m,b,f,t,f,h,c,a,t,s,e,f,f,n,r,m,i,s,b,e
o,a,c,m,l,n,f,t,f,n,b,s,p,m,o,f,t,n,o,l,p,r,f,e
o,a,m,h,l,p,f,t,t,h,w,v,t,d,e,f,f,n,o,m,c,s,?,e
o,a,c,m,m,p,f,t,f,l,w,s,p,s,e,f,f,l,f,s,c,s,?,e
o,s,c,m,l,g,t,t,f,n,b,s,l,m,o,f,f,l,f,s,p,u,b,e
r,s,c,l,h,p,f,t,f,n,w,s,t,s,o,f,f,l,r,m,p,u,b,e
o,u,p,h,l,s,f,t,f,h,n,s,p,m,e,f,f,n,r,m,p,u,b,e
o,u,p,m,m,g,f,t,t,l,c,s,t,s,o,f,t,n,r,s,c,r,b,e
o,u,c,m,h,p,t,t,t,l,b,v,l,d,e,t,f,n,o,l,p,u,b,e
o,r,c,h,m,b,f,t,t,l,c,s,l,s,e,f,f,l,r,l,p,s,b,e
r,r,m,m,m,p,t,t,f,l,b,a,l,s,o,f,f,n,r,m,c,s,b,e
r,a,p,l,m,s,t,f,f,n,w,s,l,s,o,t,t,l,r,s,p,u,b,e
r,a,m,l,m,s,f,t,f,h,b,a,t,s,e,f,t,l,o,s,p,u,b,e
r,a,p,l,m,g,t,t,f,h,b,s,l,m,e,f,f,l,r,s,p,u,b,e
r,a,p,m,l,p,t,t,f,n,w,a,l,s,e,f,t,n,r,m,p,s,f,e
o,u,c,m,m,b,t,t,t,h,c,a,t,d,o,f,t,l,r,m,c,s,?,e
r,u,p,l,h,p,f,f,t,n,b,a,l,m,e,f,t,h,r,m,p,u,b,e
o,a,c,h,l,s,f,t,f,h,b,v,n,m,e,t,t,n,r,s,i,u,b,e
