InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
560491,23256,CHILDRENS CUTLERY SPACEBOY ,1,19.07.2011 10:51,4.15,12415.0,Australia
543989,22629,SPACEBOY LUNCH BOX ,192,15.02.2011 09:52,1.65,12415.0,Australia
556917,23203,JUMBO BAG DOILEY PATTERNS,100,15.06.2011 13:37,1.79,12415.0,Australia
556917,23254,CHILDRENS CUTLERY DOLLY GIRL ,144,15.06.2011 13:37,3.75,12415.0,Australia
560491,21917,SET 12 KIDS  WHITE CHALK STICKS,1,19.07.2011 10:51,0.42,12415.0,Australia
540267,22933,BAKING MOULD EASTER EGG MILK CHOC,6,06.01.2011 11:12,2.95,12415.0,Australia
543989,23231,WRAP DOILEY DESIGN,200,15.02.2011 09:52,0.34,12415.0,Australia
C560540,22973,CHILDREN'S CIRCUS PARADE MUG,-1,19.07.2011 12:26,1.65,12415.0,Australia
549313,22379,RECYCLING BAG RETROSPOT ,10,08.04.2011 09:45,2.1,12393.0,Australia
543989,22544,MINI JIGSAW SPACEBOY,240,15.02.2011 09:52,0.36,12415.0,Australia
543989,21249,WOODLAND  HEIGHT CHART STICKERS ,60,15.02.2011 09:52,2.55,12415.0,Australia
569650,22730,ALARM CLOCK BAKELIKE IVORY,50,05.10.2011 12:44,3.39,12415.0,Australia
553546,21524,DOORMAT SPOTTY HOME SWEET HOME,10,17.05.2011 15:42,6.75,12415.0,Australia
560491,23229,VINTAGE DONKEY TAIL GAME ,1,19.07.2011 10:51,3.75,12415.0,Australia
571705,22144,CHRISTMAS CRAFT LITTLE FRIENDS,6,18.10.2011 15:22,2.1,12360.0,Austria
571705,22813,PACK 3 BOXES BIRD PANNETONE ,12,18.10.2011 15:22,1.95,12360.0,Austria
545570,POST,POSTAGE,1,03.03.2011 16:28,40.0,12817.0,Austria
562602,23028,DRAWER KNOB CRACKLE GLAZE BLUE,12,08.08.2011 10:11,1.65,12865.0,Austria
554132,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,23.05.2011 09:43,1.65,12360.0,Austria
554132,23007, SPACEBOY BABY GIFT SET,6,23.05.2011 09:43,14.95,12360.0,Austria
576345,22818,CARD CHRISTMAS VILLAGE,12,14.11.2011 15:37,0.42,12374.0,Austria
554132,22551,PLASTERS IN TIN SPACEBOY,12,23.05.2011 09:43,1.65,12360.0,Austria
562602,23150,IVORY SWEETHEART SOAP DISH,6,08.08.2011 10:11,2.49,12865.0,Austria
C556793,22357,KINGS CHOICE BISCUIT TIN,-5,14.06.2011 13:54,4.25,12818.0,Austria
542887,20713,JUMBO BAG OWLS,10,01.02.2011 13:10,1.95,12373.0,Austria
576345,85174,S/4 CACTI CANDLES,4,14.11.2011 15:37,4.95,12374.0,Austria
551054,23050,RECYCLED ACAPULCO MAT GREEN,2,26.04.2011 11:44,8.25,12429.0,Austria
551054,21212,PACK OF 72 RETROSPOT CAKE CASES,24,26.04.2011 11:44,0.55,12429.0,Austria
559707,15056P,EDWARDIAN PARASOL PINK,12,12.07.2011 10:04,5.95,12358.0,Austria
547493,22960,JAM MAKING SET WITH JARS,12,23.03.2011 12:06,3.75,12818.0,Austria
563749,23287,RED VINTAGE SPOT BEAKER,8,19.08.2011 10:10,0.85,12360.0,Austria
571705,22816,CARD MOTORBIKE SANTA,12,18.10.2011 15:22,0.42,12360.0,Austria
562602,23346,SPACEBOY BEAKER,12,08.08.2011 10:11,1.25,12865.0,Austria
562602,23256,CHILDRENS CUTLERY SPACEBOY ,8,08.08.2011 10:11,4.15,12865.0,Austria
552202,21172,PARTY METAL SIGN ,12,06.05.2011 14:51,1.45,12414.0,Austria
542887,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,01.02.2011 13:10,2.95,12373.0,Austria
576345,22442,GROW YOUR OWN FLOWERS SET OF 3,4,14.11.2011 15:37,7.95,12374.0,Austria
576019,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,13.11.2011 14:31,0.83,12865.0,Austria
C538971,22153,ANGEL DECORATION STARS ON DRESS,-48,15.12.2010 11:39,0.42,12865.0,Austria
581232,15056P,EDWARDIAN PARASOL PINK,12,08.12.2011 10:26,5.95,12358.0,Austria
539500,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,54,20.12.2010 11:02,3.81,,Bahrain
578084,23480,MINI LIGHTS WOODLAND MUSHROOMS,4,22.11.2011 16:34,3.75,12465.0,Belgium
539840,21703,BAG 125g SWIRLY MARBLES,12,22.12.2010 14:28,0.42,12383.0,Belgium
571187,21464,DISCO BALL ROTATOR BATTERY OPERATED,2,14.10.2011 11:39,4.25,12380.0,Belgium
575151,22512,DOORSTOP RACING CAR DESIGN,4,08.11.2011 16:12,3.75,12395.0,Belgium
581493,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,09.12.2011 10:10,0.85,12423.0,Belgium
555574,21090,SET/6 COLLAGE PAPER PLATES,12,05.06.2011 15:46,0.39,12417.0,Belgium
559058,POST,POSTAGE,6,06.07.2011 09:49,15.0,12407.0,Belgium
572133,22417,PACK OF 60 SPACEBOY CAKE CASES,24,21.10.2011 10:11,0.55,12407.0,Belgium
547684,POST,POSTAGE,5,24.03.2011 14:46,15.0,12408.0,Belgium
565246,23204,CHARLOTTE BAG APPLES DESIGN,10,02.09.2011 10:27,0.85,12408.0,Belgium
574336,23377,PACK OF 12 DOLLY GIRL TISSUES,24,04.11.2011 09:52,0.39,12397.0,Belgium
555574,23118,PARISIENNE JEWELLERY DRAWER ,2,05.06.2011 15:46,7.5,12417.0,Belgium
547684,22745,POPPY'S PLAYHOUSE BEDROOM ,6,24.03.2011 14:46,2.1,12408.0,Belgium
545140,POST,POSTAGE,2,28.02.2011 12:08,15.0,12464.0,Belgium
566076,22728,ALARM CLOCK BAKELIKE PINK,4,09.09.2011 09:13,3.75,12449.0,Belgium
568651,22726,ALARM CLOCK BAKELIKE GREEN,4,28.09.2011 12:04,3.75,12362.0,Belgium
563037,23345, DOLLY GIRL BEAKER,12,11.08.2011 15:02,1.25,12362.0,Belgium
577046,23240,SET OF 4 KNICK KNACK TINS DOILY ,12,17.11.2011 13:46,4.15,12449.0,Belgium
562034,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,02.08.2011 09:14,2.55,12449.0,Belgium
572887,22727,ALARM CLOCK BAKELIKE RED ,8,26.10.2011 13:47,3.75,12362.0,Belgium
566076,22729,ALARM CLOCK BAKELIKE ORANGE,4,09.09.2011 09:13,3.75,12449.0,Belgium
549825,20726,LUNCH BAG WOODLAND,10,12.04.2011 12:47,1.65,12463.0,Belgium
572133,23245,SET OF 3 REGENCY CAKE TINS,4,21.10.2011 10:11,4.95,12407.0,Belgium
577551,84375,SET OF 20 KIDS COOKIE CUTTERS,12,20.11.2011 15:21,2.1,12395.0,Belgium
540971,22625,RED KITCHEN SCALES,2,12.01.2011 14:10,8.5,12383.0,Belgium
544193,21217,RED RETROSPOT ROUND CAKE TINS,1,17.02.2011 08:23,9.95,12431.0,Belgium
539676,85170D,SET/6 PINK BIRD T-LIGHT CANDLES,12,21.12.2010 10:54,0.85,12423.0,Belgium
563854,20977,36 PENCILS TUBE WOODLAND,16,19.08.2011 15:24,1.25,12364.0,Belgium
557147,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,17.06.2011 10:51,2.95,12408.0,Belgium
554938,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,12,27.05.2011 13:34,1.65,12876.0,Belgium
558623,22729,ALARM CLOCK BAKELIKE ORANGE,4,30.06.2011 16:52,3.75,12395.0,Belgium
563852,84816,DANISH ROSE BEDSIDE CABINET,1,19.08.2011 15:18,39.95,12395.0,Belgium
578084,22628,PICNIC BOXES SET OF 3 RETROSPOT ,4,22.11.2011 16:34,4.95,12465.0,Belgium
572887,22385,JUMBO BAG SPACEBOY DESIGN,10,26.10.2011 13:47,2.08,12362.0,Belgium
557147,47518F,ICON PLACEMAT POP ART ELVIS,24,17.06.2011 10:51,0.12,12408.0,Belgium
577180,21439,BASKET OF TOADSTOOLS,12,18.11.2011 11:27,1.25,12380.0,Belgium
545536,22794,SWEETHEART WIRE MAGAZINE RACK,2,03.03.2011 14:12,7.95,12417.0,Belgium
544203,21913,VINTAGE SEASIDE JIGSAW PUZZLES,4,17.02.2011 10:30,3.75,12362.0,Belgium
577180,21931,JUMBO STORAGE BAG SUKI,20,18.11.2011 11:27,2.08,12380.0,Belgium
561507,23291,DOLLY GIRL CHILDRENS CUP,8,27.07.2011 14:21,1.25,12397.0,Belgium
539840,20973,12 PENCIL SMALL TUBE WOODLAND,24,22.12.2010 14:28,0.65,12383.0,Belgium
539447,22754,SMALL RED BABUSHKA NOTEBOOK ,12,17.12.2010 16:00,0.85,12395.0,Belgium
567196,20725,LUNCH BAG RED RETROSPOT,10,19.09.2011 10:09,1.65,12379.0,Belgium
561507,22630,DOLLY GIRL LUNCH BOX,12,27.07.2011 14:21,1.95,12397.0,Belgium
549559,20674,GREEN POLKADOT BOWL,8,10.04.2011 13:25,1.25,12447.0,Belgium
574329,22659,LUNCH BOX I LOVE LONDON,12,04.11.2011 09:07,1.95,12362.0,Belgium
563037,22891,TEA FOR ONE POLKADOT,3,11.08.2011 15:02,4.25,12362.0,Belgium
571445,23398,HANGING HEART BONHEUR,12,17.10.2011 13:44,0.85,12463.0,Belgium
568651,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,28.09.2011 12:04,2.55,12362.0,Belgium
561507,23346,SPACEBOY BEAKER,12,27.07.2011 14:21,1.25,12397.0,Belgium
574336,22629,SPACEBOY LUNCH BOX ,12,04.11.2011 09:52,1.95,12397.0,Belgium
555572,20766,GARDEN PATH SKETCHBOOK,4,05.06.2011 15:37,3.75,12449.0,Belgium
574336,23367,SET 12 COLOUR PENCILS SPACEBOY ,16,04.11.2011 09:52,0.65,12397.0,Belgium
547109,22232,JIGSAW TOADSTOOLS 3 PIECE,8,21.03.2011 11:46,1.65,12423.0,Belgium
561507,23236,DOILEY STORAGE TIN,6,27.07.2011 14:21,2.89,12397.0,Belgium
567196,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,19.09.2011 10:09,1.65,12379.0,Belgium
540971,21239,PINK  POLKADOT CUP,8,12.01.2011 14:10,0.85,12383.0,Belgium
578084,22573,STAR WOODEN CHRISTMAS DECORATION,12,22.11.2011 16:34,0.85,12465.0,Belgium
564378,23301,GARDENERS KNEELING PAD KEEP CALM ,12,25.08.2011 10:26,1.65,12417.0,Belgium
557147,23084,RABBIT NIGHT LIGHT,6,17.06.2011 10:51,2.08,12408.0,Belgium
568651,22727,ALARM CLOCK BAKELIKE RED ,4,28.09.2011 12:04,3.75,12362.0,Belgium
549249,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,07.04.2011 12:04,1.65,12423.0,Belgium
577551,23389,SPACEBOY MINI BACKPACK,8,20.11.2011 15:21,4.15,12395.0,Belgium
563037,16048,TEATIME ROUND PENCIL SHARPENER ,24,11.08.2011 15:02,0.12,12362.0,Belgium
540971,21244,BLUE POLKADOT PLATE ,8,12.01.2011 14:10,1.69,12383.0,Belgium
566076,22629,SPACEBOY LUNCH BOX ,12,09.09.2011 09:13,1.95,12449.0,Belgium
552543,POST,POSTAGE,2,10.05.2011 10:22,15.0,12399.0,Belgium
574862,22549,PICTURE DOMINOES,12,07.11.2011 12:27,1.45,12408.0,Belgium
540971,22543,MINI JIGSAW BAKE A CAKE ,24,12.01.2011 14:10,0.42,12383.0,Belgium
573173,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,28.10.2011 10:10,4.95,12362.0,Belgium
564378,84030E,ENGLISH ROSE HOT WATER BOTTLE,4,25.08.2011 10:26,4.25,12417.0,Belgium
571030,23204,CHARLOTTE BAG APPLES DESIGN,20,13.10.2011 12:26,0.85,12876.0,Belgium
561507,22726,ALARM CLOCK BAKELIKE GREEN,4,27.07.2011 14:21,3.75,12397.0,Belgium
554159,22846,BREAD BIN DINER STYLE RED ,3,23.05.2011 11:48,16.95,12464.0,Belgium
571030,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,13.10.2011 12:26,0.55,12876.0,Belgium
570667,22659,LUNCH BOX I LOVE LONDON,12,11.10.2011 14:33,1.95,12362.0,Belgium
547109,22382,LUNCH BAG SPACEBOY DESIGN ,10,21.03.2011 11:46,1.65,12423.0,Belgium
C549253,22466,FAIRY TALE COTTAGE NIGHTLIGHT,-1,07.04.2011 12:20,1.95,12408.0,Belgium
571030,23344,JUMBO BAG 50'S CHRISTMAS ,10,13.10.2011 12:26,2.08,12876.0,Belgium
562034,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,02.08.2011 09:14,1.65,12449.0,Belgium
573401,22437,SET OF 9 BLACK SKULL BALLOONS,20,30.10.2011 15:43,0.85,12364.0,Belgium
544203,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,17.02.2011 10:30,2.55,12362.0,Belgium
547412,22547,MINI JIGSAW DINOSAUR ,24,23.03.2011 09:42,0.42,12399.0,Belgium
552188,21452,TOADSTOOL MONEY BOX,6,06.05.2011 14:01,2.95,12394.0,Belgium
572887,22174,PHOTO CUBE,12,26.10.2011 13:47,1.65,12362.0,Belgium
544193,22971,QUEENS GUARD COFFEE MUG,6,17.02.2011 08:23,2.55,12431.0,Belgium
C554531,21494,ROTATING LEAVES T-LIGHT HOLDER,-2,24.05.2011 17:30,1.25,12463.0,Belgium
552543,23203,JUMBO BAG DOILEY PATTERNS,10,10.05.2011 10:22,2.08,12399.0,Belgium
545314,21218,RED SPOTTY BISCUIT TIN,6,01.03.2011 14:11,3.75,12866.0,Belgium
571030,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,13.10.2011 12:26,2.55,12876.0,Belgium
561507,23289,DOLLY GIRL CHILDRENS BOWL,8,27.07.2011 14:21,1.25,12397.0,Belgium
554147,23204,CHARLOTTE BAG APPLES DESIGN,10,23.05.2011 10:48,0.85,12423.0,Belgium
549559,21242,RED RETROSPOT PLATE ,8,10.04.2011 13:25,1.69,12447.0,Belgium
539840,22539,MINI JIGSAW DOLLY GIRL,24,22.12.2010 14:28,0.42,12383.0,Belgium
572133,23159,SET OF 5 PANCAKE DAY MAGNETS,12,21.10.2011 10:11,2.08,12407.0,Belgium
555161,20724,RED RETROSPOT CHARLOTTE BAG,10,01.06.2011 09:26,0.85,12423.0,Belgium
557147,47593B,SCOTTIE DOGS BABY BIB,48,17.06.2011 10:51,0.39,12408.0,Belgium
577046,23247,BISCUIT TIN 50'S CHRISTMAS,6,17.11.2011 13:46,2.89,12449.0,Belgium
555572,22757,LARGE RED BABUSHKA NOTEBOOK ,12,05.06.2011 15:37,1.25,12449.0,Belgium
554147,22303,COFFEE MUG APPLES DESIGN,6,23.05.2011 10:48,2.55,12423.0,Belgium
556203,23221,REINDEER HEART DECORATION SILVER,12,09.06.2011 13:09,0.83,12399.0,Belgium
557147,23283,DOORMAT VINTAGE LEAVES DESIGN ,2,17.06.2011 10:51,7.95,12408.0,Belgium
544193,21537,RED RETROSPOT PUDDING BOWL,4,17.02.2011 08:23,4.25,12431.0,Belgium
549825,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12.04.2011 12:47,1.25,12463.0,Belgium
577046,21914,BLUE HARMONICA IN BOX ,12,17.11.2011 13:46,1.25,12449.0,Belgium
577551,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,20.11.2011 15:21,0.85,12395.0,Belgium
559058,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,24,06.07.2011 09:49,1.45,12407.0,Belgium
544193,47504K,ENGLISH ROSE GARDEN SECATEURS,12,17.02.2011 08:23,1.95,12431.0,Belgium
555739,21936,RED RETROSPOT PICNIC BAG,5,07.06.2011 09:49,2.95,12380.0,Belgium
570667,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12,11.10.2011 14:33,2.55,12362.0,Belgium
567530,21121,SET/10 RED POLKADOT PARTY CANDLES,24,21.09.2011 09:33,1.25,12390.0,Belgium
571030,23351,ROLL WRAP 50'S CHRISTMAS,12,13.10.2011 12:26,1.25,12876.0,Belgium
555739,84997B,CHILDRENS CUTLERY RETROSPOT RED ,4,07.06.2011 09:49,4.15,12380.0,Belgium
544193,22846,BREAD BIN DINER STYLE RED ,1,17.02.2011 08:23,16.95,12431.0,Belgium
551346,21222,SET/4 BADGES BEETLES,10,28.04.2011 09:12,1.25,12362.0,Belgium
544474,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,21.02.2011 09:52,1.65,12423.0,Belgium
580979,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,06.12.2011 15:40,4.15,12362.0,Belgium
550440,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,18.04.2011 12:25,2.55,12407.0,Belgium
554938,POST,POSTAGE,4,27.05.2011 13:34,15.0,12876.0,Belgium
571030,23201,JUMBO BAG ALPHABET,10,13.10.2011 12:26,2.08,12876.0,Belgium
571030,22908,PACK OF 20 NAPKINS RED APPLES,24,13.10.2011 12:26,0.85,12876.0,Belgium
569496,22423,REGENCY CAKESTAND 3 TIER,6,04.10.2011 13:45,12.75,12395.0,Belgium
571445,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,17.10.2011 13:44,2.95,12463.0,Belgium
561507,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,27.07.2011 14:21,0.83,12397.0,Belgium
562034,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,02.08.2011 09:14,2.95,12449.0,Belgium
571030,84509B,SET OF 4 FAIRY CAKE PLACEMATS,4,13.10.2011 12:26,3.75,12876.0,Belgium
547412,21086,SET/6 RED SPOTTY PAPER CUPS,24,23.03.2011 09:42,0.65,12399.0,Belgium
552543,20727,LUNCH BAG  BLACK SKULL.,10,10.05.2011 10:22,1.65,12399.0,Belgium
552884,POST,POSTAGE,1,12.05.2011 10:15,15.0,12395.0,Belgium
565246,22556,PLASTERS IN TIN CIRCUS PARADE ,12,02.09.2011 10:27,1.65,12408.0,Belgium
577046,22551,PLASTERS IN TIN SPACEBOY,12,17.11.2011 13:46,1.65,12449.0,Belgium
573401,21063,PARTY INVITES JAZZ HEARTS,24,30.10.2011 15:43,0.85,12364.0,Belgium
559295,23170,REGENCY TEA PLATE ROSES ,12,07.07.2011 12:32,1.65,12362.0,Belgium
555572,20764,ABSTRACT CIRCLES SKETCHBOOK ,4,05.06.2011 15:37,3.75,12449.0,Belgium
580965,23174,REGENCY SUGAR BOWL GREEN,4,06.12.2011 14:52,4.15,12417.0,Belgium
554938,21976,PACK OF 60 MUSHROOM CAKE CASES,48,27.05.2011 13:34,0.55,12876.0,Belgium
555572,79191B,RETRO PLASTIC POLKA TRAY,12,05.06.2011 15:37,0.85,12449.0,Belgium
550201,23049,RECYCLED ACAPULCO MAT RED,2,15.04.2011 10:25,8.25,12769.0,Brazil
550201,21181,PLEASE ONE PERSON METAL SIGN,12,15.04.2011 10:25,2.1,12769.0,Brazil
559557,47593B,SCOTTIE DOGS BABY BIB,48,11.07.2011 10:33,0.39,17444.0,Canada
557322,22634,CHILDS BREAKFAST SET SPACEBOY ,2,20.06.2011 09:04,9.95,17444.0,Canada
559557,22400,MAGNETS PACK OF 4 HOME SWEET HOME,12,11.07.2011 10:33,0.39,17444.0,Canada
559557,22403,MAGNETS PACK OF 4 VINTAGE LABELS ,12,11.07.2011 10:33,0.39,17444.0,Canada
559557,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,11.07.2011 10:33,1.25,17444.0,Canada
557322,16161G,WRAP BAD HAIR DAY,25,20.06.2011 09:04,0.1,17444.0,Canada
559557,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,12,11.07.2011 10:33,0.39,17444.0,Canada
557322,21871,SAVE THE PLANET MUG,36,20.06.2011 09:04,1.25,17444.0,Canada
557322,22367,CHILDRENS APRON SPACEBOY DESIGN,8,20.06.2011 09:04,1.95,17444.0,Canada
559557,22100,SKULLS SQUARE TISSUE BOX,36,11.07.2011 10:33,0.39,17444.0,Canada
569556,21313,GLASS HEART T-LIGHT HOLDER ,12,05.10.2011 08:50,0.85,14936.0,Channel Islands
545399,22741,FUNKY DIVA PEN,48,02.03.2011 11:48,0.85,14934.0,Channel Islands
553831,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,4,19.05.2011 11:36,12.75,14442.0,Channel Islands
571201,22147,FELTCRAFT BUTTERFLY HEARTS,12,14.10.2011 12:28,1.25,14937.0,Channel Islands
