session_id,brute_force,failed_logins,src_unique_ua,bytes_sent,packets,geo_rare,off_hours,pwd_len
50132,0,2,3,484,8,0,0,11
50133,0,0,2,258,1,0,0,7
50134,0,3,6,597,7,0,0,12
50135,0,1,2,491,7,0,0,13
50136,1,6,6,1964,1,1,0,10
50137,0,0,1,765,6,0,0,9
50138,0,4,3,3053,6,0,0,5
50139,1,4,1,128,1,0,0,13
50140,1,9,1,264,2,0,0,16
50141,0,6,4,479,1,0,0,15
50142,1,2,1,1688,5,1,0,10
50143,0,3,3,508,1,0,0,8
50144,0,0,4,185,1,0,0,13
50145,1,5,2,494,5,0,1,10
50146,0,3,3,244,1,0,0,12
50147,0,2,4,190,1,0,0,11
50148,0,2,4,2568,7,0,0,11
50149,0,3,1,421,1,0,0,13
50150,1,0,2,556,1,1,0,13
50151,1,4,5,586,1,1,0,9
50152,0,4,4,484,3,1,0,8
50153,1,4,4,333,2,1,1,4
50154,1,3,2,414,2,0,0,10
50155,0,2,1,699,1,0,1,8
50156,0,2,1,1587,1,1,0,12
50157,1,1,1,1028,6,1,0,10
50158,1,1,1,254,1,1,0,10
50159,0,1,1,1053,3,0,0,13
50160,0,0,1,730,1,0,0,11
50161,0,1,1,319,2,1,0,10
50162,0,0,1,607,1,0,0,15
50163,0,1,1,789,5,0,0,12
50164,0,3,3,626,5,0,1,9
50165,0,5,2,807,4,1,0,10
50166,0,0,1,283,1,0,0,12
50167,1,3,8,2327,4,1,0,11
50168,0,2,1,136,8,0,1,8
50169,0,3,3,832,1,0,1,13
50170,0,4,1,806,4,0,0,14
50171,0,0,3,939,3,0,0,13
50172,0,1,1,358,1,0,1,14
50173,1,6,2,1211,3,0,1,16
50174,0,0,1,473,1,0,1,15
50175,1,2,7,263,1,1,0,11
50176,0,4,3,267,1,0,0,10
50177,0,3,2,638,9,1,0,6
50178,0,7,4,208,3,0,0,11
50179,0,2,3,1919,6,0,0,12
50180,0,4,3,1273,4,0,1,11
50181,0,4,3,2066,10,0,0,6
50182,0,2,2,1760,1,0,0,10
50183,0,1,3,391,1,0,0,12
50184,0,1,2,317,1,0,0,8
50185,0,4,1,82,1,0,0,11
50186,1,2,4,448,3,1,0,12
50187,1,5,3,2052,1,0,1,13
50188,0,0,2,313,5,0,0,15
50189,0,2,2,493,1,0,0,10
50190,1,4,3,397,1,0,0,11
50191,1,3,3,730,2,0,1,11
50192,1,5,3,1531,8,0,0,12
50193,0,0,1,171,1,1,0,12
50194,1,6,5,248,1,0,0,14
50195,0,0,2,1408,5,0,0,5
50196,1,0,1,874,3,1,0,12
50197,0,3,1,498,3,0,1,12
50198,0,1,4,1669,6,0,0,10
50199,0,2,2,204,1,1,0,5
50200,0,0,3,989,7,0,0,10
50201,0,2,3,571,1,0,0,9
50202,1,0,2,884,1,1,0,15
50203,0,1,1,94,4,0,0,11
50204,1,3,1,467,1,1,0,9
50205,0,2,3,876,3,0,0,5
50206,0,5,2,608,1,0,1,12
50207,0,1,1,1224,10,0,1,12
50208,0,0,2,1366,10,0,0,10
50209,0,2,1,288,1,0,1,12
50210,0,2,2,1029,4,0,1,10
50211,1,5,2,316,1,1,1,13
50212,0,3,2,564,1,0,0,13
50213,0,5,5,955,2,0,1,6
50214,0,2,2,311,1,0,0,7
50215,0,3,2,1024,1,1,0,16
50216,0,1,1,383,1,0,0,13
50217,0,1,3,350,1,0,0,7
50218,0,2,1,828,2,0,1,7
50219,1,1,1,282,1,0,1,11
50220,0,7,1,341,1,0,0,8
50221,0,3,8,1262,5,0,0,10
50222,1,2,2,570,2,0,0,10
50223,1,7,1,206,4,1,0,10
50224,0,2,2,1089,4,0,0,13
50225,0,2,2,409,1,0,0,15
50226,0,1,5,208,2,0,0,9
50227,0,4,3,103,1,0,0,8
50228,0,3,2,990,8,0,0,11
50229,0,4,3,312,1,0,0,15
50230,0,2,2,219,7,0,0,9
50231,0,1,1,771,1,0,0,13
50232,0,2,5,1045,1,0,0,8
50233,1,4,1,344,1,1,0,11
50234,0,3,2,1212,3,0,0,8
50235,0,3,1,2189,6,0,0,11
50236,0,3,1,1545,4,0,1,10
50237,1,10,5,1456,1,0,0,12
50238,0,2,5,732,1,0,0,15
50239,0,3,4,465,1,0,0,10
50240,1,5,4,615,1,0,1,6
50241,0,3,2,832,1,0,0,10
50242,1,5,1,265,1,1,0,11
50243,0,2,2,341,2,1,1,11
50244,0,2,1,208,6,0,0,10
50245,1,4,2,740,4,0,0,14
50246,0,4,4,652,5,0,1,11
50247,1,1,2,322,2,1,0,10
50248,0,2,2,954,3,0,0,9
50249,0,0,2,255,8,0,0,6
50250,1,8,7,382,1,1,0,11
50251,0,1,2,910,1,0,1,11
50252,0,2,1,1030,1,0,0,8
50253,0,1,1,326,3,0,0,10
50254,0,1,1,592,1,0,1,10
50255,1,8,5,368,3,1,0,9
50256,0,0,1,492,2,0,1,9
50257,0,2,2,576,3,1,0,12
50258,0,0,2,788,4,0,0,10
50259,0,2,4,762,6,0,0,9
50260,1,3,6,710,1,0,1,8
50261,0,1,3,263,2,0,0,10
50262,0,4,1,710,1,0,0,13
50263,1,6,5,920,1,1,0,11
50264,0,3,5,983,7,0,1,10
50265,0,1,3,361,1,0,1,11
50266,0,3,2,1060,4,0,0,14
50267,1,6,3,253,2,1,0,12
50268,0,1,4,442,4,0,0,11
50269,0,0,1,457,1,0,0,12
50270,1,2,1,262,3,1,0,10
50271,1,5,2,510,1,0,0,11
50272,0,4,3,703,1,0,0,9
50273,1,4,1,168,1,0,1,7
50274,1,2,1,421,4,0,1,11
50275,1,7,2,166,2,0,0,11
50276,0,0,1,2175,4,0,0,10
50277,0,5,2,673,1,0,0,13
50278,0,2,4,597,1,0,1,9
50279,0,2,3,640,3,0,1,6
50280,0,4,7,966,1,0,0,9
50281,0,0,1,1025,2,0,0,7
50282,0,4,4,205,8,0,0,11
50283,0,4,2,1337,4,1,1,9
50284,0,0,1,1188,5,0,0,13
50285,0,0,2,476,1,0,0,13
50286,1,2,3,511,1,1,0,8
50287,1,2,1,63,2,0,1,8
50288,0,0,7,226,1,0,0,12
50289,1,0,2,850,5,0,1,13
50290,1,3,3,1308,3,0,0,5
50291,0,2,1,838,12,0,1,11
50292,1,4,2,516,1,0,0,5
50293,0,0,1,1955,5,0,1,9
50294,0,0,1,1014,1,0,0,13
50295,0,1,2,397,4,0,0,18
50296,0,1,3,2746,8,0,1,10
50297,1,4,5,276,1,0,1,7
50298,1,10,9,221,1,0,0,9
50299,0,1,1,450,5,1,0,11
50300,1,5,2,336,4,0,0,9
50301,0,1,2,417,1,0,0,8
50302,0,0,1,862,1,0,0,9
50303,0,1,4,574,7,0,0,11
50304,1,2,3,532,1,0,1,10
50305,0,3,1,551,2,0,0,8
50306,1,6,3,126,3,0,0,9
50307,0,1,1,179,1,0,0,9
50308,0,0,1,379,1,0,0,8
50309,1,4,2,350,1,1,1,9
50310,1,3,3,457,5,0,0,12
50311,0,0,1,1472,6,0,0,10
50312,0,2,2,479,3,0,0,6
50313,0,0,1,218,1,0,0,13
50314,1,3,4,365,4,0,1,12
50315,0,2,2,1971,4,0,0,7
50316,1,3,2,1645,5,1,0,10
50317,0,1,1,816,4,0,0,9
50318,0,2,4,183,5,0,0,12
50319,1,3,4,722,1,0,1,10
50320,1,1,3,693,1,0,0,10
50321,0,0,5,524,5,0,0,10
50322,0,0,2,399,5,0,0,7
50323,1,4,6,481,1,0,0,14
50324,0,4,4,400,1,0,0,12
50325,1,4,8,276,4,0,0,9
50326,0,2,2,1486,1,1,0,11
50327,1,7,3,1130,1,0,1,13
50328,0,3,5,515,1,0,0,11
50329,0,0,3,634,1,0,0,14
50330,0,2,5,727,1,0,0,18
50331,0,1,1,2695,7,0,0,10
50332,1,6,5,1178,3,1,1,9
50333,0,4,3,1130,1,0,0,8
50334,0,4,6,627,7,0,0,5
50335,0,2,5,395,2,0,0,14
50336,0,4,1,1667,7,0,0,10
50337,0,0,1,784,1,0,0,13
50338,0,1,1,291,1,0,0,13
50339,0,1,1,802,3,0,0,8
50340,0,6,2,1096,8,0,0,8
50341,0,7,5,143,1,0,0,15
50342,0,1,2,281,1,1,0,10
50343,1,2,6,709,1,1,0,9
50344,0,3,1,145,1,0,0,8
50345,0,0,2,144,1,0,0,10
50346,0,3,3,513,1,0,0,14
50347,0,2,1,765,1,0,0,12
50348,0,1,1,760,1,1,0,11
50349,0,2,3,1674,1,0,0,14
50350,0,3,2,633,2,0,0,14
50351,1,6,4,478,2,1,0,11
50352,0,0,1,210,2,0,1,17
50353,1,1,1,395,1,1,1,10
50354,1,6,3,1037,5,0,0,13
50355,0,1,1,972,4,0,0,10
50356,0,2,3,658,1,0,1,13
50357,0,2,2,765,1,0,1,10
50358,1,4,4,1563,1,1,1,12
50359,0,3,1,631,2,0,1,16
50360,0,2,2,1367,8,1,0,13
50361,0,0,1,304,4,0,0,12
50362,0,1,1,496,1,0,0,9
50363,0,2,3,378,2,0,0,11
50364,0,0,4,886,1,0,1,8
50365,0,0,1,258,2,1,0,13
50366,0,0,2,407,1,0,0,13
50367,1,2,4,149,2,0,1,10
50368,1,2,1,855,10,1,1,15
50369,1,2,2,1340,1,1,0,14
50370,1,5,4,1164,11,1,1,11
50371,1,0,1,936,3,1,1,12
50372,1,9,6,1122,1,0,0,9
50373,0,6,6,1023,1,0,0,10
50374,1,7,5,975,9,0,1,8
50375,0,1,2,835,3,0,0,9
50376,0,2,1,334,1,0,1,10
50377,0,3,3,508,1,0,0,6
50378,0,2,1,539,2,0,0,12
50379,0,0,4,399,1,0,0,13
50380,1,0,1,168,1,0,0,10
50381,1,2,2,245,5,1,0,4
50382,0,3,8,718,1,0,0,10
50383,0,2,4,1001,4,0,0,7
50384,0,5,3,634,1,0,0,9
50385,1,8,4,4223,8,0,0,14
50386,0,0,1,264,3,0,0,4
50387,0,1,2,755,1,0,0,8
50388,0,1,2,1241,1,0,0,13
50389,1,0,9,1324,3,1,1,9
50390,0,0,4,953,1,0,0,9
50391,0,7,3,1256,1,0,0,16
50392,1,3,7,617,1,0,0,11
50393,0,2,1,1713,9,0,1,13
50394,1,9,7,1548,5,1,0,12
50395,1,4,5,346,1,0,0,11
50396,1,4,1,754,8,1,0,14
50397,0,4,1,190,3,1,0,15
50398,0,1,1,1449,8,0,1,6
50399,1,2,1,581,1,1,0,10
50400,0,1,3,1319,1,0,0,10
50401,0,3,1,538,3,0,1,9
50402,0,7,4,166,1,0,0,13
50403,1,6,3,4010,13,1,0,11
50404,0,0,2,568,1,1,0,15
50405,0,0,1,264,2,0,0,13
50406,1,1,1,1116,5,0,1,14
50407,1,4,6,2656,9,0,0,8
50408,0,6,4,527,1,0,0,8
50409,0,3,2,525,2,1,0,9
50410,0,1,6,682,1,0,0,14
50411,0,2,4,264,1,0,0,8
50412,0,2,2,327,1,0,0,8
50413,0,1,1,1810,2,0,0,8
50414,0,1,2,489,1,1,0,17
50415,1,1,5,294,1,0,0,10
50416,0,1,2,419,1,0,0,12
50417,1,3,2,1140,1,0,0,8
50418,0,2,2,150,6,0,0,13
50419,0,3,2,689,1,0,0,6
50420,0,3,2,3202,8,0,0,8
50421,1,8,6,2624,1,0,0,9
50422,0,2,2,807,5,0,0,11
50423,1,3,5,1474,4,1,0,9
50424,1,1,1,1230,1,0,1,14
50425,1,4,5,550,1,0,1,12
50426,0,2,2,1083,5,0,0,9
50427,0,1,1,1831,1,0,1,13
50428,0,0,1,203,1,0,0,10
50429,0,2,2,894,1,0,1,9
50430,1,6,2,760,1,1,1,13
50431,0,2,1,635,9,0,0,4
50432,1,2,1,563,1,1,0,12
50433,0,4,1,690,4,0,0,9
50434,0,3,6,719,7,0,0,9
50435,0,3,3,1155,4,0,1,15
50436,1,5,2,794,1,0,1,9
50437,0,1,1,502,1,0,0,13
50438,0,1,2,341,3,0,0,11
50439,0,2,2,400,5,1,0,11
50440,1,2,1,668,3,1,0,10
50441,0,0,1,389,4,1,0,10
50442,1,6,5,1211,10,0,0,14
50443,1,2,1,714,4,1,1,13
50444,1,5,5,1396,1,0,1,9
50445,0,1,3,328,1,0,1,8
50446,0,3,1,345,4,0,0,9
50447,1,3,2,1151,1,0,0,13
50448,1,4,1,608,5,0,0,13
50449,1,5,7,553,1,1,1,12
50450,0,2,1,826,2,0,1,6
50451,0,7,3,980,1,0,0,12
50452,0,2,4,234,1,0,0,14
50453,0,1,4,1342,3,0,0,11
50454,1,5,3,475,1,1,0,15
50455,0,3,1,1886,3,0,1,7
50456,1,5,4,244,1,0,0,12
50457,1,9,5,775,1,1,0,8
50458,1,1,1,434,1,0,1,13
50459,0,3,1,133,3,0,0,12
50460,0,0,3,860,5,0,0,15
50461,1,6,1,148,2,0,1,12
50462,0,2,2,410,1,0,0,9
50463,1,5,1,1191,2,0,0,9
50464,0,1,3,423,1,0,0,10
50465,0,2,1,275,1,0,0,9
50466,1,3,4,1044,4,1,1,14
50467,0,0,3,470,4,0,0,14
50468,1,1,1,378,2,1,1,7
50469,0,1,1,1266,6,0,0,11
50470,1,0,1,226,1,0,1,11
50471,1,7,6,423,1,0,0,9
50472,0,0,1,927,4,1,0,12
50473,1,4,2,259,3,0,0,14
50474,1,7,2,2120,3,0,0,13
50475,1,3,1,433,2,1,0,14
50476,1,5,5,1151,1,0,0,9
50477,1,2,2,1168,1,1,0,11
50478,0,0,1,448,2,0,0,9
50479,1,6,7,452,1,1,1,11
50480,0,1,1,518,2,0,0,11
