event_id,phishing,url_length,path_length,num_dots,num_hyphens,num_subdomains,has_ip,has_https,has_at,digit_ratio,redirect_count,request_hour
100052,BENIGN,57,32,0,0,0,0,1,0,0.2585,0,5
100053,BENIGN,59,33,1,0,2,0,1,0,0.336,1,4
100054,PHISH,40,26,2,1,2,0,1,0,0.2574,1,3
100055,BENIGN,73,48,2,0,1,0,1,0,0.227,4,3
100056,PHISH,90,55,0,1,0,0,1,0,0.2426,0,14
100057,BENIGN,88,50,0,0,1,0,0,0,0.4738,1,15
100058,PHISH,73,40,3,1,1,0,1,0,0.3321,0,21
100059,BENIGN,38,18,2,0,0,0,1,0,0.5358,0,2
100060,BENIGN,29,11,1,2,0,0,1,0,0.2434,1,6
100061,BENIGN,70,43,1,1,0,0,1,0,0.1547,0,17
100062,PHISH,55,38,4,2,1,1,0,0,0.4664,1,16
100063,BENIGN,48,29,2,0,1,1,1,0,0.3497,0,10
100064,BENIGN,107,58,2,3,2,0,1,0,0.628,0,3
100065,PHISH,97,59,2,1,2,0,0,0,0.3123,0,11
100066,BENIGN,82,50,2,2,0,0,1,0,0.588,1,4
100067,BENIGN,50,38,3,0,1,0,1,0,0.1852,0,12
100068,BENIGN,66,35,0,1,0,0,0,0,0.1414,0,21
100069,BENIGN,49,29,0,1,0,0,1,0,0.2422,2,4
100070,BENIGN,66,46,2,1,2,0,0,1,0.177,2,2
100071,BENIGN,68,43,1,0,1,1,0,0,0.4395,0,17
100072,BENIGN,67,43,3,0,4,0,0,0,0.1237,1,0
100073,BENIGN,90,56,3,0,1,0,1,0,0.203,1,23
100074,BENIGN,59,37,0,0,0,0,0,0,0.1499,0,18
100075,BENIGN,46,31,3,1,0,0,1,0,0.1157,0,9
100076,BENIGN,22,10,3,0,0,1,1,0,0.2107,0,8
100077,BENIGN,53,35,1,0,0,1,0,0,0.4396,0,9
100078,PHISH,60,32,5,0,3,1,1,0,0.5708,2,9
100079,BENIGN,44,28,1,2,3,0,0,0,0.4681,0,20
100080,PHISH,102,63,1,3,1,0,0,1,0.8258,0,19
100081,PHISH,97,57,2,1,3,0,1,0,0.4593,0,4
100082,BENIGN,79,48,1,2,1,0,1,0,0.1981,0,4
100083,PHISH,81,48,2,1,3,0,0,0,0.2745,0,12
100084,BENIGN,67,37,5,1,0,0,1,0,0.0977,3,15
100085,BENIGN,39,22,1,0,0,0,1,0,0.1386,1,17
100086,BENIGN,45,24,3,0,1,0,1,0,0.1503,2,7
100087,BENIGN,55,35,3,2,1,0,0,0,0.1846,2,11
100088,BENIGN,66,36,3,2,2,0,1,0,0.3265,0,2
100089,BENIGN,46,31,2,0,1,0,1,0,0.2596,0,10
100090,BENIGN,41,21,5,0,1,0,0,1,0.2105,0,16
100091,BENIGN,44,25,1,0,0,0,1,0,0.1221,0,7
100092,BENIGN,70,41,4,0,1,0,1,0,0.3999,0,7
100093,PHISH,88,59,2,1,2,0,1,0,0.1007,0,11
100094,PHISH,70,44,3,0,2,0,0,0,0.6895,1,20
100095,PHISH,52,31,3,1,1,0,0,0,0.3117,0,14
100096,BENIGN,72,46,1,3,0,0,1,1,0.1782,1,22
100097,BENIGN,56,27,1,0,0,0,1,0,0.1074,1,1
100098,BENIGN,38,23,2,0,1,0,1,0,0.1102,0,20
100099,BENIGN,26,23,1,0,0,0,0,0,0.1736,0,1
100100,PHISH,81,50,5,0,0,0,1,1,0.3532,0,7
100101,BENIGN,69,43,3,2,1,0,0,0,0.2832,3,10
100102,BENIGN,51,33,4,1,2,0,0,0,0.1663,3,5
100103,BENIGN,58,39,2,0,0,0,1,0,0.3102,0,23
100104,PHISH,90,48,4,2,1,0,0,0,0.5983,0,21
100105,PHISH,46,22,6,1,1,0,1,0,0.3776,0,13
100106,PHISH,70,44,1,2,2,1,0,0,0.5479,1,10
100107,BENIGN,75,43,2,3,1,0,1,0,0.139,0,18
100108,PHISH,68,46,1,0,1,0,0,1,0.0567,1,16
100109,BENIGN,59,35,0,1,0,0,1,0,0.3811,3,11
100110,PHISH,81,43,4,1,2,1,1,0,0.6985,0,19
100111,PHISH,46,24,7,0,3,0,0,0,0.1239,0,4
100112,BENIGN,30,8,3,0,0,0,0,0,0.4264,1,6
100113,BENIGN,58,35,0,0,0,0,1,0,0.1746,0,0
100114,PHISH,71,43,3,1,3,0,0,0,0.1236,1,2
100115,BENIGN,67,40,1,1,1,1,1,0,0.0859,0,4
100116,PHISH,96,63,3,1,0,1,0,0,0.2549,1,14
100117,PHISH,72,48,3,1,1,0,1,0,0.2826,1,20
100118,BENIGN,52,31,3,2,0,0,1,0,0.2397,1,14
100119,BENIGN,53,25,2,1,3,0,0,0,0.0956,1,10
100120,BENIGN,71,46,5,2,1,0,0,0,0.4813,0,6
100121,BENIGN,62,40,0,2,1,0,1,0,0.206,1,2
100122,PHISH,59,37,1,1,3,0,1,0,0.2041,1,14
100123,BENIGN,46,31,1,0,0,0,0,0,0.0908,0,3
100124,BENIGN,49,26,4,0,0,0,1,0,0.0996,0,18
100125,BENIGN,29,25,2,1,1,0,1,0,0.393,1,9
100126,BENIGN,66,37,1,1,0,0,1,0,0.1258,0,8
100127,BENIGN,47,31,1,1,1,0,1,0,0.1929,1,0
100128,BENIGN,48,23,0,0,1,0,1,0,0.3545,2,5
100129,BENIGN,47,25,0,0,1,0,0,0,0.0498,0,0
100130,BENIGN,47,34,2,0,0,0,1,0,0.2693,0,17
100131,BENIGN,38,22,1,0,1,0,1,0,0.2258,1,11
100132,BENIGN,105,68,4,4,1,0,0,0,0.3229,0,18
100133,BENIGN,47,29,1,2,0,1,1,0,0.2672,3,13
100134,BENIGN,20,12,4,1,1,0,0,0,0.1187,2,22
100135,BENIGN,36,27,2,2,2,1,0,0,0.2252,0,18
100136,BENIGN,39,23,0,0,1,0,1,0,0.1764,0,3
100137,PHISH,84,45,3,2,1,0,0,0,0.3668,1,2
100138,BENIGN,59,33,4,0,2,1,0,0,0.2148,1,21
100139,PHISH,94,60,5,3,7,0,0,0,0.308,1,6
100140,BENIGN,8,6,1,0,2,0,1,0,0.0741,0,18
100141,PHISH,67,36,4,0,2,0,1,1,0.2772,0,15
100142,BENIGN,86,50,1,2,1,0,0,0,0.2142,1,16
100143,PHISH,64,37,1,2,1,0,0,1,0.8392,33,6
100144,BENIGN,59,35,4,2,0,0,1,0,0.1445,1,7
100145,BENIGN,48,24,2,2,2,0,0,0,0.3525,0,13
100146,BENIGN,36,20,4,0,1,0,1,0,0.2967,1,0
100147,BENIGN,48,27,6,0,2,0,1,0,0.0717,1,7
100148,PHISH,85,55,5,1,2,1,0,0,0.2572,2,12
100149,BENIGN,88,57,0,2,2,0,1,0,0.4312,0,4
100150,BENIGN,33,19,0,0,0,0,1,0,0.1865,0,6
100151,PHISH,108,65,3,2,2,1,1,1,0.5695,1,23
100152,BENIGN,81,50,3,0,1,0,0,0,0.4549,1,6
100153,BENIGN,72,41,2,0,2,0,1,0,0.1524,0,21
100154,PHISH,63,35,2,3,1,0,0,0,0.2172,1,22
100155,BENIGN,45,24,2,1,1,0,1,0,0.0908,0,16
100156,PHISH,76,44,5,2,2,0,0,0,0.2383,2,3
100157,BENIGN,102,59,2,0,1,0,0,0,0.1053,0,4
100158,BENIGN,83,52,2,0,0,0,0,0,0.1525,1,22
100159,PHISH,61,40,6,0,5,0,1,1,0.3177,1,0
100160,PHISH,90,50,1,2,4,0,0,0,0.214,2,12
100161,BENIGN,37,23,3,0,3,0,1,0,0.4839,0,14
100162,PHISH,74,45,5,1,2,1,1,1,0.3183,0,20
100163,BENIGN,63,40,0,0,2,0,1,0,0.0924,0,21
100164,BENIGN,40,24,2,0,0,0,1,0,0.4008,0,6
100165,PHISH,69,37,1,0,2,0,1,1,0.2779,1,12
100166,BENIGN,56,30,2,1,1,0,1,0,0.2765,0,15
100167,PHISH,83,51,1,2,1,1,1,0,0.2093,2,23
100168,BENIGN,83,55,4,0,3,1,1,0,0.1869,2,13
100169,PHISH,22,5,1,2,2,0,1,0,0.2238,1,2
100170,PHISH,94,59,3,0,1,0,0,1,0.3319,0,22
100171,BENIGN,36,26,0,0,1,0,1,0,0.0832,0,12
100172,PHISH,39,23,2,2,3,1,1,0,0.3595,0,4
100173,BENIGN,49,32,1,2,1,0,1,0,0.2483,2,4
100174,PHISH,84,49,3,1,2,0,1,0,0.6392,1,4
100175,BENIGN,34,20,0,0,1,0,1,0,0.3387,0,17
100176,BENIGN,53,27,1,0,0,1,1,0,0.2326,1,22
100177,BENIGN,37,14,3,1,1,1,1,0,0.1864,1,10
100178,PHISH,79,52,2,3,1,1,0,0,0.3869,2,2
100179,PHISH,71,40,3,1,2,1,1,0,0.7172,2,21
100180,BENIGN,73,43,8,1,2,0,1,0,0.1612,1,15
100181,PHISH,85,47,1,0,1,1,0,0,0.7424,0,13
100182,BENIGN,64,34,5,2,1,0,0,0,0.2738,1,1
100183,BENIGN,74,45,2,2,2,0,1,0,0.1905,2,23
100184,BENIGN,54,30,3,1,1,0,1,0,0.4136,0,1
100185,BENIGN,44,28,1,2,0,0,1,1,0.6312,0,14
100186,BENIGN,38,25,1,1,3,0,1,0,0.6215,0,14
100187,PHISH,55,35,2,1,0,1,1,0,0.6002,1,12
100188,BENIGN,38,24,4,0,0,0,1,0,0.0288,1,13
100189,BENIGN,72,50,2,3,2,0,0,0,0.3952,1,9
100190,PHISH,50,27,4,0,0,1,1,0,0.2493,0,13
100191,BENIGN,86,53,4,1,3,0,1,0,0.4899,2,8
100192,BENIGN,64,43,1,1,0,0,1,0,0.1825,2,11
100193,BENIGN,26,20,1,1,0,0,1,0,0.2929,1,16
100194,BENIGN,59,31,2,1,2,0,1,1,0.2278,1,17
100195,BENIGN,27,15,0,0,0,0,1,0,0.3057,0,3
100196,BENIGN,51,36,2,0,0,0,1,0,0.3942,0,23
100197,PHISH,86,55,0,2,0,0,0,1,0.1695,2,2
100198,PHISH,73,45,3,4,3,1,0,0,0.3467,1,6
100199,PHISH,8,4,2,0,0,0,1,0,0.5904,0,8
100200,BENIGN,25,14,0,0,2,0,1,0,0.1514,1,7
100201,PHISH,61,38,6,2,3,0,0,0,0.4797,2,8
100202,BENIGN,75,45,3,1,1,0,0,0,0.286,4,7
100203,PHISH,55,33,3,2,2,1,0,0,0.2318,0,10
100204,BENIGN,45,28,1,1,0,0,1,0,0.1103,1,18
100205,BENIGN,33,18,2,1,0,0,1,0,0.2762,1,19
100206,BENIGN,65,42,1,1,1,0,0,0,0.19,0,8
100207,BENIGN,33,30,1,0,2,0,1,1,0.2934,0,6
100208,BENIGN,56,28,0,2,3,0,1,0,0.2628,1,16
100209,BENIGN,51,32,2,1,2,0,1,0,0.1391,0,1
100210,PHISH,37,20,3,2,2,0,1,0,0.2996,0,10
100211,PHISH,77,49,5,3,4,1,1,0,0.1811,2,5
100212,BENIGN,67,41,2,1,2,0,1,0,0.4492,1,14
100213,BENIGN,45,30,1,1,0,0,0,0,0.0647,2,1
100214,BENIGN,102,67,3,2,2,0,1,0,0.2095,1,19
100215,PHISH,62,39,2,1,2,0,0,1,0.4278,2,6
100216,BENIGN,106,69,1,2,4,0,1,0,0.3851,3,12
100217,BENIGN,40,16,1,0,1,0,1,0,0.4452,0,13
100218,BENIGN,23,19,1,0,1,0,1,0,0.4251,0,11
100219,BENIGN,83,52,0,1,2,0,0,0,0.4423,2,10
100220,BENIGN,39,27,1,0,1,0,1,0,0.2281,1,6
100221,BENIGN,40,20,2,0,1,0,1,0,0.3273,0,18
100222,BENIGN,67,38,1,0,1,0,1,0,0.2056,1,12
100223,PHISH,78,48,2,0,2,1,1,0,0.5514,2,5
100224,BENIGN,73,45,5,2,2,0,0,0,0.6321,1,6
100225,BENIGN,67,42,2,0,1,0,1,0,0.1454,0,10
100226,BENIGN,100,65,3,3,3,0,1,0,0.3309,1,20
100227,BENIGN,62,32,2,0,0,0,0,0,0.4425,1,23
100228,BENIGN,73,48,1,3,1,0,1,0,0.1978,0,9
100229,PHISH,90,55,3,1,3,0,1,0,0.3414,2,9
100230,BENIGN,12,6,2,0,0,0,1,0,0.2996,2,3
100231,BENIGN,39,19,0,0,1,0,1,0,0.1372,0,13
100232,BENIGN,44,29,2,1,0,0,1,0,0.291,1,5
100233,BENIGN,86,44,2,1,1,0,1,0,0.5528,2,19
100234,PHISH,57,37,2,0,2,1,1,0,0.1286,2,12
100235,PHISH,80,44,5,3,1,0,0,0,0.2882,2,5
100236,PHISH,106,65,4,1,3,0,1,0,0.2089,2,21
100237,PHISH,57,34,1,1,1,0,0,1,0.1562,2,19
100238,PHISH,82,54,1,1,0,1,0,0,0.5956,1,7
100239,BENIGN,35,21,1,0,0,0,1,0,0.1679,0,2
100240,BENIGN,44,24,1,1,1,0,1,0,0.3258,0,6
100241,BENIGN,77,45,2,0,3,0,1,0,0.2592,1,9
100242,PHISH,83,55,5,3,2,1,1,0,0.3933,0,9
100243,BENIGN,67,43,2,0,1,0,1,0,0.3644,1,19
100244,BENIGN,89,53,1,0,1,0,1,0,0.5794,0,23
100245,BENIGN,72,43,4,1,1,0,1,0,0.6305,0,17
100246,PHISH,89,49,3,1,0,1,1,0,0.619,3,20
100247,BENIGN,48,31,2,1,0,0,1,0,0.2689,1,3
100248,PHISH,56,28,2,1,2,0,0,0,0.1997,0,3
100249,BENIGN,71,46,5,2,1,0,0,0,0.1039,0,21
100250,BENIGN,72,45,3,2,1,0,1,0,0.3426,0,14
100251,BENIGN,72,52,1,1,0,0,0,0,0.3005,0,5
100252,PHISH,93,53,1,1,4,0,1,0,0.5886,0,19
100253,PHISH,67,41,1,0,3,0,0,0,0.1631,2,4
100254,BENIGN,69,49,3,0,1,0,1,0,0.2431,0,18
100255,PHISH,53,37,2,1,1,0,0,1,0.1773,1,21
100256,PHISH,68,39,3,2,5,0,1,0,0.2599,2,11
100257,PHISH,82,51,4,1,1,0,1,0,0.6998,21,15
100258,BENIGN,8,4,2,2,0,0,0,0,0.0494,2,17
100259,BENIGN,47,30,0,0,0,0,1,0,0.1275,3,21
100260,BENIGN,8,2,5,1,0,0,1,0,0.2376,0,14
100261,BENIGN,17,10,2,0,2,0,1,0,0.2154,2,7
100262,BENIGN,84,46,2,2,2,0,0,0,0.1962,1,4
100263,BENIGN,60,37,3,0,2,0,1,0,0.3469,0,8
100264,BENIGN,26,17,0,1,0,0,1,0,0.1469,0,1
100265,BENIGN,70,42,4,2,1,0,0,0,0.5161,0,16
100266,BENIGN,67,35,0,1,0,0,1,0,0.6559,0,8
100267,BENIGN,43,30,1,1,0,0,1,0,0.2757,1,17
100268,PHISH,81,51,3,1,0,0,1,0,0.29,0,1
100269,BENIGN,43,24,0,0,0,0,0,0,0.3442,0,7
100270,PHISH,45,26,1,0,0,0,1,0,0.2427,0,9
100271,BENIGN,66,35,3,0,1,0,1,0,0.0634,0,2
100272,BENIGN,48,26,4,0,1,0,1,0,0.0716,0,19
100273,BENIGN,24,12,1,1,0,0,1,0,0.657,0,14
100274,BENIGN,64,43,5,1,0,1,1,0,0.1487,1,20
100275,BENIGN,70,41,1,1,1,1,0,0,0.232,0,19
100276,BENIGN,35,23,2,0,1,0,1,0,0.3466,0,0
100277,BENIGN,49,28,3,0,1,0,1,0,0.5444,0,20
100278,BENIGN,50,31,2,1,2,0,1,0,0.136,0,1
100279,PHISH,94,57,0,2,2,1,1,0,0.4926,1,20
100280,BENIGN,79,52,8,0,0,0,0,0,0.4534,0,16
100281,BENIGN,35,19,0,0,0,0,1,0,0.0697,1,19
100282,BENIGN,45,22,0,1,0,0,1,0,0.193,0,11
100283,BENIGN,52,27,3,1,2,0,1,0,0.1485,1,3
100284,BENIGN,59,34,1,0,0,0,1,0,0.0745,1,3
100285,BENIGN,49,26,7,3,2,0,1,0,0.5238,2,2
100286,PHISH,41,26,0,1,3,0,1,1,0.526,0,19
100287,BENIGN,58,34,1,0,0,0,1,0,0.0182,2,12
100288,PHISH,49,38,2,1,2,0,1,0,0.1176,1,5
100289,BENIGN,40,18,5,2,0,0,1,0,0.4987,1,2
100290,BENIGN,49,31,0,1,1,0,1,0,0.1634,1,1
100291,PHISH,85,48,3,3,2,1,1,0,0.2629,1,6
100292,BENIGN,16,8,2,0,0,0,1,0,0.0461,1,17
100293,BENIGN,86,53,2,3,0,0,1,0,0.2489,3,21
100294,BENIGN,54,25,1,0,1,0,1,0,0.0661,0,14
100295,BENIGN,84,52,2,2,4,0,1,0,0.4867,2,23
100296,PHISH,91,63,1,3,4,0,0,0,0.3079,2,9
100297,PHISH,62,36,4,3,2,0,1,0,0.3005,2,7
100298,PHISH,81,51,2,2,2,1,0,0,0.3775,2,16
100299,BENIGN,70,46,3,2,2,0,0,0,0.2072,2,3
100300,PHISH,61,37,3,0,2,1,1,0,0.2598,3,21
100301,BENIGN,89,53,2,1,2,0,1,0,0.2778,0,18
100302,BENIGN,68,34,4,2,0,0,1,0,0.2667,1,0
100303,BENIGN,92,59,0,0,2,0,1,0,0.2583,2,4
100304,PHISH,83,51,2,0,3,0,1,0,0.2943,0,15
100305,PHISH,77,44,2,3,2,0,1,0,0.6495,3,17
100306,BENIGN,65,40,0,0,3,0,0,0,0.3966,1,5
100307,BENIGN,68,40,4,0,1,0,1,0,0.3502,1,17
100308,BENIGN,70,41,3,3,3,0,0,0,0.1993,0,11
100309,BENIGN,52,34,1,1,0,1,1,0,0.1206,1,16
100310,BENIGN,57,30,5,2,0,0,1,0,0.1705,1,10
100311,BENIGN,59,40,0,1,2,0,0,0,0.1769,0,10
100312,BENIGN,46,23,2,1,2,0,0,0,0.252,0,9
100313,BENIGN,42,23,2,0,1,0,1,0,0.1226,1,3
100314,BENIGN,65,47,1,0,0,0,1,0,0.244,1,4
100315,BENIGN,55,38,0,0,1,0,1,0,0.2535,1,4
100316,BENIGN,59,36,0,0,0,0,1,0,0.2131,0,19
100317,BENIGN,66,37,2,0,0,0,1,0,0.4005,1,10
100318,BENIGN,64,37,1,2,2,0,1,0,0.328,1,9
100319,BENIGN,64,39,0,2,3,0,1,0,0.3549,2,20
100320,PHISH,89,55,5,3,2,1,0,0,0.5946,3,21
100321,PHISH,62,38,7,1,2,1,1,1,0.276,0,5
100322,BENIGN,84,51,0,0,1,0,1,0,0.533,1,8
100323,BENIGN,45,27,0,2,0,0,1,0,0.0756,1,9
100324,BENIGN,37,17,1,0,1,0,0,0,0.3763,1,20
100325,PHISH,62,36,4,0,5,0,0,0,0.3103,1,16
100326,BENIGN,52,35,2,0,1,1,1,0,0.2669,1,13
100327,PHISH,77,42,2,0,3,1,0,1,0.2367,1,5
100328,BENIGN,59,35,3,0,1,0,1,0,0.5132,1,9
100329,PHISH,62,35,3,1,0,0,0,0,0.2974,1,0
100330,BENIGN,61,38,2,1,0,0,1,0,0.3886,0,16
100331,BENIGN,78,46,1,0,0,0,1,0,0.1664,0,22
100332,BENIGN,52,37,0,1,1,0,1,0,0.0407,0,18
100333,PHISH,77,49,2,1,2,0,0,0,0.4501,2,7
100334,PHISH,89,50,5,3,3,0,0,0,0.3334,3,11
100335,BENIGN,10,8,0,1,0,0,1,0,0.0481,1,22
100336,PHISH,61,35,4,3,3,0,0,0,0.345,1,10
100337,BENIGN,8,2,2,0,0,0,1,0,0.4084,3,20
100338,BENIGN,73,46,1,2,3,0,0,1,0.2613,1,13
100339,BENIGN,41,23,1,0,2,0,0,0,0.3334,1,11
100340,PHISH,99,64,2,0,2,1,1,0,0.5323,1,14
100341,BENIGN,63,36,0,0,1,0,1,0,0.1079,0,5
100342,PHISH,87,51,2,1,3,0,1,0,0.5605,0,10
100343,BENIGN,68,39,2,0,2,0,1,0,0.2962,0,7
100344,BENIGN,74,43,4,1,1,1,1,0,0.4555,1,18
100345,PHISH,67,45,6,0,1,0,1,0,0.678,3,14
100346,PHISH,76,49,2,1,2,1,0,0,0.2056,1,9
100347,PHISH,99,67,1,3,4,0,1,0,0.2911,0,19
100348,BENIGN,41,33,1,0,2,0,1,0,0.5925,1,10
100349,PHISH,79,45,2,0,2,0,0,0,0.2502,2,22
100350,BENIGN,53,33,1,0,1,0,1,0,0.2135,1,14
100351,PHISH,52,28,5,0,2,1,1,0,0.2864,1,21
100352,PHISH,61,35,2,0,0,0,0,0,0.0854,0,23
100353,BENIGN,76,44,2,1,4,0,0,0,0.4751,1,7
100354,BENIGN,67,37,2,0,1,0,1,0,0.3333,0,6
100355,BENIGN,48,26,0,1,1,0,1,0,0.2601,0,20
100356,BENIGN,49,29,0,0,0,0,1,0,0.1335,2,5
100357,BENIGN,66,36,1,0,1,0,0,0,0.2074,2,18
100358,BENIGN,85,55,5,0,1,0,0,0,0.664,2,4
100359,BENIGN,46,25,1,0,0,0,0,0,0.3548,0,20
100360,PHISH,73,55,1,3,4,0,0,1,0.3637,0,16
100361,BENIGN,62,36,0,2,2,0,1,0,0.5801,2,12
100362,BENIGN,40,25,3,0,2,0,1,0,0.1983,1,10
100363,BENIGN,45,23,3,0,0,0,1,0,0.1183,0,15
100364,PHISH,81,56,0,0,1,0,0,0,0.3793,2,9
100365,BENIGN,47,33,2,0,2,0,1,0,0.3244,0,9
100366,BENIGN,81,51,1,0,0,0,1,0,0.2879,0,4
100367,PHISH,77,43,3,1,6,1,1,0,0.2299,0,3
100368,BENIGN,76,47,3,2,1,0,0,0,0.4084,1,21
100369,BENIGN,55,30,0,0,0,0,1,0,0.1237,1,17
100370,PHISH,88,59,6,0,1,0,0,0,0.4,1,10
100371,PHISH,72,47,1,2,4,1,1,0,0.5588,1,19
100372,BENIGN,74,46,2,0,0,0,1,0,0.1652,3,14
100373,BENIGN,48,21,3,3,1,0,1,0,0.0816,3,14
100374,BENIGN,71,40,1,0,0,0,1,0,0.1482,0,2
100375,BENIGN,35,24,2,0,0,0,0,0,0.1887,1,12
100376,BENIGN,44,31,2,0,0,0,0,0,0.0594,0,2
100377,PHISH,65,44,3,2,2,0,0,0,0.3677,1,16
100378,BENIGN,66,35,2,1,1,0,1,0,0.0999,0,1
100379,BENIGN,79,50,1,0,1,0,0,0,0.2695,2,12
100380,BENIGN,71,47,6,3,0,0,1,0,0.174,0,8
100381,PHISH,61,32,2,4,3,0,1,0,0.215,1,3
100382,PHISH,65,40,3,3,2,1,1,0,0.5366,1,11
100383,PHISH,71,44,2,2,1,1,0,0,0.249,1,4
100384,BENIGN,35,20,2,2,1,0,1,0,0.19,0,5
100385,BENIGN,41,18,0,0,0,0,1,0,0.1658,1,21
100386,PHISH,88,53,2,2,0,1,1,0,0.4943,2,8
100387,PHISH,93,56,6,1,5,0,1,0,0.1831,1,9
100388,PHISH,128,78,2,4,2,1,1,1,0.3575,3,0
100389,BENIGN,34,19,0,1,1,0,1,0,0.0854,2,7
100390,PHISH,101,61,1,1,0,1,0,1,0.2104,1,8
100391,BENIGN,72,44,1,2,1,0,1,0,0.1405,2,17
100392,BENIGN,41,26,2,0,0,0,1,0,0.1155,1,2
100393,PHISH,73,44,4,0,1,1,0,1,0.137,1,22
100394,BENIGN,71,42,2,2,3,0,0,0,0.1924,1,3
100395,BENIGN,40,25,4,0,1,0,0,0,0.013,0,15
100396,PHISH,53,26,2,0,3,0,0,0,0.2753,3,0
100397,BENIGN,55,35,3,1,4,1,0,0,0.3383,1,19
100398,BENIGN,27,16,2,0,3,0,1,0,0.1882,0,16
100399,BENIGN,70,43,0,1,1,0,0,0,0.1985,2,20
100400,PHISH,54,36,2,1,3,1,0,0,0.5892,1,22
100401,BENIGN,42,19,3,1,1,0,1,0,0.101,5,20
100402,PHISH,82,43,2,1,1,1,0,0,0.4219,26,14
100403,BENIGN,88,55,0,2,3,0,0,0,0.3908,1,20
100404,BENIGN,46,28,4,0,1,0,1,0,0.3439,0,2
100405,PHISH,75,47,3,0,5,0,0,1,0.4936,1,15
100406,PHISH,99,59,4,3,2,1,1,0,0.2077,4,23
100407,BENIGN,76,49,2,2,1,0,1,0,0.1238,1,9
100408,PHISH,86,56,4,0,4,0,0,0,0.2128,2,23
100409,BENIGN,58,37,4,0,3,0,1,0,0.1986,0,12
100410,PHISH,105,64,7,4,3,0,0,0,0.3518,1,11
100411,BENIGN,88,47,2,1,2,1,0,0,0.1603,1,7
100412,BENIGN,79,51,2,2,1,0,0,0,0.155,4,2
