dti,utilization,income,default
0.2655,0.4451,57338.0,0
0.6348,0.6716,69347.0,0
0.2724,0.7217,70372.0,0
0.4034,0.8014,27468.0,1
0.2217,0.1321,78183.0,0
0.1214,0.6276,38547.0,0
0.1063,0.6143,58384.0,0
0.2611,0.3823,59131.0,0
0.2184,0.4038,34162.0,0
0.4504,0.2682,37568.0,1
0.1692,0.2425,19286.0,0
0.1705,0.2962,32450.0,0
0.075,0.2333,21782.0,0
0.143,0.5048,59683.0,0
0.1929,0.3702,50395.0,0
0.2122,0.4495,73963.0,0
0.2163,0.1573,57552.0,0
0.3143,0.2434,36841.0,0
0.2563,0.7654,57285.0,0
0.2156,0.6547,41122.0,1
0.2269,0.1747,64478.0,0
0.1801,0.332,56496.0,0
0.4121,0.5988,31418.0,0
0.3433,0.2539,49069.0,0
0.5248,0.5959,50257.0,1
0.4398,0.3836,42682.0,0
0.1527,0.1722,73329.0,0
0.1739,0.2913,105966.0,0
0.4689,0.5015,41544.0,1
0.1568,0.5921,41864.0,0
0.1892,0.3351,17825.0,0
0.3256,0.7516,46258.0,0
0.0707,0.6839,40284.0,0
0.1705,0.6823,18536.0,1
0.1056,0.4452,55816.0,0
0.2285,0.2064,63956.0,0
0.2858,0.5613,35230.0,1
0.1954,0.1831,41453.0,0
0.3162,0.3832,31732.0,1
0.2542,0.3805,69089.0,0
0.3763,0.4195,24764.0,1
0.1803,0.8414,42575.0,0
0.6151,0.4144,117946.0,0
0.088,0.6625,50172.0,0
0.0859,0.1944,60510.0,0
0.1701,0.2395,45890.0,0
0.3094,0.0437,28897.0,0
0.3529,0.4866,48305.0,0
0.2394,0.2251,58860.0,0
0.4144,0.2834,30940.0,0
0.6544,0.6511,57167.0,1
0.1964,0.4806,85837.0,0
0.1264,0.1571,79329.0,0
0.1184,0.6648,24047.0,1
0.4477,0.2321,31607.0,0
0.3272,0.4346,23715.0,0
0.4565,0.3071,79381.0,0
0.1939,0.5788,64515.0,0
0.3473,0.0463,67266.0,0
0.2984,0.1313,33016.0,0
0.5921,0.49,28999.0,1
0.1453,0.1141,50747.0,0
0.2591,0.5483,51300.0,0
0.2256,0.4531,33376.0,0
0.4219,0.3638,52260.0,0
0.1301,0.2601,65516.0,0
0.272,0.4708,54318.0,0
0.626,0.3726,30708.0,1
0.2662,0.3496,18945.0,0
0.0836,0.6543,43630.0,0
0.1857,0.2909,52784.0,0
0.3047,0.6984,43607.0,0
0.4418,0.25,40427.0,0
0.3358,0.6761,35913.0,1
0.1545,0.1066,67646.0,0
0.2154,0.5199,47879.0,0
0.4618,0.4246,51816.0,1
0.4023,0.7453,31660.0,0
0.3294,0.8472,37079.0,0
0.389,0.7551,52771.0,1
0.2832,0.4725,31181.0,0
0.0856,0.5382,27815.0,0
0.068,0.176,42272.0,0
0.0895,0.0513,84157.0,0
0.3967,0.0737,53419.0,0
0.6187,0.275,94544.0,0
0.4358,0.1993,46204.0,0
0.4524,0.3689,42637.0,0
0.399,0.0944,26199.0,0
0.1572,0.4017,37824.0,0
0.3198,0.4885,93511.0,0
0.3218,0.296,56806.0,0
0.0896,0.1896,68180.0,0
0.3956,0.4802,67325.0,1
0.3927,0.2784,48811.0,0
0.2849,0.1873,44705.0,1
0.3447,0.4962,51722.0,0
0.1413,0.5232,66309.0,0
0.1385,0.6804,60237.0,0
0.1401,0.0747,61168.0,0
0.2582,0.6841,52542.0,0
0.3152,0.4329,34667.0,1
0.2734,0.3102,43577.0,0
0.1724,0.3544,32091.0,0
0.3303,0.1723,77041.0,0
0.0705,0.3975,19036.0,0
0.4266,0.6324,44443.0,0
0.1648,0.2947,143522.0,0
0.1798,0.4386,42037.0,0
0.3172,0.4901,29418.0,1
0.313,0.4059,48626.0,0
0.1758,0.5592,87572.0,0
0.1573,0.0994,45606.0,0
0.3499,0.3011,64602.0,0
0.4715,0.2308,51276.0,0
0.3956,0.1786,41449.0,0
0.2413,0.5444,202325.0,0
0.1808,0.1942,50616.0,0
0.0901,0.75,38495.0,0
0.187,0.4949,39321.0,0
0.0654,0.3156,58178.0,0
0.3953,0.5093,58932.0,1
0.0966,0.4731,69384.0,0
0.2405,0.4883,52235.0,0
0.2364,0.456,25739.0,0
0.2481,0.692,62278.0,0
0.2945,0.3434,42658.0,0
0.3129,0.3353,43099.0,0
0.1187,0.2878,25152.0,0
0.2691,0.5716,37870.0,0
0.3424,0.2208,35345.0,0
0.1708,0.2863,48223.0,0
0.3172,0.3381,25488.0,0
0.3287,0.086,50151.0,0
0.2051,0.5931,51842.0,0
0.1943,0.2007,29617.0,0
0.4799,0.1664,37009.0,1
0.3794,0.2762,33326.0,1
0.3585,0.3278,73749.0,0
