user_id,checkout_time
user_1875,2024-03-25 14:11:00
user_1058,2024-02-17 13:48:00
user_1619,2024-03-13 20:45:00
user_0018,2024-01-01 20:20:00
user_0586,2024-01-27 14:24:00
user_0169,2024-01-09 01:15:00
user_0982,2024-02-14 09:50:00
user_1823,2024-03-23 14:12:00
user_1271,2024-02-27 06:52:00
user_0214,2024-01-10 15:25:00
user_0926,2024-02-11 20:59:00
user_1254,2024-02-26 16:21:00
user_1945,2024-03-28 12:31:00
user_1938,2024-03-28 07:37:00
user_0373,2024-01-16 22:10:00
user_0345,2024-01-15 17:54:00
user_1892,2024-03-26 13:57:00
user_1085,2024-02-18 11:23:00
user_0438,2024-01-20 05:39:00
user_1139,2024-02-20 23:15:00
user_0664,2024-01-30 14:39:00
user_0481,2024-01-22 21:47:00
user_0876,2024-02-10 00:51:00
user_1157,2024-02-21 17:44:00
user_1092,2024-02-18 19:12:00
user_1074,2024-02-18 02:57:00
user_1286,2024-02-27 15:59:00
user_1751,2024-03-19 21:21:00
user_1310,2024-02-29 01:54:00
user_0002,2024-01-01 05:08:00
user_0641,2024-01-29 16:31:00
user_0818,2024-02-07 13:09:00
user_0003,2024-01-01 06:02:00
user_1238,2024-02-25 14:34:00
user_0696,2024-02-01 03:36:00
user_0581,2024-01-27 08:50:00
user_0627,2024-01-29 07:03:00
user_0193,2024-01-09 21:54:00
user_0420,2024-01-19 05:34:00
user_1116,2024-02-19 21:25:00
user_1956,2024-03-29 04:58:00
user_0361,2024-01-16 05:09:00
user_1720,2024-03-18 03:25:00
user_0409,2024-01-18 13:21:00
user_0715,2024-02-02 14:18:00
user_1112,2024-02-19 19:36:00
user_1301,2024-02-28 20:30:00
user_1535,2024-03-10 17:31:00
user_0949,2024-02-12 17:51:00
user_0842,2024-02-08 19:01:00
user_0273,2024-01-13 02:26:00
user_0175,2024-01-09 06:12:00
user_0386,2024-01-17 13:45:00
user_1880,2024-03-25 14:52:00
user_1102,2024-02-19 07:22:00
user_0405,2024-01-18 08:56:00
user_1082,2024-02-18 10:43:00
user_1514,2024-03-09 20:25:00
user_1636,2024-03-15 03:03:00
user_1358,2024-03-02 09:42:00
user_0677,2024-01-31 05:39:00
user_1414,2024-03-05 13:35:00
user_1516,2024-03-09 21:38:00
user_0785,2024-02-06 04:06:00
user_1155,2024-02-21 14:30:00
user_1066,2024-02-17 21:40:00
user_1186,2024-02-23 05:41:00
user_1687,2024-03-17 03:28:00
user_0679,2024-01-31 06:03:00
user_0519,2024-01-24 04:12:00
user_1366,2024-03-02 16:24:00
user_0622,2024-01-28 22:48:00
user_0518,2024-01-24 01:49:00
user_0996,2024-02-15 03:02:00
user_0085,2024-01-05 01:32:00
user_1144,2024-02-21 04:50:00
user_0404,2024-01-18 10:57:00
user_0423,2024-01-19 06:58:00
user_1411,2024-03-05 03:02:00
user_1304,2024-02-28 18:29:00
user_1036,2024-02-16 18:11:00
user_1952,2024-03-28 22:37:00
user_0309,2024-01-14 11:10:00
user_0075,2024-01-04 11:30:00
user_0930,2024-02-12 03:14:00
user_0046,2024-01-03 02:01:00
user_0362,2024-01-16 05:16:00
user_0682,2024-01-31 13:36:00
user_0669,2024-01-30 22:05:00
user_0747,2024-02-04 00:01:00
user_0644,2024-01-29 18:41:00
user_0868,2024-02-09 14:59:00
user_1933,2024-03-27 20:40:00
user_1779,2024-03-21 06:41:00
user_1170,2024-02-22 10:28:00
user_1524,2024-03-10 06:01:00
user_0957,2024-02-13 02:00:00
user_0576,2024-01-27 02:56:00
user_1405,2024-03-04 22:19:00
user_1511,2024-03-09 15:04:00
user_0553,2024-01-26 01:56:00
user_0200,2024-01-10 07:12:00
user_1773,2024-03-21 03:11:00
user_0043,2024-01-02 20:27:00
user_1946,2024-03-28 11:39:00
user_1962,2024-03-29 09:00:00
user_1680,2024-03-16 20:24:00
user_0864,2024-02-09 14:23:00
user_0694,2024-02-01 01:46:00
user_0036,2024-01-02 14:50:00
user_0139,2024-01-07 14:23:00
user_0547,2024-01-25 21:50:00
user_0770,2024-02-05 08:34:00
user_1843,2024-03-24 08:14:00
user_0040,2024-01-02 17:01:00
user_1415,2024-03-05 17:07:00
user_0252,2024-01-12 04:13:00
user_0063,2024-01-03 19:45:00
user_1475,2024-03-07 16:58:00
user_0104,2024-01-05 19:23:00
user_0341,2024-01-15 14:42:00
user_0590,2024-01-27 18:55:00
user_1856,2024-03-24 16:38:00
user_0496,2024-01-23 06:44:00
user_1563,2024-03-11 11:52:00
user_0969,2024-02-13 14:04:00
user_1128,2024-02-20 05:27:00
user_0904,2024-02-11 01:53:00
user_0475,2024-01-22 13:56:00
user_0873,2024-02-09 22:09:00
user_1070,2024-02-18 00:03:00
user_1899,2024-03-26 19:47:00
user_0223,2024-01-11 02:45:00
user_1353,2024-03-02 04:05:00
user_0050,2024-01-03 05:54:00
user_0157,2024-01-08 18:44:00
user_1736,2024-03-18 18:21:00
user_0612,2024-01-28 08:18:00
user_1333,2024-03-01 00:07:00
user_1361,2024-03-02 13:47:00
user_1256,2024-02-26 18:20:00
user_1016,2024-02-15 19:14:00
user_0539,2024-01-25 06:13:00
user_1197,2024-02-23 19:10:00
user_0467,2024-01-22 09:26:00
user_1669,2024-03-16 12:59:00
user_1270,2024-02-27 05:52:00
user_1476,2024-03-07 20:18:00
user_1492,2024-03-08 15:43:00
user_1977,2024-03-30 00:04:00
user_0030,2024-01-02 06:22:00
user_0749,2024-02-04 02:28:00
user_1020,2024-02-15 22:53:00
user_1725,2024-03-18 07:33:00
user_0503,2024-01-23 14:28:00
user_1865,2024-03-25 05:06:00
user_0884,2024-02-10 06:12:00
user_1832,2024-03-23 21:16:00
user_1508,2024-03-09 12:51:00
user_0033,2024-01-02 10:54:00
user_1517,2024-03-09 21:12:00
user_1738,2024-03-18 18:22:00
user_0630,2024-01-29 06:24:00
user_0121,2024-01-06 07:05:00
user_0609,2024-01-28 09:59:00
user_0207,2024-01-10 13:44:00
user_0978,2024-02-14 06:30:00
user_0678,2024-01-31 02:46:00
user_0209,2024-01-10 14:17:00
user_1714,2024-03-17 22:31:00
user_1551,2024-03-11 05:59:00
user_0086,2024-01-05 01:56:00
user_0825,2024-02-07 18:15:00
user_1548,2024-03-11 04:40:00
user_1088,2024-02-18 17:19:00
user_0151,2024-01-08 04:40:00
user_0185,2024-01-09 16:06:00
user_0606,2024-01-28 04:44:00
user_1811,2024-03-22 20:18:00
user_1166,2024-02-22 05:46:00
user_0948,2024-02-12 19:45:00
user_1770,2024-03-20 20:56:00
user_0874,2024-02-10 01:11:00
user_1307,2024-02-28 20:58:00
user_0148,2024-01-08 06:07:00
user_1145,2024-02-21 04:41:00
user_1900,2024-03-26 22:01:00
user_0179,2024-01-09 07:52:00
user_1545,2024-03-11 03:39:00
user_1538,2024-03-10 15:58:00
user_0184,2024-01-09 15:34:00
user_0879,2024-02-10 05:15:00
user_0566,2024-01-26 16:34:00
user_0805,2024-02-07 02:23:00
user_0216,2024-01-10 18:18:00
user_0483,2024-01-22 19:19:00
user_0572,2024-01-26 21:44:00
user_0765,2024-02-04 22:19:00
user_1954,2024-03-29 04:15:00
user_0621,2024-01-28 19:42:00
user_1882,2024-03-25 20:40:00
user_0012,2024-01-01 16:28:00
user_0203,2024-01-10 11:38:00
user_1504,2024-03-09 08:57:00
user_1200,2024-02-23 22:31:00
user_1631,2024-03-14 14:20:00
user_1698,2024-03-17 10:03:00
user_0699,2024-02-01 06:13:00
user_0445,2024-01-21 03:36:00
user_1646,2024-03-15 12:45:00
user_1247,2024-02-26 03:45:00
user_0295,2024-01-13 19:05:00
user_0598,2024-01-27 23:04:00
user_1510,2024-03-09 10:53:00
user_0819,2024-02-07 14:24:00
user_1063,2024-02-17 19:30:00
user_0464,2024-01-22 04:36:00
user_0512,2024-01-23 22:30:00
user_1274,2024-02-27 07:51:00
user_0999,2024-02-15 04:17:00
user_0231,2024-01-11 13:18:00
user_0090,2024-01-05 04:14:00
user_1813,2024-03-22 23:08:00
user_0256,2024-01-12 05:25:00
user_1026,2024-02-16 10:10:00
user_0660,2024-01-30 12:33:00
user_0328,2024-01-15 01:12:00
user_0374,2024-01-16 23:36:00
user_0491,2024-01-23 03:14:00
user_1917,2024-03-27 11:31:00
user_0674,2024-01-31 06:08:00
user_0925,2024-02-11 20:07:00
user_0325,2024-01-15 00:10:00
user_1053,2024-02-17 05:36:00
user_1943,2024-03-28 12:20:00
user_0791,2024-02-06 13:00:00
user_0681,2024-01-31 14:55:00
user_1852,2024-03-24 11:57:00
user_0378,2024-01-17 03:05:00
user_1935,2024-03-28 01:46:00
user_0680,2024-01-31 09:57:00
user_1850,2024-03-24 09:22:00
user_0060,2024-01-03 17:51:00
user_1076,2024-02-18 04:43:00
user_0242,2024-01-11 20:12:00
user_0451,2024-01-21 16:23:00
user_0527,2024-01-24 19:10:00
user_1126,2024-02-20 03:10:00
user_0733,2024-02-03 10:34:00
user_0450,2024-01-21 14:04:00
user_1973,2024-03-29 20:45:00
user_0220,2024-01-11 00:04:00
user_1187,2024-02-23 06:57:00
user_0951,2024-02-12 22:08:00
user_1532,2024-03-10 16:42:00
user_1983,2024-03-30 10:45:00
user_1123,2024-02-20 03:21:00
user_0639,2024-01-29 14:39:00
user_0188,2024-01-09 16:47:00
user_0397,2024-01-17 21:20:00
user_1876,2024-03-25 11:31:00
user_1095,2024-02-18 23:23:00
user_1533,2024-03-10 13:05:00
user_1559,2024-03-11 08:38:00
user_1438,2024-03-06 13:34:00
user_0089,2024-01-05 04:03:00
user_0704,2024-02-01 07:36:00
user_1432,2024-03-06 06:33:00
user_0388,2024-01-17 13:27:00
user_0468,2024-01-22 08:12:00
user_1474,2024-03-07 18:31:00
user_1964,2024-03-29 12:42:00
user_1156,2024-02-21 14:28:00
user_1911,2024-03-27 11:56:00
user_1960,2024-03-29 09:50:00
user_0686,2024-01-31 16:57:00
user_0570,2024-01-26 18:56:00
user_1848,2024-03-24 10:44:00
user_0327,2024-01-14 21:36:00
user_1014,2024-02-15 13:08:00
user_1602,2024-03-13 05:55:00
user_1679,2024-03-16 20:36:00
user_0739,2024-02-03 13:59:00
user_0618,2024-01-28 18:30:00
user_0753,2024-02-04 05:44:00
user_1162,2024-02-22 02:27:00
user_0449,2024-01-21 13:58:00
user_1837,2024-03-24 01:48:00
user_1252,2024-02-26 12:04:00
user_0937,2024-02-12 04:55:00
user_1547,2024-03-11 03:13:00
user_0720,2024-02-02 18:34:00
user_0077,2024-01-04 12:00:00
user_1658,2024-03-16 01:12:00
user_0595,2024-01-27 17:21:00
user_0348,2024-01-15 21:06:00
user_1408,2024-03-05 02:42:00
user_1314,2024-02-29 04:21:00
user_0946,2024-02-12 17:32:00
user_0457,2024-01-21 22:55:00
