user_id,purchase_time
user_0325,2024-01-15 00:46:00
user_1602,2024-03-13 06:46:00
user_0451,2024-01-21 17:18:00
user_1307,2024-02-28 22:01:00
user_1960,2024-03-29 11:08:00
user_0361,2024-01-16 05:23:00
user_0386,2024-01-17 14:31:00
user_1434,2024-03-06 05:34:00
user_1698,2024-03-17 10:17:00
user_0515,2024-01-23 23:54:00
user_0765,2024-02-04 22:30:00
user_1074,2024-02-18 03:38:00
user_0836,2024-02-08 12:47:00
user_0873,2024-02-09 22:23:00
user_1741,2024-03-19 01:35:00
user_1823,2024-03-23 14:34:00
user_0209,2024-01-10 14:40:00
user_1432,2024-03-06 07:50:00
user_0182,2024-01-09 12:44:00
user_0179,2024-01-09 07:56:00
user_0697,2024-02-01 03:13:00
user_0818,2024-02-07 14:13:00
user_1882,2024-03-25 21:50:00
user_0491,2024-01-23 04:43:00
user_1630,2024-03-14 15:47:00
user_0184,2024-01-09 15:35:00
user_1170,2024-02-22 11:46:00
user_0377,2024-01-17 00:08:00
user_1256,2024-02-26 18:31:00
user_0496,2024-01-23 07:44:00
user_0840,2024-02-08 16:49:00
user_0373,2024-01-16 22:16:00
user_1304,2024-02-28 18:45:00
user_1631,2024-03-14 15:13:00
user_0445,2024-01-21 03:59:00
user_1669,2024-03-16 14:00:00
user_0749,2024-02-04 03:05:00
user_0036,2024-01-02 15:43:00
user_1545,2024-03-11 04:22:00
user_0467,2024-01-22 09:59:00
user_0884,2024-02-10 06:43:00
user_0520,2024-01-24 09:06:00
user_0160,2024-01-08 21:48:00
user_1112,2024-02-19 20:29:00
user_0978,2024-02-14 07:22:00
user_0674,2024-01-31 06:27:00
user_1438,2024-03-06 14:56:00
user_0169,2024-01-09 02:06:00
user_0341,2024-01-15 15:46:00
user_0175,2024-01-09 07:31:00
user_1911,2024-03-27 13:19:00
user_1595,2024-03-12 19:18:00
user_1410,2024-03-05 07:35:00
user_0622,2024-01-28 23:30:00
user_0468,2024-01-22 09:18:00
user_0725,2024-02-03 03:00:00
user_0753,2024-02-04 06:48:00
user_1411,2024-03-05 03:10:00
user_0581,2024-01-27 10:12:00
user_0336,2024-01-15 06:09:00
user_1123,2024-02-20 04:20:00
user_0608,2024-01-28 06:54:00
user_1139,2024-02-20 23:29:00
user_0275,2024-01-13 03:51:00
user_0566,2024-01-26 17:49:00
user_0188,2024-01-09 17:07:00
user_0108,2024-01-05 18:00:00
user_1424,2024-03-05 21:49:00
user_1751,2024-03-19 22:50:00
user_0553,2024-01-26 02:12:00
user_0618,2024-01-28 19:30:00
user_0104,2024-01-05 19:49:00
user_0018,2024-01-01 21:27:00
user_0879,2024-02-10 05:53:00
user_0944,2024-02-12 12:30:00
user_1938,2024-03-28 08:06:00
user_0904,2024-02-11 02:41:00
user_0284,2024-01-13 14:23:00
user_0003,2024-01-01 06:04:00
user_0769,2024-02-05 06:17:00
user_0043,2024-01-02 21:25:00
user_0680,2024-01-31 11:15:00
user_1353,2024-03-02 05:28:00
user_1636,2024-03-15 03:17:00
user_0669,2024-01-30 22:14:00
user_0460,2024-01-22 03:50:00
user_1848,2024-03-24 11:01:00
user_1063,2024-02-17 19:44:00
user_1151,2024-02-21 15:13:00
user_0786,2024-02-06 09:48:00
user_1247,2024-02-26 04:56:00
user_1252,2024-02-26 12:51:00
user_0075,2024-01-04 11:48:00
user_1821,2024-03-23 15:35:00
user_1808,2024-03-22 21:23:00
user_1973,2024-03-29 20:59:00
user_0961,2024-02-13 07:13:00
user_1197,2024-02-23 19:12:00
user_0644,2024-01-29 19:10:00
user_0494,2024-01-23 04:06:00
user_1405,2024-03-04 23:20:00
user_1192,2024-02-23 12:06:00
user_0747,2024-02-04 00:15:00
user_1852,2024-03-24 13:08:00
user_1082,2024-02-18 11:42:00
user_1271,2024-02-27 08:19:00
user_1945,2024-03-28 13:53:00
user_0570,2024-01-26 19:05:00
user_1865,2024-03-25 06:13:00
user_1813,2024-03-23 00:01:00
user_1306,2024-02-28 21:09:00
user_0770,2024-02-05 08:57:00
user_0571,2024-01-26 20:25:00
user_1326,2024-02-29 20:20:00
user_1538,2024-03-10 16:29:00
user_0805,2024-02-07 02:52:00
user_0423,2024-01-19 08:13:00
user_0242,2024-01-11 20:38:00
user_1619,2024-03-13 21:00:00
user_1317,2024-02-29 06:13:00
user_0490,2024-01-23 03:08:00
user_0992,2024-02-14 18:47:00
user_1956,2024-03-29 05:21:00
user_1286,2024-02-27 16:41:00
user_0925,2024-02-11 20:25:00
user_0412,2024-01-18 20:30:00
user_1058,2024-02-17 14:11:00
user_1532,2024-03-10 16:54:00
user_0550,2024-01-26 02:35:00
user_1837,2024-03-24 03:11:00
user_1116,2024-02-19 22:49:00
user_0096,2024-01-05 13:22:00
user_0820,2024-02-07 18:04:00
user_1946,2024-03-28 12:52:00
user_0139,2024-01-07 14:41:00
user_1476,2024-03-07 21:17:00
user_1514,2024-03-09 21:26:00
user_1832,2024-03-23 22:20:00
user_0030,2024-01-02 06:42:00
