No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI
11,AL,AL Corp.,Basic Materials,Chemicals,USA,4913417.15,29.95,1.01,5.79,4.32,35.31,"22,063",0.47,28.12%,10.08%,1.40,1.49,39.41%,54.31
12,AM,AM Holdings Inc.,Basic Materials,Gold,USA,8023080.10,32.09,0.68,1.58,4.87,18.08,"28,955",0.06,11.03%,10.50%,0.35,2.01,48.16%,58.19
13,AN,AN Holdings Inc.,Basic Materials,Oil & Gas Drilling,USA,2128655.98,20.65,1.13,7.04,1.93,14.90,"1,005,311",1.38,13.28%,28.16%,0.22,1.88,43.84%,48.68
14,AO,AO Holdings Inc.,Basic Materials,Steel,USA,393195.72,19.15,,6.90,0.95,13.42,"673,621",6.12,8.14%,-0.80%,0.76,1.14,21.08%,53.77
15,AP,AP Corp.,Basic Materials,Agricultural Chemicals,USA,1917376.91,7.52,2.34,,1.75,133.70,"27,060",3.06,-0.71%,6.09%,1.07,1.70,36.42%,59.72
16,AQ,AQ Corp.,Basic Materials,Chemicals,USA,326698.79,29.72,1.59,1.89,4.90,10.81,"17,882",6.58,8.29%,17.50%,0.44,1.20,17.88%,66.91
17,AR,AR Corp.,Basic Materials,Gold,USA,3975870.03,34.00,1.18,2.19,0.62,64.36,"37,483",8.07,16.59%,24.94%,0.41,1.14,36.04%,68.16
18,AS,AS Holdings Inc.,Basic Materials,Oil & Gas Drilling,USA,11151898.67,26.10,4.36,,2.16,74.88,"100,080",3.43,-3.58%,15.71%,1.61,1.00,49.67%,58.41
19,AT,AT Corp.,Basic Materials,Steel,USA,8945628.34,14.38,7.05,2.92,,29.05,"121,475",8.35,6.45%,20.74%,0.20,1.40,56.97%,25.22
20,AU,AU Holdings Inc.,Basic Materials,Agricultural Chemicals,USA,15987696.72,10.64,5.40,5.02,1.77,55.91,"86,544",2.03,25.33%,-7.54%,0.36,1.05,43.10%,29.61
21,AV,AV Corp.,Basic Materials,Chemicals,USA,21343556.89,11.85,1.10,1.78,2.81,46.04,"552,425",8.95,22.37%,11.83%,0.27,0.93,49.24%,27.77
22,AW,AW Holdings Inc.,Basic Materials,Gold,USA,1051801.11,50.27,1.88,6.88,0.98,24.36,"122,178",-3.05,7.22%,14.22%,0.54,0.15,37.96%,50.95
23,AX,AX Corp.,Basic Materials,Oil & Gas Drilling,USA,1032951.37,,6.18,1.76,1.80,18.36,"30,683",0.88,-12.08%,7.89%,0.57,0.15,35.53%,63.92
24,AY,AY Holdings Inc.,Basic Materials,Steel,USA,1497462.51,18.91,0.45,,5.84,41.70,"29,578",4.24,12.36%,43.87%,1.20,0.99,31.22%,39.34
25,AZ,AZ Corp.,Basic Materials,Agricultural Chemicals,USA,8533751.45,35.73,1.07,2.19,11.23,95.70,"30,442",5.65,27.54%,-4.41%,0.14,1.47,36.63%,45.59
26,BA,BA Holdings Inc.,Basic Materials,Chemicals,USA,277681.91,22.60,1.09,2.66,2.32,19.80,"25,120",0.55,18.58%,15.51%,0.28,1.09,38.18%,41.34
27,BB,BB Holdings Inc.,Basic Materials,Gold,USA,2201098.59,22.59,0.72,,1.14,7.97,"82,880",3.26,-0.43%,18.36%,1.19,1.40,9.79%,54.38
28,BC,BC Corp.,Basic Materials,Oil & Gas Drilling,USA,9732064.05,26.49,1.41,1.56,1.81,88.32,"115,577",5.19,3.44%,23.21%,0.41,0.15,13.12%,40.19
29,BD,BD Corp.,Basic Materials,Steel,USA,4689967.04,6.52,1.06,2.69,2.67,50.29,"128,392",4.22,21.52%,10.90%,0.39,1.23,28.53%,73.14
30,BE,BE Corp.,Basic Materials,Agricultural Chemicals,USA,18925434.28,18.97,1.00,1.61,3.07,50.28,"85,233",3.72,34.28%,1.49%,0.23,0.25,58.31%,89.01
31,BF,BF Corp.,Basic Materials,Chemicals,USA,4208345.61,24.88,2.09,0.99,1.00,38.73,"2,838",8.44,43.54%,15.76%,0.36,0.99,63.48%,63.93
32,BG,BG Holdings Inc.,Basic Materials,Gold,USA,6140453.01,18.29,4.90,1.83,0.90,43.25,"74,570",1.66,17.75%,30.34%,1.21,0.93,19.14%,54.22
33,BH,BH Holdings Inc.,Basic Materials,Oil & Gas Drilling,USA,4086676.98,20.32,8.41,1.01,5.92,31.32,"24,791",-6.11,12.06%,7.20%,0.50,1.29,71.74%,58.79
34,BI,BI Holdings Inc.,Basic Materials,Steel,USA,15821279.56,32.72,0.91,1.52,3.30,27.61,"35,178",4.68,14.22%,6.03%,1.24,0.56,74.48%,76.71
35,BJ,BJ Corp.,Basic Materials,Agricultural Chemicals,USA,280390.35,10.14,2.83,0.82,5.40,15.92,"84,216",-4.54,21.61%,9.66%,0.43,1.66,60.11%,33.96
36,BK,BK Corp.,Basic Materials,Chemicals,USA,1032376.96,38.75,2.39,2.63,4.55,40.84,"20,079",-3.49,-9.91%,3.13%,0.56,1.28,46.89%,60.13
37,BL,BL Corp.,Basic Materials,Gold,USA,251054.10,39.27,,1.78,2.55,12.99,"68,447",2.97,7.93%,2.75%,0.17,1.49,28.88%,79.65
38,BM,BM Corp.,Basic Materials,Oil & Gas Drilling,USA,338111.65,31.15,,3.40,0.86,20.00,"66,288",2.16,16.69%,11.95%,0.22,1.22,32.37%,66.87
39,BN,BN Holdings Inc.,Basic Materials,Steel,USA,2343415.53,24.66,2.94,2.42,3.21,37.26,"4,907",1.72,1.48%,19.75%,0.21,1.28,11.61%,57.78
40,BO,BO Corp.,Basic Materials,Agricultural Chemicals,USA,2621031.71,25.48,3.07,2.33,4.80,59.06,"11,134",0.74,27.73%,35.29%,0.43,0.85,72.29%,63.11
41,BP,BP Holdings Inc.,Basic Materials,Chemicals,USA,977546.70,14.42,0.56,0.94,1.20,12.71,"30,576",4.58,40.34%,2.70%,1.24,1.78,12.06%,59.78
42,BQ,BQ Corp.,Basic Materials,Gold,USA,1348322.06,48.05,1.28,1.23,3.26,23.80,"10,603",7.35,33.14%,3.26%,0.42,1.18,56.68%,53.47
43,BR,BR Holdings Inc.,Basic Materials,Oil & Gas Drilling,USA,14316145.62,59.03,2.73,1.05,0.25,26.34,"242,904",-0.38,-14.95%,15.09%,0.65,1.19,47.18%,59.03
44,BS,BS Corp.,Basic Materials,Steel,USA,17933145.54,20.07,1.97,5.12,1.41,85.17,"63,996",3.01,8.65%,-4.96%,0.93,1.34,65.17%,46.38
45,BT,BT Holdings Inc.,Basic Materials,Agricultural Chemicals,USA,1261432.92,24.38,,2.93,2.13,42.60,"41,394",1.11,1.28%,11.41%,0.71,0.81,70.60%,28.19
46,BU,BU Corp.,Basic Materials,Chemicals,USA,22617973.24,12.55,2.75,2.61,1.66,23.63,"12,680",4.48,6.61%,30.31%,0.26,0.36,17.88%,49.11
47,BV,BV Corp.,Basic Materials,Gold,USA,469877.48,40.67,2.12,1.87,3.80,25.39,"71,682",4.71,25.49%,15.41%,0.27,1.03,55.80%,41.63
48,BW,BW Corp.,Basic Materials,Oil & Gas Drilling,USA,4192308.51,17.21,0.58,1.60,0.50,41.24,"17,992",-0.69,7.33%,9.96%,0.24,1.73,65.32%,52.53
49,BX,BX Corp.,Basic Materials,Steel,USA,11776216.57,31.30,,1.61,,103.97,"276,565",-0.16,33.37%,13.94%,0.72,1.36,17.96%,53.60
50,BY,BY Corp.,Basic Materials,Agricultural Chemicals,USA,1214042.25,57.16,2.03,1.39,1.75,72.52,"51,004",4.07,-0.03%,9.73%,2.46,1.83,63.00%,59.90
51,BZ,BZ Corp.,Basic Materials,Chemicals,USA,8129615.51,31.41,0.59,1.17,0.87,36.42,"28,005",8.81,-14.86%,3.70%,0.96,1.13,66.56%,57.62
52,CA,CA Holdings Inc.,Basic Materials,Gold,USA,1822098.63,29.67,1.44,3.78,0.38,21.70,"8,273",-1.74,24.25%,4.86%,0.70,1.03,79.58%,55.56
53,CB,CB Holdings Inc.,Basic Materials,Oil & Gas Drilling,USA,14612412.47,35.12,2.99,5.18,5.29,83.21,"74,087",2.11,3.42%,3.94%,0.57,0.74,51.61%,43.76
54,CC,CC Corp.,Basic Materials,Steel,USA,21767281.76,38.09,,9.49,2.19,37.91,"96,910",4.36,-6.75%,3.14%,2.10,0.96,41.98%,80.05
55,CD,CD Holdings Inc.,Basic Materials,Agricultural Chemicals,USA,23154907.10,42.26,0.94,,1.45,61.87,"162,418",3.35,22.07%,7.22%,0.70,1.70,42.41%,66.66
56,CE,CE Holdings Inc.,Basic Materials,Chemicals,USA,125202091.72,20.26,1.94,1.95,2.42,43.48,"2,210",-0.77,-22.15%,2.97%,0.22,1.79,86.30%,42.44
57,CF,CF Corp.,Basic Materials,Gold,USA,116163.41,8.90,7.28,,3.73,9.52,"30,809",4.24,4.46%,14.31%,0.48,1.30,51.93%,65.59
58,CG,CG Corp.,Basic Materials,Oil & Gas Drilling,USA,10794886.60,12.77,3.17,1.11,2.07,36.36,"86,787",0.48,12.48%,-7.52%,0.75,1.04,55.80%,52.89
59,CH,CH Holdings Inc.,Basic Materials,Steel,USA,2589490.77,22.50,2.43,0.89,5.07,28.01,"26,137",1.44,19.24%,3.84%,1.97,0.68,53.93%,59.34
60,CI,CI Holdings Inc.,Basic Materials,Agricultural Chemicals,USA,2042846.74,22.54,1.65,4.32,10.10,37.94,"76,704",-0.17,30.95%,28.45%,0.37,1.31,77.07%,42.04
61,CJ,CJ Corp.,Basic Materials,Chemicals,USA,26015899.57,9.35,2.38,9.69,1.12,32.17,"47,596",-1.55,4.35%,29.00%,0.59,0.74,15.90%,74.17
62,CK,CK Corp.,Basic Materials,Gold,USA,96858.00,12.06,1.49,5.14,2.63,10.86,"15,604",2.83,5.87%,17.79%,1.07,0.70,15.14%,61.91
63,CL,CL Corp.,Basic Materials,Oil & Gas Drilling,USA,3950726.91,86.68,,2.20,1.87,36.14,"92,845",3.88,15.96%,16.60%,0.39,0.94,21.17%,52.71
64,CM,CM Corp.,Basic Materials,Steel,USA,10006627.89,21.70,2.94,5.82,3.45,31.31,"13,445",0.45,5.38%,10.62%,0.80,1.02,90.33%,56.11
65,CN,CN Holdings Inc.,Basic Materials,Agricultural Chemicals,USA,6449347.64,43.01,1.19,2.11,1.66,85.11,"292,177",1.09,8.22%,1.98%,0.19,1.46,22.51%,50.20
66,CO,CO Holdings Inc.,Basic Materials,Chemicals,USA,15212169.85,,2.84,1.47,0.45,11.22,"57,404",-2.33,10.57%,9.83%,0.83,1.10,36.90%,51.44
67,CP,CP Holdings Inc.,Basic Materials,Gold,USA,1586405.83,9.06,2.14,2.54,,9.65,"79,838",-1.19,6.76%,20.13%,1.48,1.60,32.62%,35.32
68,CQ,CQ Corp.,Basic Materials,Oil & Gas Drilling,USA,240148053.97,18.00,2.01,0.86,1.28,98.24,"138,447",6.19,18.07%,20.96%,0.32,0.41,57.04%,39.04
69,CR,CR Corp.,Basic Materials,Steel,USA,427328.74,36.65,4.31,7.75,3.90,16.66,"58,082",4.30,-0.33%,-4.09%,0.16,0.17,45.44%,54.95
70,CS,CS Corp.,Basic Materials,Agricultural Chemicals,USA,230925312.49,20.07,2.13,1.85,6.82,53.55,"102,442",2.98,-10.16%,14.40%,0.35,0.81,40.97%,62.13
71,CT,CT Corp.,Basic Materials,Chemicals,USA,918030.03,8.35,,4.13,1.60,41.26,"560,584",3.93,26.03%,5.35%,0.66,0.42,32.29%,55.89
72,CU,CU Holdings Inc.,Basic Materials,Gold,USA,3727396.57,32.73,1.44,7.37,1.85,11.78,"306,719",-2.48,25.68%,3.93%,3.30,0.80,21.85%,78.41
73,CV,CV Holdings Inc.,Basic Materials,Oil & Gas Drilling,USA,31518007.79,16.25,3.52,1.40,4.44,48.41,"105,485",4.58,-3.81%,8.51%,0.77,0.44,33.78%,47.11
74,CW,CW Holdings Inc.,Basic Materials,Steel,USA,75249.00,62.03,,,1.16,21.49,"14,215",2.85,-16.76%,13.55%,0.50,0.84,14.72%,57.62
75,CX,CX Holdings Inc.,Basic Materials,Agricultural Chemicals,USA,4422289.36,58.31,3.09,3.79,3.02,26.45,"71,709",-1.11,-5.67%,0.18%,0.71,0.95,35.32%,44.63
76,CY,CY Holdings Inc.,Basic Materials,Chemicals,USA,590703.05,32.99,,2.31,3.36,11.56,"26,149",4.94,-9.56%,13.23%,0.21,1.26,49.47%,47.59
77,CZ,CZ Holdings Inc.,Basic Materials,Gold,USA,2031049.59,41.38,1.51,2.45,3.07,31.38,"67,343",8.20,1.72%,32.11%,1.90,0.58,24.79%,42.94
78,DA,DA Holdings Inc.,Basic Materials,Oil & Gas Drilling,Canada,958153.44,16.87,1.02,2.40,6.90,42.42,"85,697",1.47,-13.88%,19.71%,0.52,0.97,66.61%,59.08
79,DB,DB Corp.,Basic Materials,Steel,Canada,3028394.87,15.23,3.67,3.20,3.95,53.80,"14,350",1.79,19.67%,5.29%,0.46,1.27,35.07%,49.21
80,DC,DC Corp.,Basic Materials,Agricultural Chemicals,Canada,25553824.24,22.30,4.20,2.08,3.22,31.46,"92,581",1.80,21.80%,23.06%,3.37,1.31,55.78%,60.35
81,DD,DD Holdings Inc.,Basic Materials,Chemicals,Canada,1953426.02,41.18,1.63,5.49,2.26,12.69,"406,437",-4.77,0.09%,5.48%,0.35,0.15,34.81%,50.56
82,DE,DE Holdings Inc.,Basic Materials,Gold,Canada,8271019.97,11.50,3.67,1.59,2.74,29.89,"119,477",5.19,-10.84%,11.39%,2.14,0.60,17.15%,33.57
83,DF,DF Holdings Inc.,Basic Materials,Oil & Gas Drilling,Canada,20215685.30,40.50,2.12,3.47,1.28,43.46,"113,979",2.88,11.54%,9.30%,0.48,0.63,29.01%,54.74
84,DG,DG Holdings Inc.,Basic Materials,Steel,Canada,12067686.47,,5.42,1.88,1.91,18.19,"80,666",-0.97,-6.95%,20.45%,1.82,1.00,33.86%,45.46
85,DH,DH Holdings Inc.,Basic Materials,Agricultural Chemicals,Canada,1413511.40,25.08,2.11,3.45,3.67,13.47,"76,284",11.00,20.40%,12.53%,2.40,0.55,35.98%,38.48
86,DI,DI Corp.,Basic Materials,Chemicals,UK,245437.57,23.54,,2.27,7.22,4.45,"47,434",0.44,7.48%,5.28%,0.34,0.42,50.05%,42.63
87,DJ,DJ Holdings Inc.,Basic Materials,Gold,UK,16645817.69,45.98,,1.94,1.45,34.30,"623,967",1.78,7.74%,21.84%,0.42,0.76,39.74%,62.81
88,DK,DK Corp.,Basic Materials,Oil & Gas Drilling,UK,2699000.15,16.87,1.97,6.80,4.30,17.98,"63,702",1.72,-5.82%,8.56%,0.58,0.95,16.19%,68.20
89,DL,DL Corp.,Basic Materials,Steel,UK,1972518.24,25.01,,3.44,2.49,45.92,"25,753",0.02,45.49%,4.66%,0.14,1.38,35.77%,77.76
90,DM,DM Corp.,Basic Materials,Agricultural Chemicals,UK,10682481.66,47.32,1.55,2.69,2.84,11.88,"457,911",6.57,-15.27%,21.36%,1.21,0.56,44.90%,45.98
91,DN,DN Holdings Inc.,Conglomerates,Conglomerates,China,377701.70,19.61,3.50,0.96,0.83,26.90,"44,066",6.47,7.36%,-2.61%,0.55,0.84,31.06%,36.63
92,DO,DO Corp.,Conglomerates,Conglomerates,China,2053506.83,32.28,1.47,5.00,3.05,31.42,"24,272",-2.63,-7.77%,-3.13%,0.61,1.83,71.81%,69.19
93,DP,DP Holdings Inc.,Conglomerates,Conglomerates,China,7481517.50,16.97,1.87,3.11,4.48,36.14,"102,466",-3.44,12.09%,19.89%,2.17,1.56,49.77%,30.66
94,DQ,DQ Corp.,Conglomerates,Conglomerates,China,1337827009.15,26.06,1.42,2.66,1.92,154.53,"3,677",3.61,7.59%,22.39%,0.53,0.25,49.10%,41.85
95,DR,DR Corp.,Conglomerates,Conglomerates,Chile,22513202.23,24.87,3.68,1.74,3.14,90.52,"24,784",7.17,24.32%,7.75%,0.50,1.50,21.27%,48.62
96,DS,DS Corp.,Conglomerates,Conglomerates,Chile,343627.22,,1.05,1.36,1.69,19.78,"70,711",5.14,13.90%,3.47%,0.90,1.58,41.51%,40.52
97,DT,DT Holdings Inc.,Conglomerates,Conglomerates,Chile,2532134.29,,1.50,0.58,2.76,12.05,"79,531",-2.74,-2.68%,1.54%,0.28,1.42,59.86%,50.14
98,DU,DU Holdings Inc.,Conglomerates,Conglomerates,Switzerland,25769601.55,10.71,,4.44,9.95,113.76,"70,310",-1.73,19.81%,16.15%,0.65,1.67,17.84%,26.33
99,DV,DV Holdings Inc.,Conglomerates,Conglomerates,Switzerland,2468693.09,,3.53,2.20,,20.14,"240,688",5.04,-4.14%,2.76%,0.44,0.44,15.43%,42.71
100,DW,DW Holdings Inc.,Conglomerates,Conglomerates,USA,202597.21,20.79,,8.81,6.65,54.95,"61,391",-1.85,10.68%,10.75%,0.26,1.53,45.41%,57.71
101,DX,DX Holdings Inc.,Conglomerates,Conglomerates,USA,26275175.07,16.25,0.87,1.54,2.18,41.52,"21,643",4.39,-7.94%,21.43%,0.52,1.35,27.91%,46.15
102,DY,DY Corp.,Conglomerates,Conglomerates,USA,33923661.70,,,1.98,1.36,16.80,"68,985",-2.12,-13.35%,-2.47%,0.47,0.15,86.61%,59.53
103,DZ,DZ Holdings Inc.,Conglomerates,Conglomerates,USA,9701379.98,32.61,,2.99,2.43,48.22,"93,216",1.27,-0.03%,11.12%,1.63,0.49,8.76%,33.08
104,EA,EA Holdings Inc.,Conglomerates,Conglomerates,USA,7759432.48,49.92,1.42,1.94,,34.68,"528,708",-0.15,15.52%,10.57%,0.48,0.76,34.02%,57.51
105,EB,EB Corp.,Conglomerates,Conglomerates,USA,27123627.00,52.48,0.98,1.25,1.06,31.07,"56,809",1.38,10.12%,0.81%,2.37,0.33,48.87%,55.14
106,EC,EC Holdings Inc.,Conglomerates,Conglomerates,USA,1183741.59,51.13,1.60,0.93,3.21,7.80,"32,415",3.59,8.67%,13.65%,0.41,0.32,23.84%,59.68
107,ED,ED Corp.,Conglomerates,Conglomerates,USA,8465410.49,15.46,2.41,7.78,2.12,62.97,"39,679",7.15,12.98%,6.56%,0.55,0.49,41.57%,62.00
108,EE,EE Holdings Inc.,Conglomerates,Conglomerates,USA,38311790.44,19.21,1.14,0.73,1.00,198.02,"76,542",-2.73,24.69%,3.49%,0.73,0.34,76.58%,30.63
109,EF,EF Holdings Inc.,Consumer Goods,Electronic Equipment,USA,5926361.99,23.32,2.56,8.78,0.87,31.23,"1,908",1.79,20.90%,8.60%,1.58,0.40,45.68%,37.63
110,EG,EG Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,5275862.76,27.48,3.35,3.69,1.29,49.95,"230,677",3.75,17.66%,-18.14%,0.33,0.59,28.84%,69.04
111,EH,EH Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,1749012.61,42.43,1.00,1.59,3.24,84.25,"181,794",0.49,27.91%,29.13%,1.09,1.09,19.50%,44.03
112,EI,EI Corp.,Consumer Goods,Beverages,USA,45946058.58,12.71,1.84,1.13,0.53,79.24,"13,212",2.90,19.43%,9.18%,1.18,1.47,23.39%,33.81
113,EJ,EJ Corp.,Consumer Goods,Electronic Equipment,USA,5377174.18,21.93,2.69,1.02,,72.73,"145,630",-2.46,3.00%,19.79%,0.82,1.28,20.55%,52.56
114,EK,EK Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,420243.95,40.22,0.92,1.08,3.07,7.16,"59,149",4.99,8.98%,2.96%,0.27,0.55,78.96%,42.41
115,EL,EL Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,3190953.97,11.90,3.78,1.97,1.68,72.42,"52,967",1.25,-10.56%,5.45%,0.66,0.62,39.66%,53.08
116,EM,EM Holdings Inc.,Consumer Goods,Beverages,USA,1327123.33,38.88,0.93,0.69,1.40,70.19,"302,291",0.28,9.23%,14.36%,0.52,1.13,53.71%,68.66
117,EN,EN Holdings Inc.,Consumer Goods,Electronic Equipment,USA,8420965.11,38.50,2.12,3.24,2.99,72.10,"70,758",1.67,7.39%,-6.84%,0.79,1.31,42.22%,57.89
118,EO,EO Corp.,Consumer Goods,Food - Major Diversified,USA,50972639.10,,0.69,1.62,7.14,42.63,"47,996",0.82,19.31%,-0.71%,0.71,1.31,37.44%,75.87
119,EP,EP Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,73692230.53,28.96,2.39,2.32,3.89,76.05,"52,933",-0.04,8.53%,17.52%,0.48,1.53,60.81%,48.23
120,EQ,EQ Corp.,Consumer Goods,Beverages,USA,3913372.61,,0.68,0.53,3.41,13.19,"36,706",2.99,-1.67%,10.05%,0.96,1.04,47.64%,42.21
121,ER,ER Corp.,Consumer Goods,Electronic Equipment,USA,800006.83,30.11,3.22,1.74,1.61,16.52,"53,012",-1.92,-10.51%,15.30%,0.81,1.30,51.22%,32.91
122,ES,ES Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,2182985.85,113.63,2.31,3.98,2.69,41.06,"132,581",2.93,-5.83%,15.88%,0.27,1.38,21.83%,48.07
123,ET,ET Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,4750793.94,83.57,2.33,0.84,1.66,29.01,"17,686",-2.68,-18.32%,30.58%,0.72,0.66,34.10%,48.62
124,EU,EU Holdings Inc.,Consumer Goods,Beverages,USA,4214978.00,25.32,2.33,1.25,1.76,17.98,"87,976",-1.71,7.36%,1.59%,2.28,1.48,13.30%,69.42
125,EV,EV Holdings Inc.,Consumer Goods,Electronic Equipment,USA,1674249.22,40.21,1.24,0.87,2.10,46.40,"481,494",6.36,1.60%,9.53%,0.57,1.43,49.46%,47.87
126,EW,EW Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,19685785.63,15.61,1.61,1.44,,21.48,"82,236",4.48,-7.93%,7.78%,0.55,1.32,32.07%,57.81
127,EX,EX Corp.,Consumer Goods,Auto Manufacturers,USA,2676873.12,13.70,1.17,3.19,2.65,48.95,"17,831",2.02,18.98%,13.42%,2.03,1.55,55.62%,43.18
128,EY,EY Holdings Inc.,Consumer Goods,Beverages,USA,634460.44,22.19,3.09,1.17,6.44,21.50,"239,772",-1.09,20.46%,11.89%,0.81,0.52,35.60%,61.82
129,EZ,EZ Corp.,Consumer Goods,Electronic Equipment,USA,3182228.55,31.04,,6.01,1.78,54.48,"180,318",2.19,0.47%,10.74%,0.23,1.57,53.24%,45.43
130,FA,FA Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,5977103.81,,2.60,1.08,2.05,39.55,"89,576",5.86,-10.37%,16.84%,1.39,1.22,42.67%,56.63
131,FB,FB Corp.,Consumer Goods,Auto Manufacturers,USA,4059545.67,51.98,0.80,1.49,3.79,27.66,"58,423",2.91,23.66%,16.04%,0.89,1.77,46.33%,59.82
132,FC,FC Corp.,Consumer Goods,Beverages,USA,453364.05,38.37,4.03,1.31,1.75,13.82,"102,523",8.76,0.57%,6.31%,0.70,1.75,66.62%,94.87
133,FD,FD Corp.,Consumer Goods,Electronic Equipment,USA,33209175.55,19.66,0.63,4.79,1.42,48.10,"81,201",1.92,14.00%,6.25%,0.49,1.15,14.72%,56.04
134,FE,FE Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,3050346.68,,1.60,1.90,1.48,32.90,"36,971",0.83,4.01%,7.18%,0.46,1.02,55.17%,66.73
135,FF,FF Corp.,Consumer Goods,Auto Manufacturers,USA,255085.66,10.79,,2.78,4.26,20.21,"70,649",1.18,26.93%,13.10%,0.65,0.57,18.08%,40.15
136,FG,FG Corp.,Consumer Goods,Beverages,USA,1980750.34,20.63,1.23,7.43,1.95,26.79,"320,040",3.66,-18.99%,6.93%,0.99,1.03,31.60%,48.18
137,FH,FH Corp.,Consumer Goods,Electronic Equipment,USA,1610142.46,19.24,1.50,8.34,6.91,8.25,"15,571",7.13,-8.35%,12.38%,0.26,0.79,19.40%,45.97
138,FI,FI Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,38635685.12,16.59,1.93,1.22,3.12,89.75,"50,696",3.90,2.95%,15.93%,0.68,1.22,49.76%,42.00
139,FJ,FJ Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,6837038.71,13.14,1.21,2.70,2.12,35.27,"214,376",-6.39,1.00%,4.21%,1.45,0.88,53.37%,36.46
140,FK,FK Holdings Inc.,Consumer Goods,Beverages,USA,20580577.59,190.66,,1.54,5.23,52.71,"39,154",1.70,11.49%,0.17%,0.31,0.80,64.06%,56.55
141,FL,FL Corp.,Consumer Goods,Electronic Equipment,USA,15465387.42,19.98,2.69,2.36,,15.56,"249,313",2.69,11.53%,8.72%,0.64,1.76,49.16%,59.47
142,FM,FM Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,10325441.68,19.39,,0.92,1.77,22.89,"229,213",-1.30,-7.34%,13.28%,0.53,1.27,11.44%,63.55
143,FN,FN Corp.,Consumer Goods,Auto Manufacturers,USA,5466344.98,13.05,5.14,4.22,2.06,40.79,"5,028",-0.24,-0.52%,4.18%,0.26,1.60,30.57%,75.98
144,FO,FO Holdings Inc.,Consumer Goods,Beverages,USA,2293743.08,65.63,1.94,1.09,2.00,12.90,"63,833",4.69,34.73%,18.91%,0.47,1.44,38.96%,37.61
145,FP,FP Corp.,Consumer Goods,Electronic Equipment,USA,17757236.88,22.89,1.58,1.13,2.52,21.63,"64,145",-3.70,-4.05%,5.45%,2.06,1.30,41.02%,66.40
146,FQ,FQ Corp.,Consumer Goods,Food - Major Diversified,USA,1939798.54,10.20,0.94,1.41,2.30,13.71,"1,132,620",-0.32,14.78%,15.08%,0.32,0.15,47.47%,56.70
