stationid,year,month,avgtemp,latitude,longitude,elevation,station,countryid,country
ST0100,1996,6,24.21,-78.62,-44.13,2126.3,STATION_100,CI,Australia
ST0101,1994,1,,19.3,111.37,131.9,STATION_101,US,Russia
ST0102,2005,9,4.65,-4.02,75.25,2638.6,STATION_102,CI,Russia
ST0103,2010,2,20.42,-38.88,163.56,1560.2,STATION_103,RS,Chile
ST0104,1993,2,18.39,-47.09,-53.3,92.0,STATION_104,RS,Chile
ST0105,2002,1,11.11,2.61,143.12,673.2,STATION_105,RS,Chile
ST0106,1994,4,14.59,-23.77,97.19,2861.0,STATION_106,CI,Chile
ST0107,2010,9,19.54,-7.83,-51.33,1747.0,STATION_107,CI,Chile
ST0108,1998,12,23.54,-29.25,43.8,322.4,STATION_108,AS,Russia
ST0109,2004,9,,84.69,-76.11,862.6,STATION_109,CI,United States
ST0110,2005,5,19.95,-65.98,134.78,1370.1,STATION_110,CI,Russia
ST0111,2010,5,14.53,-72.58,-139.53,62.9,STATION_111,RS,Russia
ST0112,1993,1,25.05,-28.19,-103.52,1234.8,STATION_112,AS,United States
ST0113,2016,10,17.37,16.38,-114.11,1468.4,STATION_113,CI,Australia
ST0114,2013,4,,28.65,-34.91,731.0,STATION_114,CI,United States
ST0115,2005,8,6.57,-18.49,88.28,1765.9,STATION_115,RS,Chile
ST0116,2003,4,9.88,89.87,9.69,2259.7,STATION_116,CI,Russia
ST0117,2011,3,13.81,-26.66,-4.44,707.5,STATION_117,RS,Chile
ST0118,2011,2,,39.85,-179.8,1861.5,STATION_118,AS,United States
ST0119,2006,2,11.03,24.76,-26.86,1918.9,STATION_119,RS,Australia
ST0120,2007,3,,56.35,-157.12,2845.6,STATION_120,RS,Australia
ST0121,1995,2,17.98,85.72,-105.03,2334.8,STATION_121,AS,Russia
ST0122,1999,5,11.91,70.16,155.66,2545.0,STATION_122,US,United States
ST0123,1993,3,5.16,47.62,-102.46,1471.3,STATION_123,RS,Chile
ST0124,1990,6,-0.67,35.68,129.0,556.0,STATION_124,CI,Chile
ST0125,1995,6,10.86,-29.61,109.04,2987.4,STATION_125,RS,Australia
ST0126,1990,6,19.64,-63.42,-122.71,388.1,STATION_126,AS,Russia
ST0127,2007,3,4.17,-78.73,38.06,1414.4,STATION_127,CI,United States
ST0128,2008,12,9.24,-46.46,-138.36,204.3,STATION_128,AS,Chile
ST0129,1994,6,14.05,-12.19,82.04,2831.6,STATION_129,RS,Australia
ST0130,1992,8,8.54,3.96,49.49,2894.8,STATION_130,AS,Russia
ST0131,2006,8,9.25,49.16,112.3,2158.2,STATION_131,AS,Australia
ST0132,2019,12,10.41,82.57,-7.42,1050.0,STATION_132,US,Russia
ST0133,1993,7,11.93,-68.88,149.35,763.1,STATION_133,RS,United States
ST0134,1992,2,17.33,-70.74,-162.23,795.9,STATION_134,RS,Australia
ST0135,2000,7,,16.15,-74.56,381.9,STATION_135,RS,Chile
ST0136,2003,8,14.85,44.17,77.42,1577.4,STATION_136,RS,Russia
ST0137,2006,3,15.8,62.67,-29.48,425.5,STATION_137,CI,Australia
ST0138,1997,12,18.42,78.45,-117.74,950.2,STATION_138,AS,
ST0139,2011,4,6.68,87.02,-141.4,1880.1,STATION_139,RS,Australia
ST0140,1999,2,17.33,-18.04,114.24,2182.6,STATION_140,CI,Australia
ST0141,1990,10,14.95,-21.54,-9.67,72.8,STATION_141,RS,United States
ST0142,2000,6,7.14,-63.39,137.62,1290.3,STATION_142,AS,Chile
ST0143,2008,10,8.57,33.29,83.98,1956.4,STATION_143,RS,Australia
ST0144,2001,10,,28.22,-32.5,2559.7,STATION_144,CI,United States
ST0145,2016,3,21.13,65.17,-45.54,1426.0,STATION_145,CI,Russia
ST0146,2013,1,16.74,-72.49,5.63,2907.6,STATION_146,AS,Russia
ST0147,2017,12,31.68,-0.4,140.06,796.9,STATION_147,RS,Australia
ST0148,1992,10,27.11,14.59,85.42,40.5,STATION_148,CI,Chile
ST0149,2015,12,-1.81,-46.52,-178.14,1451.3,STATION_149,US,Russia
ST0150,1992,2,23.05,-59.58,69.9,768.3,STATION_150,RS,Australia
ST0151,1993,10,6.7,64.72,151.02,2471.2,STATION_151,US,Russia
ST0152,2017,11,0.56,-79.46,75.76,698.3,STATION_152,CI,United States
ST0153,1993,1,6.18,-5.29,-116.28,931.9,STATION_153,CI,Australia
ST0154,2008,7,,-69.15,-5.93,2373.7,STATION_154,AS,Australia
ST0155,2004,1,10.85,-7.73,-129.49,2145.4,STATION_155,AS,Australia
ST0156,1993,11,12.75,86.39,-50.76,1674.2,STATION_156,RS,United States
ST0157,2010,5,19.48,-13.73,157.36,2114.8,STATION_157,CI,Australia
ST0158,2007,9,21.04,64.28,152.39,1255.9,STATION_158,CI,Australia
ST0159,2008,5,6.51,-68.88,-78.18,15.9,STATION_159,CI,United States
ST0160,2017,4,15.44,-41.17,-57.73,34.1,STATION_160,CI,Russia
ST0161,2004,4,,-17.32,36.08,1533.7,STATION_161,US,United States
ST0162,1999,9,12.19,-18.03,166.75,249.9,STATION_162,CI,Chile
ST0163,2016,9,19.72,30.85,-126.79,153.2,STATION_163,AS,United States
ST0164,1991,12,3.17,-27.95,-87.51,2896.5,STATION_164,RS,Russia
ST0165,1994,12,3.62,38.48,134.48,2577.0,STATION_165,RS,Australia
ST0166,2000,8,8.39,25.05,-2.92,456.1,STATION_166,RS,Australia
ST0167,2012,1,21.27,-18.15,143.63,2.0,STATION_167,US,United States
ST0168,2001,4,13.44,-12.28,-113.21,2825.0,STATION_168,CI,Chile
ST0169,1998,9,4.88,20.61,11.76,835.0,STATION_169,RS,United States
ST0170,2001,8,21.86,-77.39,-62.54,557.7,STATION_170,AS,Chile
ST0171,1992,8,11.05,58.03,-66.04,2074.5,STATION_171,US,United States
ST0172,2009,11,15.12,27.62,-19.12,326.7,STATION_172,CI,Chile
ST0173,2006,2,,40.74,-24.09,793.9,STATION_173,CI,Chile
ST0174,1990,9,16.3,6.65,-51.36,2925.3,STATION_174,CI,Australia
ST0175,2012,5,19.28,-70.11,149.39,1918.4,STATION_175,CI,Chile
ST0176,1990,8,21.64,-17.09,83.43,1562.0,STATION_176,US,Australia
ST0177,1996,1,23.35,-17.03,81.92,1193.8,STATION_177,AS,United States
ST0178,2009,12,8.91,-32.21,-75.63,2323.5,STATION_178,CI,United States
ST0179,2004,5,14.32,-84.61,27.98,422.9,STATION_179,US,United States
ST0180,2000,10,8.68,42.71,100.5,2902.0,STATION_180,US,United States
ST0181,2009,1,11.23,-70.24,106.41,2583.4,STATION_181,AS,United States
ST0182,2014,11,6.74,19.14,-55.97,1853.0,STATION_182,US,Australia
ST0183,2018,7,13.15,36.58,97.51,128.7,STATION_183,US,United States
ST0184,1998,5,2.12,24.26,84.92,2102.6,STATION_184,RS,Chile
ST0185,2003,3,,82.65,-129.06,2739.9,STATION_185,RS,Russia
ST0186,2014,5,1.2,-71.41,131.74,1573.7,STATION_186,AS,Australia
ST0187,2019,7,17.87,66.09,-21.12,1062.7,STATION_187,RS,Chile
ST0188,1992,4,22.06,-84.75,-4.89,360.8,STATION_188,US,Russia
ST0189,1993,11,16.64,6.29,-18.59,2264.7,STATION_189,US,Russia
ST0190,1992,4,24.69,-17.24,24.42,2655.1,STATION_190,AS,Australia
ST0191,2001,8,-2.36,4.35,43.62,300.8,STATION_191,US,Chile
ST0192,2003,9,12.32,-24.28,-0.66,2277.0,STATION_192,AS,Russia
ST0193,2006,6,1.26,-55.7,132.04,51.2,STATION_193,RS,Russia
ST0194,1998,1,3.31,-86.56,45.98,2901.2,STATION_194,RS,
ST0195,1998,9,10.43,3.27,-35.49,1845.2,STATION_195,CI,United States
ST0196,2009,6,-0.74,61.7,-29.99,1657.3,STATION_196,RS,Russia
ST0197,1998,12,15.49,-22.82,111.9,887.8,STATION_197,CI,Australia
ST0198,2016,5,18.59,-49.88,-54.65,2787.9,STATION_198,CI,Australia
ST0199,1992,8,-3.25,-75.5,-103.88,797.7,STATION_199,CI,Chile
ST0001,2005,5,6.74,-29.97,-100.3,2628.1,STATION_1   ,US,Chile
ST0002,2011,4,18.23,76.35,-143.99,2755.6,STATION_2   ,CI,Russia
