BookingNo,PackageCode,Description,Quantity,StayDate,UnitRate,GuestID,Destination
550174,PKG500,ALL-INCLUSIVE NIGHT,3,17.06.2011 02:06,24.3,72567.0,Spain
554061,CXL000,CANCELLATION FEE,1,29.07.2011 18:00,12.0,,Spain
543889,TOU210,CITY WALKING TOUR,1,10.03.2011 03:50,317.27,71296.0,Greece
548694,FNB110,BREAKFAST PACKAGE,1,18.11.2011 18:00,29.02,72151.0,Italy
544156,FEE050,RESORT FEE,3,09.01.2011 10:53,169.09,71314.0,Costa Rica
554051,TOU210,CITY WALKING TOUR,2,02.02.2011 05:39,47.95,,Thailand
541173,FEE050,RESORT FEE,4,09.07.2011 23:42,128.07,71090.0,Dominican Republic
553000,FNB110,BREAKFAST PACKAGE,1,28.03.2011 18:00,32.42,73477.0,Costa Rica
547613,SPA100,SPA TREATMENT,3,30.11.2011 18:00,43.24,71588.0,Costa Rica
552561,TIX100,PARK / ATTRACTION TICKET,4,22.01.2011 14:33,0.0,73183.0,Greece
548303,FNB220,DINNER EXPERIENCE,4,07.12.2011 18:00,64.7,71951.0,Dominican Republic
547219,HTL101,HOTEL NIGHT GARDEN VIEW,1,16.06.2011 01:56,76.5,71537.0,Italy
547140,HTL303,SUITE NIGHT,2,02.11.2011 00:47,71.03,71532.0,Costa Rica
544066,HTL202,HOTEL NIGHT OCEAN VIEW,2,24.01.2011 20:49,279.28,71309.0,Costa Rica
540083,SPA100,SPA TREATMENT,1,28.10.2011 05:00,1918.41,71007.0,Mexico
541617,FNB110,BREAKFAST PACKAGE,1,09.11.2011 19:36,44.1,71125.0,Mexico
546657,CXL000,CANCELLATION FEE,1,05.10.2011 12:23,90.65,71499.0,Dominican Republic
541279,HTL202,HOTEL NIGHT OCEAN VIEW,4,08.08.2011 16:28,58.4,71099.0,Dominican Republic
542513,TIX100,PARK / ATTRACTION TICKET,2,24.03.2011 04:51,146.24,,Mexico
545875,HTL303,SUITE NIGHT,2,16.05.2011 15:17,138.47,71440.0,France
549454,SPA100,SPA TREATMENT,1,17.05.2011 11:18,50.0,72394.0,Mexico
544288,TIX100,PARK / ATTRACTION TICKET,1,23.01.2011 14:45,223.5,71325.0,Costa Rica
546986,PKG500,ALL-INCLUSIVE NIGHT,2,16.04.2011 12:45,57.62,71521.0,Costa Rica
553855,TIX100,PARK / ATTRACTION TICKET,1,05.12.2010 15:57,9.18,74065.0,Spain
546542,TRF100,AIRPORT TRANSFER,1,27.06.2011 15:20,57.32,71491.0,Dominican Republic
551581,TRF100,AIRPORT TRANSFER,2,14.02.2011 18:27,94.14,72925.0,France
546605,CXL000,CANCELLATION FEE,1,17.02.2011 18:16,57.59,,France
552107,HTL303,SUITE NIGHT,1,07.04.2011 08:56,67.67,73060.0,Thailand
554210,FNB220,DINNER EXPERIENCE,3,06.02.2011 11:18,33.6,74299.0,Dominican Republic
553223,TOU540,SUNSET CATAMARAN,7,22.06.2011 18:00,10.99,73632.0,Dominican Republic
543647,TOU540,SUNSET CATAMARAN,4,24.01.2011 19:06,400.64,71278.0,Iceland
549768,FEE050,RESORT FEE,1,12.07.2011 00:18,46.61,72469.0,Spain
545426,TIX100,PARK / ATTRACTION TICKET,2,08.11.2011 17:39,199.44,,Costa Rica
545067,HTL202,HOTEL NIGHT OCEAN VIEW,4,24.02.2011 12:36,166.02,,Mexico
551911,TOU430,CANOPY ZIPLINE,1,21.07.2011 08:05,190.69,,Dominican Republic
541506,HTL101,HOTEL NIGHT GARDEN VIEW,1,29.11.2011 18:00,215.05,71116.0,Costa Rica
541297,TRF100,AIRPORT TRANSFER,2,06.03.2011 05:16,147.07,71101.0,USA-Orlando
544363,FNB110,BREAKFAST PACKAGE,2,25.02.2011 10:53,72.24,71331.0,Greece
547841,FEE050,RESORT FEE,7,21.11.2011 18:00,30.27,71713.0,Italy
545931,TIX100,PARK / ATTRACTION TICKET,1,26.03.2011 00:17,315.38,71444.0,Costa Rica
551707,FEE050,RESORT FEE,1,09.06.2011 08:42,102.0,72958.0,Spain
552267,CXL000,CANCELLATION FEE,1,05.07.2011 17:14,74.15,73099.0,USA-NYC
552419,CXL000,CANCELLATION FEE,1,08.08.2011 04:58,76.33,,Mexico
553840,HTL101,HOTEL NIGHT GARDEN VIEW,1,01.08.2011 18:00,35.7,74056.0,Greece
550592,TRF100,AIRPORT TRANSFER,1,25.07.2011 02:39,40.7,72680.0,Costa Rica
543689,HTL202,HOTEL NIGHT OCEAN VIEW,1,04.02.2011 22:15,78.14,,Costa Rica
549436,FNB110,BREAKFAST PACKAGE,1,19.06.2011 17:26,102.4,72389.0,France
550187,TOU540,SUNSET CATAMARAN,1,02.03.2011 00:39,58.04,72572.0,Thailand
550573,SPA100,SPA TREATMENT,2,15.03.2011 12:10,34.22,72674.0,USA-NYC
548047,FEE050,RESORT FEE,1,30.11.2011 18:00,32.63,71818.0,Mexico
541075,FEE050,RESORT FEE,1,02.12.2011 18:00,131.43,71082.0,Mexico
550656,TRF100,AIRPORT TRANSFER,3,22.08.2011 18:00,54.79,72695.0,Costa Rica
544310,TOU210,CITY WALKING TOUR,4,28.10.2011 04:17,70.47,71327.0,USA-NYC
554258,TOU320,VOLCANO DAY TRIP,1,24.12.2010 18:00,28.42,74334.0,Costa Rica
553772,HTL202,,1,07.01.2011 18:00,19.4,74009.0,USA-Orlando
546539,TRF100,AIRPORT TRANSFER,1,04.12.2011 00:22,230.55,71490.0,Japan
540458,FNB110,BREAKFAST PACKAGE,2,22.11.2011 21:23,62.0,,Mexico
544167,FNB110,BREAKFAST PACKAGE,1,09.03.2011 12:00,207.9,,Mexico
546495,SPA100,SPA TREATMENT,3,29.11.2011 18:00,145.52,71485.0,Spain
548705,FNB220,DINNER EXPERIENCE,1,24.09.2011 09:45,22.07,72158.0,Italy
541292,TIX100,PARK / ATTRACTION TICKET,4,24.07.2011 05:35,85.29,71100.0,Dominican Republic
541614,HTL303,SUITE NIGHT,3,29.04.2011 20:13,279.18,71125.0,Mexico
551922,TRF100,AIRPORT TRANSFER,1,04.07.2011 19:05,54.18,73012.0,Mexico
550587,TOU540,SUNSET CATAMARAN,1,24.06.2011 12:56,35.65,72678.0,Costa Rica
545822,TRF100,AIRPORT TRANSFER,1,22.10.2011 03:36,132.15,,Greece
548819,HTL101,HOTEL NIGHT GARDEN VIEW,2,05.12.2011 18:00,17.81,72210.0,Japan
547278,FNB110,BREAKFAST PACKAGE,1,18.06.2011 06:37,247.08,71541.0,Mexico
542985,HTL101,HOTEL NIGHT GARDEN VIEW,2,30.05.2011 03:01,79.74,71227.0,Mexico
550085,TOU430,CANOPY ZIPLINE,1,16.01.2011 01:50,123.06,,United Kingdom
548275,FNB110,BREAKFAST PACKAGE,1,13.11.2011 18:00,72.11,71937.0,Costa Rica
546401,FNB110,BREAKFAST PACKAGE,1,20.07.2011 17:15,77.2,,France
542640,TOU540,SUNSET CATAMARAN,2,07.07.2011 22:12,100.58,71200.0,Costa Rica
545939,TOU210,CITY WALKING TOUR,1,06.05.2011 06:36,132.99,,Costa Rica
545917,TIX100,PARK / ATTRACTION TICKET,1,08.05.2011 14:55,358.98,71444.0,Costa Rica
547704,HTL101,HOTEL NIGHT GARDEN VIEW,1,28.11.2011 05:20,56.13,71634.0,Spain
549934,FNB220,DINNER EXPERIENCE,3,19.07.2011 14:12,146.94,,Italy
541231,TIX100,PARK / ATTRACTION TICKET,1,26.05.2011 03:24,99.68,,France
545968,HTL101,HOTEL NIGHT GARDEN VIEW,1,25.07.2011 05:57,168.26,71447.0,Mexico
550926,FNB220,DINNER EXPERIENCE,1,09.08.2011 13:22,72.57,,France
553464,TIX100,PARK / ATTRACTION TICKET,2,02.06.2011 18:00,19.63,73802.0,Mexico
550709,FNB220,DINNER EXPERIENCE,3,06.02.2011 23:24,169.09,,Mexico
540603,FNB220,DINNER EXPERIENCE,4,12.08.2011 03:37,395.81,,Costa Rica
540799,HTL101,HOTEL NIGHT GARDEN VIEW,3,22.11.2011 09:08,118.07,71061.0,Thailand
546624,HTL303,SUITE NIGHT,1,27.08.2011 03:14,234.49,71496.0,Costa Rica
541952,HTL101,HOTEL NIGHT GARDEN VIEW,1,06.01.2011 07:24,90.08,71148.0,Dominican Republic
550737,CXL000,CANCELLATION FEE,1,08.04.2011 19:14,104.1,72715.0,Costa Rica
551781,SPA100,SPA TREATMENT,1,03.09.2011 18:00,37.04,,USA-NYC
544284,FNB110,BREAKFAST PACKAGE,7,25.02.2011 20:58,96.78,71325.0,Costa Rica
545803,TOU430,CANOPY ZIPLINE,4,31.05.2011 00:03,216.87,71436.0,Mexico
541048,FNB220,DINNER EXPERIENCE,2,29.10.2011 08:55,135.92,71080.0,Costa Rica
547919,FEE050,RESORT FEE,7,27.11.2011 18:00,34.2,71755.0,Costa Rica
553571,FNB220,DINNER EXPERIENCE,1,30.05.2011 00:37,19.65,73875.0,Iceland
547103,TOU320,VOLCANO DAY TRIP,3,03.05.2011 03:08,114.45,71529.0,Greece
543610,TOU320,VOLCANO DAY TRIP,4,09.07.2011 22:46,181.22,71275.0,Costa Rica
547918,CXL000,CANCELLATION FEE,3,30.09.2011 15:00,42.53,,Costa Rica
548314,PKG500,ALL-INCLUSIVE NIGHT,1,01.12.2011 18:00,100.18,71958.0,Costa Rica
550008,TOU430,CANOPY ZIPLINE,1,01.08.2011 18:00,52.32,72526.0,Spain
544516,TOU210,CITY WALKING TOUR,1,27.11.2011 22:07,38.3,71341.0,Thailand
548329,TOU430,CANOPY ZIPLINE,2,03.12.2011 18:00,89.73,71964.0,Japan
540759,TOU430,CANOPY ZIPLINE,1,26.07.2011 08:02,130.01,71058.0,Costa Rica
541578,TRF100,AIRPORT TRANSFER,4,04.05.2011 00:34,100.9,71123.0,United Kingdom
547487,TOU540,SUNSET CATAMARAN,2,07.10.2011 01:28,84.15,,Spain
549765,TOU320,VOLCANO DAY TRIP,2,17.02.2011 21:00,53.3,72468.0,Mexico
551160,FEE050,RESORT FEE,3,05.03.2011 03:14,62.2,72817.0,Costa Rica
542283,HTL101,HOTEL NIGHT GARDEN VIEW,1,13.09.2011 15:40,74.55,71173.0,Mexico
541901,TOU540,SUNSET CATAMARAN,1,28.11.2011 18:00,230.69,,Mexico
551718,TRF100,AIRPORT TRANSFER,1,27.07.2011 15:47,62.27,72960.0,Italy
540586,TOU320,VOLCANO DAY TRIP,1,28.07.2011 03:24,3389.89,71043.0,France
543263,HTL202,HOTEL NIGHT OCEAN VIEW,4,30.07.2011 23:51,224.15,71249.0,France
550279,TOU210,CITY WALKING TOUR,1,01.08.2011 07:04,43.34,72596.0,Costa Rica
545964,FNB220,DINNER EXPERIENCE,1,01.08.2011 16:56,64.7,71447.0,Mexico
546296,TIX100,PARK / ATTRACTION TICKET,2,11.06.2011 22:54,477.93,71471.0,Iceland
554134,FNB220,DINNER EXPERIENCE,1,02.06.2011 18:00,23.78,74248.0,USA-NYC
545132,SPA100,SPA TREATMENT,4,08.06.2011 15:41,74.16,,Spain
541277,HTL303,SUITE NIGHT,1,09.11.2011 20:04,168.15,71099.0,Dominican Republic
542078,FNB110,BREAKFAST PACKAGE,3,23.05.2011 19:32,77.09,71158.0,Peru
547006,PKG500,ALL-INCLUSIVE NIGHT,2,09.09.2011 01:24,371.16,,Costa Rica
552802,TOU210,CITY WALKING TOUR,2,02.06.2011 18:00,53.81,73340.0,Costa Rica
541005,FNB110,BREAKFAST PACKAGE,1,16.06.2011 10:24,266.12,71077.0,Costa Rica
544228,FNB110,BREAKFAST PACKAGE,1,04.01.2011 17:50,125.89,71320.0,Costa Rica
541044,PKG500,ALL-INCLUSIVE NIGHT,1,01.05.2011 03:14,499.44,,Costa Rica
547668,TOU540,SUNSET CATAMARAN,7,18.11.2011 12:34,52.48,71619.0,United Kingdom
540527,HTL101,HOTEL NIGHT GARDEN VIEW,1,30.09.2011 20:52,161.62,71039.0,USA-Orlando
549879,FNB220,DINNER EXPERIENCE,1,20.05.2011 04:05,100.63,72496.0,Mexico
545546,CXL000,CANCELLATION FEE,7,23.06.2011 22:35,40.92,,Italy
541468,TIX100,PARK / ATTRACTION TICKET,1,26.06.2011 12:59,70.47,71113.0,Costa Rica
543477,TOU430,CANOPY ZIPLINE,2,21.02.2011 20:32,65.79,71264.0,Mexico
543685,TIX100,PARK / ATTRACTION TICKET,1,11.05.2011 18:47,166.44,,Dominican Republic
545539,HTL303,SUITE NIGHT,3,01.03.2011 01:49,95.71,71416.0,United Kingdom
549266,CXL000,CANCELLATION FEE,1,22.06.2011 21:56,31.73,,Mexico
542166,TOU320,VOLCANO DAY TRIP,2,20.01.2011 11:33,110.15,,Mexico
551120,CXL000,CANCELLATION FEE,1,24.09.2011 18:00,27.63,72807.0,Spain
546519,HTL202,HOTEL NIGHT OCEAN VIEW,2,11.02.2011 18:03,163.06,71488.0,France
549864,TOU320,VOLCANO DAY TRIP,4,24.07.2011 15:57,47.74,72493.0,Mexico
540036,TIX100,PARK / ATTRACTION TICKET,3,21.09.2011 03:08,139.55,71003.0,Dominican Republic
549626,HTL303,SUITE NIGHT,2,03.06.2011 06:20,123.01,72433.0,Costa Rica
542670,HTL202,HOTEL NIGHT OCEAN VIEW,1,23.10.2011 02:19,271.15,71202.0,United Kingdom
546992,HTL101,HOTEL NIGHT GARDEN VIEW,1,27.04.2011 06:01,123.3,,Costa Rica
548779,HTL202,HOTEL NIGHT OCEAN VIEW,1,14.10.2011 12:21,59.78,72192.0,Mexico
543764,TOU430,CANOPY ZIPLINE,1,03.06.2011 16:24,63.41,,Costa Rica
543983,PKG500,ALL-INCLUSIVE NIGHT,7,07.01.2011 23:57,82.78,,United Kingdom
548214,TIX100,PARK / ATTRACTION TICKET,1,29.11.2011 18:00,50.16,71903.0,Spain
540350,TRF100,AIRPORT TRANSFER,1,27.09.2011 17:21,159.78,71028.0,Greece
546939,TOU320,VOLCANO DAY TRIP,1,16.06.2011 22:34,424.74,71517.0,Mexico
545398,FNB220,DINNER EXPERIENCE,2,28.11.2011 09:24,93.15,71406.0,Dominican Republic
544205,HTL202,HOTEL NIGHT OCEAN VIEW,2,04.11.2011 13:22,222.87,71318.0,Spain
542648,FNB220,DINNER EXPERIENCE,3,06.03.2011 00:07,121.71,71201.0,Mexico
554059,TOU540,SUNSET CATAMARAN,1,08.05.2011 18:00,17.32,74198.0,Italy
553515,HTL303,SUITE NIGHT,2,08.05.2011 18:00,9.59,73838.0,Dominican Republic
542147,TOU430,CANOPY ZIPLINE,2,09.06.2011 02:54,176.86,71162.0,Costa Rica
553826,TOU540,SUNSET CATAMARAN,2,17.05.2011 18:00,26.27,74044.0,Greece
548728,TOU210,CITY WALKING TOUR,2,03.12.2011 18:00,58.15,,USA-NYC
545056,SPA100,SPA TREATMENT,1,22.11.2011 08:37,204.27,71382.0,France
541402,TOU210,CITY WALKING TOUR,1,06.12.2011 18:00,59.74,71108.0,USA-NYC
552978,CXL000,CANCELLATION FEE,2,03.04.2011 18:00,36.25,73463.0,Peru
545638,HTL101,HOTEL NIGHT GARDEN VIEW,1,16.03.2011 23:48,78.75,71424.0,Greece
553590,HTL202,HOTEL NIGHT OCEAN VIEW,1,11.03.2011 18:00,11.44,,Italy
551340,FEE050,RESORT FEE,1,22.02.2011 05:00,97.87,,Italy
552536,FEE050,RESORT FEE,2,08.05.2011 16:18,105.27,73169.0,France
547647,CXL000,CANCELLATION FEE,1,27.11.2011 18:00,45.86,71607.0,USA-NYC
542514,SPA100,SPA TREATMENT,7,28.04.2011 00:51,69.47,71190.0,Mexico
551374,TOU430,CANOPY ZIPLINE,3,16.01.2011 03:59,54.25,72872.0,Peru
551708,FNB110,BREAKFAST PACKAGE,1,08.03.2011 18:04,50.82,72958.0,Spain
553203,TOU320,VOLCANO DAY TRIP,3,06.03.2011 18:00,28.09,73618.0,Costa Rica
549038,FNB220,DINNER EXPERIENCE,2,19.08.2011 00:06,21.6,72295.0,Costa Rica
545241,FNB110,BREAKFAST PACKAGE,2,21.09.2011 18:17,94.52,71396.0,Iceland
544869,HTL303,SUITE NIGHT,1,22.11.2011 18:00,175.4,71369.0,Costa Rica
550893,SPA100,SPA TREATMENT,4,29.04.2011 21:42,25.51,,Costa Rica
540809,SPA100,SPA TREATMENT,1,11.01.2011 20:37,114.85,71062.0,Italy
549619,CXL000,CANCELLATION FEE,1,12.08.2011 18:00,99.1,72431.0,Costa Rica
551965,HTL303,SUITE NIGHT,1,23.01.2011 00:22,66.75,,Dominican Republic
549674,FNB110,BREAKFAST PACKAGE,1,15.06.2011 14:22,69.7,72444.0,Thailand
552362,TOU210,CITY WALKING TOUR,2,13.10.2011 18:00,76.0,,Spain
545821,CXL000,CANCELLATION FEE,1,01.03.2011 16:25,133.05,71437.0,Greece
546591,FNB110,BREAKFAST PACKAGE,1,17.11.2011 11:13,63.62,,Dominican Republic
547691,CXL000,CANCELLATION FEE,1,04.10.2011 04:00,44.69,71629.0,USA-Orlando
546641,TOU540,SUNSET CATAMARAN,1,24.08.2011 22:29,111.28,71497.0,Mexico
552594,CXL000,CANCELLATION FEE,3,02.02.2011 13:23,29.88,73204.0,Spain
542703,TOU320,VOLCANO DAY TRIP,1,08.08.2011 18:03,150.14,71204.0,USA-NYC
542592,FNB110,BREAKFAST PACKAGE,1,03.01.2011 07:25,156.89,,Mexico
545020,PKG500,ALL-INCLUSIVE NIGHT,4,23.10.2011 19:21,137.36,71380.0,France
552676,FNB110,BREAKFAST PACKAGE,3,04.03.2011 10:17,29.2,73254.0,Costa Rica
540038,TOU210,CITY WALKING TOUR,1,21.07.2011 13:25,105.22,71003.0,Dominican Republic
546529,FNB110,BREAKFAST PACKAGE,1,23.07.2011 10:45,222.69,71489.0,Mexico
544194,HTL202,HOTEL NIGHT OCEAN VIEW,1,08.09.2011 11:18,44.71,71317.0,United Kingdom
545949,SPA100,SPA TREATMENT,3,28.11.2011 18:00,228.16,,Costa Rica
548787,FEE050,RESORT FEE,2,17.11.2011 13:10,54.85,72196.0,Mexico
550807,PKG500,ALL-INCLUSIVE NIGHT,1,12.06.2011 06:21,19.48,72732.0,USA-NYC
553845,HTL303,SUITE NIGHT,1,20.02.2011 01:50,21.48,,Italy
545161,CXL000,CANCELLATION FEE,2,07.02.2011 06:52,164.08,71390.0,Spain
548217,FNB220,DINNER EXPERIENCE,4,26.11.2011 18:00,72.01,71904.0,Costa Rica
546627,TRF100,AIRPORT TRANSFER,1,11.01.2011 23:26,155.6,71496.0,Costa Rica
548279,TOU540,SUNSET CATAMARAN,2,12.11.2011 18:00,40.8,71939.0,Mexico
548051,TIX100,PARK / ATTRACTION TICKET,1,05.10.2011 06:19,52.43,71821.0,Costa Rica
552571,HTL303,SUITE NIGHT,1,26.01.2011 05:39,14.33,73190.0,Japan
554033,SPA100,SPA TREATMENT,2,07.05.2011 22:57,20.11,74182.0,USA-NYC
552639,TOU320,VOLCANO DAY TRIP,1,27.12.2010 23:46,20.93,73232.0,Costa Rica
547722,HTL202,HOTEL NIGHT OCEAN VIEW,1,03.11.2011 16:24,18.26,71645.0,USA-Orlando
546163,SPA100,SPA TREATMENT,3,04.01.2011 00:50,157.48,71461.0,Costa Rica
547241,FNB220,DINNER EXPERIENCE,1,04.01.2011 08:48,67.61,71538.0,Greece
550248,TRF100,AIRPORT TRANSFER,1,27.01.2011 00:42,53.38,72589.0,Mexico
552525,PKG500,ALL-INCLUSIVE NIGHT,3,23.05.2011 11:53,33.74,73167.0,Iceland
543798,FEE050,RESORT FEE,1,18.11.2011 18:00,138.59,71290.0,Iceland
547052,PKG500,ALL-INCLUSIVE NIGHT,2,19.03.2011 02:11,262.65,71526.0,Dominican Republic
550569,TRF100,AIRPORT TRANSFER,1,18.06.2011 01:23,34.43,72673.0,Japan
551019,TOU320,VOLCANO DAY TRIP,1,17.06.2011 21:59,42.79,72783.0,Italy
540924,TIX100,PARK / ATTRACTION TICKET,3,10.10.2011 06:11,156.74,71070.0,USA-Orlando
552466,HTL101,HOTEL NIGHT GARDEN VIEW,1,06.07.2011 13:48,34.39,73151.0,Spain
544054,TOU320,VOLCANO DAY TRIP,2,17.11.2011 16:24,73.38,71309.0,Costa Rica
553950,TOU210,CITY WALKING TOUR,1,29.04.2011 18:00,23.97,74127.0,Spain
552621,TRF100,AIRPORT TRANSFER,1,27.03.2011 03:38,23.8,73221.0,Costa Rica
547331,TOU210,CITY WALKING TOUR,1,29.11.2011 16:08,109.0,71544.0,France
553301,FNB110,BREAKFAST PACKAGE,2,31.12.2010 18:00,32.64,,Thailand
548221,HTL202,HOTEL NIGHT OCEAN VIEW,1,18.10.2011 17:36,51.55,71906.0,Italy
546533,HTL202,HOTEL NIGHT OCEAN VIEW,3,16.08.2011 00:21,86.78,,Japan
540491,HTL202,HOTEL NIGHT OCEAN VIEW,7,01.05.2011 23:30,152.74,,Portugal
546553,FNB220,DINNER EXPERIENCE,3,07.03.2011 03:49,66.87,71491.0,Dominican Republic
553394,TOU320,VOLCANO DAY TRIP,1,08.03.2011 18:00,7.97,73752.0,Costa Rica
542482,HTL202,HOTEL NIGHT OCEAN VIEW,1,31.07.2011 14:42,382.09,71188.0,Costa Rica
549758,TIX100,PARK / ATTRACTION TICKET,1,12.07.2011 11:58,50.26,72466.0,Costa Rica
548301,TOU540,SUNSET CATAMARAN,1,03.12.2011 18:00,23.24,,USA-NYC
551859,FNB220,DINNER EXPERIENCE,2,22.06.2011 17:27,92.0,,Greece
548445,FNB220,DINNER EXPERIENCE,4,11.11.2011 12:24,88.58,72025.0,France
554282,FNB110,BREAKFAST PACKAGE,2,11.04.2011 18:00,33.69,74351.0,Mexico
550471,TRF100,AIRPORT TRANSFER,1,10.02.2011 08:02,32.7,72648.0,Costa Rica
540785,TOU210,CITY WALKING TOUR,1,19.01.2011 03:48,133.94,71060.0,Costa Rica
543867,TIX100,PARK / ATTRACTION TICKET,1,20.09.2011 15:59,0.0,71295.0,USA-Orlando
541295,TRF100,AIRPORT TRANSFER,1,17.11.2011 18:00,138.78,71100.0,Dominican Republic
550599,HTL101,HOTEL NIGHT GARDEN VIEW,1,15.04.2011 23:49,101.48,72682.0,Thailand
543613,TOU210,CITY WALKING TOUR,1,05.08.2011 15:49,72.64,71275.0,Costa Rica
553882,FNB110,BREAKFAST PACKAGE,1,29.03.2011 18:00,26.44,74081.0,USA-Orlando
545401,FNB110,BREAKFAST PACKAGE,4,08.08.2011 11:28,283.56,71406.0,Dominican Republic
552695,FNB110,BREAKFAST PACKAGE,1,22.04.2011 18:00,28.01,73267.0,United Kingdom
553335,TRF100,AIRPORT TRANSFER,1,26.03.2011 13:45,21.59,73709.0,Mexico
544640,TRF100,,1,06.03.2011 12:53,211.21,71351.0,Thailand
552551,TOU320,VOLCANO DAY TRIP,4,28.07.2011 18:00,19.04,73177.0,Costa Rica
549523,FNB220,DINNER EXPERIENCE,4,28.06.2011 04:02,73.95,72410.0,Costa Rica
545470,TOU430,CANOPY ZIPLINE,1,10.08.2011 10:42,79.89,,Spain
542262,PKG500,ALL-INCLUSIVE NIGHT,1,05.03.2011 11:31,119.4,71171.0,Mexico
552205,PKG500,ALL-INCLUSIVE NIGHT,1,03.08.2011 10:48,49.81,73085.0,Costa Rica
549028,TOU210,CITY WALKING TOUR,1,11.09.2011 18:00,91.36,72292.0,United Kingdom
550968,TOU210,CITY WALKING TOUR,1,09.03.2011 03:09,39.86,72771.0,Costa Rica
553636,CXL000,CANCELLATION FEE,1,18.03.2011 18:00,57.18,73917.0,Spain
548120,TRF100,AIRPORT TRANSFER,2,02.12.2011 18:00,87.65,71853.0,USA-Orlando
541257,PKG500,ALL-INCLUSIVE NIGHT,1,27.07.2011 19:31,192.79,71097.0,Spain
553872,TOU320,VOLCANO DAY TRIP,1,23.05.2011 18:00,14.72,74074.0,Spain
549927,SPA100,SPA TREATMENT,2,01.06.2011 21:50,118.42,,Italy
548659,HTL303,SUITE NIGHT,3,13.11.2011 07:13,33.24,72130.0,France
548901,TIX100,PARK / ATTRACTION TICKET,2,18.11.2011 18:00,59.53,,France
542940,HTL303,SUITE NIGHT,1,15.09.2011 02:33,3070.61,71224.0,France
541942,TOU210,CITY WALKING TOUR,1,29.09.2011 20:14,78.92,71148.0,Dominican Republic
544360,TOU320,VOLCANO DAY TRIP,7,01.07.2011 10:57,54.85,71331.0,Greece
554231,TOU210,CITY WALKING TOUR,1,24.03.2011 18:00,32.16,74314.0,Costa Rica
546143,TOU320,VOLCANO DAY TRIP,3,02.05.2011 08:23,160.17,71460.0,Costa Rica
547502,HTL202,HOTEL NIGHT OCEAN VIEW,2,11.04.2011 14:58,69.32,71556.0,Spain
553967,PKG500,ALL-INCLUSIVE NIGHT,1,25.12.2010 18:00,14.92,,France
541514,TIX100,PARK / ATTRACTION TICKET,2,20.11.2011 18:00,178.26,71117.0,Costa Rica
554060,TOU320,VOLCANO DAY TRIP,1,21.06.2011 18:00,9.52,,Dominican Republic
551645,HTL303,SUITE NIGHT,4,17.02.2011 21:37,57.18,72940.0,Dominican Republic
543292,HTL101,HOTEL NIGHT GARDEN VIEW,1,30.11.2011 17:32,315.85,71251.0,Costa Rica
544667,TRF100,AIRPORT TRANSFER,1,10.03.2011 21:26,246.0,71352.0,Italy
553156,FEE050,RESORT FEE,1,25.05.2011 22:53,12.62,73589.0,Costa Rica
554142,TRF100,AIRPORT TRANSFER,2,08.04.2011 11:39,41.68,74254.0,Mexico
541178,FNB220,DINNER EXPERIENCE,1,16.06.2011 14:51,98.79,71090.0,Dominican Republic
