booking_id,cancelled,lead_time,nights,adr,booking_value,party_size,prev_cancels,special_requests,is_weekend,online_channel,has_deposit,checkin_hour
300067,STAY,53,1,184.63,200.17,1,2,1,0,1,1,11
300068,CANCEL,32,1,65.05,73.56,3,1,1,0,0,0,20
300069,STAY,68,1,55.02,51.9,5,2,0,1,0,0,21
300070,CANCEL,41,2,58.09,113.25,4,1,0,0,1,0,18
300071,CANCEL,42,2,121.17,220.12,1,2,1,0,1,1,13
300072,CANCEL,12,2,149.31,291.15,2,0,0,0,1,0,18
300073,STAY,107,2,99.27,228.04,1,1,2,0,0,0,13
300074,STAY,29,5,111.31,560.71,1,1,1,1,1,1,13
300075,STAY,42,2,174.42,374.89,3,1,0,1,1,0,22
300076,CANCEL,121,1,226.78,254.51,2,1,1,0,1,0,12
300077,CANCEL,108,1,83.97,40.0,1,1,1,0,1,0,15
300078,STAY,85,7,62.6,446.15,4,0,3,0,1,0,21
300079,CANCEL,116,7,191.82,1351.19,3,4,1,1,1,1,14
300080,STAY,34,3,122.57,391.19,4,0,4,1,1,0,22
300081,CANCEL,30,2,104.93,213.1,2,0,1,0,0,1,18
300082,CANCEL,109,4,102.33,365.65,1,2,1,0,1,1,11
300083,STAY,71,2,81.69,172.35,1,0,0,0,0,0,19
300084,STAY,75,7,53.01,409.22,1,1,1,1,1,0,16
300085,STAY,38,5,73.5,358.88,1,1,0,1,1,0,21
300086,STAY,32,1,119.22,103.69,2,0,0,1,1,0,21
300087,CANCEL,53,5,113.62,572.97,2,0,0,0,1,0,19
300088,STAY,51,4,87.2,353.81,1,2,18,0,0,1,18
300089,STAY,101,5,62.89,292.3,1,0,1,1,0,1,17
300090,STAY,14,3,104.87,342.52,6,0,1,0,0,0,11
300091,CANCEL,105,6,89.58,580.01,2,0,1,0,1,1,17
300092,STAY,77,3,93.59,278.62,3,1,2,0,1,0,11
300093,CANCEL,38,4,112.8,429.94,1,1,1,0,1,0,19
300094,CANCEL,71,1,120.14,108.66,4,0,0,1,1,0,12
300095,CANCEL,114,2,141.35,295.77,1,0,0,1,0,0,14
300096,CANCEL,125,4,81.7,280.41,1,1,1,1,1,0,22
300097,STAY,47,4,115.89,464.52,2,0,3,0,1,0,16
300098,STAY,205,4,101.55,386.14,1,0,0,1,1,0,20
300099,CANCEL,29,3,120.59,331.59,2,0,1,1,0,0,15
300100,STAY,75,3,109.01,316.13,5,0,0,1,1,1,16
300101,CANCEL,63,3,118.06,364.93,3,1,0,1,1,0,18
300102,STAY,32,1,69.12,62.9,5,0,1,0,1,0,17
300103,CANCEL,64,7,49.59,348.22,2,0,0,1,1,0,17
300104,STAY,14,4,71.12,318.51,3,0,1,0,0,0,14
300105,STAY,64,6,61.14,363.16,1,0,4,0,1,0,14
300106,STAY,42,7,105.03,715.27,2,0,1,0,1,0,18
300107,CANCEL,54,3,101.62,304.88,2,0,1,1,1,1,13
300108,CANCEL,76,2,189.4,371.47,3,0,0,1,1,0,20
300109,CANCEL,72,2,84.46,188.08,3,1,0,1,0,0,12
300110,CANCEL,63,3,104.12,294.39,5,1,0,0,0,0,13
300111,STAY,69,2,95.66,171.64,3,0,0,1,0,0,12
300112,CANCEL,82,2,46.23,81.36,2,1,2,0,1,0,20
300113,STAY,42,3,152.42,460.01,2,0,1,0,1,0,16
300114,STAY,46,7,123.56,881.24,1,2,0,0,1,0,18
300115,STAY,64,9,52.99,494.68,3,1,0,0,1,0,10
300116,STAY,17,2,151.74,330.1,1,1,0,1,1,0,19
300117,STAY,58,4,65.92,271.41,2,0,2,1,0,0,15
300118,STAY,54,1,165.36,151.12,4,3,0,1,1,0,19
300119,STAY,31,3,81.6,247.11,4,0,1,1,1,0,12
300120,STAY,64,3,65.37,225.68,2,2,1,0,1,1,17
300121,STAY,71,4,62.48,233.92,2,1,0,1,1,0,11
300122,STAY,106,6,146.23,866.64,4,1,0,1,1,1,20
300123,CANCEL,71,2,118.35,214.77,2,1,0,0,1,0,14
300124,CANCEL,23,1,101.87,96.92,2,0,2,1,1,0,21
300125,STAY,41,2,94.19,175.92,1,0,0,1,0,0,16
300126,STAY,72,2,193.18,371.06,2,0,2,1,1,1,17
300127,STAY,54,3,50.07,141.13,2,1,2,1,1,1,10
300128,STAY,70,3,63.44,194.76,2,0,0,0,0,0,14
300129,STAY,72,4,93.9,397.8,1,0,0,1,1,0,22
300130,STAY,115,5,98.81,496.61,4,0,0,1,1,0,22
300131,STAY,30,3,106.03,320.78,1,1,0,0,1,0,18
300132,CANCEL,55,4,144.3,577.44,1,2,0,0,1,0,10
300133,STAY,85,2,115.17,226.94,2,0,0,0,1,0,20
300134,STAY,9,7,86.81,611.67,1,0,3,0,1,0,20
300135,STAY,59,3,136.2,413.5,4,1,11,0,0,0,16
300136,STAY,84,4,107.96,420.97,1,1,4,1,0,0,20
300137,STAY,33,3,55.13,162.81,1,0,0,0,0,0,22
300138,CANCEL,80,1,109.86,101.75,3,2,0,0,1,0,14
300139,STAY,36,3,58.07,184.82,4,0,1,0,1,0,12
300140,STAY,17,2,67.43,139.01,3,0,1,0,0,0,16
300141,STAY,59,2,113.34,234.53,1,1,0,0,0,0,13
300142,STAY,42,2,59.88,164.69,1,0,1,0,1,0,14
300143,STAY,51,2,123.45,233.59,2,2,0,0,1,0,13
300144,CANCEL,68,3,162.14,529.88,2,1,0,1,1,0,22
300145,CANCEL,30,4,144.71,597.91,2,1,0,1,1,0,21
300146,STAY,34,1,105.39,124.75,3,0,0,0,0,1,21
300147,STAY,46,2,116.85,237.06,3,0,2,1,1,1,13
300148,STAY,41,2,130.65,281.18,2,0,0,0,1,1,11
300149,CANCEL,90,1,120.03,138.46,1,0,1,1,1,0,20
300150,CANCEL,65,1,99.99,116.16,2,1,1,0,0,0,13
300151,STAY,32,1,111.29,68.69,4,0,2,0,1,0,17
300152,STAY,29,1,84.28,63.69,2,1,1,1,1,0,14
300153,STAY,79,3,115.69,373.66,1,0,0,0,1,0,18
300154,STAY,10,4,165.35,689.66,3,1,0,0,0,0,14
300155,CANCEL,65,4,83.67,340.75,2,0,0,0,1,0,18
300156,STAY,62,1,96.9,94.72,3,0,3,1,0,1,16
300157,STAY,90,2,71.59,150.72,1,1,0,1,1,0,20
300158,STAY,44,3,60.08,161.87,3,0,0,0,0,0,14
300159,STAY,64,3,122.06,394.87,1,1,3,0,1,0,10
300160,CANCEL,63,2,48.4,100.97,2,0,0,1,1,0,18
300161,STAY,48,3,146.96,443.79,4,1,0,0,1,0,13
300162,CANCEL,92,2,79.08,175.48,4,1,1,0,1,1,13
300163,STAY,25,1,125.57,108.09,6,1,0,0,0,0,14
300164,STAY,25,1,84.47,78.89,2,0,2,0,0,1,17
300165,STAY,16,2,83.38,182.14,1,0,0,0,1,0,10
300166,STAY,48,3,123.29,383.58,3,1,2,0,1,0,22
300167,STAY,64,4,83.71,350.72,1,0,0,0,1,0,18
300168,STAY,14,4,109.23,432.26,1,0,0,0,1,0,19
300169,STAY,41,2,39.41,70.82,3,0,1,0,0,0,14
300170,STAY,23,2,45.73,95.73,5,0,2,1,0,0,16
300171,STAY,69,2,156.98,313.63,3,1,1,0,1,0,19
300172,CANCEL,72,1,70.32,93.3,2,1,1,1,1,0,13
300173,STAY,88,2,102.31,191.45,1,2,2,0,1,0,12
300174,STAY,30,1,210.54,218.1,2,3,1,0,1,1,12
300175,STAY,68,4,57.26,242.11,4,1,1,1,1,0,17
300176,STAY,47,2,99.08,245.88,1,0,0,1,1,0,16
300177,CANCEL,43,1,78.09,60.95,3,1,0,0,1,0,21
300178,STAY,32,1,140.07,162.7,2,0,2,0,0,0,10
300179,CANCEL,89,4,130.46,541.41,1,1,0,0,1,0,10
300180,STAY,58,4,84.78,337.94,1,0,1,0,1,0,12
300181,STAY,31,2,181.98,372.27,1,1,0,1,1,0,13
300182,STAY,29,2,122.76,259.97,2,0,2,1,1,0,22
300183,STAY,19,2,60.44,118.74,3,0,1,0,1,1,19
300184,STAY,51,3,152.66,418.65,1,0,0,0,0,0,12
300185,CANCEL,34,1,69.2,68.97,3,1,3,0,0,0,21
300186,STAY,72,1,177.39,172.68,3,1,0,0,1,1,18
300187,CANCEL,95,1,210.93,189.82,1,5,2,0,1,0,21
300188,STAY,29,2,58.68,145.28,2,0,2,1,1,0,10
300189,STAY,88,5,119.08,572.22,4,0,0,0,1,1,10
300190,STAY,47,5,79.55,403.84,1,0,1,1,1,0,16
300191,CANCEL,61,1,77.13,67.28,4,0,0,0,1,0,17
300192,STAY,23,3,98.07,280.54,2,0,0,1,1,0,18
300193,STAY,47,4,116.2,459.49,1,1,0,0,1,0,11
300194,CANCEL,61,5,225.55,1118.4,1,4,0,0,1,0,17
300195,STAY,88,3,99.81,266.79,5,0,0,0,1,0,12
300196,CANCEL,67,4,112.85,431.98,2,3,0,1,1,1,14
300197,CANCEL,122,3,49.85,131.34,2,0,0,1,0,0,14
300198,CANCEL,43,8,134.85,1072.32,1,1,1,0,1,0,12
300199,CANCEL,60,2,118.23,258.01,4,1,2,0,1,0,16
300200,CANCEL,86,2,99.98,173.33,1,0,0,1,1,1,17
300201,CANCEL,68,1,100.5,77.27,2,0,0,1,1,0,16
300202,STAY,67,1,47.4,52.15,1,1,3,1,1,0,14
300203,CANCEL,28,1,125.48,123.1,1,0,1,1,0,1,15
300204,STAY,30,5,102.76,509.12,5,1,1,1,1,0,11
300205,STAY,10,4,90.04,375.01,1,0,0,1,1,1,12
300206,CANCEL,112,4,114.72,494.64,3,1,0,1,1,0,20
300207,CANCEL,92,1,91.52,103.63,2,0,1,1,1,0,18
300208,STAY,32,4,96.74,373.57,3,0,2,0,1,0,21
300209,STAY,75,1,87.19,87.15,2,0,1,0,0,0,16
300210,STAY,29,1,156.67,152.84,1,1,0,1,0,1,16
300211,CANCEL,103,4,64.15,254.35,1,1,0,0,1,0,14
300212,STAY,125,4,154.36,614.25,2,1,1,0,1,0,15
300213,CANCEL,38,2,195.91,385.97,4,1,1,0,1,1,16
300214,CANCEL,42,4,104.43,411.42,2,1,2,0,1,0,20
300215,STAY,75,2,126.76,255.41,2,2,1,1,0,0,21
300216,CANCEL,32,2,175.07,375.03,5,1,1,0,1,0,11
300217,STAY,44,3,77.56,242.25,1,1,1,1,1,0,15
300218,CANCEL,102,2,88.23,200.86,2,0,0,1,1,0,22
300219,CANCEL,75,2,86.87,176.44,2,1,0,1,1,0,14
300220,CANCEL,39,3,139.2,427.32,1,4,1,0,1,0,11
300221,STAY,31,7,152.85,1051.64,1,0,1,0,1,0,18
300222,STAY,41,2,158.81,320.28,3,2,0,0,1,0,22
300223,STAY,54,3,110.81,351.24,1,0,4,0,1,0,13
300224,STAY,47,4,91.21,355.42,2,0,0,0,1,0,11
300225,STAY,41,1,87.12,94.8,2,0,0,0,1,0,15
300226,CANCEL,70,5,143.12,723.95,2,0,0,1,1,0,13
300227,STAY,11,2,64.31,105.04,1,1,18,1,1,0,20
300228,STAY,29,2,67.74,130.34,1,0,0,0,0,0,22
300229,CANCEL,44,5,68.25,372.05,1,2,0,1,1,0,15
300230,STAY,65,5,91.74,421.98,2,0,1,0,1,1,18
300231,STAY,20,3,64.31,214.25,5,0,4,0,0,0,16
300232,STAY,51,1,117.01,121.72,1,0,0,1,0,0,18
300233,STAY,78,3,158.23,516.0,4,0,0,1,1,0,22
300234,STAY,39,5,68.82,339.86,1,0,2,1,1,0,18
300235,CANCEL,41,1,146.53,162.52,2,1,1,0,1,1,13
300236,CANCEL,87,5,119.23,579.3,1,2,1,0,1,0,20
300237,CANCEL,46,3,111.9,354.7,3,0,1,1,0,1,20
300238,STAY,14,3,102.6,322.72,1,0,1,0,1,0,13
300239,STAY,19,3,54.89,157.51,3,0,0,1,1,1,19
300240,STAY,52,4,80.78,338.73,2,0,1,0,0,0,22
300241,STAY,106,4,60.43,248.42,2,1,1,0,1,0,16
300242,CANCEL,55,2,109.58,204.39,1,0,0,0,1,1,17
300243,CANCEL,50,1,81.79,78.48,1,2,2,1,1,0,19
300244,STAY,66,1,101.3,67.21,1,1,0,0,0,0,17
300245,STAY,54,3,37.65,99.61,2,0,0,0,1,0,13
300246,CANCEL,35,2,91.03,170.86,2,0,0,1,1,0,22
300247,STAY,53,3,93.04,309.09,1,0,1,0,1,1,16
300248,STAY,22,9,75.24,667.25,2,1,0,1,0,1,14
300249,STAY,48,4,140.93,573.57,1,1,0,0,1,0,16
300250,STAY,94,3,115.77,356.38,3,0,1,0,1,0,14
300251,STAY,141,1,95.42,119.66,1,0,1,1,1,1,21
300252,STAY,45,4,111.58,437.22,2,0,0,0,1,1,10
300253,STAY,34,1,96.71,99.5,1,1,2,1,0,0,15
300254,STAY,43,4,136.3,529.11,1,1,1,0,1,0,20
300255,STAY,64,6,56.49,348.27,3,1,1,1,0,1,22
300256,STAY,67,2,58.8,136.59,5,1,0,1,1,0,10
300257,STAY,37,2,76.39,168.08,1,1,0,1,1,0,15
300258,STAY,41,3,157.75,452.87,1,1,1,0,1,0,18
300259,STAY,69,2,128.94,225.71,3,1,2,0,1,0,22
300260,STAY,40,1,172.71,156.56,2,0,1,0,0,0,19
300261,STAY,23,2,189.15,368.06,4,2,1,1,1,0,20
300262,CANCEL,52,2,67.38,146.24,3,3,1,0,0,0,22
300263,CANCEL,37,2,101.87,212.18,1,1,0,0,1,1,17
300264,STAY,65,1,85.84,97.17,1,0,1,1,1,1,17
300265,STAY,28,2,97.08,151.03,2,1,0,0,0,0,15
300266,CANCEL,49,5,108.34,539.09,7,1,1,1,1,0,10
300267,CANCEL,70,4,100.75,412.78,1,1,0,1,1,0,13
300268,CANCEL,60,1,88.08,82.88,3,0,1,1,1,0,11
300269,STAY,28,2,103.2,184.66,1,1,0,0,1,0,12
300270,STAY,61,6,80.24,465.93,5,1,1,0,1,1,10
300271,STAY,70,1,142.5,182.07,2,0,0,1,1,0,17
300272,CANCEL,25,2,90.6,178.54,4,3,0,0,0,0,15
300273,CANCEL,60,2,113.94,236.57,2,0,1,1,0,1,18
300274,STAY,35,5,102.57,500.02,2,0,1,0,1,0,12
300275,STAY,36,2,70.48,134.26,1,0,1,1,1,1,13
300276,STAY,48,5,78.83,384.51,1,2,1,0,0,0,17
300277,CANCEL,77,7,136.93,965.47,1,1,1,0,1,0,19
300278,STAY,55,3,207.93,619.04,1,1,1,1,1,0,12
300279,CANCEL,81,1,95.08,83.67,2,0,1,1,1,1,19
300280,CANCEL,44,1,99.11,67.7,2,1,2,1,1,0,17
300281,STAY,48,2,86.46,163.59,1,1,2,0,0,1,18
300282,STAY,84,2,47.66,85.65,2,0,1,1,1,0,12
300283,STAY,22,3,82.14,208.14,3,0,0,1,0,0,20
300284,CANCEL,41,1,87.86,67.33,1,0,1,1,1,0,11
300285,STAY,32,6,181.14,1049.52,3,0,1,1,1,0,16
300286,CANCEL,63,1,133.99,138.0,2,3,0,0,1,0,16
300287,STAY,23,1,102.31,108.78,2,0,0,0,1,0,22
300288,STAY,35,6,79.51,494.95,1,0,1,0,1,0,16
300289,CANCEL,71,1,90.52,89.13,1,0,0,1,0,0,12
300290,STAY,79,5,117.44,599.23,1,1,1,0,0,0,14
300291,CANCEL,47,2,88.81,184.74,5,1,3,1,1,0,13
300292,CANCEL,76,1,127.43,117.54,3,1,0,0,1,0,15
300293,CANCEL,32,2,165.86,338.14,1,0,1,0,1,0,20
300294,STAY,63,4,51.46,196.63,2,0,0,1,1,0,12
300295,STAY,68,5,110.99,528.52,1,1,2,0,0,0,13
300296,CANCEL,84,3,199.3,616.88,2,1,0,0,1,0,12
300297,CANCEL,51,3,46.74,164.77,1,1,0,0,1,0,16
300298,STAY,36,3,159.52,488.45,1,1,0,0,1,1,21
300299,STAY,47,1,214.78,213.93,1,2,2,1,1,0,10
300300,CANCEL,65,3,162.94,472.38,1,2,0,0,1,0,15
300301,STAY,46,1,82.01,83.77,1,1,0,1,0,0,22
300302,STAY,41,3,122.16,344.26,3,0,0,0,1,0,15
300303,STAY,17,5,95.25,468.57,2,1,1,0,0,1,21
300304,STAY,78,1,72.06,77.19,5,0,1,1,0,0,10
300305,CANCEL,136,4,103.45,387.42,2,0,0,0,1,0,20
300306,STAY,45,1,138.23,104.8,1,0,0,0,0,0,21
300307,STAY,33,1,145.53,133.48,4,0,0,0,1,0,22
300308,STAY,85,1,120.78,83.41,3,1,0,0,0,0,14
300309,CANCEL,53,2,96.14,180.54,2,2,0,0,1,0,19
300310,STAY,40,5,77.04,390.14,2,1,2,0,1,0,10
300311,CANCEL,72,5,208.18,1024.09,1,1,0,0,1,0,14
300312,STAY,58,4,38.28,167.19,2,0,3,0,0,1,19
300313,CANCEL,85,2,82.19,189.45,2,0,0,0,1,0,22
300314,STAY,15,3,41.16,141.35,2,1,2,1,0,1,18
300315,STAY,27,4,59.74,243.11,2,1,1,0,1,0,17
300316,CANCEL,63,7,79.84,548.95,3,2,2,0,1,1,13
300317,STAY,41,3,77.2,247.76,2,2,1,1,1,0,18
300318,STAY,74,3,138.05,372.39,4,0,0,1,0,0,20
300319,STAY,69,5,99.03,486.75,3,0,1,1,0,0,10
300320,CANCEL,45,2,93.15,166.52,1,0,0,0,0,0,20
300321,STAY,33,2,114.03,205.27,3,1,2,0,1,0,18
300322,STAY,32,5,274.92,1398.54,1,1,1,0,1,1,22
300323,CANCEL,42,1,82.04,85.13,2,2,1,0,1,0,18
300324,CANCEL,125,5,84.27,403.87,2,1,0,1,1,1,20
300325,STAY,73,3,108.77,289.85,1,0,0,0,0,0,16
300326,STAY,39,3,77.46,243.23,2,1,0,0,1,0,21
300327,CANCEL,79,1,49.88,45.01,1,1,0,0,1,0,18
300328,CANCEL,43,1,84.11,77.21,1,1,0,0,0,1,15
300329,STAY,63,2,220.59,426.3,1,0,2,0,1,1,20
300330,CANCEL,57,2,126.14,255.31,4,0,1,1,1,0,10
300331,STAY,76,3,95.71,292.78,3,0,0,0,1,1,17
300332,CANCEL,56,1,51.26,40.0,1,0,0,1,1,0,15
300333,CANCEL,96,3,180.95,534.54,2,2,0,0,1,0,13
300334,STAY,34,4,123.64,487.63,1,1,3,0,1,1,17
300335,CANCEL,49,1,103.88,81.26,1,3,0,0,0,1,10
300336,CANCEL,45,1,138.4,125.83,1,0,1,0,1,0,10
300337,STAY,87,1,93.58,125.39,1,0,0,1,1,0,14
300338,STAY,24,4,78.34,284.51,1,0,2,0,0,0,18
300339,STAY,37,1,112.22,109.9,2,0,1,0,1,0,20
300340,STAY,74,2,73.4,170.56,1,3,2,1,1,0,16
300341,STAY,62,1,101.58,124.7,1,0,0,0,1,0,12
300342,STAY,24,1,92.41,112.64,4,1,2,0,1,0,22
300343,CANCEL,23,2,89.69,178.9,1,0,3,0,1,1,21
300344,STAY,71,1,168.27,175.38,2,0,1,1,1,0,21
300345,STAY,41,4,51.06,247.15,2,1,1,0,0,0,21
300346,CANCEL,66,2,82.7,135.2,1,0,0,1,0,0,12
300347,STAY,69,2,111.93,178.68,2,1,1,0,0,0,14
300348,STAY,27,1,132.11,116.1,1,1,2,0,0,1,20
300349,STAY,56,3,171.17,509.72,1,0,0,1,0,1,14
300350,STAY,24,2,131.84,277.87,2,1,1,0,0,0,20
300351,STAY,90,3,169.96,490.31,1,0,2,1,1,0,16
300352,STAY,43,1,157.33,130.14,2,1,1,0,0,0,13
300353,STAY,60,3,113.82,327.23,2,3,0,1,1,1,11
300354,STAY,52,1,96.42,97.8,3,0,0,0,0,1,21
300355,STAY,46,3,81.46,236.35,3,0,1,0,1,0,18
300356,STAY,52,2,89.13,171.89,2,1,2,1,0,0,18
300357,STAY,34,5,78.22,405.32,1,0,2,0,1,0,16
300358,STAY,91,1,181.76,160.76,2,0,2,0,0,1,19
300359,CANCEL,22,3,103.17,288.51,3,1,0,1,0,0,22
300360,STAY,52,3,70.19,207.95,2,2,3,1,1,1,15
300361,CANCEL,40,2,74.58,155.57,2,1,0,1,1,1,17
300362,STAY,47,6,80.49,511.95,2,0,0,0,0,1,19
300363,STAY,58,1,148.55,146.59,3,0,2,0,1,0,20
300364,CANCEL,41,3,91.54,290.1,3,2,0,1,1,0,22
300365,STAY,62,2,67.13,169.79,3,2,0,0,1,0,13
300366,STAY,19,2,97.26,223.89,2,0,1,0,0,1,13
300367,STAY,50,3,81.57,236.09,2,0,1,1,1,0,18
300368,STAY,26,3,63.56,200.9,1,0,0,1,1,1,19
300369,CANCEL,128,3,173.33,485.82,2,1,0,0,1,0,12
300370,CANCEL,21,3,129.81,382.21,1,1,1,0,1,0,14
300371,STAY,67,2,164.44,338.14,1,0,1,0,0,0,21
300372,STAY,84,7,77.53,571.42,1,0,2,0,0,1,22
300373,STAY,18,3,91.97,279.84,3,2,2,0,0,0,16
300374,STAY,22,1,110.94,141.13,3,0,0,0,1,0,19
300375,CANCEL,104,8,66.41,544.28,1,3,0,1,1,1,20
300376,STAY,52,2,76.37,165.65,1,0,3,1,1,0,17
300377,STAY,54,1,110.4,124.64,3,1,1,1,1,1,20
300378,CANCEL,110,3,96.82,259.88,1,0,1,0,0,0,18
300379,STAY,116,6,140.31,859.35,1,3,2,0,0,1,16
300380,STAY,70,4,131.89,526.2,3,1,0,1,1,0,12
300381,CANCEL,87,3,83.88,261.35,3,0,1,0,0,1,19
300382,STAY,88,1,107.5,116.69,2,1,0,1,1,1,13
300383,CANCEL,49,1,107.78,95.84,1,1,0,0,1,0,22
300384,STAY,63,5,117.5,574.16,1,2,0,0,1,0,12
300385,CANCEL,49,1,125.92,126.8,1,1,0,1,1,0,21
300386,CANCEL,67,2,134.8,256.35,1,1,0,1,0,0,22
300387,STAY,41,3,51.26,153.64,2,3,1,1,1,0,22
300388,STAY,36,1,57.23,59.8,3,1,0,1,1,0,22
300389,STAY,67,5,48.92,230.42,4,2,1,1,1,0,19
300390,STAY,52,5,142.42,701.7,2,0,1,1,0,1,15
300391,STAY,60,1,90.6,74.88,2,0,0,0,1,0,14
300392,CANCEL,57,4,170.65,689.34,1,0,0,1,1,0,17
300393,STAY,35,6,134.89,798.76,1,1,0,1,1,0,22
300394,STAY,92,2,81.73,178.53,2,1,1,1,0,0,21
300395,STAY,55,1,162.67,146.03,1,1,0,0,0,0,11
300396,STAY,24,5,74.05,375.55,1,1,1,1,1,1,17
300397,CANCEL,35,1,84.32,86.94,3,1,0,0,1,0,22
300398,CANCEL,95,5,61.58,274.11,1,1,0,0,0,0,14
300399,STAY,19,4,123.08,488.39,1,0,1,0,0,0,21
300400,STAY,24,5,51.16,299.31,1,0,0,0,1,1,17
300401,CANCEL,64,1,172.07,180.24,1,1,0,1,1,0,20
300402,CANCEL,57,3,174.97,518.75,4,3,1,1,1,0,12
300403,CANCEL,77,3,204.9,621.4,1,1,2,0,1,0,10
300404,STAY,70,1,82.29,62.57,5,0,0,0,1,1,18
300405,STAY,62,4,118.25,462.35,1,0,1,0,1,0,15
300406,STAY,46,3,68.67,225.14,1,1,11,0,0,1,15
300407,CANCEL,30,3,122.94,378.66,3,0,0,0,1,0,11
300408,STAY,69,4,58.01,222.77,1,0,0,1,1,0,10
300409,STAY,113,4,88.71,347.33,1,0,3,1,1,0,13
300410,STAY,67,1,52.53,42.69,1,0,0,0,1,1,12
300411,CANCEL,69,2,115.71,238.35,1,1,2,1,1,1,15
