session_id,booked,page_views,session_min,scroll_depth,mobile,promo,repeat_visitor,price_shown
80183,0,9,4.98,37.2,0,1,1,163.1
80184,1,2,4.14,36.7,0,0,0,141.73
80185,1,15,6.92,67.7,0,0,0,209.83
80186,0,8,18.57,144.2,0,0,1,161.33
80187,0,7,7.71,64.6,0,0,0,221.58
80188,0,2,6.26,46.2,1,0,0,145.85
80189,0,5,26.86,214.8,1,0,1,193.88
80190,0,5,18.35,145.8,1,0,1,237.44
80191,1,9,16.71,126.4,0,1,0,153.62
80192,0,3,2.02,14.9,1,0,1,295.0
80193,1,7,18.44,147.6,0,0,1,201.69
80194,0,6,3.02,29.8,1,0,0,191.63
80195,0,7,5.1,31.1,0,0,1,223.55
80196,0,4,5.7,31.7,1,0,1,263.09
80197,0,9,23.08,182.7,1,1,1,102.04
80198,0,6,5.75,50.7,1,0,0,111.94
80199,0,4,4.48,37.3,1,0,0,122.29
80200,0,2,4.76,35.9,0,1,1,282.96
80201,0,9,12.37,93.2,0,0,0,189.65
80202,0,3,1.52,13.5,1,1,0,243.02
80203,1,4,4.65,44.5,0,1,0,174.83
80204,0,5,11.12,93.3,1,0,0,219.99
80205,0,8,30.65,250.2,0,0,1,198.66
80206,0,3,7.42,63.8,0,0,0,237.18
80207,1,8,28.46,229.5,0,1,1,181.81
80208,1,8,8.48,70.9,0,1,1,177.65
80209,1,9,14.5,115.2,1,1,0,140.08
80210,0,11,6.36,53.2,1,0,0,256.56
80211,1,17,7.39,59.7,1,1,1,146.25
80212,0,5,10.89,95.9,0,0,0,234.25
80213,0,4,17.09,136.6,1,1,1,184.33
80214,0,9,3.52,26.1,0,1,0,72.02
80215,0,15,11.14,86.0,0,1,1,213.1
80216,1,5,3.09,22.6,1,0,0,180.34
80217,0,8,13.88,110.2,1,0,1,193.56
80218,1,5,2.45,27.4,0,1,0,112.05
80219,0,8,4.73,32.0,0,1,1,191.23
80220,1,4,12.92,112.8,1,1,0,160.68
80221,0,4,18.8,151.4,1,0,0,240.86
80222,0,6,2.53,22.3,1,0,1,85.26
80223,0,8,3.84,36.0,1,1,0,191.02
80224,0,9,4.86,34.8,0,0,0,173.01
80225,0,7,3.94,29.8,1,1,0,234.87
80226,0,9,14.3,117.2,0,0,0,209.74
80227,0,5,6.18,49.2,0,0,0,205.82
80228,1,6,4.8,43.7,1,1,1,274.89
80229,0,11,5.98,43.7,0,0,0,132.69
80230,0,10,4.26,29.9,1,1,0,201.74
80231,0,7,8.64,62.8,0,0,1,186.5
80232,0,7,3.78,33.3,0,0,0,194.21
80233,0,6,6.25,55.6,1,0,0,149.76
80234,1,6,4.96,35.7,0,1,0,167.31
80235,1,12,4.1,35.1,1,0,1,225.75
80236,0,9,9.0,78.7,0,0,1,139.57
80237,0,9,2.99,20.0,1,0,1,209.5
80238,1,5,3.31,20.1,0,0,1,260.6
80239,0,4,16.59,146.4,0,0,1,181.31
80240,0,8,6.87,63.7,0,1,0,230.16
80241,0,6,14.52,122.1,0,0,0,239.41
80242,1,3,12.8,94.8,0,0,1,49.0
80243,0,7,9.8,68.7,1,0,0,150.95
80244,0,4,8.46,66.8,1,1,1,101.69
80245,0,7,11.82,89.0,1,0,0,55.82
80246,0,10,2.17,17.0,1,0,0,222.58
80247,0,9,3.9,21.5,1,0,0,136.37
80248,0,3,7.24,56.1,1,0,0,222.77
80249,0,10,2.85,21.4,0,1,0,187.23
80250,0,6,16.84,135.2,0,1,1,273.43
80251,1,16,19.86,162.4,0,1,1,143.88
80252,0,3,2.03,18.2,1,0,0,99.56
80253,0,9,4.56,37.9,0,1,0,187.09
80254,1,6,5.4,45.3,0,0,0,168.24
80255,0,8,2.79,12.4,1,0,0,177.48
80256,0,1,6.06,53.9,1,0,1,228.56
80257,1,12,7.65,52.9,1,0,0,148.12
80258,1,12,5.2,56.3,1,1,1,211.36
80259,0,9,17.56,151.0,0,1,0,259.7
80260,0,2,4.46,26.1,1,1,1,194.72
80261,1,7,29.11,232.7,1,0,0,176.5
80262,0,8,4.56,29.3,0,0,1,240.35
80263,0,7,2.79,26.3,1,0,1,187.27
80264,0,5,8.87,79.7,0,0,0,236.72
80265,0,9,7.07,63.0,0,0,0,196.25
80266,0,5,4.89,44.8,1,0,1,223.75
80267,0,10,7.91,61.7,1,0,0,239.68
80268,0,9,7.24,62.0,1,0,1,191.09
80269,0,4,3.87,40.2,0,1,0,149.18
80270,0,10,4.16,24.6,1,0,0,212.21
80271,0,3,35.34,286.2,1,0,1,54.6
80272,0,3,2.09,15.1,1,0,1,239.7
80273,0,8,4.23,36.2,0,0,1,154.86
80274,0,14,4.51,32.5,1,1,0,276.43
80275,0,1,2.78,18.5,1,0,0,192.07
80276,0,5,6.72,61.7,0,1,0,276.66
80277,0,7,4.3,24.8,1,0,0,187.58
80278,1,8,10.35,83.2,1,1,1,208.04
80279,0,10,5.67,48.2,0,0,1,167.54
80280,0,2,6.69,52.1,0,0,1,155.79
80281,0,7,11.78,91.7,1,0,0,162.26
80282,0,8,9.78,82.4,1,0,0,200.98
80283,0,6,6.57,48.1,1,0,0,197.28
80284,0,11,21.49,171.3,1,0,1,260.47
80285,0,5,12.5,97.7,0,1,0,305.42
80286,0,5,3.59,29.3,1,0,0,176.44
80287,0,4,19.03,162.7,0,0,0,301.53
80288,0,8,14.47,123.0,0,0,0,204.34
80289,0,6,5.78,36.7,0,0,0,179.12
80290,0,8,5.91,46.0,0,0,0,208.68
80291,1,7,5.39,34.5,1,1,0,215.79
80292,0,7,15.56,126.2,1,1,0,191.64
80293,1,11,4.65,26.0,1,0,0,71.41
80294,1,8,8.54,70.9,1,1,1,183.43
80295,0,7,14.57,113.5,0,0,0,266.04
80296,0,6,4.43,38.1,1,0,0,280.45
80297,0,5,7.02,46.0,0,0,0,214.68
80298,0,9,5.18,48.6,1,0,1,213.0
80299,0,4,9.33,74.6,0,0,0,235.96
80300,1,8,6.73,54.0,1,1,0,246.8
80301,0,5,5.63,35.8,1,1,0,214.27
80302,0,6,5.08,35.5,1,0,1,124.92
80303,0,7,7.61,66.1,1,0,1,149.34
80304,0,4,6.0,56.8,1,0,0,214.64
80305,0,8,3.88,36.6,1,1,0,179.02
80306,0,11,3.88,25.0,1,0,0,187.73
80307,0,15,4.86,38.4,1,0,1,202.58
80308,0,5,12.76,103.4,1,0,1,174.97
80309,1,11,13.41,96.4,1,0,1,131.03
80310,0,9,4.51,37.3,1,1,0,197.28
80311,0,3,2.65,13.7,1,0,1,231.51
80312,1,15,2.74,30.9,0,0,0,272.44
80313,1,9,9.42,72.8,0,0,1,162.63
80314,0,12,12.77,106.9,0,0,1,252.29
80315,0,13,11.41,91.5,0,1,0,219.44
80316,1,9,6.53,53.9,1,0,1,289.87
80317,0,4,4.59,42.7,1,0,1,184.13
80318,0,1,10.33,88.8,0,0,0,199.8
80319,0,6,4.62,33.0,1,1,1,175.14
80320,0,6,6.5,52.8,1,0,1,232.99
80321,0,4,5.42,49.2,1,1,0,268.35
80322,1,3,10.4,78.8,1,1,0,201.69
80323,0,4,1.7,14.0,0,0,1,180.44
80324,0,5,7.55,57.0,1,0,1,167.88
80325,0,17,11.84,96.3,1,0,0,180.17
80326,0,5,3.43,32.4,1,0,0,173.63
80327,0,7,11.85,92.8,0,1,0,303.84
80328,0,2,2.3,13.7,1,0,1,165.43
80329,1,11,15.15,115.1,1,0,0,94.95
80330,0,7,2.45,23.1,1,1,0,96.75
80331,0,4,0.68,10.0,1,0,0,176.13
80332,0,5,2.04,26.8,1,0,0,197.89
80333,1,6,13.6,105.8,1,0,0,211.13
80334,0,9,10.45,76.6,0,0,1,293.64
80335,1,9,15.13,121.9,0,1,0,153.31
80336,0,5,4.5,42.0,0,0,0,187.16
80337,0,5,6.57,59.1,0,1,0,243.74
80338,0,8,5.28,41.0,0,1,0,91.04
80339,0,12,6.75,46.3,1,0,1,216.88
80340,0,4,7.42,53.5,0,0,0,255.5
80341,0,5,8.1,67.0,1,0,1,224.94
80342,1,16,4.01,31.5,0,0,1,91.32
80343,0,15,7.49,58.7,1,0,1,216.84
80344,1,4,29.6,237.1,1,0,0,123.69
80345,0,6,15.3,122.4,1,0,0,174.96
80346,0,10,6.77,56.2,1,0,0,162.61
80347,1,9,8.84,73.8,1,1,0,226.21
80348,1,6,4.02,26.8,1,1,0,257.81
80349,0,8,9.55,70.6,1,0,0,158.51
80350,0,7,7.65,56.1,1,1,0,163.17
80351,1,11,12.01,100.6,1,1,1,186.39
80352,0,13,16.09,128.9,0,0,0,213.15
80353,0,4,4.7,42.8,0,0,0,242.63
80354,0,8,4.36,39.1,0,0,1,165.33
80355,0,7,9.94,64.1,1,1,1,223.93
80356,0,4,3.87,32.8,0,0,0,145.94
80357,0,9,2.6,11.9,1,1,0,292.75
80358,1,7,8.92,76.6,1,0,1,167.08
80359,1,8,3.66,30.1,0,0,0,236.96
80360,0,5,19.5,157.4,0,1,0,256.74
80361,0,8,4.36,35.0,1,1,0,232.42
80362,0,2,11.1,81.2,1,0,0,86.56
80363,1,12,10.02,84.7,1,1,0,174.0
80364,0,2,12.78,106.5,1,0,0,196.89
80365,0,3,3.14,9.8,1,0,0,123.88
80366,0,6,1.03,11.6,1,0,0,94.99
80367,1,10,13.14,107.1,0,1,0,274.44
80368,0,5,2.6,17.7,0,0,0,230.1
80369,1,4,11.69,88.6,0,0,1,167.88
80370,0,5,2.96,16.8,1,0,0,131.28
80371,0,6,1.86,18.0,1,0,0,264.44
80372,0,4,2.93,24.5,1,0,0,239.42
80373,1,16,4.39,32.1,0,0,1,81.13
80374,0,6,5.14,31.3,1,0,0,257.84
80375,0,7,3.94,37.7,0,0,0,207.98
80376,0,3,11.44,100.0,1,0,0,176.9
80377,1,11,5.09,42.6,1,0,1,240.66
80378,0,13,15.55,129.8,0,1,0,209.39
80379,0,7,12.05,91.6,1,0,0,252.03
80380,1,9,8.71,72.8,1,0,1,194.91
80381,0,5,23.55,192.0,0,0,1,116.54
80382,1,6,16.85,138.9,0,0,1,294.04
80383,0,5,5.29,45.4,1,1,1,313.48
80384,0,9,8.11,71.9,0,0,0,118.83
80385,0,5,2.06,18.0,0,0,0,287.6
80386,0,5,5.33,37.9,1,0,1,175.61
80387,0,9,12.77,92.5,0,0,0,209.97
80388,0,5,12.08,96.4,0,0,0,52.59
80389,0,5,5.24,47.1,1,0,0,162.96
80390,1,9,12.22,93.9,0,1,0,219.98
80391,0,7,6.96,58.0,1,0,0,172.18
80392,0,6,3.21,35.2,0,0,0,253.84
80393,0,7,23.74,190.8,0,0,1,231.24
80394,1,8,4.5,30.1,0,1,0,255.23
80395,0,8,12.78,102.4,1,0,0,155.98
80396,0,11,1.24,3.1,0,0,0,208.97
80397,1,6,14.15,115.5,0,0,1,167.86
80398,0,14,6.25,50.6,0,1,0,243.27
80399,1,6,8.85,73.8,0,0,1,98.86
80400,0,7,1.93,9.9,1,0,0,138.86
80401,0,9,2.4,24.4,0,0,0,95.84
80402,0,4,3.06,25.8,1,0,1,171.58
80403,0,9,14.75,105.2,0,1,0,222.42
80404,0,12,16.44,130.7,1,1,0,182.75
80405,1,9,9.63,70.3,0,1,1,330.93
80406,0,10,4.2,36.7,0,0,0,290.59
80407,1,8,12.71,107.4,1,1,0,142.17
80408,0,4,1.78,13.3,1,0,0,174.06
80409,0,4,4.44,28.6,1,0,1,126.04
80410,0,15,7.84,58.3,1,0,0,118.81
80411,0,7,10.92,86.6,0,0,0,157.5
80412,0,7,11.3,96.7,1,0,0,225.59
80413,0,12,7.1,69.4,1,0,0,295.53
80414,0,6,6.42,41.9,1,0,1,195.82
80415,0,7,2.25,19.5,1,1,1,208.49
80416,0,8,10.09,85.8,0,0,1,175.9
80417,0,9,3.78,24.1,1,0,0,213.28
80418,0,6,4.48,32.3,0,0,0,201.83
80419,0,3,4.58,54.3,1,0,0,141.42
80420,0,7,6.61,65.1,1,0,1,171.33
80421,0,3,3.92,34.7,1,1,0,123.43
80422,0,9,7.32,59.6,0,0,1,131.73
80423,0,9,13.17,100.6,1,0,0,205.13
80424,0,6,14.17,115.2,0,0,1,272.79
80425,0,8,11.93,91.7,0,1,1,190.93
80426,0,9,1.3,3.2,1,0,0,105.48
80427,0,6,2.34,13.5,1,0,0,217.99
80428,0,4,14.77,121.1,0,0,0,258.39
80429,0,3,1.57,5.1,0,0,0,212.75
80430,1,11,16.58,137.0,1,1,0,235.42
80431,0,4,6.19,49.5,1,1,1,199.49
80432,0,6,7.1,60.4,0,0,0,289.69
80433,0,10,31.27,258.8,1,0,1,233.29
80434,0,5,7.56,59.4,1,0,1,170.83
80435,0,8,8.88,65.1,1,1,0,110.68
80436,0,4,12.05,93.9,1,0,0,179.49
80437,1,7,6.71,53.5,0,0,0,232.71
80438,0,10,2.82,30.7,0,1,1,192.97
80439,1,6,5.01,48.5,0,1,1,241.24
80440,1,9,16.78,128.9,1,1,0,241.88
80441,0,6,7.19,54.3,1,1,0,207.09
80442,0,10,7.3,66.0,1,0,1,325.65
80443,0,7,14.63,113.8,1,0,0,129.43
80444,1,5,4.88,34.5,1,0,0,87.06
80445,1,6,34.54,276.3,0,1,0,161.9
80446,0,9,5.58,36.6,1,0,0,182.73
80447,0,4,5.37,40.7,1,0,0,193.83
80448,0,7,4.82,26.5,0,0,0,145.6
80449,0,8,8.55,71.2,1,0,0,135.15
80450,1,11,26.11,208.8,0,0,1,182.95
80451,0,9,2.25,18.5,1,0,0,142.88
80452,0,5,3.49,19.4,1,1,1,193.59
80453,0,5,1.35,0.0,1,1,0,226.34
80454,0,11,7.01,55.2,1,1,0,270.85
80455,1,4,7.33,57.0,1,1,1,121.01
80456,0,1,6.39,54.7,1,0,1,134.0
80457,0,9,22.82,181.7,1,1,1,248.56
80458,1,6,3.8,26.3,1,0,1,87.71
80459,0,6,10.61,89.1,0,0,1,166.29
80460,0,5,6.45,53.7,1,0,1,166.43
80461,1,9,12.62,84.0,1,1,0,287.33
80462,0,10,3.7,31.2,0,0,0,253.76
80463,0,6,1.76,13.4,0,0,0,223.57
80464,0,5,1.45,11.7,1,0,0,169.71
80465,0,7,6.82,54.3,1,0,1,175.16
80466,0,14,16.46,132.9,1,0,1,217.79
80467,0,6,8.91,80.0,0,0,0,227.06
80468,1,9,21.11,170.6,0,1,1,363.1
80469,0,6,6.25,54.4,1,0,0,225.85
80470,0,9,17.99,126.3,1,0,1,155.85
80471,1,5,4.52,34.4,0,0,0,141.74
80472,0,6,8.83,80.2,1,0,0,150.97
80473,0,8,15.66,142.0,1,1,0,159.01
80474,0,3,1.67,18.8,1,1,0,120.77
80475,0,9,15.91,120.9,1,0,0,274.38
80476,0,4,6.82,62.1,1,0,0,130.85
80477,0,5,10.79,88.7,1,0,0,214.24
80478,0,6,19.62,161.9,0,0,0,218.64
80479,0,11,20.42,162.6,0,0,1,97.78
80480,0,8,5.0,44.9,0,0,0,272.13
80481,1,12,18.78,157.5,0,1,1,196.33
80482,0,9,6.61,41.2,1,1,0,168.81
80483,0,9,6.94,58.5,1,0,0,201.93
80484,1,5,8.93,69.3,0,1,0,287.28
80485,0,13,12.27,101.0,1,0,1,199.86
80486,0,7,12.8,98.8,1,0,1,195.49
80487,0,2,3.49,19.6,0,0,0,136.19
80488,0,8,6.57,54.2,1,1,0,206.47
80489,0,5,18.02,142.3,0,0,0,142.21
80490,1,5,4.55,38.0,0,0,0,185.24
80491,1,8,5.93,50.5,0,1,1,85.7
80492,1,12,2.45,14.3,1,0,0,246.33
80493,0,10,10.51,82.6,1,0,0,128.89
80494,0,10,2.89,16.0,0,0,0,209.04
80495,1,2,5.29,43.9,1,0,1,232.31
80496,0,4,5.73,45.2,0,0,0,126.31
80497,0,3,3.72,26.6,0,1,1,232.55
80498,0,8,6.03,41.4,0,0,1,125.39
80499,0,5,17.89,145.4,1,0,0,186.37
80500,0,13,1.77,13.4,1,0,1,253.58
