unit_id,fuel,region,operator,capacity_mw,age_years,ambient_c,humidity,days_since_maint,maint_overdue,is_peak_hour,wind_ms,ghi,load_factor,forced_outage
1518,solar,South,co_op,98.4,27.2,23.5,92.8,183,1,0,4.6,284,0.723,No
1679,hydro,Midwest,IOU,125.9,1.0,4.0,61.4,14,0,0,3.6,675,0.871,No
1703,coal,Northeast,ipp,459.4,25.6,17.2,68.4,120,0,1,15.9,230,0.806,Yes
1297,coal,West,IOU,703.8,22.4,34.4,33.2,75,0,1,2.9,225,0.614,No
1897,gas_ccgt,West,muni,557.7,31.7,17.8,46.7,220,1,1,7.7,750,0.873,No
1429,gas_ccgt,Northeast,ipp,672.3,36.8,11.9,73.8,188,1,0,2.2,120,0.607,Yes
1130,gas_ccgt,West,co_op,579.0,1.8,20.7,46.0,33,0,0,2.1,595,0.746,No
1976,hydro,ERCOT,co_op,218.1,1.0,18.1,46.6,321,1,0,2.9,560,0.057,Yes
1363,gas_ccgt,Midwest,ipp,679.5,17.7,-4.1,15.0,74,0,1,7.9,330,0.355,Yes
1328,gas_peaker,South,ipp,168.2,25.4,24.9,98.0,56,0,0,4.2,520,0.458,No
1465,gas_ccgt,South,ipp,427.0,27.1,20.7,66.5,19,0,0,4.4,563,0.456,Yes
1656,wind,South,co_op,83.4,16.7,25.0,65.6,67,0,1,4.5,561,0.719,No
1432,gas_ccgt,Northeast,ipp,330.1,15.4,-2.3,66.5,77,0,1,3.6,457,0.504,No
1231,gas_ccgt,ERCOT,ipp,273.1,7.3,18.3,70.0,31,0,0,4.0,879,0.399,No
1580,solar,Midwest,ipp,57.8,35.2,18.2,57.8,36,0,1,8.8,339,0.805,No
1542,coal,West,ipp,823.8,17.3,21.1,43.1,71,0,0,3.5,687,0.86,No
1366,wind,Midwest,IOU,317.5,14.1,22.4,64.2,69,0,0,6.0,448,0.517,Yes
1064,hydro,Northeast,IOU,368.6,24.6,26.6,69.8,49,0,1,5.7,576,0.534,Yes
1307,wind,ERCOT,IOU,202.6,17.8,21.6,79.8,61,0,1,4.5,397,0.536,No
1953,gas_ccgt,Midwest,IOU,369.9,6.8,14.2,63.7,120,0,0,6.0,431,0.755,No
1094,nuclear,ERCOT,muni,1388.6,29.5,26.4,65.8,26,0,1,1.6,818,0.419,No
1743,coal,ERCOT,IOU,525.7,44.2,26.5,65.1,180,1,0,5.1,687,0.785,No
1854,wind,South,muni,268.4,3.8,31.8,68.2,26,0,0,6.0,485,0.492,No
1781,gas_peaker,South,IOU,137.8,8.9,24.7,62.0,124,0,1,8.4,668,0.737,No
1205,nuclear,Northeast,muni,1205.5,20.0,8.6,67.4,107,0,0,2.6,319,0.192,No
1855,gas_ccgt,West,co_op,362.1,29.5,17.8,50.4,56,0,1,9.0,540,0.95,Yes
1982,gas_peaker,West,ipp,217.9,33.3,13.2,54.6,124,0,0,5.2,473,0.428,No
1969,gas_peaker,South,IOU,151.6,33.2,2.5,54.4,283,1,1,10.6,710,0.906,Yes
1366,gas_ccgt,West,IOU,682.4,2.5,33.3,43.5,31,0,1,2.1,472,0.495,No
1993,wind,South,ipp,346.6,5.0,20.9,57.4,134,0,0,3.5,335,0.652,No
1161,gas_peaker,South,ipp,95.6,28.9,30.2,93.0,108,0,0,2.6,775,0.617,No
1765,solar,West,IOU,111.6,5.1,16.9,75.5,125,0,0,4.2,366,0.716,No
1709,nuclear,South,IOU,1331.8,35.5,20.7,71.4,47,0,1,5.7,637,0.718,No
1180,nuclear,South,ipp,921.2,33.8,31.5,54.6,56,0,1,3.3,634,0.575,No
1134,hydro,Northeast,muni,380.8,6.4,18.5,64.6,117,0,0,3.5,399,0.375,No
1310,hydro,Midwest,IOU,296.1,40.0,-3.6,51.2,20,0,0,4.4,433,0.608,No
1457,gas_ccgt,Midwest,muni,501.1,1.0,15.3,55.0,82,0,0,10.8,231,0.502,No
1314,coal,West,ipp,454.4,25.3,35.5,46.1,661,1,0,6.3,543,0.522,Yes
1141,gas_ccgt,ERCOT,IOU,366.5,17.8,29.3,79.1,49,0,1,5.4,302,0.558,No
1951,coal,ERCOT,muni,729.5,11.0,21.3,55.8,280,1,1,1.4,194,0.37,No
1355,gas_ccgt,South,muni,424.1,19.5,41.9,82.1,49,0,1,7.6,505,0.847,No
1860,solar,West,IOU,206.8,12.5,21.3,55.1,32,0,1,5.5,439,0.802,No
1833,gas_ccgt,Northeast,IOU,646.0,16.0,16.9,33.9,37,0,0,2.3,426,0.575,Yes
1111,hydro,Midwest,ipp,345.1,18.0,8.1,64.8,74,0,0,4.0,322,0.475,No
1834,gas_peaker,ERCOT,ipp,138.5,26.2,32.9,56.3,69,0,1,2.3,427,0.782,Yes
1188,wind,Midwest,co_op,78.9,44.3,8.0,71.0,40,0,1,3.3,255,0.712,No
1030,hydro,Northeast,ipp,118.0,23.2,-6.1,57.5,43,0,0,1.7,424,0.404,No
1677,gas_ccgt,South,IOU,477.0,13.6,33.2,85.5,40,0,1,3.7,549,0.574,No
1086,wind,West,ipp,147.8,33.4,21.6,37.5,72,0,0,2.9,292,0.29,No
1003,solar,ERCOT,IOU,156.9,14.6,33.9,72.1,229,1,0,2.6,500,0.482,No
1441,solar,Northeast,co_op,95.9,8.0,5.9,66.8,270,1,0,5.1,293,0.935,No
1884,nuclear,West,IOU,979.7,36.6,10.0,47.4,468,1,0,1.9,297,0.429,Yes
1950,gas_ccgt,ERCOT,ipp,667.9,1.0,41.7,66.6,49,0,1,4.8,241,0.598,No
1585,gas_ccgt,West,ipp,448.5,11.6,25.4,38.7,22,0,0,8.9,749,0.694,No
1295,solar,ERCOT,co_op,89.8,12.1,42.7,59.4,23,0,0,5.3,379,0.51,No
1036,nuclear,West,IOU,847.0,27.3,21.6,63.9,416,1,0,5.1,308,0.346,No
1093,gas_ccgt,ERCOT,co_op,572.8,9.5,21.6,60.5,127,0,1,8.9,643,0.447,No
1607,solar,South,co_op,113.9,3.2,31.7,70.1,100,0,0,4.7,620,0.516,No
1001,hydro,South,co_op,179.5,7.8,18.1,68.3,47,0,0,2.2,380,0.747,No
1669,nuclear,South,IOU,1314.2,2.3,19.9,55.7,112,0,0,6.4,397,0.885,No
1383,gas_peaker,South,IOU,196.2,1.0,37.9,98.0,20,0,0,4.0,526,0.592,Yes
1677,coal,South,IOU,433.2,13.3,24.3,73.8,55,0,0,7.1,445,0.879,No
1804,gas_ccgt,West,ipp,484.9,20.4,11.0,63.9,363,1,1,7.7,339,0.507,Yes
1090,gas_ccgt,Northeast,IOU,646.1,20.8,17.6,59.3,66,0,0,3.4,372,0.503,No
1214,wind,West,IOU,216.1,1.2,20.0,81.2,102,0,0,4.3,272,0.542,Yes
1443,coal,West,ipp,636.6,34.8,23.1,25.6,20,0,0,7.9,433,0.324,No
1457,nuclear,Midwest,IOU,802.2,34.0,9.7,71.1,206,1,0,2.5,355,0.674,No
1033,gas_peaker,Midwest,ipp,159.8,27.2,7.1,68.9,101,0,1,7.1,579,0.492,Yes
1762,wind,ERCOT,IOU,202.7,11.5,8.1,69.4,21,0,1,4.1,438,0.693,No
1694,gas_ccgt,South,IOU,568.8,27.5,32.0,57.3,84,0,0,5.2,475,0.774,No
1878,gas_peaker,ERCOT,IOU,175.3,14.2,28.4,28.4,486,1,1,6.9,478,0.745,No
1337,gas_ccgt,South,muni,478.7,29.3,26.0,56.9,76,0,0,7.2,473,0.587,No
1092,gas_ccgt,ERCOT,muni,562.7,18.6,42.5,71.4,100,0,0,5.1,571,0.389,Yes
1920,solar,South,ipp,245.5,22.3,27.6,53.2,56,0,0,1.3,738,0.754,No
1864,hydro,ERCOT,IOU,180.7,17.1,29.4,39.6,58,0,0,5.3,435,0.155,Yes
1172,coal,South,IOU,753.6,33.3,16.5,78.6,72,0,1,3.7,479,0.334,No
1212,coal,South,IOU,696.6,28.4,16.7,58.9,132,0,0,0.5,464,0.218,Yes
1563,wind,Northeast,ipp,220.5,32.8,-2.5,75.0,229,1,0,1.6,286,0.117,Yes
1934,gas_peaker,West,IOU,211.4,3.2,12.2,39.0,37,0,0,10.0,428,0.715,No
1057,nuclear,Northeast,muni,1201.6,12.0,32.7,66.3,30,0,1,7.2,597,0.401,No
1977,hydro,West,IOU,160.3,18.6,12.8,22.0,59,0,0,3.6,588,0.415,No
1201,gas_peaker,South,IOU,202.8,14.3,22.1,37.5,50,0,0,7.2,410,0.458,No
1381,coal,ERCOT,IOU,407.1,46.7,23.9,64.4,54,0,0,10.2,829,0.772,Yes
1310,wind,West,ipp,277.7,20.6,32.2,43.9,33,0,1,4.6,677,0.389,No
1298,solar,ERCOT,muni,123.4,1.0,33.6,90.3,31,0,1,6.2,419,0.945,No
1612,gas_ccgt,South,co_op,667.7,6.4,24.8,90.4,19,0,0,4.2,389,0.395,No
1816,solar,Midwest,IOU,24.4,9.0,18.5,42.5,86,0,0,6.9,368,0.621,No
1851,gas_ccgt,ERCOT,ipp,404.7,21.0,22.1,55.9,11,0,0,5.5,563,0.644,No
1006,wind,ERCOT,IOU,113.2,18.7,27.0,53.1,46,0,0,9.0,332,0.743,No
1002,wind,ERCOT,IOU,247.5,14.5,23.1,56.5,26,0,0,2.5,527,0.557,No
1840,gas_ccgt,South,co_op,660.4,5.4,34.9,73.2,118,0,1,5.8,432,0.689,No
1071,coal,Midwest,IOU,758.5,22.0,8.6,45.4,145,0,0,2.6,243,0.597,Yes
1850,wind,Northeast,ipp,333.5,3.9,2.7,61.9,22,0,0,10.8,302,0.757,No
1054,gas_ccgt,West,ipp,636.6,21.4,36.4,39.5,36,0,1,3.8,532,0.966,No
1498,hydro,West,IOU,69.0,18.6,14.3,29.1,242,1,0,12.5,203,0.629,No
1325,wind,South,IOU,193.9,22.1,22.7,40.4,53,0,0,1.7,216,0.343,Yes
1504,coal,South,ipp,512.4,34.1,32.3,53.7,22,0,0,6.2,494,0.465,No
1057,wind,West,ipp,135.4,3.9,25.7,27.7,31,0,1,2.8,457,0.235,No
1049,gas_ccgt,Midwest,muni,627.4,32.7,14.1,47.3,139,0,0,1.8,312,0.717,No
1952,gas_ccgt,Northeast,IOU,406.3,6.6,32.9,87.4,28,0,0,8.2,317,0.717,No
1242,gas_peaker,Northeast,ipp,82.7,10.3,3.0,45.3,120,0,1,6.2,386,0.744,Yes
1630,gas_ccgt,ERCOT,ipp,283.3,10.3,24.4,72.9,349,1,1,9.2,612,0.99,No
1342,gas_peaker,Midwest,co_op,105.8,33.7,-22.0,56.4,11,0,1,8.0,356,0.98,Yes
1172,solar,ERCOT,muni,89.2,8.9,18.3,54.0,18,0,0,3.9,693,0.579,No
1371,nuclear,Northeast,ipp,1329.2,22.5,26.2,44.6,47,0,0,4.5,406,0.867,No
1840,gas_peaker,West,co_op,118.8,36.1,24.6,47.1,54,0,0,5.0,804,0.614,Yes
1567,gas_ccgt,South,ipp,379.6,15.2,22.4,56.8,77,0,0,6.0,893,0.32,No
1634,solar,South,IOU,169.7,14.2,40.4,78.4,103,0,0,7.7,453,0.272,No
1750,coal,Northeast,IOU,313.9,36.7,16.7,60.0,19,0,0,6.2,436,0.933,No
1547,solar,South,ipp,244.8,1.0,27.0,69.4,29,0,0,8.4,226,0.445,No
1799,coal,South,ipp,577.0,26.5,24.2,61.4,87,0,1,6.7,277,0.735,Yes
1918,coal,West,IOU,873.5,28.0,23.9,53.7,31,0,1,5.3,433,0.452,No
1805,solar,West,ipp,84.5,1.0,20.8,34.0,186,1,0,1.0,664,0.187,No
1921,wind,West,IOU,314.0,18.6,14.8,44.5,42,0,0,3.1,373,0.562,No
1766,nuclear,Northeast,IOU,1317.4,19.0,-6.4,26.3,80,0,0,3.1,428,0.595,No
1160,coal,ERCOT,ipp,893.2,9.3,27.1,66.1,132,0,1,6.8,245,0.559,No
1006,wind,South,ipp,152.6,1.0,18.8,74.0,72,0,0,1.9,541,0.238,No
1974,coal,ERCOT,IOU,414.1,39.1,36.2,76.0,33,0,0,4.9,452,0.747,No
1805,solar,ERCOT,ipp,177.2,20.3,38.5,56.7,270,1,1,4.1,593,0.966,No
1538,gas_ccgt,Northeast,muni,513.8,13.3,1.3,81.8,41,0,1,3.6,239,0.584,No
1241,coal,South,ipp,792.1,39.0,-2.1,74.1,37,0,0,2.1,29,0.835,No
1996,coal,South,co_op,647.9,30.6,18.1,90.0,62,0,0,2.6,473,0.626,No
1379,solar,South,IOU,126.9,34.5,19.0,54.2,119,0,0,6.9,681,0.685,No
1510,gas_ccgt,ERCOT,IOU,291.1,8.7,28.6,61.1,77,0,0,3.6,611,0.285,No
1831,wind,Northeast,co_op,230.0,27.2,-6.8,55.8,43,0,0,3.0,109,0.868,No
1681,hydro,South,co_op,283.3,13.5,21.5,78.4,55,0,1,5.7,351,0.562,No
1642,hydro,South,ipp,114.0,23.0,25.2,81.5,54,0,0,6.4,0,0.347,No
1696,hydro,Northeast,IOU,130.6,22.7,20.6,68.2,321,1,1,3.5,176,0.398,Yes
1318,solar,West,IOU,177.5,5.2,23.2,50.9,70,0,0,6.0,497,0.597,No
1039,gas_peaker,West,IOU,57.7,12.4,27.7,73.2,123,0,0,3.3,462,0.271,No
1578,gas_peaker,Northeast,ipp,120.0,13.8,-0.5,56.4,155,1,0,10.0,586,0.283,No
1491,gas_ccgt,Northeast,ipp,573.8,8.0,21.5,56.1,118,0,0,2.8,136,0.715,No
1441,gas_ccgt,South,ipp,682.7,1.0,18.2,84.2,55,0,0,6.6,303,0.679,No
1136,gas_ccgt,ERCOT,ipp,409.1,22.1,47.6,76.3,35,0,0,6.0,435,0.752,No
1620,solar,West,co_op,48.6,1.7,26.9,48.9,228,1,0,3.3,685,0.735,No
1316,wind,West,ipp,300.1,13.5,15.4,43.4,46,0,0,2.2,538,0.249,Yes
1580,gas_ccgt,South,IOU,430.6,19.6,26.6,68.3,126,0,0,9.2,244,0.831,No
1069,nuclear,ERCOT,ipp,1068.2,18.2,10.3,51.3,28,0,0,7.3,523,0.418,Yes
1671,coal,South,IOU,789.2,50.4,20.7,87.7,31,0,0,5.4,489,0.106,No
1741,nuclear,Northeast,IOU,1051.7,39.5,7.3,64.4,94,0,0,1.6,112,0.418,No
1427,hydro,South,muni,169.5,2.1,22.4,49.7,28,0,0,2.3,591,0.663,No
1532,gas_peaker,Northeast,IOU,133.5,5.3,31.5,61.3,256,1,0,3.6,89,0.787,No
1317,solar,ERCOT,co_op,121.0,33.4,24.3,38.6,63,0,1,2.7,532,0.953,No
1869,coal,South,ipp,859.9,17.4,27.4,56.0,136,0,0,2.1,550,0.786,No
1342,hydro,West,muni,260.3,31.7,29.0,23.9,188,1,0,0.8,317,0.656,No
1657,hydro,ERCOT,IOU,233.6,13.7,14.9,56.9,74,0,0,6.7,323,0.893,No
1088,gas_ccgt,West,IOU,316.6,26.0,11.0,79.0,121,0,1,9.5,766,0.723,No
1349,gas_ccgt,West,IOU,510.6,7.7,22.5,52.1,218,1,0,1.5,334,0.402,No
1852,coal,West,IOU,369.3,34.6,33.4,55.9,26,0,0,6.7,534,0.409,Yes
1510,wind,South,IOU,162.7,13.1,39.7,60.8,274,1,0,6.3,485,0.841,No
1445,wind,Northeast,muni,232.3,18.5,2.1,74.1,47,0,1,3.6,539,0.861,No
1048,wind,Midwest,IOU,115.8,17.3,15.5,56.6,104,0,1,8.7,515,0.785,No
1017,gas_ccgt,West,ipp,417.8,44.9,14.5,42.5,211,1,1,5.6,489,0.594,Yes
1204,solar,Midwest,ipp,102.5,12.5,31.7,56.2,144,0,0,8.0,353,0.204,No
1514,wind,ERCOT,ipp,80.4,1.0,27.3,74.6,20,0,0,6.0,609,0.504,No
1563,wind,Midwest,co_op,277.1,32.4,-0.2,72.3,76,0,1,6.2,377,0.43,No
1774,coal,West,ipp,889.4,23.3,27.7,35.8,194,1,1,3.7,415,0.536,No
1681,solar,Northeast,IOU,174.1,21.0,22.8,60.6,73,0,0,5.3,78,0.444,No
1279,gas_ccgt,South,ipp,482.0,1.0,23.1,75.1,83,0,0,3.1,492,0.805,No
1680,gas_ccgt,West,IOU,396.2,18.5,4.5,53.5,38,0,0,10.4,151,0.131,No
1212,gas_ccgt,ERCOT,ipp,405.2,17.0,29.3,64.0,103,0,0,9.3,526,0.952,Yes
1028,gas_ccgt,Northeast,ipp,486.9,1.0,7.3,44.3,52,0,0,6.3,43,0.72,No
1554,gas_ccgt,West,co_op,529.7,22.7,27.7,71.4,114,0,0,3.1,503,0.311,No
1177,gas_ccgt,ERCOT,ipp,558.7,29.9,26.2,67.6,167,1,0,8.2,465,0.31,No
1285,nuclear,Northeast,ipp,874.0,32.4,13.0,80.1,387,1,0,5.1,362,0.698,Yes
1701,gas_ccgt,West,muni,446.4,21.2,22.5,35.8,44,0,1,5.3,176,0.547,No
1069,nuclear,Northeast,IOU,945.4,41.2,-4.4,64.4,183,1,0,9.2,491,0.41,Yes
1836,gas_ccgt,West,ipp,562.2,33.6,22.1,40.1,18,0,1,6.6,522,0.284,No
1566,hydro,ERCOT,IOU,280.8,24.2,11.0,69.9,160,1,0,4.7,419,0.578,No
1097,gas_ccgt,Northeast,ipp,508.4,26.6,0.4,50.3,119,0,1,4.4,106,0.444,Yes
1166,gas_peaker,West,IOU,117.9,25.1,20.9,55.6,72,0,0,5.9,352,0.503,No
1334,solar,Northeast,IOU,180.4,20.9,21.6,67.1,111,0,0,1.8,214,0.513,No
1598,coal,South,ipp,450.4,35.4,34.3,63.8,60,0,1,3.4,400,0.654,No
1902,wind,Midwest,co_op,157.9,17.6,18.5,52.8,46,0,0,3.3,350,0.9,No
1446,hydro,South,IOU,204.1,16.0,24.3,58.1,61,0,0,4.1,335,0.671,No
1504,nuclear,West,co_op,1060.1,27.2,12.5,56.9,24,0,0,5.7,753,0.121,No
1097,gas_ccgt,Midwest,IOU,463.8,16.3,6.2,48.3,54,0,0,3.8,666,0.524,Yes
1743,nuclear,Midwest,ipp,877.8,31.8,-2.4,65.7,97,0,0,3.8,590,0.31,No
1847,gas_ccgt,Northeast,IOU,673.5,30.6,25.0,50.3,37,0,0,3.4,392,0.365,No
1369,wind,South,muni,183.8,5.7,24.7,65.3,93,0,1,8.0,411,0.471,No
1315,solar,Northeast,IOU,92.3,9.8,16.0,67.3,19,0,0,4.2,460,0.418,No
1187,wind,Northeast,co_op,148.0,17.2,9.4,40.4,239,1,0,2.5,537,0.599,Yes
1988,gas_ccgt,West,IOU,363.0,30.9,22.3,63.2,531,1,0,8.1,284,0.581,Yes
1118,gas_peaker,West,ipp,68.5,38.1,-1.9,81.7,148,0,0,6.2,309,0.075,No
1721,gas_peaker,Northeast,ipp,198.0,33.3,9.7,73.4,36,0,0,6.5,639,0.583,No
1513,gas_ccgt,West,IOU,570.3,1.0,16.2,30.4,78,0,1,7.3,531,0.758,No
1933,hydro,West,IOU,135.4,32.0,12.9,54.0,53,0,1,5.6,480,0.99,Yes
1393,wind,Midwest,ipp,302.2,13.1,27.4,48.1,50,0,0,1.9,586,0.291,No
1842,gas_peaker,Midwest,IOU,197.1,1.0,29.8,43.9,52,0,1,3.2,312,0.485,No
1686,wind,Midwest,IOU,155.2,9.8,17.6,69.2,133,0,1,9.7,43,0.812,Yes
1733,wind,South,muni,93.9,6.9,25.3,61.4,90,0,0,4.3,402,0.684,No
1857,gas_ccgt,Northeast,ipp,315.7,17.0,14.8,70.0,16,0,0,0.3,424,0.628,No
1948,wind,South,ipp,326.3,4.9,15.0,54.1,138,0,1,6.6,570,0.377,No
1623,solar,South,ipp,213.7,16.6,17.5,76.6,312,1,0,5.8,500,0.825,No
1268,gas_ccgt,South,co_op,446.5,6.1,30.7,62.3,45,0,0,4.4,455,0.645,No
1557,nuclear,West,muni,1376.2,6.0,20.5,53.0,54,0,0,1.5,458,0.553,No
1868,hydro,Midwest,muni,95.6,19.5,7.1,44.4,61,0,0,7.7,408,0.567,No
1074,nuclear,Midwest,IOU,1109.9,31.5,4.4,59.3,263,1,1,0.8,561,0.533,No
1916,gas_ccgt,South,IOU,319.5,15.2,39.8,41.6,240,1,0,7.1,497,0.695,No
1893,hydro,Midwest,IOU,332.5,22.0,9.2,57.7,91,0,0,6.7,510,0.765,No
1463,hydro,West,co_op,218.2,21.4,15.4,55.9,80,0,0,6.0,509,0.496,No
1144,wind,Northeast,ipp,331.5,1.0,16.6,55.3,27,0,0,2.5,170,0.16,Yes
1588,wind,ERCOT,ipp,84.1,19.8,23.6,59.1,64,0,0,1.7,347,0.795,No
1538,gas_peaker,ERCOT,muni,114.2,22.6,29.9,67.3,125,0,1,5.0,423,0.695,Yes
1013,wind,Northeast,muni,200.5,16.6,-2.4,35.9,46,0,0,5.8,473,0.773,No
1267,wind,South,IOU,312.7,9.7,37.6,58.3,81,0,0,1.8,457,0.681,No
1048,solar,Midwest,IOU,239.5,1.0,-9.0,55.9,89,0,1,5.1,417,0.64,No
1948,gas_ccgt,Midwest,IOU,357.1,12.5,-12.8,59.8,38,0,1,2.7,506,0.434,No
1964,gas_ccgt,Midwest,IOU,521.8,42.4,-4.7,56.4,51,0,1,7.2,288,0.878,Yes
1904,hydro,South,IOU,123.7,30.5,26.0,67.8,62,0,0,3.2,552,0.514,No
1176,gas_ccgt,West,ipp,279.3,27.8,23.0,55.5,22,0,0,6.4,537,0.241,No
1630,nuclear,Midwest,IOU,846.7,13.2,3.3,45.6,173,1,0,3.2,216,0.194,No
1760,solar,West,IOU,196.5,16.6,-7.3,56.1,205,1,0,6.6,392,0.615,No
1671,gas_peaker,West,muni,184.2,6.4,24.8,73.0,210,1,1,7.1,451,0.433,Yes
1047,gas_ccgt,West,ipp,699.3,27.1,26.9,48.4,82,0,0,3.2,790,0.737,No
1263,coal,ERCOT,IOU,579.0,27.4,33.1,74.6,54,0,0,2.2,226,0.88,No
1272,hydro,South,ipp,187.5,13.2,21.5,85.1,37,0,0,4.4,562,0.66,No
1070,gas_ccgt,West,IOU,639.7,2.6,31.8,55.2,33,0,0,3.1,488,0.583,No
1596,gas_peaker,ERCOT,ipp,134.8,13.8,26.0,73.8,19,0,1,8.1,340,0.99,Yes
1685,gas_ccgt,ERCOT,IOU,690.7,22.2,33.5,49.0,29,0,1,8.8,652,0.742,No
1359,hydro,South,ipp,240.8,12.6,35.4,68.4,15,0,0,4.2,377,0.839,No
1834,wind,Midwest,muni,137.2,14.1,21.5,45.0,12,0,1,4.6,720,0.893,No
1085,gas_peaker,South,IOU,58.8,16.0,26.1,65.8,68,0,1,2.5,397,0.935,No
1305,gas_peaker,West,IOU,87.3,18.9,23.8,45.1,159,1,0,2.4,510,0.458,No
1050,coal,West,IOU,602.9,32.7,16.3,46.6,446,1,0,6.0,705,0.63,Yes
1468,gas_ccgt,South,IOU,331.0,9.9,38.0,65.8,59,0,0,6.6,583,0.763,Yes
1323,gas_ccgt,West,ipp,645.2,18.8,2.2,48.3,236,1,0,8.2,704,0.762,No
1863,gas_peaker,Midwest,ipp,142.1,19.4,32.9,44.2,20,0,1,8.2,337,0.99,No
1146,coal,Northeast,ipp,384.0,26.7,14.4,41.4,277,1,0,6.0,497,0.278,Yes
1031,gas_ccgt,ERCOT,IOU,498.9,19.3,41.4,33.2,148,0,0,1.8,291,0.669,No
1008,wind,ERCOT,IOU,114.0,9.9,32.9,66.4,216,1,0,3.1,498,0.539,Yes
1534,nuclear,South,IOU,813.9,27.0,33.1,53.1,53,0,0,10.7,418,0.326,No
1093,gas_peaker,South,IOU,183.6,24.6,21.1,88.6,44,0,1,7.9,453,0.804,No
1899,gas_ccgt,Northeast,ipp,291.7,19.1,19.6,83.0,20,0,0,2.7,452,0.447,No
1480,wind,ERCOT,IOU,181.2,11.7,15.3,44.7,28,0,0,7.3,600,0.754,Yes
1329,gas_ccgt,Midwest,ipp,663.2,23.6,2.8,62.6,59,0,1,5.9,147,0.946,Yes
1751,gas_ccgt,South,IOU,403.1,9.4,23.1,85.6,34,0,0,1.7,268,0.404,No
1317,gas_ccgt,Northeast,IOU,567.6,37.2,6.4,46.5,100,0,0,4.3,574,0.576,Yes
1035,gas_ccgt,Northeast,ipp,698.6,26.8,-3.9,22.8,279,1,0,8.1,597,0.387,Yes
1980,solar,South,ipp,136.7,19.0,16.7,44.8,91,0,0,5.3,689,0.784,No
1842,gas_ccgt,West,IOU,528.0,18.6,23.1,63.2,48,0,0,5.6,424,0.811,No
1964,gas_peaker,ERCOT,co_op,186.8,14.8,33.2,70.9,51,0,0,2.5,609,0.671,No
1978,wind,West,IOU,52.7,1.6,20.6,37.6,53,0,0,2.3,650,0.632,No
1635,nuclear,South,IOU,1043.5,34.8,36.1,69.6,64,0,0,4.4,563,0.649,No
1783,gas_ccgt,South,IOU,265.9,17.8,30.1,82.3,24,0,0,4.7,152,0.725,No
1073,coal,Midwest,IOU,370.1,24.3,6.5,57.4,105,0,0,3.6,194,0.587,Yes
1113,solar,Midwest,ipp,62.4,3.6,-3.2,43.2,80,0,1,4.8,353,0.826,No
