customer_id,credit_score,income_k,dti,card_util,deposit_k,loan_k,n_products,tenure_mo,late30_12m,logins_30d,segment,segment_name
C20350,641.0,46.1,0.402,0.79,5.8,17.7,2.0,23.0,0.0,7.0,2,Card Revolver
C40205,784.0,127.4,0.279,0.288,148.1,195.1,5.0,49.0,-0.0,10.0,4,Affluent Relationship
C10348,684.0,41.9,0.322,0.26,24.0,11.1,2.0,46.0,0.0,15.0,1,Mass-Market Saver
C40320,728.0,148.5,0.319,0.191,95.7,212.0,5.0,130.0,0.0,14.0,4,Affluent Relationship
C10190,725.0,49.3,0.278,0.237,7.2,10.1,3.0,47.0,0.0,9.0,1,Mass-Market Saver
C20057,681.0,49.2,0.465,0.681,3.5,39.6,5.0,48.0,2.0,29.0,2,Card Revolver
C10010,691.0,54.9,0.258,0.359,34.2,9.1,2.0,66.0,1.0,4.0,1,Mass-Market Saver
C20306,667.0,23.3,0.342,0.898,7.5,19.7,3.0,30.0,1.0,15.0,2,Card Revolver
C40184,728.0,159.9,0.275,0.241,103.6,188.8,6.0,135.0,0.0,8.0,4,Affluent Relationship
C30199,601.0,32.2,0.505,0.869,3.9,5.9,1.0,35.0,4.0,11.0,3,Stressed Book
C20128,669.0,43.3,0.642,0.916,6.5,25.3,5.0,54.0,1.0,25.0,2,Card Revolver
C00007,797.0,59.1,0.192,0.114,40.6,17.5,3.0,63.0,0.0,27.0,0,Prime Transactor
C10321,696.0,40.8,0.208,0.306,23.1,5.3,3.0,39.0,1.0,8.0,1,Mass-Market Saver
C30241,603.0,32.5,0.541,0.962,1.9,26.2,1.0,4.0,1.0,0.0,3,Stressed Book
C40335,731.0,193.5,0.368,0.105,102.7,260.9,5.0,98.0,1.0,11.0,4,Affluent Relationship
C20171,658.0,66.4,0.438,0.939,5.8,3.5,3.0,24.0,0.0,14.0,2,Card Revolver
C30244,591.0,16.6,0.535,0.899,1.6,13.9,2.0,26.0,4.0,12.0,3,Stressed Book
C10172,719.0,57.4,0.341,0.349,24.9,9.1,4.0,48.0,1.0,15.0,1,Mass-Market Saver
C40351,794.0,189.6,0.268,0.236,87.2,348.1,4.0,99.0,1.0,8.0,4,Affluent Relationship
C40214,749.0,151.8,0.315,0.226,53.3,205.9,4.0,107.0,-0.0,10.0,4,Affluent Relationship
C30220,608.0,38.1,0.468,0.757,0.6,20.3,2.0,18.0,6.0,10.0,3,Stressed Book
C30376,535.0,35.6,0.44,0.867,0.0,30.6,1.0,26.0,6.0,8.0,3,Stressed Book
C00020,763.0,110.5,0.25,0.172,46.8,23.9,2.0,31.0,1.0,12.0,0,Prime Transactor
C10052,711.0,49.3,0.149,0.335,18.6,5.1,1.0,71.0,1.0,5.0,1,Mass-Market Saver
C00375,795.0,86.3,0.243,0.188,24.3,3.5,1.0,77.0,-0.0,20.0,0,Prime Transactor
C20244,687.0,30.9,0.377,0.679,4.2,18.7,3.0,16.0,1.0,18.0,2,Card Revolver
C40252,748.0,170.9,0.271,0.219,66.7,197.1,7.0,73.0,0.0,17.0,4,Affluent Relationship
C20092,659.0,39.5,0.366,0.678,1.9,11.2,3.0,41.0,2.0,20.0,2,Card Revolver
C40277,768.0,146.9,0.398,0.14,71.1,219.7,4.0,70.0,0.0,2.0,4,Affluent Relationship
C10070,709.0,34.1,0.224,0.112,11.0,3.1,2.0,64.0,1.0,7.0,1,Mass-Market Saver
C20125,626.0,35.2,0.478,0.956,0.0,19.9,3.0,9.0,1.0,10.0,2,Card Revolver
C20183,681.0,66.7,0.219,0.687,3.6,26.8,2.0,43.0,1.0,27.0,2,Card Revolver
C40253,749.0,196.1,0.27,0.25,42.0,146.7,5.0,138.0,1.0,10.0,4,Affluent Relationship
C00360,788.0,69.2,0.252,0.101,25.1,0.1,3.0,55.0,0.0,9.0,0,Prime Transactor
C10397,706.0,59.1,0.301,0.276,33.1,6.8,3.0,59.0,1.0,6.0,1,Mass-Market Saver
C30190,535.0,36.0,0.509,0.84,1.9,21.2,3.0,32.0,4.0,9.0,3,Stressed Book
C10079,751.0,27.5,0.264,0.302,11.7,4.9,4.0,82.0,-0.0,14.0,1,Mass-Market Saver
C30371,603.0,33.2,0.545,0.667,3.0,10.0,2.0,64.0,4.0,-0.0,3,Stressed Book
C10338,713.0,42.5,0.183,0.275,29.4,7.8,3.0,60.0,0.0,9.0,1,Mass-Market Saver
C40398,756.0,123.1,0.36,0.212,89.7,180.4,5.0,79.0,0.0,13.0,4,Affluent Relationship
C30394,560.0,42.1,0.716,0.882,0.0,32.4,2.0,27.0,5.0,7.0,3,Stressed Book
C20395,709.0,42.3,0.478,0.742,3.5,18.3,4.0,60.0,2.0,38.0,2,Card Revolver
C00262,786.0,87.6,0.244,0.035,27.5,15.5,3.0,98.0,-0.0,9.0,0,Prime Transactor
C00241,777.0,75.4,0.23,0.141,25.4,5.8,4.0,132.0,0.0,20.0,0,Prime Transactor
C30163,625.0,45.8,0.559,0.882,1.3,32.9,2.0,30.0,4.0,4.0,3,Stressed Book
C30150,545.0,30.2,0.396,0.897,1.8,20.5,2.0,8.0,3.0,11.0,3,Stressed Book
C20264,675.0,41.1,0.616,0.784,1.4,21.4,1.0,62.0,2.0,19.0,2,Card Revolver
C10253,712.0,42.6,0.243,0.102,20.3,14.3,2.0,62.0,0.0,11.0,1,Mass-Market Saver
C40141,746.0,125.3,0.305,0.109,71.1,231.2,6.0,120.0,1.0,13.0,4,Affluent Relationship
C00051,783.0,93.3,0.153,0.116,27.6,22.3,5.0,69.0,-0.0,18.0,0,Prime Transactor
C00036,794.0,128.7,0.256,0.123,11.1,15.1,2.0,38.0,1.0,22.0,0,Prime Transactor
C10220,712.0,51.1,0.273,0.23,19.4,2.5,4.0,17.0,1.0,10.0,1,Mass-Market Saver
C30071,597.0,40.3,0.463,0.946,2.7,19.6,4.0,28.0,5.0,0.0,3,Stressed Book
C40157,789.0,172.3,0.294,0.157,51.3,188.3,4.0,102.0,0.0,15.0,4,Affluent Relationship
C20062,658.0,38.9,0.312,0.74,1.1,7.2,3.0,64.0,3.0,21.0,2,Card Revolver
C10238,709.0,39.4,0.32,0.194,30.2,4.2,2.0,14.0,-0.0,11.0,1,Mass-Market Saver
C40036,737.0,177.9,0.3,0.189,65.9,272.3,6.0,43.0,1.0,26.0,4,Affluent Relationship
C20316,669.0,38.6,0.369,0.766,7.0,21.9,4.0,25.0,1.0,13.0,2,Card Revolver
C10335,703.0,48.5,0.163,0.301,21.0,5.4,1.0,61.0,0.0,13.0,1,Mass-Market Saver
C00206,779.0,104.3,0.307,0.08,28.1,9.1,3.0,43.0,0.0,8.0,0,Prime Transactor
C30108,597.0,41.2,0.432,0.842,1.7,27.5,2.0,27.0,6.0,4.0,3,Stressed Book
C40287,743.0,140.2,0.438,0.184,83.5,265.5,7.0,101.0,0.0,15.0,4,Affluent Relationship
C20145,700.0,31.0,0.494,0.718,7.2,11.6,3.0,30.0,1.0,21.0,2,Card Revolver
C30031,537.0,40.9,0.57,0.99,1.5,23.1,2.0,29.0,4.0,1.0,3,Stressed Book
C10347,695.0,38.8,0.293,0.264,17.2,5.1,3.0,67.0,0.0,5.0,1,Mass-Market Saver
C20121,628.0,46.7,0.42,0.84,5.9,12.8,3.0,54.0,1.0,20.0,2,Card Revolver
C40105,748.0,158.0,0.307,0.146,78.1,263.3,6.0,138.0,1.0,14.0,4,Affluent Relationship
C00146,781.0,96.8,0.131,0.079,32.7,13.8,4.0,74.0,1.0,14.0,0,Prime Transactor
C00278,782.0,118.1,0.177,0.057,35.9,17.6,4.0,46.0,1.0,21.0,0,Prime Transactor
C10030,723.0,49.5,0.315,0.278,21.1,4.7,3.0,45.0,1.0,12.0,1,Mass-Market Saver
C10223,729.0,43.0,0.286,0.09,4.2,2.5,2.0,23.0,0.0,10.0,1,Mass-Market Saver
C00377,793.0,99.1,0.242,0.09,40.9,13.5,1.0,57.0,0.0,24.0,0,Prime Transactor
C40242,763.0,221.0,0.328,0.149,71.0,183.6,6.0,120.0,0.0,13.0,4,Affluent Relationship
C10344,710.0,50.9,0.265,0.243,13.8,7.8,2.0,64.0,1.0,10.0,1,Mass-Market Saver
C00374,771.0,76.9,0.22,0.079,50.9,0.0,4.0,96.0,0.0,8.0,0,Prime Transactor
C00367,802.0,132.7,0.323,0.162,25.6,7.8,3.0,52.0,0.0,3.0,0,Prime Transactor
C20016,599.0,52.7,0.299,0.744,8.9,15.4,3.0,33.0,2.0,22.0,2,Card Revolver
C40305,763.0,195.6,0.353,0.176,110.4,286.2,5.0,100.0,1.0,11.0,4,Affluent Relationship
C00259,792.0,91.7,0.171,0.146,24.0,0.0,2.0,114.0,-0.0,19.0,0,Prime Transactor
C40022,742.0,121.1,0.247,0.232,50.8,318.4,4.0,104.0,1.0,20.0,4,Affluent Relationship
C30326,538.0,26.5,0.506,0.889,1.4,16.4,1.0,28.0,2.0,1.0,3,Stressed Book
C30236,557.0,15.2,0.572,0.905,0.3,41.2,1.0,42.0,5.0,7.0,3,Stressed Book
C20075,636.0,49.4,0.688,0.812,5.6,17.5,2.0,40.0,3.0,23.0,2,Card Revolver
C20339,648.0,53.6,0.434,0.804,6.2,16.5,3.0,52.0,2.0,26.0,2,Card Revolver
C40232,788.0,159.0,0.393,0.069,99.6,156.2,4.0,103.0,1.0,21.0,4,Affluent Relationship
C10251,687.0,52.0,0.287,0.347,15.7,4.0,2.0,81.0,-0.0,11.0,1,Mass-Market Saver
C40239,751.0,207.5,0.348,0.056,56.6,252.4,7.0,119.0,0.0,17.0,4,Affluent Relationship
C00217,790.0,90.5,0.177,0.073,16.7,7.6,3.0,68.0,-0.0,16.0,0,Prime Transactor
C40344,766.0,167.3,0.372,0.145,38.6,283.0,7.0,50.0,0.0,12.0,4,Affluent Relationship
C00141,784.0,116.8,0.173,0.1,37.1,2.1,3.0,40.0,0.0,28.0,0,Prime Transactor
C00339,781.0,98.5,0.224,0.176,7.8,14.6,2.0,101.0,0.0,12.0,0,Prime Transactor
C20309,664.0,35.1,0.461,0.753,2.0,28.8,3.0,4.0,1.0,15.0,2,Card Revolver
C40365,756.0,156.0,0.296,0.151,93.4,242.4,3.0,104.0,0.0,11.0,4,Affluent Relationship
C00313,765.0,118.4,0.242,0.269,20.4,10.9,4.0,66.0,-0.0,12.0,0,Prime Transactor
C20318,667.0,50.1,0.405,0.656,0.0,31.7,3.0,43.0,1.0,18.0,2,Card Revolver
C10128,757.0,37.0,0.296,0.291,23.2,8.6,3.0,69.0,1.0,7.0,1,Mass-Market Saver
C00344,805.0,94.2,0.197,0.093,42.7,23.5,1.0,50.0,1.0,16.0,0,Prime Transactor
C20197,617.0,35.3,0.358,0.86,6.5,20.9,3.0,45.0,1.0,6.0,2,Card Revolver
C20072,660.0,48.5,0.376,0.887,4.9,25.8,3.0,46.0,1.0,18.0,2,Card Revolver
C40227,770.0,103.6,0.279,0.267,108.2,247.4,4.0,74.0,0.0,20.0,4,Affluent Relationship
C40313,786.0,152.4,0.345,0.171,86.9,339.6,5.0,120.0,0.0,14.0,4,Affluent Relationship
C30387,603.0,36.2,0.498,0.747,1.7,28.0,2.0,14.0,6.0,2.0,3,Stressed Book
C20328,621.0,35.2,0.554,0.699,7.6,16.3,3.0,34.0,-0.0,19.0,2,Card Revolver
C10266,707.0,33.4,0.287,0.31,28.3,7.8,2.0,34.0,0.0,3.0,1,Mass-Market Saver
C30076,590.0,39.4,0.444,0.804,2.0,20.4,2.0,42.0,5.0,13.0,3,Stressed Book
C20210,641.0,35.0,0.404,0.73,0.0,21.9,2.0,56.0,2.0,27.0,2,Card Revolver
C10050,706.0,33.1,0.197,0.272,29.2,2.8,2.0,58.0,0.0,6.0,1,Mass-Market Saver
C00179,779.0,69.8,0.14,0.051,24.4,15.0,1.0,90.0,-0.0,12.0,0,Prime Transactor
C30284,567.0,25.7,0.477,0.774,3.1,28.0,3.0,21.0,4.0,5.0,3,Stressed Book
C10054,726.0,50.1,0.219,0.244,5.4,4.6,3.0,67.0,-0.0,11.0,1,Mass-Market Saver
C20278,628.0,42.9,0.27,0.584,1.6,7.3,3.0,53.0,1.0,21.0,2,Card Revolver
C10235,701.0,41.4,0.328,0.316,18.6,0.3,2.0,23.0,-0.0,13.0,1,Mass-Market Saver
C00328,809.0,93.6,0.282,0.081,13.9,3.1,3.0,47.0,1.0,26.0,0,Prime Transactor
C10334,684.0,36.2,0.283,0.184,22.4,4.9,4.0,44.0,0.0,8.0,1,Mass-Market Saver
C10178,757.0,54.2,0.229,0.262,18.5,0.8,2.0,100.0,0.0,8.0,1,Mass-Market Saver
C20322,675.0,32.8,0.379,0.785,3.3,18.9,3.0,28.0,3.0,16.0,2,Card Revolver
C40106,713.0,115.0,0.276,0.154,49.6,213.9,5.0,77.0,0.0,13.0,4,Affluent Relationship
C40053,777.0,122.8,0.295,0.215,85.7,258.9,5.0,118.0,-0.0,17.0,4,Affluent Relationship
C30375,543.0,30.8,0.551,0.99,0.0,26.6,4.0,20.0,6.0,7.0,3,Stressed Book
C00071,749.0,106.5,0.208,0.146,34.8,9.3,2.0,81.0,-0.0,16.0,0,Prime Transactor
C10162,703.0,44.7,0.326,0.184,18.9,9.4,3.0,69.0,1.0,10.0,1,Mass-Market Saver
C10365,721.0,48.5,0.23,0.322,22.9,2.7,2.0,73.0,-0.0,13.0,1,Mass-Market Saver
C00392,801.0,82.7,0.309,0.2,23.3,10.3,3.0,77.0,1.0,9.0,0,Prime Transactor
C10074,695.0,42.1,0.313,0.232,30.6,9.0,2.0,51.0,0.0,2.0,1,Mass-Market Saver
C10026,711.0,66.1,0.239,0.223,32.7,3.4,2.0,32.0,1.0,10.0,1,Mass-Market Saver
C40274,749.0,197.2,0.286,0.238,57.7,166.7,6.0,81.0,1.0,11.0,4,Affluent Relationship
C30261,535.0,31.4,0.553,0.853,2.2,16.4,2.0,40.0,5.0,7.0,3,Stressed Book
C00200,778.0,101.2,0.21,0.067,35.9,7.7,3.0,39.0,-0.0,22.0,0,Prime Transactor
C10165,693.0,36.3,0.225,0.223,5.4,6.3,2.0,67.0,0.0,8.0,1,Mass-Market Saver
C30051,554.0,30.1,0.54,0.794,0.0,26.7,2.0,41.0,3.0,9.0,3,Stressed Book
C20313,590.0,43.9,0.475,0.911,5.2,6.2,3.0,50.0,1.0,27.0,2,Card Revolver
C00308,780.0,102.6,0.28,0.121,48.7,11.4,6.0,96.0,0.0,15.0,0,Prime Transactor
C30061,592.0,42.7,0.589,0.932,1.5,41.8,1.0,35.0,4.0,5.0,3,Stressed Book
C30180,559.0,40.9,0.648,0.851,0.9,36.0,2.0,12.0,4.0,9.0,3,Stressed Book
C40090,771.0,225.8,0.301,0.251,94.9,247.9,7.0,69.0,0.0,6.0,4,Affluent Relationship
C20000,637.0,56.6,0.321,0.776,2.1,8.7,4.0,4.0,3.0,11.0,2,Card Revolver
C10203,676.0,55.8,0.176,0.341,20.4,7.3,3.0,64.0,0.0,7.0,1,Mass-Market Saver
C10369,733.0,55.0,0.313,0.359,32.9,8.7,2.0,27.0,0.0,7.0,1,Mass-Market Saver
C40028,789.0,90.5,0.3,0.24,52.4,139.5,5.0,89.0,-0.0,22.0,4,Affluent Relationship
C00116,793.0,113.8,0.191,0.071,11.6,4.6,4.0,73.0,-0.0,16.0,0,Prime Transactor
C30026,553.0,26.2,0.439,0.841,0.8,27.2,2.0,15.0,7.0,1.0,3,Stressed Book
C00298,752.0,53.8,0.124,0.136,27.5,10.0,3.0,86.0,0.0,16.0,0,Prime Transactor
C40060,744.0,207.1,0.26,0.2,105.7,306.2,4.0,85.0,0.0,5.0,4,Affluent Relationship
C10101,707.0,52.0,0.167,0.159,15.7,5.2,2.0,49.0,-0.0,11.0,1,Mass-Market Saver
C40390,773.0,225.2,0.303,0.171,113.9,137.7,5.0,72.0,0.0,-0.0,4,Affluent Relationship
C20359,641.0,43.5,0.267,0.99,1.9,18.6,2.0,28.0,2.0,18.0,2,Card Revolver
C00004,787.0,96.1,0.146,0.125,41.6,0.0,4.0,75.0,-0.0,30.0,0,Prime Transactor
C20386,616.0,37.9,0.344,0.594,8.9,4.8,3.0,45.0,1.0,43.0,2,Card Revolver
