ticket_id,sport,market,american_odds,implied_prob,is_home,is_favorite,public_pct,line_move,clv_cents,hours_to_start,stake_usd,rest_days,injury_star,weather_flag,live_bet,result
100017,NFL,total,-110,0.5238,0,0,48.5,-1.21,4.4,8.9,45.3,1,0,0,0,Lost
100018,NHL,moneyline,-130,0.5652,1,1,75.1,0.68,-1.2,3.9,7.29,3,0,0,0,Won
100019,MLB,spread,-115,0.5349,1,1,71.5,1.67,-16.7,18.0,5.06,1,0,0,1,Won
100020,NHL,spread,-115,0.5349,0,1,92.0,2.65,-7.6,61.6,58.37,1,1,0,1,Lost
100021,NBA,spread,-120,0.5455,1,1,50.1,0.62,5.0,9.3,98.06,3,0,0,0,Won
100022,Soccer,spread,-110,0.5238,0,1,45.0,1.17,1.8,27.7,30.08,2,0,1,0,Won
100023,Soccer,spread,-110,0.5238,0,0,82.7,-1.14,3.3,9.0,27.55,2,0,1,0,Lost
100024,NHL,moneyline,-180,0.6429,1,1,65.4,-1.11,-9.6,38.5,41.78,0,0,0,0,Lost
100025,NFL,moneyline,-200,0.6667,1,1,60.5,1.13,-18.5,11.8,89.8,0,0,0,1,Lost
100026,NBA,total,-120,0.5455,1,0,60.3,-2.17,-12.5,20.9,70.21,2,0,0,0,Won
100027,NFL,moneyline,180,0.3571,0,0,41.3,0.19,14.9,12.2,40.94,1,0,0,0,Lost
100028,NFL,spread,-115,0.5349,0,0,62.5,1.46,10.9,8.4,57.59,0,0,0,0,Lost
100029,MLB,moneyline,-120,0.5455,1,1,62.0,0.83,-3.5,2.9,65.38,0,1,0,0,Won
100030,NHL,spread,-115,0.5349,0,0,70.9,0.68,16.7,5.1,10.81,0,0,0,0,Won
100031,Soccer,moneyline,-200,0.6667,1,1,76.3,-0.01,-7.4,12.8,49.91,2,0,0,0,Lost
100032,NBA,total,-110,0.5238,1,0,69.3,-0.49,-7.6,24.6,8.82,3,0,0,0,Lost
100033,NBA,spread,-115,0.5349,1,0,60.3,2.23,-18.4,87.2,83.35,2,0,0,1,Lost
100034,NBA,spread,-110,0.5238,1,0,77.3,1.21,-6.4,10.3,67.03,1,0,0,1,Won
100035,NFL,total,-110,0.5238,0,0,64.9,0.84,11.2,9.3,31.76,2,0,0,0,Won
100036,NFL,moneyline,-130,0.5652,1,1,59.6,0.12,13.7,5.0,25.14,4,0,0,1,Won
100037,NBA,moneyline,-180,0.6429,0,1,56.3,-0.51,11.3,35.5,89.38,3,0,0,0,Lost
100038,NFL,moneyline,-250,0.7143,0,1,57.6,1.23,4.5,27.5,38.88,1,0,0,1,Won
100039,MLB,moneyline,-180,0.6429,0,1,70.1,-0.26,17.7,24.6,38.28,2,0,0,0,Won
100040,NBA,spread,-110,0.5238,1,1,50.0,0.2,-13.1,22.4,41.18,1,1,0,0,Won
100041,NHL,total,-115,0.5349,1,1,67.9,0.71,12.7,11.8,44.19,2,0,0,0,Lost
100042,MLB,total,-115,0.5349,1,1,53.0,0.33,1.9,55.8,91.02,1,0,1,0,Lost
100043,NBA,spread,-110,0.5238,0,0,43.0,1.65,1.0,8.2,6.5,1,0,0,0,Lost
100044,NHL,spread,-110,0.5238,1,1,52.9,-1.27,-18.6,10.7,26.87,2,0,0,0,Lost
100045,NHL,moneyline,250,0.2857,1,0,57.7,0.05,2.6,6.6,5.0,2,0,0,0,Lost
100046,NBA,moneyline,220,0.3125,1,0,67.2,2.19,12.3,14.6,43.85,2,0,0,0,Won
100047,NBA,spread,-110,0.5238,0,1,57.9,1.04,-27.0,8.2,16.3,3,0,0,0,Won
100048,MLB,moneyline,180,0.3571,0,0,30.1,-0.15,14.0,9.3,34.32,1,0,0,0,Won
100049,NFL,moneyline,110,0.4762,0,0,92.0,0.71,-32.9,5.6,14.39,3,0,0,0,Lost
100050,NFL,moneyline,180,0.3571,1,0,71.4,-0.11,-18.5,6.9,13.77,0,1,1,0,Lost
100051,NFL,spread,-110,0.5238,0,1,77.2,1.58,-6.6,3.9,19.83,1,1,1,0,Lost
100052,NHL,spread,-105,0.5122,0,1,85.5,0.88,13.5,22.7,32.39,4,0,0,0,Lost
100053,MLB,spread,-105,0.5122,0,1,64.1,-0.83,-3.0,7.6,57.52,2,0,0,0,Lost
100054,MLB,total,-110,0.5238,0,0,53.4,0.24,4.1,70.1,14.88,0,0,0,0,Won
100055,NHL,moneyline,-120,0.5455,1,1,82.3,0.46,-16.4,38.6,34.17,1,0,0,0,Lost
100056,NBA,spread,-115,0.5349,1,1,82.2,0.51,-7.8,17.5,44.03,0,0,0,0,Won
100057,MLB,total,-110,0.5238,0,0,62.4,0.3,-2.2,27.5,18.81,2,0,0,1,Won
100058,NFL,spread,-105,0.5122,0,0,68.6,0.54,18.1,35.6,42.97,4,0,0,0,Won
100059,NFL,moneyline,-250,0.7143,0,1,51.1,0.56,-10.5,10.5,8.74,2,0,0,0,Won
100060,MLB,spread,-120,0.5455,0,0,51.9,-0.76,-9.4,13.7,12.7,2,1,0,1,Lost
100061,NBA,moneyline,-180,0.6429,1,1,86.4,-0.47,7.4,43.4,81.99,3,0,0,0,Won
100062,MLB,moneyline,250,0.2857,0,0,64.7,-0.31,-4.5,46.0,5.0,2,0,0,0,Lost
100063,NHL,total,-110,0.5238,0,1,48.5,0.22,-0.1,8.2,21.7,2,1,0,0,Won
100064,MLB,spread,-110,0.5238,1,0,48.6,-0.26,3.7,96.0,32.01,1,1,0,0,Lost
100065,MLB,spread,-115,0.5349,1,1,81.5,1.18,-13.1,4.9,37.78,2,0,0,0,Won
100066,MLB,spread,-115,0.5349,0,1,68.5,-0.94,-26.1,2.1,39.17,2,0,0,0,Lost
100067,NBA,total,-110,0.5238,1,0,60.2,-1.85,11.4,77.5,24.27,2,0,0,1,Lost
100068,NFL,spread,-115,0.5349,1,0,60.5,2.03,-0.1,31.7,20.89,1,0,0,0,Lost
100069,NBA,moneyline,110,0.4762,1,0,57.0,-0.88,-16.8,19.4,13.39,1,0,0,1,Lost
100070,NFL,moneyline,-200,0.6667,0,1,59.7,1.25,7.8,34.1,130.25,1,0,0,0,Lost
100071,NBA,spread,-110,0.5238,0,1,56.0,0.74,22.6,8.9,62.22,3,0,0,0,Lost
100072,NHL,spread,-110,0.5238,0,1,78.1,-0.79,8.8,3.4,39.57,0,0,0,0,Lost
100073,NFL,spread,-120,0.5455,0,0,60.9,-0.17,23.5,11.0,28.03,2,0,0,1,Won
100074,NFL,moneyline,-200,0.6667,0,1,74.5,-0.25,-20.2,8.8,16.98,2,0,0,0,Lost
100075,NBA,total,-115,0.5349,1,0,64.6,0.33,1.5,6.8,28.57,1,0,0,0,Lost
100076,NBA,spread,-115,0.5349,0,0,74.9,-0.88,-1.2,9.6,11.96,1,1,0,0,Won
100077,MLB,total,-110,0.5238,1,0,60.5,-0.22,-2.9,9.7,110.15,1,0,0,0,Lost
100078,MLB,spread,-110,0.5238,1,1,72.9,0.01,-9.4,10.8,12.98,2,0,0,0,Lost
100079,NHL,spread,-110,0.5238,0,1,68.0,1.22,-37.0,23.2,9.13,1,0,0,0,Lost
100080,MLB,total,-110,0.5238,0,1,51.6,-0.32,18.8,27.2,505.68,1,0,0,0,Lost
100081,NBA,total,-110,0.5238,0,1,63.3,-0.94,-20.9,21.5,26.16,1,0,0,1,Lost
100082,NHL,spread,-110,0.5238,0,1,73.1,-0.52,5.3,1.7,13.16,0,0,0,0,Lost
100083,NFL,moneyline,-120,0.5455,0,1,74.1,0.43,-5.4,6.6,62.04,0,1,0,0,Lost
100084,NFL,total,-110,0.5238,0,0,75.4,-1.94,-5.9,6.7,8.43,0,0,0,0,Lost
100085,NFL,total,-110,0.5238,1,0,52.5,1.25,-4.0,48.3,15.5,3,0,0,0,Lost
100086,NHL,moneyline,150,0.4,0,0,60.7,-0.01,0.9,7.7,64.2,3,0,0,0,Lost
100087,NBA,spread,-105,0.5122,0,0,56.5,0.44,6.2,3.0,229.68,2,0,0,1,Lost
100088,NFL,spread,-110,0.5238,0,1,85.5,0.24,5.9,30.6,79.29,0,1,1,0,Lost
100089,NBA,moneyline,110,0.4762,1,0,62.5,-0.74,-3.0,17.9,59.76,2,1,0,0,Won
100090,NFL,moneyline,250,0.2857,1,0,62.7,-1.17,-16.0,96.0,112.75,3,0,0,0,Lost
100091,MLB,spread,-120,0.5455,0,1,62.6,-0.65,-16.4,4.7,22.86,3,0,0,0,Lost
100092,NBA,spread,-120,0.5455,1,0,55.3,-1.6,11.0,13.5,7.45,2,0,0,0,Won
100093,NBA,spread,-120,0.5455,1,0,40.6,0.39,1.2,6.5,15.41,0,0,0,0,Won
100094,NBA,moneyline,-200,0.6667,0,1,50.9,-0.05,-13.8,6.5,110.59,1,0,0,1,Lost
100095,MLB,spread,-110,0.5238,0,1,65.1,-1.54,-10.4,7.8,9.7,4,0,0,1,Lost
100096,NBA,spread,-110,0.5238,0,1,66.6,-0.58,-2.6,6.1,26.23,3,1,0,0,Lost
100097,NFL,spread,-105,0.5122,0,0,60.2,0.65,-16.9,19.4,31.31,2,0,1,1,Lost
100098,NFL,total,-105,0.5122,1,1,77.3,1.4,-5.9,17.4,44.86,1,0,0,0,Lost
100099,Soccer,moneyline,-150,0.6,0,1,67.1,-1.28,13.5,16.0,53.33,1,0,1,1,Lost
100100,Soccer,spread,-115,0.5349,0,1,61.8,2.35,-2.9,51.5,55.79,1,0,1,1,Lost
100101,MLB,spread,-110,0.5238,0,1,60.5,-0.92,-22.7,27.2,500.21,1,0,0,0,Won
100102,NFL,spread,-110,0.5238,0,1,68.9,-1.73,8.9,34.9,62.26,1,0,0,1,Lost
100103,Soccer,moneyline,-250,0.7143,1,1,61.4,1.93,11.8,19.0,118.75,3,0,0,0,Lost
100104,NHL,moneyline,110,0.4762,0,0,70.8,-1.16,12.5,21.7,31.8,1,0,0,0,Won
100105,MLB,moneyline,-180,0.6429,0,1,62.9,1.68,-0.8,37.9,200.9,1,0,0,0,Won
100106,NBA,moneyline,-130,0.5652,1,1,69.0,-0.64,26.5,5.9,14.37,1,0,0,1,Won
100107,NFL,spread,-115,0.5349,0,1,56.2,-0.21,7.3,9.1,79.32,3,0,1,1,Lost
100108,NFL,spread,-105,0.5122,0,1,78.8,-1.34,30.4,17.6,27.28,0,0,0,0,Lost
100109,Soccer,spread,-110,0.5238,1,1,83.3,1.36,10.7,17.1,77.08,1,0,0,0,Lost
100110,NBA,spread,-120,0.5455,0,1,49.6,1.32,12.9,4.6,50.86,4,0,0,0,Won
100111,NFL,spread,-115,0.5349,0,0,62.8,-0.73,-9.0,32.6,102.22,3,0,1,0,Won
100112,NBA,moneyline,220,0.3125,0,0,56.7,-0.1,-12.9,60.1,48.77,2,0,0,0,Lost
100113,MLB,spread,-105,0.5122,0,1,66.4,0.77,-0.1,56.1,28.82,2,0,0,0,Won
100114,NFL,moneyline,-200,0.6667,0,1,71.4,-0.44,-3.8,8.8,78.6,2,0,0,0,Won
100115,NHL,spread,-115,0.5349,0,1,39.2,1.58,-2.0,35.3,13.82,0,1,0,1,Lost
100116,NHL,spread,-110,0.5238,1,0,67.1,-0.16,-3.1,11.4,5.61,0,0,0,0,Won
100117,MLB,moneyline,130,0.4348,0,0,68.3,-0.6,-3.9,17.5,5.0,0,1,0,0,Lost
100118,NBA,spread,-110,0.5238,0,0,72.7,-1.73,-13.2,44.3,169.89,1,0,0,0,Lost
100119,MLB,spread,-110,0.5238,1,0,43.7,-1.34,6.4,55.0,38.6,2,0,0,0,Won
100120,MLB,spread,-110,0.5238,0,1,62.6,0.7,-10.5,11.0,47.65,1,0,0,0,Lost
100121,MLB,moneyline,-250,0.7143,0,1,56.5,0.35,-2.0,10.3,21.62,0,0,0,0,Lost
100122,NFL,spread,-120,0.5455,0,0,35.0,0.9,-10.1,63.3,40.93,2,0,0,0,Lost
100123,NBA,total,-105,0.5122,1,1,58.6,-0.5,-0.3,15.0,15.45,1,0,0,0,Lost
100124,NFL,total,-110,0.5238,1,0,45.0,-1.71,0.9,1.1,29.63,3,0,0,0,Won
100125,NBA,total,-110,0.5238,0,1,70.0,-0.46,-13.0,24.4,5.46,4,0,0,0,Lost
100126,NBA,spread,-110,0.5238,0,1,46.4,2.27,-0.7,8.0,5.06,1,0,0,0,Won
100127,NFL,moneyline,250,0.2857,0,0,46.2,-1.0,-2.7,12.7,8.72,1,0,0,0,Won
100128,NFL,spread,-110,0.5238,0,1,59.8,0.05,-7.0,28.0,13.46,1,0,0,0,Lost
100129,MLB,total,-105,0.5122,1,1,72.2,-2.48,-10.9,3.1,110.83,1,1,0,0,Lost
100130,NFL,moneyline,-120,0.5455,1,1,92.0,-0.55,-0.1,32.7,335.11,2,0,0,0,Lost
100131,Soccer,spread,-115,0.5349,1,0,61.6,-0.47,-1.2,4.2,89.61,2,0,0,0,Lost
100132,MLB,spread,-110,0.5238,0,0,42.6,0.37,10.0,8.4,5.0,1,1,0,0,Lost
100133,NBA,total,-110,0.5238,1,0,49.9,-0.33,-13.9,21.9,161.97,1,0,0,1,Won
100134,MLB,total,-110,0.5238,1,1,70.9,-1.54,-3.8,5.4,20.94,0,0,0,0,Won
100135,NFL,moneyline,-150,0.6,0,1,49.8,-0.58,-8.9,5.5,6.82,2,0,1,0,Lost
100136,Soccer,moneyline,250,0.2857,1,0,71.2,-0.28,-0.8,22.2,183.98,1,0,0,0,Won
100137,NBA,total,-120,0.5455,0,0,61.3,-1.08,1.7,26.5,20.52,2,0,0,0,Won
100138,NHL,total,-115,0.5349,1,1,64.5,-0.82,-15.7,14.0,12.08,1,0,0,0,Lost
100139,NFL,total,-120,0.5455,1,0,37.8,1.09,11.6,28.7,18.06,2,0,0,0,Won
100140,NBA,spread,-110,0.5238,1,1,77.0,-0.62,20.5,96.0,22.1,1,0,0,0,Won
100141,NBA,moneyline,110,0.4762,1,0,48.9,0.47,0.5,4.3,53.73,4,0,0,0,Lost
100142,Soccer,total,-110,0.5238,1,1,67.8,-0.12,-11.9,2.2,36.71,1,0,0,0,Lost
100143,MLB,spread,-110,0.5238,0,0,53.1,-1.3,-5.0,45.2,16.3,2,0,0,0,Lost
100144,NBA,spread,-115,0.5349,1,1,47.0,-0.22,-5.4,5.7,5.0,2,0,0,0,Lost
100145,NFL,spread,-110,0.5238,0,0,55.2,0.29,-9.5,22.9,14.29,3,0,1,0,Lost
100146,NBA,spread,-110,0.5238,1,0,43.5,1.84,7.2,28.4,38.05,2,1,0,1,Lost
100147,NBA,total,-110,0.5238,1,0,50.2,-0.81,-23.4,15.9,15.02,1,0,0,0,Lost
100148,NBA,spread,-115,0.5349,1,0,63.2,-0.13,1.8,21.1,34.46,1,0,0,0,Lost
100149,NFL,moneyline,250,0.2857,0,0,66.4,0.91,14.0,76.6,30.2,1,0,0,0,Lost
100150,NHL,spread,-110,0.5238,0,1,65.8,1.4,13.2,9.5,89.21,3,0,0,0,Won
100151,Soccer,total,-110,0.5238,1,1,55.4,-0.58,10.8,51.9,39.37,2,0,1,1,Won
100152,NFL,total,-110,0.5238,1,1,58.2,-0.07,-9.4,5.1,68.99,1,0,0,0,Lost
100153,MLB,moneyline,250,0.2857,1,0,47.0,1.18,16.0,22.6,24.31,1,0,0,0,Won
100154,NFL,moneyline,150,0.4,1,0,32.4,0.59,8.9,25.5,142.91,0,0,0,0,Won
100155,MLB,spread,-110,0.5238,0,1,63.9,1.16,15.6,15.4,19.51,1,0,0,0,Lost
100156,NBA,total,-120,0.5455,1,0,38.0,1.27,17.5,39.4,13.49,2,0,0,0,Lost
100157,MLB,moneyline,-200,0.6667,0,1,63.9,0.66,2.3,17.1,107.16,3,1,1,0,Won
100158,NHL,spread,-110,0.5238,1,0,40.5,0.18,1.6,22.2,16.53,2,0,0,0,Won
100159,NHL,total,-120,0.5455,1,0,43.5,-0.69,26.9,8.7,10.67,0,1,0,1,Lost
100160,NFL,spread,-115,0.5349,1,0,66.0,-0.3,-22.9,6.7,10.37,1,0,0,0,Lost
100161,Soccer,moneyline,180,0.3571,1,0,58.3,-0.21,-3.6,6.5,18.68,2,0,0,0,Won
100162,NFL,spread,-105,0.5122,1,0,35.4,1.3,-12.4,9.5,23.29,3,0,0,0,Lost
100163,NFL,moneyline,150,0.4,1,0,51.3,0.18,-0.1,5.2,44.51,0,0,0,0,Won
100164,MLB,spread,-110,0.5238,1,1,66.1,0.27,2.8,88.3,62.41,1,0,0,0,Lost
100165,NBA,spread,-110,0.5238,1,1,58.6,-0.95,-9.2,12.5,30.85,1,0,0,0,Lost
100166,NHL,moneyline,-130,0.5652,0,1,61.9,1.35,-8.3,16.3,73.85,3,1,0,0,Won
100167,NHL,total,-110,0.5238,0,1,68.9,-0.74,-17.3,5.9,65.09,2,0,0,0,Lost
100168,NBA,spread,-110,0.5238,1,0,58.5,-0.32,3.9,96.0,12.46,1,0,0,0,Lost
100169,Soccer,moneyline,110,0.4762,0,0,46.1,1.39,-7.1,13.1,11.86,2,0,0,0,Won
100170,NBA,moneyline,-130,0.5652,0,1,66.3,1.0,3.6,9.7,19.64,2,0,0,1,Lost
100171,NBA,total,-110,0.5238,1,0,54.6,-0.91,-7.8,10.5,5.0,1,0,0,0,Lost
100172,NFL,spread,-110,0.5238,0,1,86.7,-1.12,-2.5,13.6,32.38,4,0,1,0,Lost
100173,Soccer,moneyline,130,0.4348,0,0,56.8,-0.23,7.4,12.5,24.21,3,0,0,0,Lost
100174,NFL,total,-105,0.5122,0,0,59.6,-0.63,4.2,4.9,141.15,2,0,0,1,Lost
100175,NFL,spread,-115,0.5349,1,1,69.1,-1.48,1.0,35.7,85.26,1,0,0,0,Lost
100176,NBA,spread,-110,0.5238,1,1,62.1,-0.71,-2.7,6.0,22.58,0,0,0,0,Won
100177,Soccer,total,-110,0.5238,0,0,49.4,-2.88,4.2,34.1,75.94,0,0,0,0,Lost
100178,Soccer,spread,-115,0.5349,1,1,71.5,1.0,-8.7,5.0,25.72,3,0,0,0,Lost
100179,NHL,spread,-110,0.5238,0,1,71.6,0.94,-3.8,19.2,46.93,3,0,0,0,Lost
100180,Soccer,spread,-105,0.5122,1,0,83.0,1.38,-1.3,6.5,5.0,0,1,1,0,Lost
100181,Soccer,total,-110,0.5238,0,1,74.9,0.42,12.9,8.5,17.66,0,1,0,0,Lost
100182,NBA,total,-115,0.5349,0,0,67.1,-0.52,-8.8,25.4,35.09,2,0,0,1,Lost
100183,NBA,moneyline,-180,0.6429,1,1,74.6,1.12,-16.1,47.6,23.31,2,1,0,0,Lost
100184,NHL,moneyline,180,0.3571,1,0,49.7,-0.74,1.9,84.8,102.64,1,0,0,0,Lost
100185,MLB,spread,-110,0.5238,1,0,39.9,-1.36,19.0,23.0,42.22,1,0,0,0,Won
100186,NBA,spread,-120,0.5455,1,0,46.0,-0.14,8.2,16.4,53.73,1,1,0,0,Lost
100187,NFL,spread,-110,0.5238,1,0,66.3,0.38,-1.2,6.9,36.83,1,0,0,0,Lost
100188,NHL,spread,-110,0.5238,0,0,75.1,-0.93,9.2,3.3,30.53,1,1,0,0,Lost
100189,NFL,spread,-110,0.5238,0,0,66.8,-1.15,-23.2,28.7,72.04,1,0,1,0,Lost
100190,Soccer,moneyline,-250,0.7143,1,1,64.0,-0.36,10.6,13.1,163.91,2,0,0,0,Won
100191,NFL,spread,-115,0.5349,1,1,86.1,0.44,-9.3,16.6,5.0,4,0,0,1,Lost
100192,NFL,spread,-110,0.5238,1,1,60.7,-0.06,6.1,11.5,11.5,0,0,1,0,Lost
100193,NHL,spread,-110,0.5238,1,0,44.2,2.79,10.6,8.6,31.72,2,0,0,0,Won
100194,NFL,spread,-110,0.5238,1,0,61.0,-0.18,0.8,30.2,107.92,0,0,0,0,Lost
100195,NFL,spread,-110,0.5238,0,0,73.5,0.72,-4.7,76.3,63.36,2,0,0,0,Lost
100196,MLB,spread,-115,0.5349,1,0,44.9,-1.51,-6.2,5.6,13.82,1,0,0,1,Lost
100197,Soccer,spread,-110,0.5238,1,0,37.5,0.65,24.8,3.0,20.69,0,0,0,0,Won
100198,NFL,moneyline,180,0.3571,0,0,58.5,-0.51,2.6,13.3,61.31,0,0,0,1,Won
100199,NBA,total,-115,0.5349,1,1,75.3,0.03,-2.8,8.6,16.97,1,0,0,0,Won
100200,NHL,total,-110,0.5238,0,1,30.4,1.95,22.6,47.7,39.24,1,0,0,0,Won
100201,Soccer,total,-110,0.5238,0,1,77.7,-0.35,-11.5,25.9,15.71,1,1,0,0,Lost
100202,NBA,moneyline,110,0.4762,0,0,41.6,-1.35,1.5,90.6,47.68,1,0,0,0,Lost
100203,NFL,total,-110,0.5238,0,1,74.7,-1.16,5.7,43.4,54.87,1,0,0,1,Lost
100204,NFL,moneyline,-150,0.6,0,1,42.0,0.33,19.8,18.1,5.0,3,0,0,0,Won
100205,NFL,moneyline,-250,0.7143,1,1,48.3,0.25,-1.0,18.8,165.49,2,0,1,1,Lost
100206,NFL,spread,-110,0.5238,1,1,73.4,0.13,-0.9,23.4,183.5,1,0,0,0,Lost
100207,MLB,spread,-115,0.5349,0,1,77.6,-1.31,-24.6,7.2,5.0,2,1,0,0,Lost
100208,NFL,spread,-110,0.5238,0,1,65.9,2.2,13.9,24.3,24.12,1,0,0,0,Won
100209,NBA,spread,-105,0.5122,1,1,92.0,1.53,-18.5,56.5,6.36,1,0,0,1,Lost
100210,MLB,total,-110,0.5238,0,0,42.7,0.16,-8.0,9.3,5.0,1,0,0,0,Lost
100211,MLB,spread,-120,0.5455,1,0,42.6,-1.57,0.8,13.2,64.73,2,0,0,0,Lost
100212,NFL,moneyline,180,0.3571,0,0,54.4,1.65,-9.3,29.7,167.59,0,0,0,0,Won
100213,NHL,total,-105,0.5122,0,0,53.8,1.18,-24.8,63.4,29.32,1,0,0,0,Won
100214,MLB,moneyline,-120,0.5455,0,1,66.4,0.18,-16.3,8.4,132.17,2,0,0,0,Lost
100215,NHL,spread,-105,0.5122,0,1,57.1,1.36,-0.3,20.5,15.98,4,0,0,0,Won
100216,NFL,spread,-110,0.5238,1,0,64.8,-0.56,16.5,16.0,7.56,0,0,0,0,Won
100217,NFL,spread,-110,0.5238,1,1,72.5,-0.96,11.5,12.8,20.7,1,0,0,0,Lost
100218,Soccer,total,-110,0.5238,1,0,77.4,0.08,-0.9,3.1,14.24,1,0,0,0,Won
100219,NBA,moneyline,-200,0.6667,0,1,60.1,-1.54,0.4,8.4,45.05,2,0,0,0,Won
100220,NBA,moneyline,-150,0.6,0,1,70.0,-1.11,8.1,5.4,84.19,1,0,0,0,Lost
100221,NBA,moneyline,110,0.4762,0,0,65.3,0.53,14.4,14.6,10.01,3,0,0,0,Lost
100222,MLB,moneyline,110,0.4762,1,0,54.9,0.24,-0.1,10.9,8.28,2,0,0,0,Won
100223,Soccer,moneyline,-180,0.6429,0,1,63.5,-1.37,0.3,5.6,69.06,3,0,1,0,Lost
100224,NBA,spread,-110,0.5238,1,0,33.2,-0.38,6.9,12.9,21.49,2,1,0,1,Lost
100225,Soccer,spread,-110,0.5238,1,0,59.0,-1.43,10.6,88.2,62.81,4,0,1,0,Lost
100226,NFL,spread,-110,0.5238,0,1,73.1,-0.46,-21.9,9.1,13.71,2,0,0,0,Won
100227,MLB,moneyline,-150,0.6,0,1,62.3,-0.54,-1.3,11.6,16.04,0,0,0,0,Lost
100228,MLB,total,-120,0.5455,0,1,53.6,1.15,3.3,13.4,79.36,2,0,1,0,Lost
100229,NFL,moneyline,150,0.4,0,0,37.8,-0.13,-18.2,8.5,65.39,0,0,1,0,Lost
100230,NFL,moneyline,150,0.4,1,0,63.4,-0.3,9.5,4.0,112.47,1,0,0,0,Won
100231,NBA,total,-110,0.5238,1,0,58.4,-0.44,11.4,83.8,24.56,4,0,0,0,Lost
100232,Soccer,spread,-115,0.5349,1,1,82.7,-1.78,-28.9,3.2,102.5,4,0,0,1,Lost
100233,MLB,spread,-115,0.5349,0,0,37.6,-0.07,-0.5,3.5,45.74,0,0,0,0,Won
100234,Soccer,total,-110,0.5238,1,0,52.4,0.5,-6.1,32.3,44.03,1,1,0,0,Won
100235,NHL,total,-110,0.5238,1,0,42.1,0.27,-12.2,2.6,13.31,4,1,0,0,Won
100236,NBA,moneyline,250,0.2857,1,0,70.3,0.67,-10.5,32.9,56.12,0,0,0,1,Won
100237,NHL,spread,-110,0.5238,0,0,72.9,0.71,-11.8,35.7,23.53,3,0,0,0,Lost
100238,NFL,total,-120,0.5455,0,0,81.1,2.21,1.8,8.0,175.53,4,0,0,0,Won
100239,NFL,total,-110,0.5238,1,1,72.3,-1.13,9.5,17.1,29.92,3,0,0,0,Won
100240,NHL,moneyline,220,0.3125,0,0,67.5,0.19,5.1,15.7,25.21,3,0,0,0,Won
100241,NHL,spread,-110,0.5238,0,1,71.2,0.42,-12.5,8.0,100.87,2,1,0,0,Lost
100242,NFL,moneyline,-130,0.5652,0,1,72.9,-0.28,4.0,9.5,32.46,3,0,0,0,Won
100243,NBA,total,-110,0.5238,0,1,66.6,-0.59,5.7,14.3,13.34,0,0,0,0,Won
100244,MLB,total,-110,0.5238,1,1,70.4,0.58,-36.7,10.8,6.99,0,0,0,0,Lost
100245,Soccer,moneyline,-180,0.6429,0,1,91.7,0.42,9.4,27.6,12.8,2,0,0,0,Won
100246,MLB,moneyline,-150,0.6,1,1,65.6,-1.03,0.1,14.4,5.29,0,0,0,0,Lost
100247,NBA,moneyline,-250,0.7143,1,1,66.3,-1.82,0.5,24.7,27.41,2,0,0,1,Won
100248,NBA,moneyline,250,0.2857,0,0,60.4,-0.55,-22.4,11.6,67.79,2,0,0,0,Lost
100249,NBA,spread,-115,0.5349,1,1,64.2,-0.63,17.9,29.3,17.45,2,0,0,0,Lost
100250,MLB,spread,-110,0.5238,0,0,58.0,0.61,2.5,36.4,332.13,1,0,0,0,Lost
