country,region,year,quarter,income_group,primary_export_sector,currency_regime,imf_program_active,population,gdp_per_capita_usd,exports_pct_gdp,imports_pct_gdp,tourism_arrivals_millions,tourism_revenue_pct_gdp,fdi_inflow_pct_gdp,inflation_rate_pct,unemployment_rate_pct,central_bank_rate_pct,government_debt_pct_gdp,fiscal_balance_pct_gdp,trade_balance_pct_gdp,commodity_export_price_index,exchange_rate_volatility_index,education_spending_pct_gdp,political_stability_index,natural_disaster_event,disaster_damage_pct_gdp,imf_next_year_growth_forecast_pct,gdp_growth_rate_pct
El Salvador,Central America,2022,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),Yes,"6,302,518 people","$4,514",30.2%,45.2%,1.10 million visitors,4.1%,4.8%,7.1%,5.9%,9.8%,84.6%,(4.5%),(14.1%),108.1,24.3,4.9%,-1.07,No,..,1.5%,2.7%
 Paraguay ,South America,2013,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,816,864 people","$5,728",44.7%,48.0%,0.13 million visitors,0.8%,..,3.0%,6.1%,4.7%,30.5%,(3.7%),(2.9%),116.6,39.6,..,-0.61,No,..,3.1%,2.9%
costa rica,Central America,2018,Q4,Upper middle income,Tourism & Services,Managed Float,No,"5,038,960 people","$12,915",29.1%,42.4%,4.15 million visitors,11.3%,3.1%,6.8%,2.5%,9.4%,54.1%,(3.7%),(13.4%),93.7,33.6,..,0.57,No,..,4.8%,6.0%
 El Salvador ,Central America,2007,Q1,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),Yes,"6,303,805 people","$4,989",35.5%,37.1%,0.86 million visitors,2.2%,2.9%,3.8%,2.2%,2.3%,74.8%,(2.8%),(1.4%),102.8,2.0,3.3%,-1.04,No,..,0.8%,2.7%
 Panama ,Central America,2012,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,213,129 people","$17,257",28.9%,32.2%,1.63 million visitors,5.3%,(0.3%),2.7%,6.0%,3.8%,54.5%,(4.3%),(2.9%),107.0,16.2,5.6%,0.57,No,..,6.1%,5.6%
EL SALVADOR,Central America,2012,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,282,413 people","$3,352",34.1%,44.5%,1.42 million visitors,2.5%,0.0%,5.0%,6.8%,6.3%,80.2%,(2.5%),(11.3%),96.6,25.4,2.3%,-0.31,No,..,3.8%,2.4%
NICARAGUA,Central America,2008,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,419,241 people","$2,502",41.8%,34.3%,0.84 million visitors,0.8%,(0.2%),7.5%,8.9%,8.0%,39.0%,(4.7%),6.7%,95.8,38.7,5.5%,-1.52,Yes,0.8%,(1.2%),1.8%
 El Salvador ,Central America,2004,Q1,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),Yes,"6,262,000 people","$5,446",34.5%,40.4%,0.79 million visitors,1.5%,4.2%,4.4%,6.2%,6.5%,71.2%,(2.8%),(5.7%),99.4,12.0,5.6%,-0.75,No,..,3.6%,1.6%
Trinidad and Tobago,Caribbean,2022,Q4,High income,Mining & Extractives,Floating,Yes,"1,521,994 people","$15,776",39.0%,43.2%,0.05 million visitors,1.7%,6.8%,8.3%,4.1%,8.9%,70.5%,(4.1%),(3.4%),98.4,23.9,5.8%,0.62,No,..,(0.6%),(0.3%)
uruguay,South America,2007,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,364,915 people","$16,347",41.3%,58.1%,0.65 million visitors,2.2%,3.6%,6.8%,8.9%,6.7%,62.2%,(2.6%),(16.1%),93.6,40.6,6.0%,1.36,No,..,4.0%,3.6%
ECUADOR,South America,2013,Q4,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,483,877 people","$6,263",47.8%,50.3%,0.95 million visitors,2.7%,2.4%,7.2%,5.3%,9.7%,66.5%,(7.2%),(1.6%),92.7,10.6,..,-0.36,No,..,0.7%,1.4%
COSTA RICA,Central America,2011,Q3,Upper middle income,Tourism & Services,Managed Float,No,"4,983,838 people","$12,340",42.7%,46.7%,3.88 million visitors,11.4%,4.1%,4.6%,4.3%,8.5%,51.3%,(5.0%),(6.1%),104.4,22.8,5.5%,0.28,No,..,5.2%,5.3%
Trinidad  and  Tobago,Caribbean,2015,Q4,High income,Mining & Extractives,Floating,No,"1,490,856 people","$16,088",51.2%,60.9%,1.06 million visitors,3.8%,7.4%,4.5%,9.3%,7.8%,62.3%,(3.7%),(11.2%),84.3,30.7,4.6%,-0.21,No,..,(2.8%),(0.8%)
EL SALVADOR,Central America,2013,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,218,862 people","$3,402",41.8%,46.6%,0.86 million visitors,3.3%,1.0%,5.2%,9.4%,6.0%,83.4%,(2.7%),(5.7%),91.2,18.4,2.7%,-1.02,No,..,1.3%,0.9%
Guatemala,Central America,2014,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,535,271 people","$5,207",35.9%,40.3%,1.28 million visitors,1.1%,..,5.4%,5.8%,6.4%,42.1%,(2.3%),(3.7%),111.6,38.7,5.7%,-0.65,No,..,2.3%,3.3%
JAMAICA,Caribbean,2009,Q4,Upper middle income,Tourism & Services,Floating,No,"2,776,353 people","$5,231",34.9%,35.0%,2.57 million visitors,7.2%,2.9%,5.7%,9.9%,6.3%,95.4%,(4.1%),0.4%,111.7,10.8,..,-0.69,No,..,0.6%,0.2%
dominican republic,Caribbean,2013,Q3,Upper middle income,Tourism & Services,Managed Float,No,"10,770,111 people","$7,995",27.6%,34.4%,2.19 million visitors,7.1%,1.1%,4.6%,5.3%,5.1%,48.9%,(3.9%),(6.1%),90.2,24.9,5.1%,-0.22,Yes,1.3%,0.5%,4.0%
COSTA RICA,Central America,2005,Q2,Upper middle income,Tourism & Services,Managed Float,No,"4,958,804 people","$13,528",37.7%,39.9%,2.78 million visitors,6.8%,3.3%,9.0%,7.1%,9.7%,50.7%,(3.1%),(2.7%),100.3,34.5,3.6%,0.14,No,..,4.6%,4.6%
GUATEMALA,Central America,2012,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,490,862 people","$4,234",33.0%,36.3%,1.48 million visitors,4.6%,3.7%,4.4%,8.4%,5.9%,39.9%,(4.1%),(4.6%),112.3,31.2,3.4%,-0.44,No,..,3.7%,1.4%
Belize,Central America,2007,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"445,913 people","$4,762",27.8%,31.2%,..,4.6%,7.9%,2.4%,9.9%,5.1%,89.0%,(0.4%),(3.8%),85.8,5.9,3.7%,0.11,No,..,0.2%,2.0%
honduras,Central America,2016,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,454,934 people","$2,190",38.4%,43.5%,0.25 million visitors,2.8%,2.8%,3.6%,9.9%,5.0%,53.9%,(3.6%),(4.5%),87.0,31.0,3.5%,-1.12,No,..,2.0%,1.2%
COSTA RICA,Central America,2009,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,031,302 people","$12,939",31.5%,31.9%,3.95 million visitors,8.5%,4.8%,2.2%,5.0%,2.1%,51.5%,(3.1%),(0.9%),102.6,29.8,2.8%,0.86,No,..,2.3%,3.1%
NICARAGUA,Central America,2021,Q4,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,439,092 people","$1,676",38.4%,37.0%,0.64 million visitors,0.9%,1.0%,7.8%,10.1%,10.5%,38.4%,(3.9%),1.8%,95.2,17.4,5.7%,-0.74,No,..,(1.4%),0.9%
Belize,Central America,2010,Q3,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"382,028 people","$4,738",28.1%,39.8%,1.66 million visitors,7.1%,5.7%,7.8%,8.3%,10.3%,89.5%,(6.3%),(11.1%),85.4,9.8,3.9%,-0.73,No,..,(1.6%),(0.1%)
Guatemala,Central America,2020,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,516,744 people","$5,191",39.6%,40.5%,0.51 million visitors,2.9%,(2.8%),3.1%,8.9%,4.8%,45.2%,(5.0%),(1.0%),101.7,37.6,3.6%,-0.55,No,..,1.7%,2.2%
 Belize ,Central America,2022,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"421,686 people","$4,853",33.3%,39.3%,0.60 million visitors,7.3%,1.8%,2.8%,7.6%,5.4%,89.6%,(3.9%),(5.3%),69.2,36.8,4.4%,-0.91,No,..,(1.2%),2.6%
BOLIVIA,South America,2011,Q1,Lower middle income,Mining & Extractives,Managed Float,No,"11,545,278 people","$4,337",31.3%,38.0%,0.05 million visitors,1.9%,3.5%,6.3%,3.2%,8.0%,47.2%,(6.4%),(6.6%),89.1,18.3,4.0%,-0.57,No,..,(0.3%),0.8%
Belize,Central America,2017,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"411,653 people","$6,000",32.0%,33.1%,1.28 million visitors,5.5%,2.2%,1.0%,9.2%,2.5%,90.9%,(3.8%),(1.8%),70.8,18.1,5.0%,0.44,No,..,5.2%,3.1%
Ecuador,South America,2013,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,516,262 people","$6,485",36.8%,32.8%,0.55 million visitors,4.4%,5.1%,6.8%,6.2%,9.2%,66.5%,(2.9%),2.2%,92.7,18.4,3.7%,-1.01,No,..,2.8%,2.8%
 Jamaica ,Caribbean,2013,Q2,Upper middle income,Tourism & Services,Floating,No,"2,746,543 people","$4,976",34.5%,32.6%,3.92 million visitors,8.6%,2.6%,5.5%,3.8%,9.0%,93.7%,(2.9%),2.9%,113.1,36.8,3.9%,-0.47,No,..,3.5%,1.4%
Ecuador,South America,2005,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,523,017 people","$6,513",43.2%,42.4%,1.01 million visitors,1.6%,3.3%,8.6%,6.8%,9.9%,59.1%,(4.8%),3.4%,101.6,22.8,..,-0.1,No,..,2.4%,1.7%
Ecuador,South America,2012,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,493,613 people","$5,953",48.1%,51.4%,0.81 million visitors,0.8%,..,1.3%,10.4%,2.7%,67.3%,(4.1%),(2.9%),94.2,7.2,6.5%,-0.35,No,..,(0.2%),(0.3%)
panama,Central America,2003,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,243,146 people","$16,320",37.9%,38.4%,2.11 million visitors,2.9%,2.2%,6.5%,8.1%,10.7%,50.3%,(1.5%),(0.2%),98.0,28.1,5.6%,0.44,No,..,6.6%,5.9%
Dominican  Republic,Caribbean,2023,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,750,465 people","$7,509",41.0%,59.2%,1.95 million visitors,7.3%,2.9%,6.3%,8.0%,7.3%,51.6%,(1.7%),(15.8%),90.8,14.6,3.7%,0.42,No,..,6.2%,5.1%
bolivia,South America,2009,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,590,267 people","$4,279",40.4%,44.3%,..,0.5%,2.9%,7.3%,9.3%,8.2%,40.1%,(2.9%),(5.2%),87.8,43.4,5.6%,-0.09,No,..,(0.1%),(0.4%)
PARAGUAY,South America,2005,Q1,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,836,130 people","$6,047",33.3%,39.3%,..,1.0%,0.9%,5.1%,5.7%,7.9%,27.9%,(3.4%),(6.6%),104.2,35.0,7.2%,0.11,No,..,(0.6%),2.4%
 Uruguay ,South America,2005,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,426,565 people","$16,861",31.1%,41.0%,1.05 million visitors,0.5%,2.8%,1.2%,7.4%,1.5%,60.3%,(1.5%),(12.4%),98.6,32.4,4.2%,1.43,No,..,3.7%,1.8%
Panama,Central America,2017,Q2,High income,Trade & Logistics,Pegged (Dollarized),No,"4,166,596 people","$15,791",30.3%,35.0%,1.49 million visitors,6.4%,(2.8%),1.5%,7.9%,3.2%,57.9%,0.7%,(3.8%),106.8,16.6,4.7%,0.2,No,..,6.4%,4.1%
Dominican  Republic,Caribbean,2006,Q2,Upper middle income,Tourism & Services,Managed Float,No,"10,871,789 people","$7,806",36.0%,55.7%,3.13 million visitors,5.1%,(3.4%),1.7%,9.8%,4.0%,49.1%,(1.7%),(19.4%),96.3,36.2,4.0%,0.1,No,..,3.3%,4.5%
panama,Central America,2016,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,275,277 people","$15,517",37.6%,43.3%,2.29 million visitors,4.9%,(0.0%),3.6%,8.6%,6.2%,55.8%,(6.7%),(6.7%),106.2,16.0,2.9%,-0.14,No,..,3.0%,4.5%
BOLIVIA,South America,2018,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,513,923 people","$3,771",41.2%,41.9%,0.05 million visitors,0.5%,2.2%,8.8%,10.4%,10.0%,49.3%,(1.2%),(0.6%),87.2,42.9,3.9%,-0.35,No,..,2.1%,1.2%
PANAMA,Central America,2005,Q2,High income,Trade & Logistics,Pegged (Dollarized),No,"4,235,970 people","$14,731",29.2%,37.4%,1.94 million visitors,5.1%,4.5%,4.4%,8.1%,6.6%,52.6%,(3.1%),(7.3%),99.4,15.4,4.6%,0.71,No,..,3.3%,3.9%
 Panama ,Central America,2003,Q1,High income,Trade & Logistics,Pegged (Dollarized),No,"4,203,911 people","$15,171",32.3%,40.4%,2.69 million visitors,2.4%,3.9%,3.1%,8.2%,4.4%,50.3%,(4.4%),(8.8%),98.0,33.7,4.0%,0.49,No,..,6.0%,5.3%
Guatemala,Central America,2008,Q2,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,528,719 people","$5,161",36.6%,40.4%,1.35 million visitors,3.7%,5.7%,5.5%,8.9%,7.3%,36.8%,(5.9%),(2.7%),111.1,23.0,3.3%,-0.66,No,..,0.4%,0.6%
 Panama ,Central America,2008,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,187,447 people","$16,890",31.1%,27.4%,0.65 million visitors,5.3%,(0.7%),5.7%,6.3%,8.0%,51.2%,(3.0%),4.6%,104.2,6.5,4.0%,0.37,No,..,3.4%,4.6%
Honduras,Central America,2007,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,508,392 people","$3,305",33.6%,37.9%,1.23 million visitors,0.5%,5.3%,8.4%,8.4%,10.3%,47.6%,(0.2%),(4.9%),94.7,40.8,4.5%,-0.86,No,..,(1.1%),0.0%
 El Salvador ,Central America,2016,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,272,732 people","$5,032",33.3%,41.8%,0.86 million visitors,0.8%,1.8%,2.8%,8.5%,5.8%,83.3%,(0.3%),(8.3%),91.0,26.1,3.0%,-0.64,No,..,(0.1%),1.4%
JAMAICA,Caribbean,2020,Q3,Upper middle income,Tourism & Services,Floating,No,"2,845,467 people","$5,690",33.6%,44.9%,2.33 million visitors,8.9%,3.4%,4.9%,8.0%,6.6%,97.4%,(3.6%),(12.0%),111.7,28.1,5.2%,-0.07,No,..,(0.5%),0.2%
Uruguay,South America,2022,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,376,546 people","$17,754",43.1%,47.5%,0.55 million visitors,3.6%,3.4%,7.0%,6.3%,9.7%,82.1%,(2.2%),(5.1%),95.9,29.7,5.8%,1.17,No,..,(0.3%),1.7%
Paraguay,South America,2006,Q1,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,817,034 people","$6,138",31.2%,26.1%,0.05 million visitors,0.5%,2.4%,4.5%,10.3%,6.3%,30.9%,(1.0%),5.2%,97.0,9.6,6.0%,0.06,No,..,4.2%,2.2%
Paraguay,South America,2018,Q1,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,805,931 people","$6,691",32.9%,39.6%,0.78 million visitors,4.4%,7.2%,4.2%,4.9%,5.7%,29.4%,(3.9%),(5.7%),125.0,32.1,4.7%,0.43,No,..,2.0%,2.8%
PARAGUAY,South America,2023,Q1,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,871,267 people","$5,010",46.4%,43.7%,0.20 million visitors,1.2%,5.4%,8.7%,2.9%,11.9%,29.7%,(3.8%),2.5%,123.4,32.6,5.3%,-0.37,No,..,1.9%,2.8%
guyana,South America,2011,Q3,High income,Mining & Extractives,Floating,No,"807,159 people","$14,026",50.4%,63.1%,0.68 million visitors,0.5%,0.7%,2.8%,3.2%,4.0%,43.2%,(3.8%),(11.9%),99.7,29.2,5.4%,-0.12,No,..,13.6%,13.2%
ecuador,South America,2003,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,487,166 people","$7,847",43.1%,47.2%,1.21 million visitors,1.2%,6.5%,5.9%,5.4%,8.3%,60.3%,(3.1%),(5.0%),100.2,30.0,..,-0.09,No,..,2.5%,0.8%
HONDURAS,Central America,2011,Q4,Lower middle income,Agriculture & Agro-exports,Floating,Yes,"9,517,670 people","$2,208",37.5%,50.6%,0.73 million visitors,4.1%,3.1%,3.5%,6.2%,3.4%,51.5%,(4.2%),(12.5%),93.1,36.1,4.3%,-0.8,No,..,4.4%,4.2%
GUYANA,South America,2006,Q4,High income,Mining & Extractives,Floating,No,"951,725 people","$14,595",49.2%,62.0%,0.99 million visitors,1.0%,4.4%,5.9%,8.2%,7.7%,37.3%,(4.5%),(13.9%),102.3,44.4,3.2%,-0.17,No,..,11.2%,10.5%
Bolivia,South America,2020,Q3,Lower middle income,Mining & Extractives,Managed Float,No,"11,481,399 people","$3,583",44.1%,66.1%,0.21 million visitors,0.5%,1.2%,7.4%,7.9%,9.1%,51.6%,(2.9%),(22.2%),80.6,24.8,4.9%,-0.08,No,..,2.3%,1.4%
