priority,weapon,injury,offense,time-band,location,district,repeat-site,witness,cctv,alcohol,gang-flag,juvenile,domestic,vehicle,weekday,shift,precinct-size,report-delay,officer-count,clearance,file-flag
r,k,n,a,e,h,a,t,t,f,f,f,f,t,f,t,a,l,i,m,?,i
p,k,n,b,e,s,c,f,t,f,f,f,f,f,t,t,a,l,s,o,o,i
r,n,n,d,d,s,d,f,f,f,f,f,t,f,t,t,a,m,i,m,?,i
p,n,m,r,n,t,d,f,f,f,f,f,f,f,t,t,b,m,l,o,c,i
r,n,n,v,d,s,e,f,f,f,f,f,f,f,f,t,a,s,i,m,o,i
p,n,m,d,e,s,c,f,t,f,f,f,f,f,t,f,c,l,s,m,c,i
p,n,n,d,n,s,c,f,f,f,f,f,t,f,t,t,c,m,s,o,?,i
r,o,n,t,d,h,b,f,t,t,f,f,f,f,f,t,c,m,s,m,o,i
r,n,n,t,n,s,d,f,f,f,t,f,f,f,f,f,c,m,i,o,o,i
r,n,n,b,n,c,f,f,t,t,t,f,f,f,f,t,a,l,i,o,c,i
r,n,n,h,e,s,b,f,f,t,t,f,t,f,f,t,b,l,i,m,c,i
r,n,n,b,n,s,b,f,f,f,f,f,f,f,f,t,b,m,s,o,o,i
p,f,n,a,e,s,b,f,t,f,t,f,f,f,f,t,c,s,s,o,o,i
p,k,m,b,e,s,b,f,f,t,f,f,f,f,t,f,b,m,s,m,?,i
r,o,n,t,e,c,d,t,t,f,f,f,f,f,t,f,a,m,s,o,c,i
p,f,n,t,d,s,a,f,t,t,t,f,f,f,f,t,b,s,i,o,o,i
r,n,m,t,d,c,e,f,t,f,f,f,f,f,f,t,a,s,i,o,o,i
p,o,n,t,d,h,a,t,f,f,f,t,f,f,f,t,a,m,i,o,o,i
r,n,m,v,d,s,a,f,t,t,t,f,f,t,f,f,c,s,i,o,?,i
p,n,s,a,n,s,a,f,t,f,f,f,f,f,f,t,a,l,l,o,o,i
r,n,s,t,n,h,c,f,f,t,f,f,f,f,t,t,a,s,i,m,o,i
p,f,n,b,n,h,e,f,t,t,t,f,f,f,t,t,c,m,l,m,o,i
r,n,n,a,d,h,f,f,t,f,f,f,t,f,f,t,a,m,i,o,?,i
r,n,n,a,e,p,c,f,t,t,f,f,t,f,f,f,a,l,s,m,o,i
p,k,m,a,e,s,b,f,t,f,f,f,f,f,t,t,a,l,i,m,o,i
r,n,m,t,d,h,e,f,f,f,f,f,f,f,f,t,c,s,s,o,o,i
p,f,n,r,e,h,d,f,f,f,f,t,t,f,t,t,a,s,i,m,c,i
r,n,n,t,d,s,d,t,f,f,f,f,f,f,f,t,a,m,i,o,o,i
r,n,n,t,n,h,c,f,t,t,f,f,f,f,f,t,c,l,i,o,?,i
r,n,n,t,d,h,d,f,f,t,t,f,f,f,f,t,b,s,s,o,o,i
p,k,n,a,n,h,a,t,f,t,f,f,f,f,f,t,c,m,s,o,o,i
r,n,s,t,n,c,b,f,t,f,f,f,f,t,f,t,c,m,s,o,?,i
r,n,n,a,e,s,f,t,f,t,f,f,f,t,f,t,a,l,s,o,o,i
r,n,n,t,d,h,a,t,f,t,f,t,f,f,f,f,a,m,i,o,c,i
p,u,s,t,d,c,b,t,f,f,f,f,f,f,f,t,b,l,s,m,o,i
r,u,n,d,n,h,b,f,t,f,f,f,f,f,f,t,b,m,i,o,c,i
r,f,n,a,d,c,a,t,t,f,t,f,f,f,f,t,b,m,s,o,o,i
r,n,m,t,d,h,f,f,f,f,f,f,f,f,t,t,b,m,i,o,c,i
p,u,n,b,n,h,a,f,f,f,f,f,f,f,f,t,c,m,i,o,c,i
r,o,n,t,n,s,c,f,f,f,f,f,f,f,f,f,b,s,i,o,o,i
p,f,m,v,e,c,e,f,t,f,f,f,f,t,f,f,b,s,l,o,o,i
r,n,m,t,d,h,a,f,f,f,f,f,f,f,t,t,c,l,i,o,?,i
r,n,m,b,e,s,a,f,t,f,f,f,f,f,f,f,c,m,i,o,o,i
p,n,f,d,n,s,b,f,t,f,f,f,f,f,t,t,a,s,i,o,c,i
p,u,n,t,d,s,a,f,f,t,f,f,f,f,f,f,c,s,l,m,o,i
r,n,m,t,d,h,a,t,f,f,f,t,f,f,f,t,c,l,s,o,o,i
r,n,n,r,d,s,d,t,f,t,t,f,f,f,t,t,a,l,i,m,?,i
r,n,m,h,e,p,a,f,t,f,f,f,f,f,f,f,a,m,s,m,?,i
p,k,m,a,d,t,d,t,t,f,f,t,f,f,f,t,b,l,i,o,?,i
p,n,m,r,n,t,f,f,f,f,f,t,f,f,f,t,b,s,l,o,c,i
p,o,s,t,d,s,b,t,f,f,t,f,f,f,f,f,b,l,i,m,o,i
p,f,n,r,d,h,b,t,f,f,f,f,t,f,f,f,a,m,i,o,o,i
p,f,m,t,n,p,a,f,f,t,f,f,f,f,f,t,b,m,i,o,c,i
p,n,n,r,n,c,a,t,f,f,f,f,f,f,t,t,c,s,i,m,o,i
r,k,n,t,e,s,c,f,f,t,f,f,f,f,t,f,a,s,i,m,c,i
p,k,m,b,n,p,c,f,t,f,f,f,f,f,t,t,a,s,l,m,o,i
p,f,m,t,d,h,a,f,f,f,f,f,f,f,f,t,b,m,i,m,c,i
r,n,n,r,e,c,b,f,f,f,f,f,f,f,f,t,a,s,s,o,c,i
r,n,n,v,d,t,a,f,f,f,f,f,f,t,f,t,a,m,i,m,o,i
r,n,n,d,e,t,d,f,t,t,f,t,f,f,t,t,a,l,i,m,?,i
p,k,n,h,n,h,c,f,f,f,f,t,f,f,t,t,a,l,i,o,?,i
p,n,n,a,n,s,e,t,t,f,t,f,f,f,f,t,b,l,s,o,c,i
p,n,s,r,d,h,d,f,f,t,f,f,f,f,t,t,a,l,i,o,c,i
r,n,n,t,d,c,b,f,f,f,f,t,t,f,f,t,b,m,s,m,c,i
p,k,f,d,n,h,d,f,f,f,f,f,t,f,t,t,c,m,l,m,c,i
r,n,n,r,e,h,a,t,t,f,f,t,f,f,f,t,b,l,l,o,?,i
p,u,m,a,d,h,d,f,f,f,f,f,f,f,t,t,c,m,l,o,?,i
r,k,n,a,d,h,b,f,t,f,f,f,f,f,f,t,a,m,i,o,?,i
r,n,m,v,d,t,c,f,f,f,f,f,f,t,f,t,c,l,i,m,o,i
p,k,m,d,e,p,c,f,t,f,f,f,f,f,t,f,a,l,s,o,o,i
r,n,m,v,e,h,d,f,t,t,f,t,t,f,f,t,b,m,s,m,o,i
p,u,s,b,e,h,d,t,f,f,f,f,f,f,t,t,b,m,i,m,o,i
p,k,n,a,e,h,a,f,t,f,t,f,f,f,f,t,a,l,s,m,c,i
p,o,n,d,e,h,c,f,f,f,f,f,t,f,f,t,a,m,i,o,o,i
r,n,n,r,d,s,a,f,f,f,f,t,f,f,f,f,a,l,i,m,o,i
p,k,m,b,d,c,b,f,t,f,t,f,f,t,f,f,c,l,l,o,c,i
p,k,n,b,d,c,a,f,t,f,f,f,t,t,t,t,a,s,s,m,o,i
p,u,n,r,n,h,d,t,f,f,f,f,f,f,f,f,b,s,s,o,o,i
p,k,n,v,n,t,d,f,f,f,f,f,f,f,f,t,a,s,l,o,c,i
r,n,n,b,d,t,e,f,f,f,f,f,t,f,t,f,b,l,i,m,?,i
r,n,m,d,e,p,c,f,t,f,f,t,f,t,t,t,a,m,s,o,?,i
r,n,m,d,e,t,e,f,t,t,f,f,f,f,t,t,a,m,s,m,o,i
p,k,m,a,e,h,f,f,t,f,t,f,f,f,f,f,b,m,s,o,?,i
p,n,m,t,e,t,a,f,t,t,f,f,t,f,f,f,c,m,i,o,o,i
p,n,s,b,n,t,e,f,f,f,t,f,f,f,t,t,c,l,i,o,o,i
p,o,n,r,d,c,b,f,t,f,t,f,f,f,t,t,c,m,i,o,o,i
p,u,s,b,e,s,b,f,f,f,t,f,f,f,f,t,a,s,l,o,o,i
r,n,n,d,e,s,f,f,t,t,f,f,f,f,f,t,a,m,s,o,o,i
p,k,m,t,e,h,b,f,f,f,f,f,f,f,f,t,a,s,i,m,?,i
p,n,m,a,d,c,f,f,t,t,t,t,f,f,f,f,c,l,i,o,c,i
p,f,n,d,e,h,e,t,t,t,f,f,f,f,t,f,c,m,s,m,c,i
p,n,n,d,d,c,f,f,f,f,f,f,f,f,f,t,c,m,l,o,o,i
p,f,n,a,e,c,d,f,f,f,t,f,t,f,t,t,b,m,i,o,o,i
p,f,n,t,e,s,d,f,f,f,f,f,f,f,f,f,b,m,i,m,o,i
p,o,s,a,d,s,c,f,f,f,f,f,f,f,f,t,c,m,l,m,o,i
p,n,n,a,n,c,c,t,t,t,f,f,t,f,f,t,c,l,s,o,o,i
p,u,n,b,n,s,e,f,f,f,f,f,f,f,f,t,a,m,s,o,o,i
r,n,n,t,e,t,c,f,f,f,t,f,f,t,f,f,a,l,s,o,c,i
r,n,n,a,n,p,c,f,f,t,f,f,f,f,f,t,c,s,s,m,c,i
p,k,n,r,n,h,f,f,f,f,t,f,f,f,t,t,b,m,i,o,?,i
r,n,n,r,d,h,b,f,f,f,t,f,t,f,t,t,c,m,s,m,o,i
p,o,n,r,e,p,e,f,t,t,t,t,t,f,t,t,b,m,i,o,c,i
p,o,n,a,e,p,b,t,t,t,t,f,f,f,f,t,c,m,i,o,c,i
p,n,n,a,e,h,a,f,f,f,f,f,f,f,t,f,b,m,s,o,o,i
p,u,n,a,n,t,d,f,f,f,f,f,t,f,t,t,c,l,s,o,c,i
p,n,m,h,e,h,c,f,f,f,t,t,f,t,f,f,b,s,i,o,c,i
p,k,n,a,d,s,e,f,t,f,f,f,f,f,f,f,c,m,i,o,c,i
r,n,n,r,e,h,a,f,t,t,f,f,f,f,f,t,a,s,s,o,?,i
p,u,s,b,n,c,a,f,t,t,f,f,f,f,f,t,b,s,s,m,?,i
p,n,n,d,d,t,e,f,f,t,f,f,f,f,f,f,a,s,s,o,o,i
r,n,n,a,d,s,c,f,t,f,t,f,f,f,f,t,c,s,s,m,o,i
r,n,m,a,d,h,c,t,t,f,f,f,f,f,f,t,a,m,s,o,?,i
r,u,n,d,e,h,b,f,f,f,f,f,f,t,f,f,a,m,s,o,?,i
p,u,m,t,d,p,f,f,f,t,f,f,f,t,f,t,a,l,i,o,o,i
p,f,m,b,d,c,f,f,f,t,f,f,t,f,t,f,c,l,s,m,c,i
p,u,s,a,d,s,c,t,t,f,f,f,f,f,t,t,b,s,i,o,o,i
p,u,s,h,e,p,b,f,f,f,f,f,t,f,f,t,a,s,s,o,o,i
p,k,n,v,d,c,f,f,f,f,f,f,f,f,t,t,b,l,i,m,o,i
r,n,m,t,d,p,f,f,t,f,f,f,t,t,f,t,c,m,s,o,?,i
r,o,n,d,e,p,c,t,t,f,f,f,f,f,f,t,b,m,i,o,o,i
p,f,m,v,d,s,d,f,f,f,f,f,f,f,t,t,b,m,s,m,c,i
p,n,n,b,d,t,c,f,f,f,f,f,f,f,t,t,b,l,s,o,o,i
r,n,n,t,e,h,b,f,f,t,f,f,f,f,t,f,b,l,i,m,o,i
p,f,n,t,d,t,d,f,t,f,f,f,f,f,f,f,b,l,s,m,?,i
r,n,n,r,d,s,d,f,t,f,t,f,f,f,f,t,a,m,s,m,?,i
p,u,n,a,e,c,c,f,t,f,f,t,f,f,f,t,b,m,i,o,o,i
r,n,n,d,d,s,e,f,f,f,f,f,f,f,f,f,a,s,l,o,?,i
p,n,s,t,e,s,c,f,f,f,t,f,f,t,f,t,a,m,i,o,?,i
p,o,n,r,n,t,f,f,t,t,t,f,t,f,f,f,b,m,s,o,o,i
r,n,m,t,e,s,b,t,f,t,t,f,f,f,t,t,a,m,i,o,o,i
p,n,m,r,e,s,f,f,f,f,f,f,t,f,t,t,c,s,l,o,o,i
p,k,m,t,n,p,b,f,t,f,f,f,f,t,f,t,c,l,i,o,c,i
r,u,n,a,e,h,a,t,t,f,f,f,f,f,f,f,c,l,s,o,o,i
p,n,s,t,n,h,d,f,t,t,f,f,f,f,t,t,b,m,l,o,?,i
r,n,m,r,e,t,a,f,t,f,f,f,f,f,f,f,c,m,i,o,o,i
r,o,m,a,e,h,a,f,t,t,f,f,f,t,f,t,b,l,i,o,o,i
p,u,s,v,n,s,e,f,f,f,f,f,f,f,t,t,c,m,s,o,?,i
r,k,n,t,d,c,b,f,f,f,f,f,f,t,f,t,b,m,l,o,o,i
r,n,n,b,n,c,e,t,f,f,f,f,f,f,f,t,b,l,l,o,?,i
p,n,s,b,e,s,a,t,f,t,f,f,f,f,f,t,a,s,i,m,?,i
r,n,n,t,e,h,c,f,t,t,f,f,t,f,f,f,c,l,l,o,o,i
r,n,m,t,e,h,c,f,f,t,f,f,f,t,f,t,b,s,s,m,?,i
p,f,n,a,d,s,c,f,f,f,t,f,f,f,f,t,b,m,s,m,c,i
p,n,n,r,d,s,c,t,f,t,t,f,f,f,f,t,a,m,i,m,o,i
p,k,n,h,n,t,c,f,f,f,f,f,t,t,f,t,b,l,i,o,c,i
p,f,n,t,e,s,b,f,f,t,t,f,f,f,f,t,c,l,i,o,?,i
p,k,f,v,n,s,a,t,t,f,f,t,f,f,t,f,c,s,s,o,c,i
p,n,n,r,d,t,d,f,t,f,t,f,f,f,f,t,c,s,i,o,?,i
p,o,m,r,d,h,c,f,f,t,f,f,t,t,t,t,c,m,s,o,o,i
p,f,n,b,d,t,b,f,f,f,f,f,f,f,t,t,b,m,s,o,o,i
p,f,s,h,d,p,b,f,t,t,t,f,f,f,f,t,b,l,s,o,c,i
r,n,n,b,e,h,f,f,t,f,f,f,f,f,f,f,c,m,i,o,o,i
r,n,n,d,n,h,b,t,t,f,t,f,f,f,f,t,b,l,i,o,c,i
p,u,n,t,n,s,f,f,t,t,f,t,f,f,f,t,a,s,i,m,o,i
r,n,n,v,e,s,b,f,t,t,f,f,f,f,f,t,c,l,i,o,?,i
p,n,f,h,d,s,f,t,t,f,f,f,f,f,f,t,a,l,i,o,c,i
p,k,f,d,e,h,c,f,t,f,f,f,f,t,f,t,b,l,i,m,o,i
r,f,n,a,e,h,c,f,f,f,f,f,f,f,f,t,c,s,i,m,?,i
r,u,n,d,e,p,b,f,f,f,f,f,f,f,f,t,c,s,s,o,?,i
r,n,n,t,e,s,f,f,f,f,t,f,f,f,t,t,b,m,l,o,c,i
p,u,n,r,d,h,b,f,t,t,t,f,f,t,f,t,b,l,i,o,?,i
r,n,n,a,d,s,e,f,t,t,t,f,f,f,f,f,b,m,i,o,o,i
p,k,n,r,n,s,a,f,f,f,f,t,f,f,f,t,c,s,i,o,?,i
p,k,n,a,e,c,d,f,f,f,t,f,f,t,f,t,a,s,s,o,?,i
r,n,s,t,n,c,e,f,f,f,f,t,f,f,f,t,b,m,i,o,o,i
r,n,n,t,d,h,c,t,f,t,f,f,f,f,f,t,a,l,i,o,c,i
r,n,n,t,e,h,d,f,t,f,f,f,f,f,f,t,c,m,l,o,c,i
p,u,n,a,d,h,e,f,t,f,t,f,f,f,f,t,c,s,s,m,?,i
p,k,n,d,n,p,c,f,f,f,f,f,t,f,t,f,a,m,l,o,o,i
p,u,n,v,d,h,b,f,f,f,t,f,f,f,f,f,b,m,s,o,?,i
p,o,m,v,e,c,c,f,t,f,f,f,t,f,f,t,b,s,i,o,?,i
r,n,n,v,d,s,e,f,t,f,f,f,t,f,f,f,a,m,s,o,o,i
r,o,m,a,d,h,b,f,f,f,f,f,f,f,f,t,a,s,i,m,o,i
p,n,s,b,d,h,d,t,t,f,t,f,f,f,f,t,a,s,i,o,o,i
p,n,s,b,e,s,a,t,f,f,f,f,f,f,f,t,b,s,i,o,c,i
p,o,m,t,n,h,f,t,t,f,f,t,f,f,f,f,a,l,l,o,o,i
p,o,n,b,n,h,d,f,t,f,f,f,t,f,f,t,a,m,s,m,c,i
r,n,n,v,e,s,c,f,t,t,t,f,f,f,f,f,b,s,i,o,o,i
p,k,n,r,e,t,e,f,t,t,t,f,f,f,t,t,b,m,i,o,c,i
p,k,s,v,n,s,e,t,f,t,f,f,t,f,f,t,c,l,s,o,c,i
p,u,s,t,d,p,a,t,t,f,f,f,f,f,f,t,b,s,s,o,o,i
p,k,n,v,n,h,b,f,f,t,f,f,f,f,t,t,a,m,i,o,?,i
r,n,n,t,n,s,c,f,f,f,f,f,f,f,f,f,a,m,i,o,o,i
r,n,n,d,e,s,b,f,t,t,f,f,f,f,f,t,b,m,s,m,?,i
p,n,n,t,d,c,b,t,f,f,f,t,f,f,f,f,a,m,l,o,?,i
p,f,f,b,d,c,b,f,t,f,f,f,t,f,f,t,c,l,i,o,?,i
r,u,n,b,d,c,a,f,t,t,f,f,f,t,t,t,a,l,i,o,c,i
r,n,n,t,n,h,a,f,t,f,f,f,f,t,t,t,a,m,s,o,c,i
r,n,n,a,e,s,b,f,f,t,f,t,f,f,t,f,b,m,i,o,o,i
r,n,n,t,e,c,a,f,t,f,t,f,f,f,f,t,b,s,s,o,o,i
r,f,n,b,e,p,c,t,f,f,t,f,f,f,t,t,b,m,i,o,?,i
p,o,m,d,n,h,a,f,t,f,f,f,f,f,f,t,a,l,s,m,?,i
p,n,n,a,d,p,a,t,t,f,f,f,f,f,f,t,c,s,i,o,?,i
r,n,n,b,d,c,e,f,t,f,f,f,f,f,f,f,a,m,i,m,c,i
p,k,n,d,e,h,d,f,t,t,f,f,f,t,f,t,c,s,l,m,?,i
r,n,n,a,d,h,f,f,t,f,t,f,t,f,f,t,b,l,i,o,c,i
p,o,n,d,d,s,f,f,t,f,f,t,f,f,f,f,a,m,i,o,?,i
r,n,n,a,e,s,d,f,t,f,f,f,f,f,t,t,b,s,i,m,?,i
r,n,n,a,d,c,e,t,f,t,f,f,f,f,f,f,b,l,s,o,o,i
p,u,n,t,n,t,a,f,t,t,f,f,f,t,f,t,a,m,l,o,o,i
r,n,m,t,n,h,d,f,f,f,f,f,f,f,f,f,a,m,i,m,o,i
r,n,m,r,n,s,c,t,f,f,f,t,f,f,f,f,b,s,s,o,o,i
p,n,s,d,n,s,d,t,f,f,f,f,f,f,f,f,c,l,s,m,c,i
p,n,n,t,d,h,a,f,f,f,f,f,f,f,f,t,b,l,s,o,c,i
p,n,m,d,d,c,f,f,t,t,f,f,f,f,f,t,b,s,l,o,o,i
p,n,m,a,e,s,c,f,f,t,t,f,f,f,f,t,b,l,l,m,o,i
r,n,n,a,d,s,e,f,f,f,t,f,t,f,f,t,a,s,l,o,c,i
r,n,n,d,n,c,f,f,f,t,f,f,f,f,t,t,b,m,s,m,o,i
p,k,n,d,d,s,f,f,f,t,f,f,f,f,t,t,b,l,s,m,?,i
p,f,m,b,e,h,b,f,t,f,f,f,f,f,f,t,c,m,s,o,?,i
p,n,n,t,e,c,c,f,t,f,f,f,f,f,f,t,a,s,s,o,o,i
r,n,n,t,n,s,d,f,f,f,f,f,t,f,f,f,a,m,i,o,c,i
p,k,f,t,e,h,c,f,t,t,f,t,f,f,t,f,b,m,s,o,o,i
p,u,n,v,e,s,c,f,f,f,t,f,f,f,t,t,a,l,s,o,o,i
p,o,s,a,d,h,d,f,f,f,f,t,f,f,f,t,b,m,s,o,o,i
p,n,m,r,e,t,f,f,f,f,f,f,f,t,f,f,b,s,s,o,o,i
r,n,m,t,e,c,b,f,t,t,f,f,f,f,f,t,a,l,s,o,?,i
r,n,m,b,e,s,a,t,t,f,f,f,f,f,f,t,a,m,i,o,?,i
r,n,n,a,n,s,d,t,f,f,t,t,f,f,t,t,b,m,l,o,c,i
p,k,m,b,d,s,d,f,t,t,t,f,f,f,t,t,c,m,i,o,c,i
p,n,m,b,d,p,f,f,f,f,f,f,f,f,f,t,b,m,s,o,c,i
r,n,m,h,n,c,e,t,f,f,f,f,t,f,t,t,a,m,s,o,c,i
r,n,n,d,d,h,c,f,f,f,t,f,t,f,t,f,b,s,i,o,o,i
p,k,n,r,e,s,d,f,t,t,t,f,f,f,t,t,a,m,l,o,?,i
r,n,n,t,e,t,f,f,f,t,f,f,f,f,f,t,b,m,i,m,o,i
r,o,n,d,n,p,b,f,t,f,f,f,f,f,f,f,c,l,s,m,c,i
r,n,n,d,d,s,a,f,f,f,t,f,f,f,t,f,b,l,i,m,o,i
p,u,m,d,d,h,d,f,t,t,f,f,f,f,f,t,c,s,l,o,c,i
p,n,m,b,n,h,a,f,f,t,f,f,f,f,f,f,a,l,i,o,?,i
p,o,m,t,e,h,f,f,f,f,f,f,f,f,f,t,b,m,l,o,c,i
p,u,n,v,e,h,a,f,t,f,t,t,f,f,f,t,b,m,l,m,o,i
r,u,n,a,d,s,b,f,t,f,f,f,t,f,f,t,c,s,l,o,?,i
r,o,n,a,d,c,f,f,f,t,f,f,f,t,f,t,c,l,s,o,o,i
p,o,n,a,n,c,a,t,f,f,f,f,f,f,f,f,a,m,l,o,?,i
p,f,n,b,e,h,a,f,t,t,f,f,f,f,t,t,b,l,i,o,?,i
p,o,n,a,n,h,a,t,t,f,f,f,f,t,f,f,c,l,s,o,o,i
r,n,n,r,n,s,f,f,f,f,t,f,f,f,t,f,b,s,s,m,c,i
r,k,n,r,e,h,f,f,f,f,f,f,f,f,f,t,c,m,i,o,?,i
p,k,n,b,e,p,c,f,t,t,f,f,f,f,f,t,a,m,s,o,c,i
r,o,n,t,e,h,e,f,t,f,f,f,f,f,t,t,c,l,i,m,?,i
r,n,n,d,n,t,e,t,f,f,t,f,f,f,f,t,a,s,i,o,c,i
r,n,m,a,e,c,a,f,t,f,f,f,f,t,f,t,c,l,i,o,?,i
p,k,n,a,d,c,b,t,f,t,f,f,f,f,f,f,b,l,i,o,o,i
p,n,n,a,n,h,f,f,f,f,f,f,t,f,f,t,a,m,l,o,o,i
r,n,n,a,e,s,a,t,f,t,f,f,f,f,f,t,a,s,i,o,?,i
p,n,s,r,n,t,c,f,t,f,f,f,f,f,t,f,b,l,i,o,o,i
r,n,n,t,e,c,b,t,t,t,f,f,f,f,f,f,b,m,i,m,?,i
p,n,m,d,e,t,d,t,f,f,f,f,f,f,f,f,c,m,i,m,?,i
r,n,n,t,e,h,a,f,f,f,f,f,t,f,t,t,b,s,s,m,?,i
