year,bank,baseBank,charter,charter2,atvType,assets_b,roa,nim,efficiency,npl,funding,book,region,sFlag,tFlag
2007,Apex National,Apex,Community Commercial,,Hybrid-channel,4.164,1.262,3.392,54.44,0.779,Wholesale,Retail loans,Northeast,,
2008,Apex National,Apex,Community Commercial,,,4.293,0.544,3.33,60.11,1.731,Wholesale,Retail loans,Northeast,,
2009,Apex National,Apex,Community Commercial,,,4.734,0.435,3.367,56.97,3.844,Core,Retail loans,West,,
2009,Apex National,Apex,Community Commercial,,,4.893,0.321,3.36,57.4,3.856,Core,C&I loans,Midwest,,
2009,Apex National,Apex,Community Commercial,,,4.567,0.536,3.296,58.09,3.806,Core,Mortgage,Midwest,,
2010,Apex National,Apex,Community Commercial,,,5.058,0.465,3.289,63.74,3.751,Core,Retail loans,Northeast,,
2011,Apex National,Apex,Community Commercial,,,5.304,1.037,3.06,57.66,0.873,Core,Retail loans,Midwest,,
2011,Apex National,Apex,Community Commercial,,,5.182,1.006,3.068,58.21,0.655,Core,C&I loans,South,,
2012,Apex National,Apex,Community Commercial,,,5.213,1.003,3.496,56.34,0.345,Core,Retail loans,South,,
2012,Apex National,Apex,Community Commercial,,,5.261,1.075,3.438,58.73,0.313,Core,C&I loans,West,,
2013,Apex National,Apex,Community Commercial,,,5.212,1.285,3.125,54.07,0.738,Core,Retail loans,West,,
2014,Apex National,Apex,Community Commercial,,Hybrid-channel,5.165,1.406,3.268,57.38,1.039,Core,Retail loans,South,,
2014,Apex National,Apex,Community Commercial,,Hybrid-channel,5.317,1.246,3.251,57.72,0.976,Core,C&I loans,West,,
2015,Apex National,Apex,Community Commercial,,Hybrid-channel,5.826,0.97,2.952,58.22,0.506,Core,Retail loans,Midwest,,
2015,Apex National,Apex,Community Commercial,,Hybrid-channel,5.941,0.973,2.921,58.21,0.541,Core,C&I loans,Northeast,,
2016,Apex National,Apex,Community Commercial,,Hybrid-channel,6.145,1.402,3.052,51.38,0.378,Core,Retail loans,South,,
2016,Apex National,Apex,Community Commercial,,Hybrid-channel,6.219,1.318,2.912,50.56,0.241,Core,C&I loans,South,,
2016,Apex National,Apex,Community Commercial,,Hybrid-channel,6.341,1.278,3.005,50.41,0.307,Core,Mortgage,Midwest,,
2017,Apex National,Apex,Community Commercial,,,5.749,1.443,3.174,51.47,0.418,Core,Retail loans,South,,
2017,Apex National,Apex,Community Commercial,,,6.24,1.433,3.211,52.82,0.36,Core,C&I loans,Northeast,,
2018,Apex National,Apex,Community Commercial,,,6.216,1.155,3.2,56.57,0.312,Core,Retail loans,Northeast,,
2019,Apex National,Apex,Community Commercial,,,6.337,1.164,3.622,57.1,0.28,Core,Retail loans,South,,
2019,Apex National,Apex,Community Commercial,,,6.542,1.253,3.573,58.82,0.275,Core,C&I loans,Midwest,,
2020,Apex National,Apex,Community Commercial,,Hybrid-channel,6.578,1.09,3.137,52.77,0.62,Core,Retail loans,Midwest,,
2021,Apex National,Apex,Community Commercial,,,7.298,0.961,3.251,57.88,0.236,Wholesale,Retail loans,West,,
2021,Apex National,Apex,Community Commercial,,,7.151,0.985,3.267,59.78,0.314,Core,C&I loans,Midwest,,
2021,Apex National,Apex,Community Commercial,,,7.541,0.94,3.183,60.77,0.245,Core,Mortgage,West,,
2022,Apex National,Apex,Community Commercial,,,7.71,1.213,3.161,56.84,0.421,Core,Retail loans,West,,
2023,Apex National,Apex,Community Commercial,,,6.962,0.801,2.936,55.64,0.184,Core,Retail loans,South,,
2023,Apex National,Apex,Community Commercial,,,7.471,0.866,3.003,54.89,0.129,Core,C&I loans,Northeast,,
2023,Apex National,Apex,Community Commercial,,,7.301,0.807,2.897,55.31,0.158,Core,Mortgage,West,,
2024,Apex National,Apex,Community Commercial,,,7.479,1.411,3.137,52.1,0.264,Core,Retail loans,West,,
2024,Apex National,Apex,Community Commercial,,,8.078,1.474,3.007,52.4,0.133,Core,C&I loans,Midwest,,
1990,Harbor Trust,Harbor,Regional Commercial,,,30.077,0.835,3.188,63.85,0.559,Wholesale,Retail loans,West,,
1990,Harbor Trust,Harbor,Regional Commercial,,,34.45,0.925,3.181,65.65,0.444,Wholesale,C&I loans,Midwest,,
1991,Harbor Trust,Harbor,Regional Commercial,,,34.006,1.107,3.223,60.57,0.398,Wholesale,Retail loans,West,,
1991,Harbor Trust,Harbor,Regional Commercial,,,33.215,1.125,3.289,60.13,0.329,Core,C&I loans,Northeast,,
1991,Harbor Trust,Harbor,Regional Commercial,,,32.065,1.127,3.356,58.82,0.186,Core,Mortgage,West,,
1992,Harbor Trust,Harbor,Regional Commercial,,,32.327,0.902,2.916,61.64,0.742,Core,Retail loans,West,,
1993,Harbor Trust,Harbor,Regional Commercial,,,31.787,1.073,3.094,62.14,0.393,Wholesale,Retail loans,Midwest,,
1994,Harbor Trust,Harbor,Regional Commercial,,,36.553,0.997,3.271,59.26,0.335,Core,Retail loans,Midwest,,
1995,Harbor Trust,Harbor,Regional Commercial,,,37.084,0.608,3.307,64.46,0.608,Wholesale,Retail loans,South,,
1996,Harbor Trust,Harbor,Regional Commercial,,,36.49,1.141,3.371,57.51,0.767,Wholesale,Retail loans,Midwest,,
1997,Harbor Trust,Harbor,Regional Commercial,,,35.173,0.632,2.991,61.3,0.304,Wholesale,Retail loans,West,,
1998,Harbor Trust,Harbor,Regional Commercial,,,36.961,0.825,3.171,61.38,0.934,Wholesale,Retail loans,South,,
1998,Harbor Trust,Harbor,Regional Commercial,,,38.928,0.881,3.305,58.41,0.842,Wholesale,C&I loans,Midwest,,
1999,Harbor Trust,Harbor,Regional Commercial,,,35.402,1.115,3.287,57.76,0.585,Core,Retail loans,Northeast,,
2000,Harbor Trust,Harbor,Regional Commercial,,,40.416,0.848,2.851,64.1,1.025,Wholesale,Retail loans,Midwest,,
2001,Harbor Trust,Harbor,Regional Commercial,,,40.806,1.018,3.072,65.54,1.305,Wholesale,Retail loans,Midwest,,
2002,Harbor Trust,Harbor,Regional Commercial,,,38.483,1.177,3.279,55.16,0.837,Wholesale,Retail loans,South,,
2002,Harbor Trust,Harbor,Regional Commercial,,,37.568,1.168,3.146,55.1,0.815,Wholesale,C&I loans,South,,
2002,Harbor Trust,Harbor,Regional Commercial,,,40.18,1.165,3.224,55.2,0.805,Wholesale,Mortgage,Northeast,,
2003,Harbor Trust,Harbor,Regional Commercial,,Hybrid-channel,42.771,0.918,2.929,61.14,0.925,Core,Retail loans,Midwest,,
2003,Harbor Trust,Harbor,Regional Commercial,,Hybrid-channel,41.503,0.98,3.027,62.09,0.798,Core,C&I loans,West,,
2004,Harbor Trust,Harbor,Regional Commercial,,,42.283,1.027,3.014,60.42,0.789,Wholesale,Retail loans,South,,
2005,Harbor Trust,Harbor,Regional Commercial,,,43.716,0.919,2.783,57.28,0.747,,Retail loans,West,,
2005,Harbor Trust,Harbor,Regional Commercial,,,39.145,0.912,2.931,57.33,0.96,Core,C&I loans,West,,
2005,Harbor Trust,Harbor,Regional Commercial,,,43.29,0.836,2.846,58.03,1.062,Core,Mortgage,Midwest,,
2006,Harbor Trust,Harbor,Regional Commercial,,,40.279,1.246,3.005,58.31,0.949,Wholesale,Retail loans,Midwest,,
2007,Harbor Trust,Harbor,Regional Commercial,,,43.123,0.788,3.16,61.4,0.685,Wholesale,Retail loans,Northeast,,
2008,Harbor Trust,Harbor,Regional Commercial,,,47.527,-0.032,2.805,68.62,2.044,Core,Retail loans,South,,
2008,Harbor Trust,Harbor,Regional Commercial,,,44.495,-0.098,2.774,67.5,1.9,Core,C&I loans,Northeast,,
2008,Harbor Trust,Harbor,Regional Commercial,,,41.724,0.079,2.826,67.47,1.983,Core,Mortgage,Midwest,,
2009,Harbor Trust,Harbor,Regional Commercial,,,43.946,0.384,3.129,65.21,4.042,Core,Retail loans,Northeast,,
2009,Harbor Trust,Harbor,Regional Commercial,,,47.202,0.496,3.238,65.34,4.106,,C&I loans,Northeast,,
2010,Harbor Trust,Harbor,Regional Commercial,,,47.541,0.509,3.023,64.8,3.493,Core,Retail loans,Northeast,,
2011,Harbor Trust,Harbor,Regional Commercial,,Hybrid-channel,52.181,1.128,3.218,62.58,0.535,Wholesale,Retail loans,Midwest,,
2012,Harbor Trust,Harbor,Regional Commercial,,,54.038,0.928,3.159,55.85,0.857,Core,Retail loans,South,,
2013,Harbor Trust,Harbor,Regional Commercial,,,56.539,1.049,3.166,64.87,0.796,Wholesale,Retail loans,South,,
2014,Harbor Trust,Harbor,Regional Commercial,,,55.625,0.952,3.146,61.71,0.752,Wholesale,Retail loans,South,,
2015,Harbor Trust,Harbor,Regional Commercial,,,57.572,1.262,3.268,62.43,0.434,Core,Retail loans,Northeast,,
2015,Harbor Trust,Harbor,Regional Commercial,,,55.265,1.236,3.232,60.76,0.339,Core,C&I loans,Northeast,,
2016,Harbor Trust,Harbor,Regional Commercial,,,53.636,0.905,3.145,62.22,0.508,Wholesale,Retail loans,South,,
2016,Harbor Trust,Harbor,Regional Commercial,,,55.745,0.916,3.076,62.44,0.614,Core,C&I loans,Midwest,,
2017,Harbor Trust,Harbor,Regional Commercial,,,61.341,1.219,3.254,61.34,0.11,Core,Retail loans,South,,
2018,Harbor Trust,Harbor,Regional Commercial,,,62.682,1.244,3.057,58.74,0.738,Wholesale,Retail loans,Midwest,,
2018,Harbor Trust,Harbor,Regional Commercial,,,66.459,1.162,3.074,58.26,0.79,Wholesale,C&I loans,West,,
2019,Harbor Trust,Harbor,Regional Commercial,,,61.519,1.551,2.979,59.24,0.553,Wholesale,Retail loans,Northeast,,
2019,Harbor Trust,Harbor,Regional Commercial,,,67.483,1.646,2.918,59.68,0.468,Core,C&I loans,Midwest,,
2020,Harbor Trust,Harbor,Regional Commercial,,,62.809,0.881,2.743,63.03,0.777,Wholesale,Retail loans,Midwest,,
2020,Harbor Trust,Harbor,Regional Commercial,,,70.218,0.892,2.726,62.32,0.81,Wholesale,C&I loans,Northeast,,
2021,Harbor Trust,Harbor,Regional Commercial,,,68.576,1.221,2.806,63.05,0.747,Core,Retail loans,Midwest,,
2022,Harbor Trust,Harbor,Regional Commercial,,,75.911,0.931,2.757,66.01,0.581,Core,Retail loans,West,,
2023,Harbor Trust,Harbor,Regional Commercial,,,75.72,1.334,2.716,60.26,0.193,Wholesale,Retail loans,Midwest,,
2024,Harbor Trust,Harbor,Regional Commercial,,,79.57,1.233,2.649,61.4,0.235,Core,Retail loans,West,,
2024,Harbor Trust,Harbor,Regional Commercial,,,79.585,1.181,2.788,63.02,0.36,Core,C&I loans,Northeast,,
1990,Midwest First,Midwest,Money Center,,,301.687,1.063,2.971,62.29,1.099,Core,Retail loans,Midwest,,
1991,Midwest First,Midwest,Money Center,,,295.735,1.388,3.219,59.1,0.721,Core,Retail loans,West,,
1992,Midwest First,Midwest,Money Center,,Hybrid-channel,324.283,1.043,2.86,65.48,0.722,Wholesale,Retail loans,Midwest,,
1993,Midwest First,Midwest,Money Center,,,290.604,1.065,2.963,64.99,1.275,Core,Retail loans,South,,
1993,Midwest First,Midwest,Money Center,,,301.596,1.096,2.944,66.85,1.307,Core,C&I loans,West,,
1994,Midwest First,Midwest,Money Center,,,333.931,0.86,3.062,63.94,0.213,Wholesale,Retail loans,Midwest,,
1994,Midwest First,Midwest,Money Center,,,311.115,0.898,2.968,64.09,0.195,Core,C&I loans,Northeast,,
1995,Midwest First,Midwest,Money Center,,,306.002,0.825,2.91,65.24,1.016,Core,Retail loans,South,,
1996,Midwest First,Midwest,Money Center,,,331.152,1.098,3.048,61.32,0.298,Wholesale,Retail loans,Midwest,,
1997,Midwest First,Midwest,Money Center,,,336.832,1.087,3.01,66.37,0.732,Core,Retail loans,Northeast,,
1998,Midwest First,Midwest,Money Center,,,314.425,1.138,3.269,66.64,0.802,Core,Retail loans,South,,
1999,Midwest First,Midwest,Money Center,,,349.2,0.568,2.695,69.04,0.645,Core,Retail loans,Northeast,,
1999,Midwest First,Midwest,Money Center,,,371.337,0.481,2.684,68.27,0.738,Core,C&I loans,South,,
2000,Midwest First,Midwest,Money Center,,,344.503,0.557,3.051,70.05,0.683,Core,Retail loans,Northeast,,
2001,Midwest First,Midwest,Money Center,,,367.801,1.051,3.214,63.58,0.971,Core,Retail loans,Midwest,,
2002,Midwest First,Midwest,Money Center,,,382.626,1.096,2.801,64.61,1.202,Wholesale,Retail loans,West,,
2002,Midwest First,Midwest,Money Center,,,360.461,1.024,2.799,63.43,0.903,Wholesale,C&I loans,South,,
2003,Midwest First,Midwest,Money Center,,,345.024,1.104,2.928,65.85,0.732,Wholesale,Retail loans,West,,
2003,Midwest First,Midwest,Money Center,,,365.061,0.99,2.951,64.49,0.842,Core,C&I loans,South,,
2004,Midwest First,Midwest,Money Center,,,404.65,1.017,2.863,67.65,1.126,Core,Retail loans,West,,
2004,Midwest First,Midwest,Money Center,,,406.368,1.079,2.701,66.77,1.098,Core,C&I loans,West,,
2004,Midwest First,Midwest,Money Center,,,371.286,1.08,2.79,67.43,1.038,Core,Mortgage,West,,
2005,Midwest First,Midwest,Money Center,,,368.421,0.836,3.071,60.91,1.219,Wholesale,Retail loans,South,,
2005,Midwest First,Midwest,Money Center,,,388.866,0.865,3.114,61.4,1.307,Wholesale,C&I loans,West,,
2005,Midwest First,Midwest,Money Center,,,407.057,0.915,3.15,60.55,1.444,Core,Mortgage,South,,
2006,Midwest First,Midwest,Money Center,,,387.483,1.171,3.048,63.64,0.726,Wholesale,Retail loans,West,,
2006,Midwest First,Midwest,Money Center,,,366.968,1.043,3.027,62.81,0.712,Wholesale,C&I loans,Northeast,,
2007,Midwest First,Midwest,Money Center,,,429.321,0.801,3.163,64.54,0.864,Core,Retail loans,West,,
2007,Midwest First,Midwest,Money Center,,,408.069,0.706,3.251,65.02,1.074,Core,C&I loans,West,,
2008,Midwest First,Midwest,Money Center,,,421.153,0.586,2.991,67.55,1.828,Core,Retail loans,Midwest,,
2008,Midwest First,Midwest,Money Center,,,414.028,0.541,3.053,69.16,1.987,Core,C&I loans,Northeast,,
2009,Midwest First,Midwest,Money Center,,,410.433,0.194,3.279,71.56,3.692,Core,Retail loans,Midwest,,
2009,Midwest First,Midwest,Money Center,,,423.372,0.209,3.245,70.28,3.767,Core,C&I loans,Northeast,,
2010,Midwest First,Midwest,Money Center,,,427.189,0.545,2.825,68.1,3.454,Core,Retail loans,Midwest,,
2011,Midwest First,Midwest,Money Center,,,460.204,0.714,3.073,58.98,0.361,Core,Retail loans,Northeast,,
2012,Midwest First,Midwest,Money Center,,,458.755,0.932,2.985,66.55,1.26,Wholesale,Retail loans,South,,
2013,Midwest First,Midwest,Money Center,,,464.072,1.165,2.733,60.13,1.075,Core,Retail loans,Northeast,,
2014,Midwest First,Midwest,Money Center,,,474.235,1.112,3.095,60.61,0.508,Core,Retail loans,West,,
2014,Midwest First,Midwest,Money Center,,,513.007,1.016,3.008,60.12,0.446,Core,C&I loans,Northeast,,
2015,Midwest First,Midwest,Money Center,,,475.336,1.169,2.644,64.31,0.72,Core,Retail loans,West,,
2015,Midwest First,Midwest,Money Center,,,541.885,1.082,2.749,62.35,0.437,Core,C&I loans,South,,
2016,Midwest First,Midwest,Money Center,,,526.09,0.833,3.001,62.23,0.283,Core,Retail loans,West,,
2016,Midwest First,Midwest,Money Center,,,531.636,0.75,2.907,64.65,0.328,Core,C&I loans,Northeast,,
2017,Midwest First,Midwest,Money Center,,,528.693,0.882,2.947,65.08,0.583,Core,Retail loans,West,,
2017,Midwest First,Midwest,Money Center,,,578.089,1.03,2.941,66.97,0.349,Core,C&I loans,South,,
2018,Midwest First,Midwest,Money Center,,,593.328,1.138,3.148,61.43,0.235,Core,Retail loans,Northeast,,
2018,Midwest First,Midwest,Money Center,,,595.249,1.066,3.18,60.14,0.357,Core,C&I loans,West,,
2018,Midwest First,Midwest,Money Center,,,579.981,1.081,3.113,61.12,0.454,Core,Mortgage,Midwest,,
2019,Midwest First,Midwest,Money Center,,,605.549,1.081,2.809,65.32,0.168,Core,Retail loans,South,,
2019,Midwest First,Midwest,Money Center,,,628.044,1.006,2.714,65.92,0.05,Core,C&I loans,West,,
2020,Midwest First,Midwest,Money Center,,Hybrid-channel,633.973,0.978,2.551,66.65,0.622,Core,Retail loans,Midwest,,
2021,Midwest First,Midwest,Money Center,,,671.87,0.935,2.704,65.62,0.621,Wholesale,Retail loans,West,,
2022,Midwest First,Midwest,Money Center,,,654.347,0.735,2.771,65.76,0.264,Core,Retail loans,Northeast,,
2023,Midwest First,Midwest,Money Center,,,643.856,0.911,2.436,65.52,0.279,Core,Retail loans,Northeast,,
2023,Midwest First,Midwest,Money Center,,,633.514,0.982,2.337,66.39,0.338,Core,C&I loans,West,,
2024,Midwest First,Midwest,Money Center,,,666.456,1.037,2.724,63.91,0.268,Core,Retail loans,West,,
1990,Pioneer Regional,Pioneer,Community Commercial,,,1.635,1.101,3.447,55.09,1.205,Core,Retail loans,West,,
1991,Pioneer Regional,Pioneer,Community Commercial,,,1.622,0.904,3.42,51.65,0.83,Core,Retail loans,West,,
1992,Pioneer Regional,Pioneer,Community Commercial,,,1.684,1.038,3.372,55.11,0.484,Wholesale,Retail loans,Northeast,,
1992,Pioneer Regional,Pioneer,Community Commercial,,,1.671,1.045,3.333,55.52,0.565,Core,C&I loans,South,,
1993,Pioneer Regional,Pioneer,Community Commercial,,,1.725,1.325,3.088,51.81,0.865,Core,Retail loans,Northeast,,
1994,Pioneer Regional,Pioneer,Community Commercial,,,1.808,1.278,3.221,50.25,0.845,Wholesale,Retail loans,Midwest,,
1995,Pioneer Regional,Pioneer,Community Commercial,,,1.684,1.213,3.25,55.68,1.102,Wholesale,Retail loans,Midwest,,
1995,Pioneer Regional,Pioneer,Community Commercial,,,1.906,1.137,3.282,55.75,1.038,Core,C&I loans,South,,
1995,Pioneer Regional,Pioneer,Community Commercial,,,1.785,1.185,3.305,54.75,1.151,Core,Mortgage,South,,
1996,Pioneer Regional,Pioneer,Community Commercial,,,1.662,1.077,3.331,56.83,0.402,Wholesale,Retail loans,South,,
1996,Pioneer Regional,Pioneer,Community Commercial,,,1.672,1.01,3.355,57.64,0.457,Wholesale,C&I loans,Northeast,,
1997,Pioneer Regional,Pioneer,Community Commercial,,Hybrid-channel,1.951,1.249,3.21,56.89,1.011,Core,Retail loans,Northeast,,
1998,Pioneer Regional,Pioneer,Community Commercial,,,1.73,1.006,3.177,51.68,0.822,Wholesale,Retail loans,South,,
1999,Pioneer Regional,Pioneer,Community Commercial,,,1.93,1.09,3.185,53.39,0.286,Core,Retail loans,Northeast,,
2000,Pioneer Regional,Pioneer,Community Commercial,,Hybrid-channel,1.782,1.076,3.172,53.81,1.005,Core,Retail loans,Midwest,,
2000,Pioneer Regional,Pioneer,Community Commercial,,Hybrid-channel,1.949,1.097,3.05,54.56,0.824,Core,C&I loans,South,,
2000,Pioneer Regional,Pioneer,Community Commercial,,Hybrid-channel,1.826,0.996,3.141,54.4,0.914,Core,Mortgage,South,,
2001,Pioneer Regional,Pioneer,Community Commercial,,,1.957,1.097,3.242,51.42,0.674,Wholesale,Retail loans,South,,
2002,Pioneer Regional,Pioneer,Community Commercial,,,1.871,0.903,3.208,53.05,0.641,Wholesale,Retail loans,Midwest,,
2002,Pioneer Regional,Pioneer,Community Commercial,,,2.085,0.953,3.164,53.26,0.499,Wholesale,C&I loans,Northeast,,
2003,Pioneer Regional,Pioneer,Community Commercial,,,2.101,0.958,3.323,54.39,0.807,Wholesale,Retail loans,Midwest,,
2004,Pioneer Regional,Pioneer,Community Commercial,,,1.915,1.372,3.341,52.42,0.781,Wholesale,Retail loans,Northeast,,
2004,Pioneer Regional,Pioneer,Community Commercial,,,2.086,1.254,3.303,52.45,0.765,Core,C&I loans,Midwest,,
2005,Pioneer Regional,Pioneer,Community Commercial,,,2.211,0.901,3.383,59.47,0.822,Wholesale,Retail loans,Midwest,,
2006,Pioneer Regional,Pioneer,Community Commercial,,,2.145,1.317,3.421,50.41,1.208,Wholesale,Retail loans,Midwest,,
2006,Pioneer Regional,Pioneer,Community Commercial,,,2.071,1.227,3.355,51.0,1.119,Core,C&I loans,West,,
2007,Pioneer Regional,Pioneer,Community Commercial,,,2.201,1.239,3.314,51.7,0.4,Wholesale,Retail loans,West,,
2008,Pioneer Regional,Pioneer,Community Commercial,,,2.176,0.519,3.42,57.61,2.17,Core,Retail loans,Northeast,,
2009,Pioneer Regional,Pioneer,Community Commercial,,,2.399,0.495,3.39,56.55,3.647,Core,Retail loans,South,,
2010,Pioneer Regional,Pioneer,Community Commercial,,,2.265,0.572,3.178,56.67,4.015,Wholesale,Retail loans,Midwest,,
2011,Pioneer Regional,Pioneer,Community Commercial,,,2.408,0.563,3.065,58.51,0.722,Wholesale,Retail loans,Northeast,,
2012,Pioneer Regional,Pioneer,Community Commercial,,,2.7,1.185,3.533,56.01,0.839,Core,Retail loans,West,,
2012,Pioneer Regional,Pioneer,Community Commercial,,,2.734,1.088,3.569,56.17,0.639,Core,C&I loans,Midwest,,
2012,Pioneer Regional,Pioneer,Community Commercial,,,2.368,1.165,3.467,57.31,0.692,Core,Mortgage,West,,
2013,Pioneer Regional,Pioneer,Community Commercial,,,2.815,1.271,3.439,55.88,0.745,Wholesale,Retail loans,Midwest,,
2013,Pioneer Regional,Pioneer,Community Commercial,,,2.545,1.231,3.421,58.04,0.768,Core,C&I loans,Midwest,,
2014,Pioneer Regional,Pioneer,Community Commercial,,,2.596,1.208,3.748,53.29,0.774,Core,Retail loans,West,,
2015,Pioneer Regional,Pioneer,Community Commercial,,,2.842,1.67,3.428,48.0,0.42,Core,Retail loans,Midwest,,
2016,Pioneer Regional,Pioneer,Community Commercial,,,3.171,1.335,3.445,52.27,0.858,Wholesale,Retail loans,West,,
2017,Pioneer Regional,Pioneer,Community Commercial,,,2.998,1.374,3.766,48.75,0.454,Wholesale,Retail loans,South,,
2018,Pioneer Regional,Pioneer,Community Commercial,,,2.962,1.307,3.37,58.56,0.677,Wholesale,Retail loans,Northeast,,
2018,Pioneer Regional,Pioneer,Community Commercial,,,2.924,1.281,3.271,58.19,0.47,Core,C&I loans,Midwest,,
2018,Pioneer Regional,Pioneer,Community Commercial,,,3.089,1.29,3.242,57.84,0.626,Core,Mortgage,South,,
2019,Pioneer Regional,Pioneer,Community Commercial,,,3.234,1.517,3.236,51.63,0.63,Wholesale,Retail loans,Northeast,,
2019,Pioneer Regional,Pioneer,Community Commercial,,,3.372,1.354,3.284,50.85,0.636,Wholesale,C&I loans,South,,
2019,Pioneer Regional,Pioneer,Community Commercial,,,3.448,1.44,3.287,52.2,0.804,Wholesale,Mortgage,Midwest,,
2020,Pioneer Regional,Pioneer,Community Commercial,,,3.257,1.114,2.838,57.78,0.325,Wholesale,Retail loans,Midwest,,
2020,Pioneer Regional,Pioneer,Community Commercial,,,3.261,1.021,2.799,58.43,0.245,Wholesale,C&I loans,West,,
2021,Pioneer Regional,Pioneer,Community Commercial,,,3.542,1.27,3.051,48.2,0.71,Wholesale,Retail loans,West,,
2022,Pioneer Regional,Pioneer,Community Commercial,,,3.359,1.266,3.183,56.21,0.307,Core,Retail loans,Midwest,,
2022,Pioneer Regional,Pioneer,Community Commercial,,,3.435,1.208,3.039,57.32,0.553,Core,C&I loans,Northeast,,
2023,Pioneer Regional,Pioneer,Community Commercial,,,3.539,1.389,3.193,54.01,0.628,Wholesale,Retail loans,Northeast,,
2024,Pioneer Regional,Pioneer,Community Commercial,,,3.896,1.776,2.925,51.11,0.245,Wholesale,Retail loans,Northeast,,
1990,Summit Commercial,Summit,Regional Commercial,,,12.756,1.087,3.459,59.04,1.015,Core,Retail loans,West,,
1991,Summit Commercial,Summit,Regional Commercial,,,12.527,0.619,3.285,56.73,1.389,Wholesale,Retail loans,Midwest,,
1991,Summit Commercial,Summit,Regional Commercial,,,12.303,0.673,3.351,58.12,1.152,Core,C&I loans,South,,
1992,Summit Commercial,Summit,Regional Commercial,,,14.055,1.206,3.026,54.38,0.639,Wholesale,Retail loans,Northeast,,
1992,Summit Commercial,Summit,Regional Commercial,,,13.07,1.257,3.164,58.14,0.547,Core,C&I loans,Northeast,,
1992,Summit Commercial,Summit,Regional Commercial,,,13.48,1.27,3.141,56.18,0.556,Wholesale,Mortgage,South,,
1993,Summit Commercial,Summit,Regional Commercial,,,14.173,0.854,3.189,59.21,1.261,Core,Retail loans,West,,
1994,Summit Commercial,Summit,Regional Commercial,,,13.238,0.874,3.346,56.69,0.305,Core,Retail loans,South,,
1994,Summit Commercial,Summit,Regional Commercial,,,12.989,0.948,3.298,58.17,0.362,Core,C&I loans,Northeast,,
1994,Summit Commercial,Summit,Regional Commercial,,,14.649,0.914,3.248,57.87,0.369,Core,Mortgage,South,,
1995,Summit Commercial,Summit,Regional Commercial,,,13.883,0.984,2.975,60.59,0.352,Core,Retail loans,Midwest,,
1995,Summit Commercial,Summit,Regional Commercial,,,13.226,0.959,3.148,64.56,0.328,Core,C&I loans,Midwest,,
1996,Summit Commercial,Summit,Regional Commercial,,,14.759,1.329,3.011,58.88,0.535,Wholesale,Retail loans,West,,
