No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
14,FAO,FAO Brands,Packaged Foods,Sauces & Condiments,USA,848643.32,20.47,2.98,1.34,2.58,102.98,"1,517,193",0.54,23.83%,10.48%,1.56,0.95,54.79%,71.56,20.56%,48.44%,
15,FAP,FAP Brands,Packaged Foods,Canned Goods,USA,24377842.52,53.40,1.01,1.26,2.65,111.58,"177,838",0.16,11.59%,3.53%,0.58,0.87,39.64%,31.09,36.96%,26.96%,
16,FAQ,FAQ Brands,Packaged Foods,Frozen Meals,USA,207512.34,14.63,1.97,1.08,1.83,13.80,"4,620",2.82,-1.80%,3.37%,0.15,0.20,63.35%,68.72,47.91%,32.15%,
17,FAR,FAR Foods Inc.,Packaged Foods,Snacks,USA,18683153.78,24.70,1.03,2.78,2.43,46.41,"73,243",1.95,8.84%,5.07%,0.78,0.93,29.03%,51.59,26.80%,42.33%,
18,FAS,FAS Co.,Packaged Foods,Cereal & Breakfast,USA,8254753.28,32.00,1.46,1.48,3.24,26.53,"14,955",-2.94,5.26%,12.50%,0.53,1.29,47.38%,60.27,34.08%,68.13%,
19,FAT,FAT Brands,Packaged Foods,Sauces & Condiments,USA,13259274.13,8.32,3.33,4.13,1.30,45.60,"72,713",-0.56,-15.33%,0.58%,0.54,1.12,44.19%,56.57,22.18%,60.56%,
20,FAU,FAU Brands,Packaged Foods,Canned Goods,USA,1655109.15,13.84,1.66,1.16,3.31,15.12,"94,150",2.83,-1.70%,14.67%,0.95,0.78,34.74%,56.98,22.08%,38.04%,
21,FAV,FAV Brands,Packaged Foods,Frozen Meals,USA,1907373.34,32.28,4.53,4.64,1.75,22.94,"221,536",1.33,10.06%,-1.10%,0.89,0.88,59.80%,51.10,29.24%,43.97%,
22,FAW,FAW Co.,Packaged Foods,Snacks,USA,502175.88,13.05,,1.12,1.95,14.96,"1,359,484",-1.31,-12.91%,9.29%,0.32,0.72,45.55%,24.76,20.43%,38.40%,
23,FAX,FAX Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,63671999.19,17.32,1.36,9.88,1.89,80.38,"385,792",-1.25,-3.66%,0.37%,0.91,0.78,37.84%,24.85,38.34%,49.06%,
24,FAY,FAY Co.,Packaged Foods,Sauces & Condiments,USA,68848.50,22.96,1.56,0.83,,40.83,"79,787",4.46,-16.46%,6.15%,1.28,0.58,27.25%,41.43,37.95%,34.46%,
25,FAZ,FAZ Foods Inc.,Packaged Foods,Canned Goods,USA,238067.59,18.16,0.71,1.42,0.89,48.44,"26,330",1.36,-3.90%,0.61%,0.38,0.58,46.18%,51.00,25.34%,41.85%,
26,FBA,FBA Co.,Packaged Foods,Frozen Meals,USA,774802.89,31.02,0.55,1.86,2.19,17.71,"699,658",2.31,-21.44%,1.82%,0.87,0.27,33.70%,43.48,37.52%,45.48%,
27,FBB,FBB Foods Inc.,Packaged Foods,Snacks,USA,4106304.84,11.54,0.42,0.78,1.82,12.95,"207,870",-2.60,-2.98%,-5.63%,1.43,0.97,65.74%,10.29,34.31%,37.16%,
28,FBC,FBC Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,2126814.96,9.41,1.51,,1.20,90.48,"8,758",-1.62,-1.74%,3.25%,0.20,0.70,23.76%,58.22,32.84%,51.52%,
29,FBD,FBD Foods Inc.,Packaged Foods,Sauces & Condiments,USA,4322736.20,24.21,2.55,2.52,1.84,11.64,"4,680",4.85,11.06%,6.16%,0.34,0.20,24.92%,41.64,31.08%,48.67%,
30,FBE,FBE Foods Inc.,Packaged Foods,Canned Goods,USA,15668929.31,,1.51,0.84,1.30,69.64,"3,084",1.09,15.10%,10.35%,0.24,1.38,43.32%,69.21,45.79%,39.41%,
31,FBF,FBF Foods Inc.,Packaged Foods,Frozen Meals,USA,3705054.30,58.25,1.99,2.33,,38.39,"292,222",3.43,20.48%,10.82%,1.42,0.20,56.56%,46.52,35.93%,33.98%,
32,FBG,FBG Foods Inc.,Packaged Foods,Snacks,USA,2604093.95,10.13,2.17,3.12,3.83,55.54,"987,161",1.19,6.36%,-1.34%,0.38,0.96,30.92%,65.51,35.94%,51.13%,
33,FBH,FBH Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,1773887.40,22.54,2.04,1.25,0.67,35.19,"9,234",5.55,15.61%,13.23%,0.44,1.34,17.51%,46.81,32.06%,35.41%,
34,FBI,FBI Foods Inc.,Packaged Foods,Sauces & Condiments,USA,1242674.63,,1.71,2.53,2.97,34.31,"41,627",3.93,-5.01%,3.82%,0.73,0.88,37.80%,54.11,8.77%,39.21%,
35,FBJ,FBJ Co.,Packaged Foods,Canned Goods,USA,4775674.90,24.44,,1.97,1.83,34.64,"56,795",-0.51,4.53%,20.67%,0.63,1.15,55.54%,43.57,47.27%,54.10%,
36,FBK,FBK Co.,Packaged Foods,Frozen Meals,USA,7238547.85,18.89,2.16,2.39,4.20,9.06,"14,716",2.13,0.44%,6.65%,0.98,0.90,8.12%,64.15,22.57%,37.58%,
37,FBL,FBL Foods Inc.,Packaged Foods,Snacks,USA,2653419.84,21.48,0.97,1.89,1.46,34.93,"201,766",-3.45,10.95%,-14.69%,0.72,1.36,23.79%,53.60,26.58%,44.62%,
38,FBM,FBM Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,9042936.89,24.24,3.47,1.63,,49.41,"89,208",-1.64,8.92%,-31.52%,0.34,0.52,13.96%,44.07,45.67%,29.54%,
39,FBN,FBN Brands,Packaged Foods,Sauces & Condiments,USA,2897570.69,19.83,1.66,3.06,0.65,10.78,"1,969",0.22,-0.09%,14.42%,0.92,0.75,68.68%,54.68,43.02%,46.84%,
40,FBO,FBO Foods Inc.,Packaged Foods,Canned Goods,USA,20373651.94,21.22,2.58,1.33,2.87,19.84,"10,130",4.96,-3.05%,17.91%,0.94,0.82,28.13%,59.94,34.48%,39.24%,
41,FBP,FBP Foods Inc.,Packaged Foods,Frozen Meals,USA,509097.37,42.76,1.16,,2.27,17.38,"26,066",3.61,27.66%,11.90%,0.46,0.66,46.08%,51.13,23.11%,28.77%,
42,FBQ,FBQ Foods Inc.,Packaged Foods,Snacks,USA,13587957.27,34.65,1.89,0.91,1.54,59.43,"105,716",2.55,2.91%,-20.28%,0.72,0.52,46.92%,58.97,25.29%,34.12%,
43,FBR,FBR Co.,Packaged Foods,Cereal & Breakfast,USA,572182.37,19.97,1.78,3.07,2.36,11.32,"12,998",0.13,0.56%,-1.98%,0.66,1.70,38.36%,74.19,25.97%,38.48%,
44,FBS,FBS Foods Inc.,Packaged Foods,Sauces & Condiments,USA,3092061.10,27.59,1.33,1.07,4.26,22.19,"1,078,414",0.22,6.46%,22.44%,0.64,1.13,9.61%,57.44,36.94%,40.03%,
45,FBT,FBT Co.,Packaged Foods,Canned Goods,USA,17754158.88,21.84,2.99,0.71,3.05,19.89,"77,589",6.76,-7.05%,-13.37%,1.12,0.72,55.06%,50.77,27.18%,52.45%,
46,FBU,FBU Brands,Packaged Foods,Frozen Meals,USA,8813148.33,,,3.98,5.83,79.23,"212,840",-2.57,8.50%,9.67%,0.47,0.35,23.63%,66.11,37.41%,28.25%,
47,FBV,FBV Foods Inc.,Packaged Foods,Snacks,USA,1085419.61,41.34,1.90,0.97,1.46,20.26,"89,224",3.35,15.25%,-2.49%,0.44,1.10,64.98%,48.01,28.74%,31.59%,
48,FBW,FBW Brands,Packaged Foods,Cereal & Breakfast,USA,3391051.72,22.96,1.13,0.86,2.42,7.30,"19,032",4.79,26.89%,-5.35%,0.83,0.24,53.69%,50.98,36.61%,48.25%,
49,FBX,FBX Brands,Packaged Foods,Sauces & Condiments,USA,2032722.96,58.89,2.12,0.80,3.39,17.78,"174,551",-1.01,13.69%,-0.44%,0.43,0.24,25.69%,54.94,36.58%,51.39%,
50,FBY,FBY Foods Inc.,Packaged Foods,Canned Goods,USA,1819349.85,16.69,5.26,1.35,,32.84,"87,950",3.82,4.76%,-1.45%,0.46,1.11,23.63%,44.68,22.34%,41.79%,
51,FBZ,FBZ Foods Inc.,Packaged Foods,Frozen Meals,USA,11467124.26,28.53,4.07,0.77,1.55,81.16,"43,537",-1.34,1.91%,22.49%,0.94,1.57,46.14%,48.76,41.72%,62.45%,
52,FCA,FCA Brands,Packaged Foods,Snacks,USA,9585958.73,,1.62,1.19,1.76,42.14,"35,696",1.03,10.41%,8.39%,0.15,0.74,51.70%,58.74,19.52%,43.47%,
53,FCB,FCB Co.,Packaged Foods,Cereal & Breakfast,USA,50833953.32,,1.22,1.07,1.89,55.86,"74,963",-0.23,6.78%,7.30%,0.60,0.20,59.65%,47.10,26.12%,40.32%,
54,FCC,FCC Foods Inc.,Packaged Foods,Sauces & Condiments,USA,10774694.44,13.92,1.00,2.12,,55.34,"8,495",7.73,19.77%,11.30%,0.57,1.04,45.70%,51.79,40.25%,43.83%,
55,FCD,FCD Foods Inc.,Packaged Foods,Canned Goods,USA,2411007.85,4.95,1.71,0.75,0.70,67.45,"7,671",-2.60,-14.94%,-2.41%,1.45,0.71,41.11%,38.87,27.85%,55.72%,
56,FCE,FCE Brands,Packaged Foods,Frozen Meals,USA,9723817.70,12.02,2.04,2.28,2.52,49.67,"395,473",3.09,8.72%,11.81%,0.89,1.21,91.02%,38.91,40.63%,54.48%,
57,FCF,FCF Foods Inc.,Packaged Foods,Snacks,USA,77141.88,13.24,2.87,1.31,1.54,24.72,"173,443",4.49,-12.99%,8.61%,1.00,1.42,22.25%,44.37,48.90%,50.16%,
58,FCG,FCG Co.,Packaged Foods,Cereal & Breakfast,USA,3835668.23,18.36,0.73,1.00,1.79,47.82,"85,064",3.51,3.64%,18.50%,0.61,1.40,16.61%,80.63,29.30%,51.73%,
59,FCH,FCH Brands,Packaged Foods,Sauces & Condiments,USA,2256227.20,28.54,1.27,1.09,2.46,10.06,"362,598",-1.61,-2.43%,4.22%,0.24,1.10,48.90%,40.76,29.24%,50.73%,
60,FCI,FCI Co.,Packaged Foods,Canned Goods,USA,722190.09,25.30,1.66,2.86,3.13,63.42,"41,872",0.59,9.40%,-2.33%,1.95,1.16,24.49%,64.07,30.76%,50.96%,
61,FCJ,FCJ Foods Inc.,Packaged Foods,Frozen Meals,USA,4803449.18,18.78,1.74,2.27,3.08,12.91,"35,393",2.41,33.86%,-1.64%,0.57,0.71,47.61%,55.62,37.20%,54.92%,
62,FCK,FCK Foods Inc.,Packaged Foods,Snacks,USA,1304552.40,14.14,3.38,0.61,0.96,49.15,"51,157",-2.34,-20.62%,7.07%,0.54,1.21,61.97%,45.47,18.72%,39.08%,
63,FCL,FCL Brands,Packaged Foods,Cereal & Breakfast,USA,11440996.50,12.86,6.44,2.24,0.84,48.72,"182,266",2.65,-5.72%,30.60%,1.34,1.19,37.52%,57.29,37.05%,46.81%,
64,FCM,FCM Foods Inc.,Packaged Foods,Sauces & Condiments,USA,2315560.84,28.56,,0.92,6.38,73.36,"10,020",0.32,5.90%,-0.07%,0.37,0.67,72.20%,34.95,32.67%,46.25%,
65,FCN,FCN Brands,Packaged Foods,Canned Goods,USA,1192425.70,10.23,1.16,3.02,1.47,26.96,"54,621",0.03,14.91%,-7.17%,0.69,0.47,1.06%,44.85,29.34%,39.94%,
66,FCO,FCO Foods Inc.,Packaged Foods,Frozen Meals,USA,1080582.16,28.51,1.00,0.92,2.21,31.53,"23,105",3.25,18.78%,4.33%,0.55,1.73,17.00%,36.93,27.81%,44.57%,
67,FCP,FCP Brands,Packaged Foods,Snacks,USA,4483054.58,20.35,0.98,1.93,1.20,14.80,"228,818",0.26,13.11%,18.90%,0.27,0.59,35.44%,63.74,20.82%,23.89%,
68,FCQ,FCQ Brands,Packaged Foods,Cereal & Breakfast,USA,392711.92,49.14,,1.49,2.60,28.72,"6,439",-2.75,0.71%,5.18%,0.42,1.19,14.56%,47.12,26.73%,36.41%,
69,FCR,FCR Co.,Packaged Foods,Sauces & Condiments,USA,2345284.30,9.97,1.80,,1.65,17.43,"495,863",5.62,16.36%,1.34%,0.35,1.33,23.29%,46.51,20.55%,38.91%,
70,FCS,FCS Foods Inc.,Packaged Foods,Canned Goods,USA,571057.91,23.88,2.27,2.04,2.00,7.33,"247,527",-0.01,15.25%,3.02%,0.35,0.20,52.39%,53.78,30.40%,41.68%,
71,FCT,FCT Foods Inc.,Packaged Foods,Frozen Meals,USA,4750684.01,21.30,1.59,0.49,0.44,71.89,"22,725",2.86,0.54%,5.41%,0.54,1.27,32.83%,49.90,34.38%,41.49%,
72,FCU,FCU Co.,Packaged Foods,Snacks,Canada,3611704.03,18.19,3.08,1.13,1.81,63.08,"190,836",2.93,-5.62%,-0.36%,0.25,0.26,60.22%,45.45,26.14%,45.96%,
73,FCV,FCV Foods Inc.,Packaged Foods,Cereal & Breakfast,Canada,3758429.63,21.96,2.88,2.85,0.98,16.49,"11,100",5.83,2.30%,13.88%,1.34,0.65,31.07%,76.14,31.66%,35.61%,
74,FCW,FCW Foods Inc.,Packaged Foods,Sauces & Condiments,Canada,5646882.30,7.72,1.01,,5.22,45.06,"25,909",0.90,-0.18%,16.55%,0.37,1.21,18.29%,24.74,25.74%,48.65%,
75,FCX,FCX Brands,Packaged Foods,Canned Goods,Canada,5564144.62,28.73,,1.19,3.88,51.75,"125,665",-3.35,-5.62%,8.42%,0.18,0.20,25.78%,32.96,34.45%,37.75%,
76,FCY,FCY Co.,Packaged Foods,Frozen Meals,Canada,4720633.61,19.67,0.37,4.54,0.91,69.77,"24,146",4.87,6.37%,-17.13%,1.17,0.54,11.31%,40.79,31.46%,33.96%,
77,FCZ,FCZ Foods Inc.,Packaged Foods,Snacks,Canada,786129.52,21.45,2.16,,2.40,11.22,"2,205",7.90,15.40%,14.88%,1.70,0.98,31.10%,54.78,29.59%,32.96%,
78,FDA,FDA Co.,Packaged Foods,Cereal & Breakfast,Canada,800676.20,8.82,2.00,0.61,2.07,49.35,"163,614",2.28,27.24%,9.79%,0.30,0.35,30.26%,35.24,26.02%,55.78%,
79,FDB,FDB Foods Inc.,Packaged Foods,Sauces & Condiments,Mexico,1072165.70,74.19,3.22,1.96,3.51,25.83,"21,385",-3.30,-4.10%,0.83%,0.49,0.95,40.71%,57.76,41.73%,31.12%,
80,FDC,FDC Co.,Packaged Foods,Canned Goods,Mexico,1449792.84,9.01,1.41,,2.18,28.51,"16,207",0.87,23.79%,14.25%,0.60,0.90,83.10%,68.55,34.06%,27.55%,
81,FDD,FDD Foods Inc.,Packaged Foods,Frozen Meals,Mexico,8809260.24,15.19,1.32,1.01,1.51,83.89,"31,110",4.42,8.96%,-9.30%,0.62,0.40,33.32%,45.70,37.57%,42.23%,
82,FDE,FDE Co.,Packaged Foods,Snacks,Mexico,322257.71,,4.82,1.83,1.28,16.43,"720,401",4.98,2.19%,-2.53%,0.37,1.15,57.34%,58.88,31.46%,50.22%,
83,FDF,FDF Co.,Packaged Foods,Cereal & Breakfast,Mexico,717475.43,42.53,2.57,1.47,3.39,10.31,"27,873",6.69,9.19%,23.76%,0.51,1.20,69.95%,48.55,46.50%,61.97%,
84,FDG,FDG Co.,Packaged Foods,Sauces & Condiments,UK,1468943.12,,3.37,2.37,1.52,19.99,"252,236",2.59,-7.45%,16.64%,0.74,0.49,29.70%,63.28,17.35%,37.86%,
85,FDH,FDH Foods Inc.,Packaged Foods,Canned Goods,UK,457073.53,,2.99,2.31,2.90,21.95,"54,639",5.71,-2.13%,15.11%,0.18,0.79,27.24%,37.82,18.81%,49.46%,
86,FDI,FDI Brands,Packaged Foods,Frozen Meals,UK,5113192.92,23.00,2.61,2.37,3.12,25.87,"7,104",7.08,7.78%,17.52%,1.43,0.88,65.46%,58.34,37.93%,42.72%,
87,FDJ,FDJ Co.,Packaged Foods,Snacks,UK,6268935.69,10.84,,3.38,2.74,67.79,"64,507",-0.83,15.71%,0.82%,0.41,0.79,51.50%,67.51,25.36%,38.76%,
88,FDK,FDK Brands,Packaged Foods,Cereal & Breakfast,UK,692541.00,12.57,0.61,1.00,0.77,14.40,"57,038",3.05,43.61%,18.89%,1.21,1.32,54.42%,33.19,50.91%,38.81%,
89,FDL,FDL Foods Inc.,Packaged Foods,Sauces & Condiments,Switzerland,10314652.07,39.93,2.56,1.26,3.27,52.46,"62,481",-2.19,-10.27%,6.83%,1.61,0.58,27.66%,44.65,38.91%,31.09%,
90,FDM,FDM Co.,Packaged Foods,Canned Goods,Switzerland,383545.10,30.83,3.17,0.54,8.39,10.34,"10,650",5.96,17.72%,15.23%,0.60,0.61,26.48%,51.92,33.56%,25.67%,
91,FDN,FDN Foods Inc.,Packaged Foods,Frozen Meals,Switzerland,1556586.68,22.06,2.67,0.82,1.09,26.64,"75,310",0.81,4.80%,15.20%,0.21,1.03,43.72%,48.70,35.41%,43.55%,
92,FDO,FDO Foods Inc.,Packaged Foods,Snacks,Netherlands,21638415.76,25.27,1.68,1.19,6.13,93.56,"118,035",2.19,2.93%,-10.52%,0.52,1.36,49.23%,67.03,33.20%,39.48%,
93,FDP,FDP Brands,Packaged Foods,Cereal & Breakfast,Netherlands,1052068.41,21.09,,0.37,1.36,24.91,"82,608",0.68,-9.15%,19.26%,0.50,0.20,40.38%,49.68,44.50%,48.80%,
94,FDQ,FDQ Brands,Packaged Foods,Sauces & Condiments,Netherlands,5822775.39,27.54,1.81,1.15,1.45,28.39,"118,396",0.03,0.01%,15.45%,0.61,0.31,66.07%,53.11,31.73%,43.85%,
95,FDR,FDR Co.,Packaged Foods,Canned Goods,Brazil,1573122.19,13.26,2.02,0.46,1.17,14.53,"66,264",0.78,-7.39%,5.71%,0.24,0.92,41.03%,64.56,28.17%,47.48%,
96,FDS,FDS Foods Inc.,Packaged Foods,Frozen Meals,Brazil,1259462.47,10.47,2.05,2.22,5.30,32.14,"81,650",1.65,-3.76%,0.05%,0.57,0.98,63.61%,55.38,34.58%,48.38%,
97,FDT,FDT Foods Inc.,Packaged Foods,Snacks,Brazil,39969189.62,19.14,,1.44,1.12,149.38,"205,701",0.34,13.13%,-16.88%,0.70,1.17,10.62%,57.56,46.05%,40.40%,
98,FDU,FDU Brands,Packaged Foods,Cereal & Breakfast,Japan,6768098.58,16.11,1.61,0.92,1.63,36.68,"61,286",2.13,23.77%,8.47%,0.48,0.80,74.43%,54.90,21.66%,50.58%,
99,FDV,FDV Co.,Packaged Foods,Sauces & Condiments,Japan,36450595.06,35.09,2.70,3.00,2.12,37.90,"40,593",1.84,2.38%,0.89%,0.41,0.61,42.25%,55.63,26.68%,45.67%,
100,FDW,FDW Foods Inc.,Packaged Foods,Canned Goods,USA,632994.59,14.86,1.13,1.31,0.72,38.58,"86,814",5.90,0.48%,10.71%,0.45,1.17,69.68%,33.52,28.68%,41.94%,
101,FDX,FDX Foods Inc.,Packaged Foods,Frozen Meals,USA,32477778.00,18.10,2.40,1.21,2.07,65.16,"138,096",6.05,8.42%,-8.87%,1.10,0.90,6.60%,37.75,25.96%,46.40%,
102,FDY,FDY Foods Inc.,Packaged Foods,Snacks,USA,941863.00,14.03,0.99,2.26,2.36,27.25,"56,579",0.57,-9.87%,8.39%,0.33,0.84,14.67%,63.80,35.48%,49.50%,
103,FDZ,FDZ Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,7028065.26,16.00,,,2.61,121.03,"82,003",1.37,7.55%,-1.49%,1.03,0.41,38.46%,50.23,25.58%,39.80%,
104,FEA,FEA Foods Inc.,Packaged Foods,Sauces & Condiments,USA,2212232.45,26.19,2.05,2.09,1.34,35.29,"76,767",-2.15,20.04%,6.07%,0.28,0.79,18.86%,54.79,35.39%,47.33%,
105,FEB,FEB Foods Inc.,Packaged Foods,Canned Goods,USA,659541.34,12.20,0.87,1.67,2.17,25.62,"41,337",2.55,25.18%,-6.46%,0.83,0.20,42.87%,75.61,29.22%,38.20%,
106,FEC,FEC Brands,Packaged Foods,Frozen Meals,USA,5167522.41,10.11,5.86,,1.64,87.81,"32,160",3.24,10.92%,10.25%,0.40,0.26,59.73%,74.78,34.27%,45.40%,
107,FED,FED Foods Inc.,Packaged Foods,Snacks,USA,43594852.82,14.57,1.32,0.53,1.13,47.24,"418,863",2.25,-12.00%,14.07%,0.81,0.49,53.58%,58.64,43.16%,40.59%,
108,FEE,FEE Brands,Packaged Foods,Cereal & Breakfast,USA,8641894.43,13.92,4.00,1.58,,227.28,"211,006",-2.00,5.53%,-7.36%,0.16,1.27,32.23%,65.37,30.81%,54.72%,
109,FEF,FEF Co.,Packaged Foods,Sauces & Condiments,USA,14441408.74,17.52,,3.01,,36.76,"461,187",3.70,21.80%,-1.13%,0.86,0.88,63.72%,55.84,38.64%,53.70%,
110,FEG,FEG Foods Inc.,Packaged Foods,Canned Goods,USA,606866.45,22.55,1.96,,2.37,34.11,"271,065",4.81,-6.19%,17.08%,0.89,1.47,57.98%,76.75,34.56%,42.45%,
111,FEH,FEH Co.,Packaged Foods,Frozen Meals,USA,4043833.65,25.30,,2.05,1.73,17.83,"18,448",3.81,16.86%,1.59%,0.29,0.64,72.16%,65.49,36.73%,51.09%,
112,FEI,FEI Foods Inc.,Packaged Foods,Snacks,USA,26762919.80,13.47,,1.75,8.80,146.70,"95,492",0.83,11.06%,6.62%,1.57,1.04,19.70%,50.74,18.30%,35.81%,
113,FEJ,FEJ Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,1303891.49,15.04,0.52,1.47,1.84,23.46,"30,621",2.37,30.17%,3.75%,0.44,0.93,54.99%,65.79,29.76%,42.09%,
114,FEK,FEK Foods Inc.,Packaged Foods,Sauces & Condiments,USA,930616.99,22.23,0.82,0.71,1.10,26.88,"13,191",2.46,2.23%,-1.44%,0.49,0.87,21.30%,64.79,16.76%,41.56%,
115,FEL,FEL Brands,Packaged Foods,Canned Goods,USA,3026235.94,11.29,1.43,1.02,2.20,77.92,"82,892",0.51,12.94%,-2.14%,1.00,0.40,48.75%,54.51,32.01%,42.48%,
116,FEM,FEM Co.,Packaged Foods,Frozen Meals,USA,4886628.22,52.08,4.50,0.75,1.13,93.18,"13,232",3.81,-10.93%,7.76%,0.48,1.78,48.29%,46.19,41.23%,47.46%,
117,FEN,FEN Brands,Packaged Foods,Snacks,USA,1173076.31,12.74,0.69,2.25,1.66,55.32,"919,354",4.37,21.02%,1.51%,1.97,1.24,35.32%,28.42,47.09%,61.40%,
118,FEO,FEO Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,1176041.38,39.81,3.26,3.61,6.20,63.68,"1,160,843",2.74,-12.03%,6.63%,0.19,1.36,60.75%,39.41,29.34%,38.44%,
119,FEP,FEP Foods Inc.,Packaged Foods,Sauces & Condiments,USA,1756356.67,14.06,1.06,3.72,10.47,56.85,"35,271",1.38,-10.57%,9.29%,1.75,0.34,22.35%,52.16,21.16%,42.95%,
120,FEQ,FEQ Brands,Packaged Foods,Canned Goods,USA,921229.61,52.63,1.21,1.68,4.45,42.66,"865,375",-1.52,-1.54%,4.96%,0.37,0.20,68.64%,53.97,20.74%,28.02%,
121,FER,FER Brands,Packaged Foods,Frozen Meals,USA,1555102.28,50.09,1.62,,1.71,36.64,"77,584",8.99,1.41%,1.79%,1.06,0.64,30.10%,34.09,38.76%,44.90%,
122,FES,FES Foods Inc.,Packaged Foods,Snacks,USA,60389579.62,13.80,1.39,2.69,2.97,80.38,"43,139",0.48,11.67%,6.23%,0.24,0.66,71.73%,24.74,33.93%,51.43%,
123,FET,FET Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,2245882.22,11.23,1.76,1.30,4.72,10.09,"38,195",2.18,19.82%,15.96%,0.64,0.47,25.75%,55.40,35.30%,38.85%,
124,FEU,FEU Co.,Packaged Foods,Sauces & Condiments,USA,883056.88,15.25,2.85,,1.38,19.46,"100,489",5.92,13.12%,27.88%,0.15,0.43,57.77%,55.32,35.02%,37.71%,
125,FEV,FEV Co.,Packaged Foods,Canned Goods,USA,9654007.43,20.71,,5.20,3.04,31.22,"539,588",5.09,3.66%,2.58%,0.41,1.20,70.91%,48.50,30.03%,36.90%,
126,FEW,FEW Foods Inc.,Packaged Foods,Frozen Meals,USA,948779.62,32.30,5.00,3.67,0.66,19.91,"44,334",-0.02,4.87%,1.13%,1.13,1.95,17.35%,61.15,42.03%,27.00%,
127,FEX,FEX Foods Inc.,Packaged Foods,Snacks,USA,951564.41,15.25,2.19,0.91,0.90,65.30,"70,350",3.27,15.25%,21.97%,1.08,0.20,67.97%,39.00,37.73%,41.41%,
128,FEY,FEY Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,4462547.38,10.52,0.71,,1.53,17.30,"92,218",2.90,10.74%,12.37%,0.52,0.84,54.72%,58.87,23.13%,32.12%,
