State,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,male_pop,female_pop
North Dakota,721640,0.028326829268292667,0.8744829268292683,0.012843902439024397,0.05651219512195119,0.009619512195121945,0.0003463414634146341,58188.112195121954,367963.0,353677.0
Ohio,11575977,0.036720843250595034,0.7590306018361096,0.16207276436586163,0.0016888813328799711,0.01621081264875895,0.00022645358721523303,49655.24846625767,5662893.0,5913084.0
Oklahoma,3849733,0.10079904306220101,0.6605942583732046,0.08314736842105255,0.06716842105263157,0.018011483253588517,0.0010622009569377984,48100.85426653883,1906944.0,1942789.0
Oregon,3939233,0.11441212121212133,0.7839551515151517,0.01730787878787877,0.010002424242424257,0.03594909090909088,0.003453333333333332,54271.90181818182,1948453.0,1990780.0
Pennsylvania,12779559,0.06128013741411624,0.7738385384134914,0.11633947532791994,0.0011926920674578385,0.027977514053716495,0.00019394128669581522,56170.46451005025,6245344.0,6534215.0
Puerto Rico,3583073,0.9889357384441935,0.0077361894024802645,0.000925591882750846,2.8184892897406986e-05,0.0007519729425028186,1.2401352874859077e-05,20720.538285714287,1713860.0,1869213.0
Rhode Island,1053661,0.13356666666666678,0.7432541666666665,0.0568291666666667,0.003462500000000001,0.03247499999999998,0.00035833333333333333,59125.270833333336,510388.0,543273.0
South Carolina,4777576,0.05056684981684991,0.6288873626373619,0.2875091575091577,0.002923992673992673,0.01249175824175822,0.0004697802197802196,46296.807763401106,2322409.0,2455167.0
South Dakota,843190,0.032396396396396375,0.8250090090090092,0.014238738738738752,0.09417567567567567,0.010193693693693688,0.0004189189189189189,51805.40540540541,423477.0,419713.0
Tennessee,6499615,0.04720026972353339,0.7349008766014822,0.18283816587997298,0.002266351989211059,0.014072825354012126,0.00043155765340525986,47328.083616587355,3167756.0,3331859.0
Texas,26538614,0.3804673809068304,0.44687908934379145,0.1165004782858236,0.0026114405969007125,0.03669695810216182,0.0006881576430074614,55874.522600500095,13171316.0,13367298.0
Utah,2903379,0.13468376068376064,0.7940683760683764,0.010179487179487195,0.010813675213675222,0.02196068376068376,0.00825982905982906,63488.91780821918,1459229.0,1444150.0
Vermont,626604,0.01609289617486339,0.9398306010928961,0.00980874316939891,0.00301639344262295,0.0123879781420765,0.0003060109289617486,55602.96721311475,308573.0,318031.0
Virginia,8256630,0.080110164981373,0.6327104843001594,0.2017599787120807,0.0021245343267695584,0.05455242150079845,0.0006471527408195847,72866.01341201717,4060948.0,4195682.0
Washington,6985464,0.11140968858131506,0.7203840830449816,0.03384429065743947,0.014107266435986164,0.07022006920415225,0.006098961937716269,64493.76768377254,3487725.0,3497739.0
West Virginia,1851420,0.012909090909090891,0.9217623966942147,0.036628099173553724,0.0015268595041322316,0.006824380165289253,0.0002644628099173554,41437.11157024794,913631.0,937789.0
Wisconsin,5742117,0.06683333333333334,0.7986400862068966,0.08195186781609202,0.009536637931034483,0.02404238505747124,0.00020833333333333332,53898.889208633096,2851385.0,2890732.0
Wyoming,579679,0.09674045801526716,0.8425801526717559,0.010488549618320613,0.019541984732824424,0.00894656488549618,0.000717557251908397,58757.85496183206,295561.0,284118.0
