row_id,loan_id,credit_score,annual_income,employment_years,home_ownership,loan_purpose,loan_amount,term_months,verified_income,delinq_2yr,dti,interest_rate,loan_status
54,LN101086,599,71200.0,8.5,RENT,debt_consolidation,4900.0,60,Source Verified,1,3.3,16.64,Charged Off
55,LN101245,694,95800.0,2.7,MORTGAGE,credit_card,5100.0,36,Not Verified,0,5.4,13.14,Fully Paid
56,LN104294,695,-1.0,11.9,RENT,debt_consolidation,14500.0,60,Verified,0,0.0,14.5,Current
57,LN103379,672,50700.0,5.3,MORTGAGE,medical,8600.0,36,Source Verified,0,7.0,13.92,Fully Paid
58,LN103232,620,71000.0,4.8,OWN,debt_consolidation,8400.0,60,Verified,0,2.4,14.56,Fully Paid
59,LN104511,679,57100.0,2.5,RENT,debt_consolidation,11800.0,36,Source Verified,1,5.5,12.75,Fully Paid
60,LN104033,729,39600.0,8.3,MORTGAGE,major_purchase,12000.0,60,Source Verified,3,11.9,13.04,Charged Off
61,LN104142,709,48400.0,13.2,MORTGAGE,major_purchase,8100.0,60,Verified,0,9.2,12.16,Charged Off
62,LN102494,761,27600.0,5.8,RENT,credit_card,18200.0,60,Verified,0,35.9,18.71,Fully Paid
63,LN104371,652,24600.0,11.1,RENT,debt_consolidation,5800.0,60,Source Verified,0,48.5,17.5,Charged Off
64,LN104888,679,51400.0,5.2,MORTGAGE,debt_consolidation,4400.0,36,Verified,0,5.0,10.66,Fully Paid
65,LN103567,613,71400.0,9.5,OWN,home_improvement,17300.0,36,Verified,0,3.4,11.17,Fully Paid
66,LN101903,682,39200.0,6.8,MORTGAGE,debt_consolidation,16900.0,36,Verified,1,8.6,15.42,Current
67,LN102465,640,101400.0,17.2,RENT,home_improvement,10400.0,36,Not Verified,0,2.7,11.09,Fully Paid
68,LN101517,775,-1.0,1.5,MORTGAGE,major_purchase,4200.0,36,Source Verified,0,0.0,8.14,Charged Off
69,LN103318,764,106800.0,2.4,MORTGAGE,credit_card,6900.0,36,Verified,0,1.9,10.13,Current
70,LN103862,613,28600.0,1.1,MORTGAGE,debt_consolidation,40000.0,36,Not Verified,1,14.8,17.3,Charged Off
71,LN104409,580,89000.0,4.4,MORTGAGE,small_business,19400.0,60,Source Verified,0,13.4,19.13,Charged Off
72,LN102631,626,-1.0,9.9,MORTGAGE,credit_card,6500.0,36,Verified,1,0.0,11.97,Current
73,LN100100,665,39100.0,5.1,MORTGAGE,small_business,12800.0,36,Not Verified,0,2.5,15.51,Fully Paid
74,LN104230,0,70100.0,6.0,OWN,debt_consolidation,8300.0,36,Source Verified,0,8.8,10.85,Charged Off
75,LN104703,707,30900.0,5.9,MORTGAGE,home_improvement,7800.0,36,Not Verified,0,13.1,12.0,Charged Off
76,LN103329,673,-1.0,8.1,MORTGAGE,debt_consolidation,11900.0,36,Not Verified,0,0.0,13.65,Fully Paid
77,LN103885,694,58600.0,2.6,MORTGAGE,debt_consolidation,4500.0,60,Not Verified,0,11.3,16.21,Current
78,LN101040,0,128200.0,5.6,MORTGAGE,debt_consolidation,8600.0,36,Verified,1,5.9,10.57,Current
79,LN100852,749,102200.0,5.6,MORTGAGE,debt_consolidation,5100.0,36,Source Verified,0,3.2,10.38,Charged Off
80,LN103000,771,38500.0,8.8,OTHER,debt_consolidation,36600.0,36,Not Verified,0,41.3,14.28,Fully Paid
81,LN105016,629,64900.0,6.8,RENT,major_purchase,8500.0,36,Verified,0,14.4,14.13,Charged Off
82,LN100848,644,57800.0,11.4,RENT,credit_card,32900.0,36,Verified,2,20.9,15.49,Current
83,LN101658,739,45200.0,3.1,MORTGAGE,credit_card,9300.0,60,Not Verified,2,14.8,16.0,Fully Paid
84,LN102727,679,34700.0,2.9,MORTGAGE,debt_consolidation,19800.0,36,Not Verified,0,13.9,17.2,Fully Paid
85,LN104197,583,90600.0,11.3,RENT,debt_consolidation,12200.0,60,Not Verified,0,7.8,17.16,Fully Paid
86,LN103292,658,51100.0,4.3,OWN,debt_consolidation,7400.0,60,Verified,1,26.4,15.58,Fully Paid
87,LN101941,0,61200.0,1.3,RENT,credit_card,18700.0,60,Source Verified,1,7.9,16.63,Charged Off
88,LN100322,766,25800.0,15.0,MORTGAGE,debt_consolidation,3400.0,60,Not Verified,0,12.4,13.1,Fully Paid
89,LN103362,704,-1.0,10.4,OWN,home_improvement,8900.0,36,Source Verified,0,0.0,9.45,Current
90,LN102648,709,93600.0,4.7,MORTGAGE,major_purchase,9600.0,36,Verified,1,5.6,11.0,Current
91,LN103698,621,35500.0,6.0,RENT,debt_consolidation,14700.0,60,Source Verified,0,11.3,17.45,Current
92,LN104477,656,79200.0,3.1,RENT,other,36900.0,36,Source Verified,1,5.4,13.41,Current
93,LN102738,850,73900.0,5.2,MORTGAGE,home_improvement,9300.0,36,Source Verified,0,11.6,4.5,Charged Off
94,LN101617,574,102900.0,7.1,RENT,credit_card,23700.0,36,Not Verified,1,10.4,18.21,Charged Off
95,LN100077,700,62400.0,3.3,OWN,major_purchase,3800.0,60,Verified,0,8.2,11.75,Charged Off
96,LN103974,647,23400.0,17.4,MORTGAGE,other,28900.0,36,Source Verified,0,36.2,14.64,Current
97,LN104430,687,-1.0,5.1,RENT,home_improvement,9400.0,36,Verified,0,0.0,12.94,Current
98,LN105051,700,45800.0,3.1,RENT,credit_card,7500.0,36,Not Verified,0,4.8,14.7,Current
99,LN102864,619,78900.0,4.8,MORTGAGE,other,8300.0,36,Verified,1,4.1,15.02,Fully Paid
100,LN103398,569,131500.0,10.2,MORTGAGE,major_purchase,19900.0,60,Not Verified,0,9.1,18.77,Current
101,LN103500,674,129300.0,2.1,RENT,debt_consolidation,7800.0,60,Source Verified,0,0.5,14.58,Charged Off
102,LN104787,691,-1.0,5.9,MORTGAGE,debt_consolidation,16000.0,36,Verified,0,0.0,12.01,Fully Paid
103,LN100595,662,229500.0,7.7,OWN,major_purchase,5100.0,60,Verified,0,0.8,13.37,Current
104,LN103017,759,43800.0,3.3,MORTGAGE,other,12100.0,60,Verified,2,15.2,13.59,Charged Off
105,LN103697,679,46800.0,9.7,MORTGAGE,debt_consolidation,4700.0,36,Source Verified,0,12.3,10.6,Fully Paid
106,LN101258,803,52700.0,12.2,MORTGAGE,major_purchase,16700.0,60,Verified,1,5.2,12.6,Fully Paid
107,LN101626,538,111800.0,7.2,MORTGAGE,credit_card,4700.0,36,Not Verified,0,1.9,15.1,Current
108,LN102754,760,18200.0,8.8,MORTGAGE,debt_consolidation,9800.0,36,Source Verified,0,29.6,13.17,Fully Paid
109,LN102130,696,-1.0,2.8,MORTGAGE,debt_consolidation,8400.0,36,Not Verified,0,0.0,9.16,Fully Paid
110,LN100771,778,28200.0,8.6,MORTGAGE,credit_card,10000.0,36,Source Verified,0,16.3,10.97,Current
111,LN101260,755,115600.0,3.0,RENT,credit_card,11900.0,36,Not Verified,0,2.0,9.79,Charged Off
112,LN105108,673,86500.0,22.8,MORTGAGE,small_business,14600.0,36,Source Verified,0,3.8,11.26,Current
113,LN101347,642,118300.0,5.5,RENT,home_improvement,12500.0,36,Verified,1,13.4,11.49,Charged Off
114,LN101828,633,44400.0,3.6,MORTGAGE,debt_consolidation,3300.0,60,Source Verified,0,7.2,16.62,Charged Off
115,LN103826,746,25600.0,1.1,MORTGAGE,home_improvement,9600.0,60,Source Verified,0,25.5,13.24,Charged Off
116,LN101113,674,57900.0,1.2,MORTGAGE,home_improvement,5800.0,36,Source Verified,0,5.0,10.33,Fully Paid
117,LN101203,683,48700.0,1.4,MORTGAGE,credit_card,9500.0,36,Verified,0,2.2,10.76,Fully Paid
118,LN104232,628,87800.0,2.2,MORTGAGE,major_purchase,5800.0,60,Source Verified,0,2.3,16.45,Current
119,LN102855,792,95900.0,99.0,MORTGAGE,home_improvement,9700.0,36,Not Verified,0,4.3,9.37,Current
120,LN101416,835,68400.0,6.6,OTHER,major_purchase,7600.0,36,Source Verified,0,1.5,7.13,Fully Paid
121,LN100521,632,89300.0,11.2,MORTGAGE,debt_consolidation,12600.0,60,Not Verified,1,2.6,13.5,Fully Paid
122,LN104519,577,43500.0,4.9,RENT,medical,15600.0,36,Verified,0,49.7,18.23,Fully Paid
123,LN103857,691,40200.0,11.7,RENT,debt_consolidation,7500.0,36,Not Verified,0,15.2,13.81,Charged Off
124,LN100907,607,67200.0,6.8,OWN,other,8100.0,36,Verified,0,9.3,12.21,Fully Paid
125,LN101241,625,42800.0,3.6,MORTGAGE,debt_consolidation,7200.0,36,Verified,0,16.1,14.24,Current
126,LN102665,698,38300.0,1.6,OWN,debt_consolidation,14300.0,36,Source Verified,0,20.0,13.2,Charged Off
127,LN103850,728,43900.0,2.1,OWN,major_purchase,16100.0,36,Verified,0,203.9,19.01,Charged Off
128,LN100599,575,65600.0,6.6,RENT,credit_card,4300.0,36,Not Verified,0,0.7,15.38,Charged Off
129,LN102499,770,25300.0,8.1,RENT,credit_card,29400.0,36,Source Verified,0,18.1,12.75,Fully Paid
130,LN102840,679,89100.0,4.4,MORTGAGE,debt_consolidation,12900.0,36,Verified,1,4.1,11.56,Fully Paid
131,LN100433,571,35900.0,17.8,MORTGAGE,debt_consolidation,6000.0,60,Verified,0,46.0,14.59,Charged Off
132,LN105157,722,67700.0,99.0,MORTGAGE,other,11300.0,60,Source Verified,0,4.3,11.22,Current
133,LN102282,762,-1.0,14.1,OWN,credit_card,8000.0,36,Not Verified,0,0.0,10.01,Current
134,LN104460,715,69700.0,7.7,OWN,debt_consolidation,2200.0,60,Source Verified,1,2.4,15.58,Fully Paid
135,LN102078,550,103800.0,3.2,OWN,debt_consolidation,11400.0,36,Not Verified,0,4.3,15.05,Charged Off
136,LN100802,712,25700.0,2.7,RENT,debt_consolidation,21900.0,36,Verified,0,10.7,13.02,Current
137,LN103779,567,72200.0,10.4,MORTGAGE,debt_consolidation,4500.0,36,Verified,0,16.0,12.28,Charged Off
138,LN102284,720,45000.0,15.8,RENT,home_improvement,16900.0,36,Not Verified,0,9.2,13.41,Fully Paid
139,LN100115,656,-1.0,1.1,MORTGAGE,home_improvement,7100.0,60,Source Verified,0,0.0,15.34,Current
140,LN104999,632,42600.0,15.3,RENT,home_improvement,9100.0,36,Verified,0,7.6,10.79,Current
141,LN103388,589,27300.0,12.1,RENT,debt_consolidation,3400.0,60,Not Verified,1,2.7,17.9,Fully Paid
142,LN100942,722,30900.0,13.5,MORTGAGE,debt_consolidation,18300.0,36,Verified,0,38.6,13.71,Fully Paid
143,LN103304,850,72100.0,99.0,RENT,credit_card,14900.0,36,Not Verified,0,2.2,12.63,Fully Paid
144,LN100668,656,50700.0,4.5,MORTGAGE,major_purchase,11800.0,36,Source Verified,1,30.6,9.5,Fully Paid
145,LN100387,724,90200.0,2.1,OWN,credit_card,18600.0,36,Not Verified,1,5.6,12.69,Current
146,LN102545,658,135600.0,3.5,RENT,credit_card,32500.0,36,Source Verified,0,3.8,15.93,Charged Off
147,LN101811,0,76700.0,10.6,RENT,medical,9000.0,60,Verified,0,7.9,18.45,Current
148,LN101459,713,33400.0,4.2,OWN,debt_consolidation,13900.0,36,Source Verified,1,17.6,11.14,Current
149,LN100014,720,54300.0,3.0,RENT,other,10400.0,36,Source Verified,0,11.6,12.38,Charged Off
150,LN103381,711,-1.0,6.2,RENT,debt_consolidation,5600.0,36,Source Verified,1,0.0,11.86,Fully Paid
151,LN102442,627,41800.0,4.7,RENT,small_business,29600.0,36,Source Verified,0,6.5,15.08,Charged Off
152,LN103609,687,26900.0,4.9,RENT,debt_consolidation,12700.0,60,Source Verified,2,15.1,15.24,Fully Paid
153,LN100104,629,71700.0,11.1,RENT,other,8600.0,36,Not Verified,0,6.4,14.62,Fully Paid
154,LN103463,600,-1.0,11.5,RENT,other,7400.0,36,Verified,0,0.0,13.68,Charged Off
155,LN102578,772,81200.0,9.0,RENT,small_business,9500.0,36,Not Verified,0,10.9,13.65,Fully Paid
156,LN105097,840,37500.0,1.4,RENT,debt_consolidation,10300.0,60,Not Verified,0,28.0,13.27,Current
157,LN104714,652,58000.0,4.0,MORTGAGE,credit_card,7300.0,36,Source Verified,0,2.0,12.42,Fully Paid
158,LN104517,680,-1.0,6.8,MORTGAGE,debt_consolidation,4300.0,36,Not Verified,0,0.0,14.3,Current
159,LN100209,668,29900.0,13.8,RENT,major_purchase,4300.0,60,Source Verified,0,39.9,15.68,Fully Paid
160,LN104749,576,25000.0,4.4,MORTGAGE,debt_consolidation,6100.0,36,Source Verified,0,43.8,17.49,Fully Paid
161,LN101933,774,108300.0,1.8,MORTGAGE,small_business,9900.0,36,Verified,0,2.1,11.88,Current
162,LN100199,679,40800.0,4.1,RENT,debt_consolidation,27400.0,36,Source Verified,1,4.2,11.87,Fully Paid
163,LN100671,708,67800.0,5.5,RENT,small_business,15400.0,36,Source Verified,0,13.5,13.45,Fully Paid
164,LN100644,668,59400.0,0.4,RENT,credit_card,9400.0,36,Not Verified,0,8.0,10.81,Fully Paid
165,LN101870,747,38000.0,4.2,OTHER,medical,11400.0,36,Verified,0,15.8,11.35,Charged Off
166,LN102005,763,73300.0,3.2,MORTGAGE,debt_consolidation,18800.0,60,Source Verified,0,8.5,13.44,Fully Paid
167,LN101832,617,41000.0,9.3,RENT,major_purchase,11500.0,36,Not Verified,0,1.3,14.46,Current
168,LN102557,745,48200.0,4.0,RENT,credit_card,37100.0,36,Source Verified,0,3.0,12.97,Charged Off
169,LN102383,656,44500.0,4.4,OWN,credit_card,6500.0,36,Verified,0,5.1,11.22,Current
170,LN104769,794,77700.0,11.5,OWN,debt_consolidation,5700.0,60,Verified,0,6.0,8.92,Fully Paid
171,LN100724,630,136400.0,6.1,RENT,debt_consolidation,20700.0,60,Verified,2,2.4,13.46,Fully Paid
172,LN101698,577,68500.0,4.3,MORTGAGE,credit_card,5500.0,36,Source Verified,2,9.5,12.71,Current
173,LN104239,732,53500.0,16.1,MORTGAGE,medical,9200.0,36,Source Verified,2,3.0,10.94,Current
174,LN104438,599,23800.0,9.6,MORTGAGE,debt_consolidation,19500.0,36,Source Verified,0,48.1,16.39,Charged Off
175,LN104481,687,28800.0,2.6,MORTGAGE,debt_consolidation,4700.0,36,Source Verified,0,10.0,11.77,Current
176,LN102335,696,38000.0,8.5,RENT,debt_consolidation,12300.0,36,Source Verified,1,10.0,14.84,Charged Off
177,LN102003,706,46100.0,9.5,MORTGAGE,major_purchase,7700.0,60,Source Verified,0,34.4,12.09,Current
178,LN100471,664,68100.0,5.2,RENT,other,5800.0,36,Source Verified,0,8.4,9.15,Charged Off
179,LN102979,839,113000.0,8.6,RENT,major_purchase,19100.0,36,Source Verified,2,8.6,9.69,Current
180,LN103358,624,92000.0,6.2,RENT,debt_consolidation,12100.0,60,Source Verified,0,1.3,15.06,Fully Paid
181,LN101854,721,39700.0,18.2,MORTGAGE,debt_consolidation,5400.0,60,Not Verified,3,9.1,16.2,Current
182,LN100757,746,49200.0,3.1,MORTGAGE,home_improvement,5600.0,36,Verified,0,8.2,10.78,Current
183,LN102081,715,20300.0,5.9,MORTGAGE,small_business,14100.0,60,Not Verified,0,20.2,18.53,Fully Paid
184,LN103287,760,118100.0,6.4,OWN,other,31000.0,36,Source Verified,0,5.0,11.09,Fully Paid
185,LN104146,696,21800.0,8.2,OWN,major_purchase,40000.0,36,Source Verified,0,37.9,14.97,Charged Off
186,LN104707,667,37800.0,9.8,RENT,debt_consolidation,7200.0,36,Verified,0,3.6,13.21,Current
187,LN104224,645,45900.0,4.2,MORTGAGE,small_business,6400.0,36,Source Verified,2,17.9,15.57,Charged Off
188,LN102445,850,36600.0,4.0,RENT,debt_consolidation,22800.0,36,Source Verified,0,30.7,11.47,Current
189,LN100157,754,54500.0,5.6,MORTGAGE,home_improvement,3100.0,36,Source Verified,0,2.1,9.58,Charged Off
190,LN104372,616,50400.0,15.6,MORTGAGE,credit_card,22000.0,36,Verified,0,0.5,16.68,Current
191,LN103724,683,43400.0,11.2,MORTGAGE,debt_consolidation,3900.0,60,Not Verified,0,5.7,13.01,Current
192,LN102869,727,120500.0,5.2,MORTGAGE,credit_card,15800.0,36,Verified,0,6.3,14.76,Current
193,LN100286,0,45000.0,3.5,MORTGAGE,debt_consolidation,11700.0,60,Verified,1,7.3,16.77,Fully Paid
194,LN100072,630,39800.0,8.6,OWN,medical,6500.0,36,Verified,1,16.1,12.66,Current
195,LN100982,705,64300.0,6.5,RENT,debt_consolidation,12300.0,60,Verified,2,24.2,16.34,Fully Paid
196,LN103365,607,55600.0,11.2,MORTGAGE,credit_card,9800.0,36,Not Verified,1,17.7,15.53,Current
197,LN101403,658,31400.0,2.2,RENT,credit_card,9900.0,36,Source Verified,0,12.1,14.89,Charged Off
198,LN103087,631,98900.0,6.7,MORTGAGE,credit_card,21500.0,60,Source Verified,0,1.2,14.77,Charged Off
199,LN104451,674,28000.0,11.9,OWN,debt_consolidation,7400.0,60,Not Verified,0,65.0,18.44,Fully Paid
200,LN103191,637,38300.0,2.7,RENT,other,11300.0,60,Not Verified,0,13.2,17.07,Charged Off
201,LN103206,0,85300.0,10.5,RENT,debt_consolidation,6500.0,60,Not Verified,0,4.6,15.01,Fully Paid
202,LN101679,672,45100.0,3.8,OWN,debt_consolidation,7300.0,60,Not Verified,0,17.2,15.85,Charged Off
203,LN101684,648,88800.0,4.0,MORTGAGE,debt_consolidation,13900.0,36,Source Verified,0,2.2,13.61,Fully Paid
204,LN104307,826,57500.0,7.9,MORTGAGE,medical,18600.0,60,Not Verified,1,3.4,14.93,Fully Paid
205,LN104335,634,92400.0,7.1,RENT,debt_consolidation,9700.0,36,Verified,0,0.7,14.23,Charged Off
206,LN105196,695,35300.0,9.0,MORTGAGE,major_purchase,4800.0,36,Verified,0,9.1,11.4,Fully Paid
207,LN103872,0,31400.0,2.1,MORTGAGE,debt_consolidation,9200.0,36,Source Verified,0,19.1,16.3,Charged Off
208,LN100156,698,64900.0,1.3,OWN,debt_consolidation,21000.0,36,Verified,0,10.7,11.93,Fully Paid
209,LN103637,777,16000.0,6.3,RENT,debt_consolidation,10800.0,60,Verified,0,34.2,14.07,Fully Paid
210,LN103611,640,85100.0,5.9,MORTGAGE,credit_card,15000.0,60,Verified,0,1.5,13.99,Current
211,LN100298,576,76900.0,2.7,OWN,home_improvement,6100.0,36,Verified,0,11.8,13.89,Current
212,LN102488,780,49700.0,11.9,OWN,medical,5200.0,60,Not Verified,0,21.3,14.31,Fully Paid
213,LN100403,664,49800.0,5.0,MORTGAGE,other,7200.0,60,Verified,0,7.5,17.56,Charged Off
214,LN101476,826,48700.0,99.0,RENT,debt_consolidation,16600.0,36,Verified,1,5.4,10.73,Charged Off
215,LN103514,713,42900.0,8.1,MORTGAGE,medical,14600.0,60,Source Verified,1,11.7,15.36,Charged Off
216,LN100494,670,70000.0,2.6,OTHER,major_purchase,40000.0,36,Source Verified,1,5.9,15.83,Current
217,LN102055,728,60400.0,4.9,MORTGAGE,debt_consolidation,9500.0,60,Verified,0,1.4,12.35,Current
218,LN101540,673,52000.0,3.6,RENT,debt_consolidation,13800.0,36,Source Verified,0,10.6,13.47,Charged Off
219,LN100102,667,23500.0,7.2,MORTGAGE,credit_card,5900.0,36,Verified,1,13.0,12.54,Fully Paid
220,LN103446,663,-1.0,1.5,RENT,small_business,16100.0,36,Verified,1,0.0,15.5,Charged Off
221,LN101212,678,-1.0,1.8,OWN,debt_consolidation,17700.0,36,Verified,1,0.0,13.96,Charged Off
222,LN101090,651,55000.0,16.7,MORTGAGE,credit_card,5000.0,36,Source Verified,1,9.1,13.81,Current
223,LN103190,598,105800.0,2.8,RENT,credit_card,7500.0,60,Verified,0,6.7,14.14,Current
224,LN101195,817,35200.0,10.0,OWN,major_purchase,20900.0,36,Not Verified,0,28.2,11.89,Current
225,LN100699,677,132600.0,6.9,OWN,debt_consolidation,11700.0,36,Verified,1,5.2,12.15,Current
226,LN100432,681,69000.0,3.4,RENT,other,17000.0,36,Not Verified,1,13.0,14.68,Current
227,LN104711,654,73900.0,5.7,MORTGAGE,debt_consolidation,13200.0,36,Verified,0,12.0,12.66,Current
228,LN101216,572,39400.0,0.5,RENT,debt_consolidation,8900.0,36,Verified,0,6.6,14.53,Fully Paid
229,LN101597,706,124600.0,2.4,OWN,debt_consolidation,10600.0,36,Not Verified,0,6.6,10.97,Fully Paid
230,LN100129,630,102500.0,7.3,MORTGAGE,other,10900.0,36,Verified,0,7.4,12.85,Fully Paid
231,LN100833,0,55800.0,4.3,OTHER,small_business,18400.0,36,Source Verified,0,2.3,15.36,Current
232,LN104951,636,77500.0,5.9,RENT,credit_card,10200.0,36,Not Verified,0,6.4,14.76,Current
233,LN104463,650,53900.0,4.5,RENT,debt_consolidation,7000.0,36,Source Verified,0,7.5,11.99,Current
234,LN101114,0,174000.0,13.2,MORTGAGE,medical,11400.0,36,Not Verified,0,3.9,14.42,Fully Paid
235,LN104292,634,30300.0,99.0,RENT,debt_consolidation,13900.0,36,Verified,1,16.4,15.76,Charged Off
236,LN103118,636,61900.0,5.4,MORTGAGE,home_improvement,15300.0,36,Source Verified,0,7.4,11.82,Current
237,LN101236,692,64400.0,5.6,MORTGAGE,major_purchase,10700.0,36,Source Verified,0,2.4,12.98,Charged Off
238,LN103162,726,22200.0,4.1,RENT,small_business,8900.0,60,Verified,1,65.0,17.79,Charged Off
239,LN104258,788,77000.0,10.5,RENT,credit_card,7700.0,36,Source Verified,0,1.0,10.48,Current
240,LN103650,783,92400.0,6.5,MORTGAGE,debt_consolidation,10300.0,60,Verified,2,4.7,10.69,Charged Off
